"SRR20079510","SRR20079511","SRR20079512","SRR20079513","SRR20079514","SRR20079515","SRR20079516","SRR20079517","SRR20079518","SRR20079519","SRR20079520","SRR20079521","SRR20079522","SRR20079523","SRR20079524","SRR20079525","SRR20079526","SRR20079527","SRR20079528","SRR20079529","SRR20079530","SRR20079531","SRR20079532","SRR20079533","SRR20079534","SRR20079535","SRR20079536","SRR20079537","SRR20079538","SRR20079539","SRR20079540","SRR20079541","SRR20079542","SRR20079543"
0,0,1,1,73.329,14,49.001,9,6,44.253,65.815,9,3,4,0,6,171,219.927,12,43.169,95.017,3.958,15,0,0,2,20,5,85,15,22,16,181,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.306,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12,5,83,7633.961,1256.719,5677,687,771.936,5044.677,10266.259,1045.986,262,382,109,1315.491,21109.87,41679.05,1721.885,5148.548,13204.884,1486,1195.001,8,14,86,3274.45,761.886,11473.748,1226.165,2702.758,1874.505,18389.992,1389
0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,1,1,0,0,0,1,0,2,0,0,0,1,0
0,0,0,0,87.649,0,12.728,22.065,0,28.959,107.55,15.914,24.881,3.551,0,0,276.577,774.655,31.045,67.654,103.234,0,64.254,0,0,0,190.276,63.824,169.435,0,99.973,94.212,267.952,23.064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,19,854.74,141,660.003,89.999,84.019,663.402,1477.048,122,36,11.551,3.834,119,2155.536,3960.428,232,740.999,1740.401,194,123.427,3,1,12,342.2,37.615,1299.293,115,248.335,169.841,2212.573,169
0,0,0,0,2157.01,364.774,1695.342,181.349,204.845,1430.363,2719.736,256.721,76.287,96.796,30.967,369.405,5197.447,10085.932,530.826,1405.473,3815.687,381.333,315.492,0,0,0,637.316,143.808,2637.528,224.296,636.631,407.424,4313.435,357.403
0,0,0,0,0,0,11,0,0,0,5,2,0,0,0,0,0,16,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,83.909,20,57,7,9,65,131,13,5,0,0,0,154.715,304.29,0,31,107.665,16,12,0,0,0,30.578,5,93,8,16.85,2.455,90.087,7
2,0,0,0,98.205,10.027,75.773,15.385,6.957,76.208,121.575,19.141,3.975,1.684,2.873,11.426,288.037,538.067,28.375,89.123,210.68,11.099,9.694,0,0,2.046,52.169,2.11,194.609,11.326,28.397,29.676,251.056,13.185
10.38,0,0,0,1328.632,237.636,760.719,165.236,115.547,892.06,1861.576,268.335,61.997,76.944,26.93,160.354,2689.987,4837.276,271.387,731.383,1840.87,352.274,139.43,4,3,0,452.293,163.612,1845.685,292.698,426.827,338.338,2362.109,196.696
14,0,0,14.999,1031.859,175.001,737.429,93.274,82.999,558.005,1248.725,110,49.001,54,11,194.469,3150.073,5874.161,220,608,1571.472,173,153.999,1,0,14,504,114.001,1674,154.175,302,256,2139.013,176
0,0,0,0,111.243,23.387,95.364,10.134,6.944,83.819,139.89,10.08,4.975,1,1.539,11.949,313.594,508.157,32.25,74.979,192.394,27.428,21.63,0,0,3,46.472,23.5,281.514,16.746,44.229,31.871,266.539,18.867
55,0,1.469,44,4893.603,787.965,3155.011,391.15,354.817,2751.243,5307.219,507.565,142.839,207,61,631.526,10492.07,20614.329,915.515,2827.82,6631.343,791.733,595.547,0,2,72,1728.463,385.522,6836.859,676.129,1191.598,856.999,8592.804,709.686
0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,18,1,5,3,0,0,0,0,0,0,0,1,2,0,2,5,0
17,4,1,6.283,1611.928,249.781,1016.91,148.023,144.445,952.233,1946.883,195.211,37.834,42.147,30,212.444,3338.306,6015.713,341.677,1085.548,2540.043,291.233,232.912,3,0,22,464.553,127.892,2173.691,176.96,525.673,288.612,3447.225,297.452
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,5.003,5,0,0,9,0,1,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,2243.586,463.509,1598.517,238.865,157.322,1270.714,2697.144,285.595,94.966,54.554,0,344.412,5473.326,10949.006,427.482,1297.152,3588.913,307.545,337.272,0,0,0,1002.619,133.462,2993.474,303.019,605.074,338.698,4111.07,325.112
4.911,0,0,0,440.736,79.916,273.339,21.97,39.259,320.79,581.892,56.262,5.571,9.277,0,57.914,1001.715,2432.634,117.839,307.267,835.104,41.316,125,0,0,0,232.562,38.065,298.182,67.478,184.893,84.1,1067.741,132.392
0,0,0,17.011,845.739,137.825,540.127,100.736,85.184,587.73,1071.649,123.051,25.626,38.817,0,83.437,1493.526,2695.504,222.696,601.557,1321.865,138.525,66.36,0,0,3.981,300.248,76.599,1048.656,117.082,215.731,167.59,1550.759,135.454
4,2,0,0,588.461,89.116,404.347,81.463,32.812,220.406,474.487,36.121,5.17,35,2.995,137.546,1629.924,2968.633,90.706,237.581,590.105,69.449,49.238,0,0,0,250.015,71.721,1147.161,72.793,122.801,35.641,702.995,67
24,0,0,12.486,3075.777,457.362,2081.051,242.674,230.949,1651.155,3661.471,385.19,57.129,96.501,30,426.588,6007.679,11664.986,596,1753.697,4208.349,454.697,336.333,0,0,32,1402.079,280.489,4336.558,410.4,780,551.316,5074.83,423.79
0,0,0,2,143.011,9.98,40.496,0,0,82.001,110.498,0,2,0,0,35,417.79,868.59,0,33.096,106.397,0,17.185,0,0,0,72.387,0,73.142,0,38,0,73.243,0
0,0,1,0,2305.122,413.03,1607.338,219.191,172,1212.593,2701.425,272.21,16.25,49.978,0,318.812,4798.344,9970.37,474.638,1355.135,3427.758,402.826,293.053,1,0,0,996.894,214.828,3486.716,328.031,700.507,461.196,4648.931,338.732
0,0,1,1.063,65.025,10.248,39.323,3.399,19.57,145.036,246.846,26.851,3,4.084,3.15,9.121,227.627,354.199,45.916,98.023,314.544,28.893,9.393,0,0,1.075,32.038,6.266,130.072,12.38,57.666,47.547,492.16,35.193
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,648.852,116,462,58,66,460.509,848.554,86,22,0,0,103,1783.096,3326.787,137,455.013,943.263,11.143,92,0,0,0,197,46,735.703,60.382,140.768,105,1163.775,90.005
0,0,0,0,21,2,10,4,2,6,18,1,0,2,0,2,25,94,1,4,12,3,1,0,0,0,12,1,19,1,2,1,24,0
0,0,0,0,36.112,3.149,19.253,2,3.66,12.695,44.998,4,2,2,2,7.9,189.07,356.071,13,34.595,53.182,13.061,7.291,1,0,2,33.386,16,86.124,8.753,12.887,4.898,57.746,0
4,0,0,12,929,154,611.998,79,56,349,772,76,31,39,7,136,2163.032,3956.348,128,441,939.72,113.006,120,0,1,8,456,94,1623.073,147.669,255,181.043,1626.154,145
0,0,0,0,26.003,3,8.918,2,3,1,24.149,3.669,0,1,0,10,16.325,117.04,9,0,63.012,0,0,0,0,1,2.437,0,9.873,3,1,1,39,0
15,2,4,13,1448,256.923,1051.811,158,106,663.147,1384,146,54,82,13,206,3743.008,7271.854,234,813,1958.374,238,179,1,2,22,732,189,2599.772,246,388,252,2481.683,199
1,0,0,0,69,6,34,4,1,34,67,10,0,1,0,4,106,219,4,22,61,14,7,0,1,1,19,4,81,5,18,8,101,8
16.895,2,0,7,1178.834,136.459,763.528,106,138.198,1021.001,1938.167,183,14.709,47,22,143,2900.261,5495.465,263.999,871.051,2191.633,231,53.111,3,0,0,324,80,1607.945,141,373,241,2925.671,214.421
0,0,0,0,45,1.861,1,0,0,0,0,0,0,0,0,0,0,278.001,12,40,11.865,0,8,0,0,0,0,0,45.835,14,0,6,94.25,0
0,0,0,0,12,3,4,3,1,6,13,0,0,1,0,1,27,63,2,6,13,1,1,0,0,0,3,1,24,1,4,1,25,1
2,0,0,4,222.81,82.999,138.244,32.334,25.892,151.761,378.012,28.227,10,9.689,9,38.829,590.484,1099.763,58.558,211.569,340.922,15.847,41.566,2,1,6,74.101,24.865,415.164,38.977,36.235,56.253,627.592,34.275
0,0,0,0,0,0,0,0,0,0,1.213,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.244,0
2,1,1,5,285.001,34.141,151,24,18,178,374.999,38,5,9,6,37.001,649.001,1069.001,44,167,365.1,37,24,0,0,0,73.999,10,405,41,48,49,528,40
0,0,0,0,1.415,0,3.624,0,0,1,1.416,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,11,2,3,2,0,10,22,8,1,0,0,1,33,29,6,19,28,1,1,0,1,0,4,0,23,2,5,1,42,3
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1677.661,285.852,1075.21,127.792,131,910.264,2070.067,198.14,56,58.291,18,234.212,3718.054,7047.998,372,1103.299,2533.869,316,202.963,0,0,18,679.088,158.879,2245.804,236,492,355.528,3390.246,299
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2.248,6.489,0,2.991,1.852,0,0,0,0,0,12.86,2.72,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.599,416.628,57.786,284.001,40.001,0,260.859,680.974,45.923,0,3.721,0,48,893.001,1457.186,102.475,191.759,668.091,66.11,46.981,0,0,0,97.378,19.633,387.603,40,76.129,64.316,765.594,6.793
2.892,1,0,2.226,272.383,39.744,3.331,27.873,38.232,165.308,298.481,34.385,19,0,3.781,25.613,775.606,1170.93,108.999,204.263,380.763,34.037,19.997,1,0,0,41.231,35.815,277.042,35.984,79.39,32.295,347.964,15.962
5.204,0,1,0,673.938,106.557,424.442,41.692,51.474,410.856,1029.662,112,14.209,29,13,60.478,1627.738,3145.362,103.374,431.361,1201.369,129.996,69.521,0,1,8.632,209.16,28.611,977.704,103,150.27,91.518,1292.462,106.787
0,0,0,1,361.86,53.9,208.092,21.294,36.261,225.845,398.78,49.29,4.432,19.38,5.633,38,662.728,1403.534,90.117,193.938,563.348,53.925,17.583,0,0,4.336,120.403,10.713,431.63,37.001,76.051,49.279,695.75,42.603
33,5,0,25,2651.359,444.298,1861.095,283.05,122.058,1299.467,2684.914,249.571,81.661,119.967,14.913,413.936,6366.692,12989.791,382.843,1210.542,2966.025,328.065,360.615,0,1,16.447,984.784,269.364,4079.396,408.523,626.123,421.792,3856.273,260.76
6.877,0,0,0,311.776,82.316,242.731,14.384,135,294.942,539.545,76.772,2.228,44,1.265,25.597,876.235,1990.431,99.104,323.968,756.075,70.717,30.547,0,1,0,66.362,37.555,790.07,19.913,178.197,91.162,859.446,33.38
0,0,0,0,22,1,16,1,2,16,36,1,0,0,1,5,28,80,5,16,38,6,1,0,0,0,8,1,25,2,5,4,30,4
