"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
23,16,31,19,19,36,16.676,30,32,18,0,20,0,0,7,20,14,9.908,15,24.17,2.666,10,14,14,14,5.407,11,0,0,8,0,0,21,19,31,24,35.999,28,14.001,29,18,19,18,19,0
0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,3,5.786,3,3,2.176,4,5,5,11.434,1.18,1,4,0,0,0,0,0,5,0,7.752,3.817,4.592,4.7,5.984,11.136,5.512,19.83,9,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,115.559,65.928,0,0,129.976,0,152.682,0,13.669,0,0,0,0,4.115,0,11.481,12.362,0,0,0,8.689,4.621,0,0,0,0,0,0,0,0,0,98.94,0,23.448,0,0,71.077,0,0,0,0,14.361,21.814,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295.447,234.581,203.822,1203.293,931.79,1623.68,1595.956,1745.719,1755.598,27.225,41.048,54,60.314,58,509.876,454,501.465,647.804,590.087,693.395,503.563,417.754,542.604,689.789,392.24,59.999,471.884,28,22,11.952,14,22,788.051,604.203,1294.356,854.953,809.835,1002.852,988.95,1069.388,907.701,1017.172,778.978,916.799,19.484
0,0,0,0,0,34.081,0,0,0,57.637,81.027,98.768,52.201,103.083,405.035,373.846,466.078,533.222,460.072,617.838,388.4,322.225,440.359,528.859,315.632,46.943,373.555,34.858,2.745,5.181,37,1.434,779.884,473.974,929.362,790.311,562.169,859.153,763.388,759.156,653.73,741.36,597.337,687.973,22.267
543.335,70.739,97.795,306.571,234,72.19,0,129.53,0,68.697,32.09,107.999,62.722,90.19,133.518,85.345,158.454,187.919,156.851,205.35,91.432,44.222,106.91,150.137,74.409,43.166,99.675,51.479,15.468,24.662,24.876,22.751,261.323,204.736,412.34,407.044,311.274,483.306,284.297,278.466,222.078,285.887,216.625,272.346,18.191
0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,0,0,0,0,0,0,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,11.324,0,0,7.935,13.115,21,13,18,89.362,0,72.053,70.162,86.894,118.687,93,62.254,52.281,81.298,44.109,4.538,0,5,0,8.746,0,7.494,185.131,100.027,223.535,174.782,158.402,198.483,181.636,166.124,136.271,192.98,134.427,161.079,10
82,77,95,289,163,266,202,221,260,14,5.388,16.523,15.353,29,144.322,119,138.986,170.269,161.023,142.392,150.999,84.902,133.143,175.157,96,10.087,94.094,14,10.607,10.824,1.607,6.736,131.806,153.809,276.359,145.181,182.72,164.219,174.099,202.983,163.276,204.314,116.02,164.026,10.917
0,0,19.284,13.545,0,9.744,21.246,40.246,34.298,209.001,188.261,241.529,202.196,239.19,509.642,524.28,574.15,564.494,570.605,447.155,316.323,347.861,458.569,480.678,302.301,191.001,418.669,86.114,115,58.848,128,88.527,1007.187,788.755,1152.829,1063.593,702.794,1168.233,1115.471,987.612,819.633,885.251,649.514,817.339,102
385,393.463,361,307,225,343.115,310.455,287,310,743.13,924.001,912.428,944.001,1014,1349,878.826,1285.423,1246.413,1229.093,1540.903,1120.119,872.821,1261.115,1395.502,767.001,756.001,898,423,427,393,425.277,394,2351.708,1717.542,3067.649,2029.012,2050.982,2523.639,2504.996,2482.999,1946.998,2397.331,1732.1,2132.383,484
3,13,0,36.698,42.262,76.374,104.358,164.033,112.311,0,1,2.677,2.393,2,1.356,4.341,2.796,3.325,1.432,1,1.929,3.864,1,0,1.67,1,1.686,1,1.561,0,0,0,1.638,8.053,16.289,3.838,15.047,22.714,24.526,7.673,13.675,5.559,3.357,6.656,0
0,0,0,0,0,0,35.92,0,0,64.348,25.453,67,24.699,44.225,390.068,423.542,483.485,504,464,464.996,326.825,323.001,506.97,387.041,319,50,281.973,26,20.151,34,8.028,2.704,733.943,628.839,1205.692,687.255,713.17,838.181,970.284,988.591,767.673,979.823,757.898,792.554,27
1,0,0,0,0,0,0,1.527,0,4,1,1,2,4,1.201,0,1,3,0,1,0,4,0,0,4,3.687,1.268,6,2,0,2,1,1,1,2,0,0,0,0,1,2,2,1.22,2,0
762,878,664.206,661.15,467,804.393,941.246,838,903.014,21.224,26.596,97.882,87.279,34.504,139.263,125.497,200.268,216.156,166.362,201.492,98.423,117.978,173.045,228.343,97.13,75.897,153.198,42.177,22.878,47.914,58.607,34.871,221.895,200.038,383.468,305.466,272.521,376.346,286.194,343.32,268.009,393.355,200.849,231.525,22.077
1,0,0,0,0,0,0,0,0,1,2,2,5,2,0,0,2,0,0,0,0,0,0,0,0,3,0,1,2,3,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,0,0,6.214,21.722,2.646,3.952,10.085,0,0,0,0,0,576.928,589.866,865.739,1214.194,891.135,1004.503,731.138,383.69,391.785,406.305,262.564,0,0,0,0,0,0,0,2161.228,1496.563,2793.444,2417.889,2198.296,2878.585,2073.732,2254.713,1776.553,1900.468,1818.221,2051.455,0
0,45.596,0,22.06,0,0,8.975,51.614,21.141,0,39,4.144,36.729,0,95.546,146.364,0,163.301,157.652,0,136.303,112,91.757,157.423,116.134,18.872,122,19.926,14,21,23,0,237.823,171.847,292.558,186.195,228.855,233.912,103.17,296.742,173.179,350.909,0,172.458,0
128.445,141.867,175.703,73.115,124.479,80.105,165.685,109.225,169.716,0,16.033,8.916,10.887,7.679,21.032,7.257,71.711,48.173,52.905,11.443,56.444,44.392,16.346,20.38,42.661,15.115,4.217,7.278,8.558,11.427,0,12.399,18.83,22.992,108.915,93.746,69.268,53.592,133.232,43.361,38.812,113.615,79.927,92.352,10.262
26.045,22.677,44,112,0,5.554,34.486,10.79,5.689,32.04,24.343,42.345,46.001,51.654,96.364,64.55,54.476,129,93.836,158.822,87,77.852,29.285,141.515,65,18.812,27.778,12.271,11.236,16.255,30.103,7.273,215.67,165.858,258.023,168.862,199.536,122.075,211.401,256.131,146.589,199.858,176.026,198.075,6.548
239.149,211,157,471,135.726,266.005,341.386,272.371,277,39.135,52.009,56.191,62,63,331.786,277.571,348.396,424.261,381.921,519.276,359.399,287.357,418.663,465.444,254.614,34,290.055,33,33,51,27,46,754.973,489.691,939.174,784.053,676.221,880.575,812.459,924.797,610.855,815.875,575.765,697.088,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,9,4,2.816,0,0,0,6,0,0
231.657,289.236,247.844,340.659,440.983,627.558,424.796,472.612,452.076,2.862,65.575,17.146,117.294,8.591,282.616,306.441,265.267,310.444,263.738,202.923,137.5,168.342,268.483,221.547,88.58,110.235,225.673,34.813,2.202,39.641,1.727,28.295,712.936,497.629,733.234,590.872,577.472,505.422,603.341,589.428,488.97,733.894,499.396,443.106,66.757
44,33,23,13,5,8,5,8,3,255.282,227.909,141.196,130.183,136,15,28,16,24,7.645,4.663,8.496,7.81,13,12.833,1.259,218.237,7.026,88,119,54,50,60,31,20,32.27,22,22,28,18,20,19.316,3.405,4.992,14.082,91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,42,20.167,38.001,46,30.965,2,10,9,14,8.631,0,0,7,4.078,7,0,30.744,1,19,9.456,17,0,22,20,14,27,7.111,19,16,0,0,3.904,0,19.099,27,0
2,9,4,0,1,2,0,1,1,107,133,82,118,94,20,7,13,13,20,21,10,9,7,16,7,105,15,46,48,16,37,17,28,11,27,15,14,23,16,16,15,20,16,19,30
11.505,49,40.829,56.796,30.905,76.873,47.487,65.665,72.783,27.132,43.994,39.973,40.324,62.352,90.924,97.849,70.268,102.498,56.583,103.39,63.92,63.554,86.482,105.931,54.114,21.305,69.918,15.659,20,25.787,24.523,23,177.381,93.031,194.934,127.066,117.327,170.931,140.08,153.499,137.592,183.19,133.225,174.736,12.123
113,159,149,47,6,17,20,12,17,407.733,521.154,733.395,771.999,833,309,219,298,491,401.005,238.043,219,165.766,243,329,58.421,435.001,217,240,225,381,359,346,554.849,403,800.999,709.456,657.928,916.334,476,498,410.999,516,405.001,415.161,300
34,29,12.377,3,4,0,5,3,3,130,165.084,140.001,158,167.327,2.311,0,0,0,11,3.231,2,3,7,3,0,115,0,51.359,88.001,38.816,85.393,76.145,0,14,17,13,1,1.949,7.949,1,7,1,5.226,18,88.001
4,5,5,9,2,6,20,17,19,12,15,17,17,19,34,19,35,30,19,21,66,42,81,88,39,16,50,11,16,6,14,9,70,53,91,61,40,51,179,173.173,141,153,117,131,12
12,1,0,0,0,0,1,0,0,28,23,11,15,17,0,0,2,0,2,1,5,1,4,1,0,22,0,9,8,6,7,9,0,0,4,0,0,1,0,1,0,0,1,0,13
84,133,104,260,242,386.253,325.387,333.284,294.305,108.999,153,221,174.111,159,543.847,709.999,698.616,930.906,988.63,1018.614,614.338,538.549,715.004,781.425,461,108.005,654.999,11.661,28.189,68,69,64,780.879,712.442,1450.323,1084.823,1100,1358.185,1034.856,1119.713,868.849,1152.001,829.999,1004.068,20.024
22.666,36.657,2.184,27.112,14.509,25.906,24.642,12.891,20.503,50.874,6.688,125.526,118.88,9.633,822.528,769.407,806.456,1048.824,986.789,1198.649,390.78,449.641,733.465,1052.563,510.339,68.193,588.571,23.943,3.176,7.931,0,5.735,1342.66,923.982,1995.798,1330.441,1223.137,1777.928,1228.186,1085.578,1079.905,1322.008,1192.198,1302.686,0
1,0,0,1,0,0,5,4,0,0,2.239,0,2,0,0,1,1,0,1,2,0,1,4,0,4,3,2,2,0,0,0,2,1,2,5,2,1,0,7,4,4,6,3,4,2
78,51,62,40,16,15,19,15,17,484.998,635.917,589,647,709.671,148.999,93,145.999,176.036,181,201,142,40.387,151,137.215,113,477.001,104,344,323,329.001,350.607,346,333,216,300.953,372,315.086,407.247,318.999,273.398,152.406,370.001,259,331.999,427
1,0,21,0,0,0,0,0,0,19.075,40.367,28.555,24.267,20.745,1,0,0,0,1,0,0,0,0,1,0,19.183,0,20.518,20.643,19.73,13.099,25.38,0,3,0,0,0,1,0,0,1,0,0,1,20.985
67,179,98,162,170,231,281,269,292,66.001,75.999,98.999,65,81,256,347.001,341.002,339.999,453,485,289,293.322,385.001,461.448,294,59,333.117,28,16,30,26,31,396,338,613,508,447,593.998,642,564.136,475,654,488.001,534.575,18
0,0,0,0,0,0,0,0,0,0,3.493,3.286,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.961,4.103,3,2.972,0,0.82,1.232,0,1.743,0,0
111,90,88,0,0,0,0,0,0,106,116,86.999,76,100,0,0,0,2,0,1,2,0,0,0,0,109,1,67.001,68,42,41,40,4,1,2,0,3,2,0,0,0,0,0,1,67
0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28.16,0,51.907,50.761,154.033,179.616,232.707,285.082,322.088,417.963,259.092,180.093,287.594,386.671,0,41,260,8.623,27,10.672,31.008,25,566.758,431.491,765.379,527.804,408.202,657.039,576.484,690.072,467.378,633.691,511.092,542.968,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.026,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66.834,74.914,54.532,207.465,177.9,313.473,386.573,310.888,408.375,6.856,4.762,38.285,20.503,3.522,232.798,191.757,250.923,298.899,293.348,357.864,454.597,291.654,460.513,432.942,234.333,0,346.904,19.41,5.955,0,1.971,0,407.138,329.908,569.856,381.377,350.662,436.653,828.194,828.177,591.008,712.781,480.947,514.451,1.037
40.055,18.124,0,103.352,3.888,63.264,67.347,41.193,35.333,64.457,45.479,115.677,102.795,103.248,242.587,168.839,164.102,295.122,182.106,216.659,191.974,51.472,155.686,165.827,55.954,27.976,133.298,22.877,23.464,28.793,43.746,42.538,346.556,175.232,392.071,385.724,158.753,405.987,376.01,319.107,280.236,389.187,217.87,249.413,68
135.212,169.52,190.27,643.595,552.428,811.753,700.976,598.588,716.726,209.105,225.854,318.001,283.997,255,684.633,696.974,714,884.099,904.193,1056.631,528.72,510.028,659.002,809.519,527.999,225,616.985,68.999,124,89,68,86.295,1048.342,847.071,1510.17,1077.883,1083,1278.807,982.857,1114.947,860.099,1174.188,934.307,1139.916,96.001
