"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.058,0,7,0,0,3,0,1,1,4,1,2,0,1,0,2,2,6,0,1,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,5,2,1,8,3,4,0,1,2,3,5,5,3,6.005,5,2,2,1,2,2,2,1,2,5
2.001,0,0,1,1,1,0,1,0,2,0,2,0,1,0,2,3,0,1,0,0,1,0,0,0,0,0
0,0,46.054,0,0,0,7.319,0,0,9.142,0,0,0,13.518,14.669,0,0,0,0,0,0,0,0,0,0,0,6.906
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
212.942,240.397,207,219.076,266.497,218.611,180.538,176.215,231.158,156,170.605,127.774,232.003,191.077,174.605,194.314,200.859,191.188,122.041,157.215,136.222,198.386,166.53,204.004,132.076,170.866,225.999
443.586,500.456,430.544,441.703,552.086,357.249,532.201,556.925,369.303,445.672,360.156,331.309,424.698,333.072,323.344,459.23,413.253,529.417,277.679,374.168,258.738,321.331,356.276,403.021,272.258,348.803,461.002
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.316,51.766,37.453,39.118,65.467,44.623,74.954,69.914,79,28.433,32.545,11.99,5.643,27.272,35.232,68.115,60.85,73.254,22.833,24.241,28,27.3,39.942,27.21,43,66.75,74.738
66.884,59.028,72.444,47.075,67.781,51.192,69.915,76.553,76.292,82.317,71.529,46.478,68.545,47.747,52.731,48.053,46.129,71.708,24.898,55.414,33.563,49.979,67.425,39.506,53.433,62.826,56.887
