"sample","condition"
"SRR20079510","mock_24hpi"
"SRR20079511","mock_24hpi"
"SRR20079512","mock_24hpi"
"SRR20079513","mock_24hpi"
"SRR20079514","mock_12hpi"
"SRR20079515","mock_12hpi"
"SRR20079516","mock_12hpi"
"SRR20079517","mock_12hpi"
"SRR20079518","mock_12hpi"
"SRR20079519","mock_6hpi"
"SRR20079520","mock_6hpi"
"SRR20079521","mock_6hpi"
"SRR20079522","usawa1_24hpi"
"SRR20079523","usawa1_24hpi"
"SRR20079524","usawa1_24hpi"
"SRR20079525","usawa1_12hpi"
"SRR20079526","usawa1_12hpi"
"SRR20079527","usawa1_12hpi"
"SRR20079528","usawa1_6hpi"
"SRR20079529","usawa1_6hpi"
"SRR20079530","usawa1_6hpi"
"SRR20079531","usawa1_6hpi"
"SRR20079532","newyork1_24hpi"
"SRR20079533","newyork1_24hpi"
"SRR20079534","newyork1_24hpi"
"SRR20079535","newyork1_24hpi"
"SRR20079536","newyork1_12hpi"
"SRR20079537","newyork1_12hpi"
"SRR20079538","newyork1_12hpi"
"SRR20079539","newyork1_12hpi"
"SRR20079540","newyork1_6hpi"
"SRR20079541","newyork1_6hpi"
"SRR20079542","newyork1_6hpi"
"SRR20079543","newyork1_6hpi"
