GEO Accession,Library Layout,Study Title,Study design,Samples,Platform,Publication Year,PubMed,Research Group,Group Name
GSE201325,paired,Whole transcriptome exploration revealed the dysregulated RNAs involved in SARS-CoV-2 spike protein inhibited apoptosis in Calu-3 cells,"3 Calu-3 control samples, 3 SARS-CoV-2 Spike protein treated Calu-3 samples",6,GPL20795 HiSeq X Ten (Homo sapiens),22-Apr-25,,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE211851,paired,SARS-CoV-2 nsp13 restricts episomal DNA transcription without affecting chromosomal DNA,"3 Vector-treated HEK293T samples, 3 HA-nsp13 expressing HEK293T samples.",6,Illumina NovaSeq 6000 (Homo sapiens),6-Jun-23,,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE275240,paired,ACE2 knockout hinders SARS-CoV-2 propagation in iPS cell-derived airway and alveolar epithelial cells,"18 iPSC-derived samples (ACE2 knockout study), 12 ACE2-knockout/affected (disease) and 6 wild-type/controls.","Total 18, Disease: 12, Control 6",Illumina NovaSeq 6000 (Homo sapiens),21-Aug-24,https://doi.org/10.3389/fcell.2023.1290876,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE245922,paired,ACE2-independent SARS-CoV-2 virus entry through cell surface GRP78 on monocytes - evidence from a translational clinical and experimental approach,"4 healthy primary monocyte samples, 4 COVID-19 primary monocyte samples",8 Samples,Illumina NovaSeq 6000 (Homo sapiens),"Public on Dec 13, 2023",37967509,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE207923,paired,Timecourse of SARS-CoV-2 Infection with New York & Washington Isolates,"Comparative gene expression profiling analysis of RNA-seq data for the New York 1-PV08001/2020 and USA-WA1/2020 isolates of SARS-CoV-2 in NHBE cells at 6, 12, and 24hpi.",27,Illumina NovaSeq 6000 (Homo sapiens),"Public on Sep 06, 2022",10.3389/fcimb.2022.1009328,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE217504,paired,Sequence and dynamics of SARS-CoV-2 host cell interactions inferred from transcriptome analyses,"RNA-sequencing of SARS-CoV-2 infected Caco-2 cells at different timepoints after viral infection (0h, 1h, 2h, 4h, 7h, 12h, 24h & 48h). Mock samples were used as control at t=4h,12h,48h. Replicates (n=3) were obtained for each time point",33,Illumina NovaSeq 6000 (Homo sapiens),"Public on Nov 10, 2022",N/A,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE255647,paired,Characterizing spatial and global host innate immune responses against SARS-CoV-1 and -2 infection in pathologically relevant human lung epithelial cells,"Calu-3/2B4 cells infected with SARS-CoV-1 or -2 at 3 timepoints (12-, 24-, and 48-hours post-infection)",27,,"Public on Feb 05, 2025",10.1371/journal.pone.0317921,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE244484,paired,Transcriptomic analysis of sorted lung cells revealed a proviral activity of the NF-ÎºB pathway towards SARS-CoV-2 (RNA-Seq depleted polyA),"A549-ACE2 cells, SARS-CoV-2 infected (S+) vs bystander (S-) vs mock controls",9 Samples,Illumina NovaSeq 6000 (Homo sapiens),"Public on Oct 08, 2023",,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE244486,paired,Transcriptomic analysis of sorted lung cells revealed a proviral activity of the NF-ÎºB pathway towards SARS-CoV-2 (RNA-Seq total),"18 sorted lung cell samples, 12 infected/bystander (disease) and 6 mock-infected controls.","Total 18, Disease: 12, Control 6",Illumina NovaSeq 6000 (Homo sapiens),8-Oct-23,,Group 1,Viral Entry & Innate Host-Pathogen Interaction
GSE244485,paired,Transcriptomic analysis of sorted lung cells revealed a proviral activity of the NF-ÎºB pathway towards SARS-CoV-2 (RNA-Seq depleted total),"18 sorted lung cell samples, 12 infected/bystander (disease) and 6 mock-infected controls","Total 18, Disease: 12, Control 6",Illumina NovaSeq 6000 (Homo sapiens),8-Oct-23,,Group 1,Viral Entry & Innate Host-Pathogen Interaction
