Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,infection,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time
SRR20079510,RNA-Seq,143,842968424,PRJNA857691,SAMN29633197,339099499,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16117332,Mock-infected,Illumina NovaSeq 6000,GSM6323035,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:11:00Z,1,GSM6323035,NHBE,SRP385899,24hpi
SRR20079514,RNA-Seq,195,8072099437,PRJNA857691,SAMN29633200,2895239100,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX16117329,Mock-infected,Illumina NovaSeq 6000,GSM6323032,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:32:00Z,1,GSM6323032,NHBE,SRP385899,12hpi
SRR20079519,RNA-Seq,186,5606784761,PRJNA857691,SAMN29633204,2068840138,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX16117325,Mock-infected,Illumina NovaSeq 6000,GSM6323028,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:19:00Z,1,GSM6323028,NHBE,SRP385899,6hpi
SRR20079522,RNA-Seq,139,5861687323,PRJNA857691,SAMN29633206,2345032998,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16117323,USA-WA1/2020,Illumina NovaSeq 6000,GSM6323026,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:21:00Z,1,GSM6323026,NHBE,SRP385899,24hpi
SRR20079527,RNA-Seq,191,37512965846,PRJNA857691,SAMN29633211,14578717705,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16117318,USA-WA1/2020,Illumina NovaSeq 6000,GSM6323021,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T15:47:00Z,1,GSM6323021,NHBE,SRP385899,12hpi
SRR20079531,RNA-Seq,191,1623659790,PRJNA857691,SAMN29633214,646181730,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16117315,USA-WA1/2020,Illumina NovaSeq 6000,GSM6323018,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:12:00Z,1,GSM6323018,NHBE,SRP385899,6hpi
SRR20079539,RNA-Seq,193,1215501262,PRJNA857691,SAMN29633220,453342923,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16117309,New York 1-PV08001/2020,Illumina NovaSeq 6000,GSM6323012,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:11:00Z,1,GSM6323012,NHBE,SRP385899,12hpi
SRR20079542,RNA-Seq,193,18628605408,PRJNA857691,SAMN29633223,6672086515,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16117306,New York 1-PV08001/2020,Illumina NovaSeq 6000,GSM6323009,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:36:00Z,1,GSM6323009,NHBE,SRP385899,6hpi
SRR20079511,RNA-Seq,149,69709158,PRJNA857691,SAMN29633198,29617756,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16117331,Mock-infected,Illumina NovaSeq 6000,GSM6323034,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:09:00Z,1,GSM6323034,NHBE,SRP385899,24hpi
SRR20079512,RNA-Seq,141,129894810,PRJNA857691,SAMN29633199,52650273,NHBE,Normal Human Bronchial Epithelial Cells,"MICROBIOLOGY AND MOLECULAR BIOLOGY, BRIGHAM YOUNG UNIVERSITY",public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX16117330,Mock-infected,Illumina NovaSeq 6000,GSM6323033,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-09-06T00:00:00Z,2022-07-11T14:09:00Z,1,GSM6323033,NHBE,SRP385899,24hpi
