Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,antibody
SRR26260926,RNA-Seq,260,4277191144,PRJNA1023258,SAMN37650495,1889758326,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970543,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817922,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:49:00Z,1,GSM7817922,A549-ACE2,SRP464218,,
SRR26260938,RNA-Seq,272,6765228492,PRJNA1023261,SAMN37650502,2401612669,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX21970570,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817942,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:54:00Z,1,GSM7817942,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260940,RNA-Seq,275,5510349357,PRJNA1023261,SAMN37650504,1952009376,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX21970568,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817940,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:53:00Z,1,GSM7817940,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260941,RNA-Seq,270,5938258643,PRJNA1023261,SAMN37650505,2098937778,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX21970567,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817939,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:50:00Z,1,GSM7817939,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260942,RNA-Seq,276,7098920859,PRJNA1023261,SAMN37650506,2493356225,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970566,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817938,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:51:00Z,1,GSM7817938,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260949,RNA-Seq,272,3651110650,PRJNA1023261,SAMN37650513,1293569072,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970559,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817931,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:50:00Z,1,GSM7817931,A549-ACE2,SRP464220,mock,
SRR26260950,RNA-Seq,277,6067356388,PRJNA1023261,SAMN37650497,2153111389,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970558,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817947,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:53:00Z,1,GSM7817947,A549-ACE2,SRP464220,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260951,RNA-Seq,277,4321138370,PRJNA1023261,SAMN37650514,1522236919,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970557,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817930,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:52:00Z,1,GSM7817930,A549-ACE2,SRP464220,mock,
SRR26260989,RNA-Seq,272,14937160817,PRJNA1023260,SAMN37650536,6408593834,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970621,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817964,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:16:00Z,1,GSM7817964,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260990,RNA-Seq,273,15948474520,PRJNA1023260,SAMN37650537,6829001863,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21970620,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817963,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:17:00Z,1,GSM7817963,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
