Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,infection_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR27961772,RNA-Seq,152,1621113592,PRJNA1075838,SAMN39939120,554587205,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23618265,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076559,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076559,Calu-3/2B4,SRP489631,48 hpi
SRR27961773,RNA-Seq,152,1585217880,PRJNA1075838,SAMN39939121,542758776,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23618264,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076558,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076558,Calu-3/2B4,SRP489631,48 hpi
SRR27961774,RNA-Seq,152,1459425416,PRJNA1075838,SAMN39939122,500502080,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618263,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076557,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076557,Calu-3/2B4,SRP489631,48 hpi
SRR27961775,RNA-Seq,152,1647902528,PRJNA1075838,SAMN39939123,566821392,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618262,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076556,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076556,Calu-3/2B4,SRP489631,24 hpi
SRR27961776,RNA-Seq,152,1927932432,PRJNA1075838,SAMN39939124,662344159,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618261,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076555,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076555,Calu-3/2B4,SRP489631,24 hpi
SRR27961777,RNA-Seq,152,1657244296,PRJNA1075838,SAMN39939125,566511393,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618260,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076554,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076554,Calu-3/2B4,SRP489631,24 hpi
SRR27961778,RNA-Seq,152,1831925584,PRJNA1075838,SAMN39939126,627461246,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23618259,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076553,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076553,Calu-3/2B4,SRP489631,12 hpi
SRR27961779,RNA-Seq,152,1642444360,PRJNA1075838,SAMN39939127,591201392,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618258,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076552,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076552,Calu-3/2B4,SRP489631,12 hpi
SRR27961780,RNA-Seq,152,1695021920,PRJNA1075838,SAMN39939128,449174946,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23618257,uncalculated,uncalculated,missing,Mock,NextSeq 550,GSM8076551,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076551,Calu-3/2B4,SRP489631,12 hpi
SRR27961781,RNA-Seq,152,1705058176,PRJNA1075838,SAMN39939129,581714070,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618256,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076550,Calu-3/2B4,SRP489631,48 hpi
SRR27961782,RNA-Seq,152,1491172744,PRJNA1075838,SAMN39939130,508592845,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23618255,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076549,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:41:00Z,1,GSM8076549,Calu-3/2B4,SRP489631,48 hpi
SRR27961783,RNA-Seq,152,1235199880,PRJNA1075838,SAMN39939131,426475938,Calu-3/2B4,bronchial epithelial cells,"BIOCHEMISTRY AND MOLECULAR BIOLOGY, UNIVERSITY OF TEXAS MEDICAL BRANCH",missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX23618254,uncalculated,uncalculated,missing,SARS-2,NextSeq 550,GSM8076548,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2025-02-05T00:00:00Z,2024-02-14T03:40:00Z,1,GSM8076548,Calu-3/2B4,SRP489631,48 hpi
