Run,Assay Type,AvgSpotLen,Bases,Biological_replicate,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR456169,RNA-Seq,202,8568706882,replicate 1,PRJDB15620,SAMD00590815,3426669343,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",DRX440466,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:51:00Z,1,SAMD00590815,Rn1455,DRP011895
DRR456170,RNA-Seq,202,7112069934,replicate 1,PRJDB15620,SAMD00590816,2826030484,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",DRX440467,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:51:00Z,1,SAMD00590816,Rn1456,DRP011895
DRR456171,RNA-Seq,202,7189770244,replicate 1,PRJDB15620,SAMD00590817,2868634741,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",DRX440468,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:52:00Z,1,SAMD00590817,Rn1457,DRP011895
DRR456172,RNA-Seq,202,7543118542,replicate 2,PRJDB15620,SAMD00590818,3003920433,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",DRX440469,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:51:00Z,1,SAMD00590818,Rn1458,DRP011895
DRR456173,RNA-Seq,202,7385799528,replicate 2,PRJDB15620,SAMD00590819,2963960086,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX440470,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T16:29:00Z,1,SAMD00590819,Rn1459,DRP011895
DRR456174,RNA-Seq,202,8424856218,replicate 2,PRJDB15620,SAMD00590820,3354348834,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",DRX440471,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T16:30:00Z,1,SAMD00590820,Rn1460,DRP011895
DRR456175,RNA-Seq,202,9127313036,replicate 3,PRJDB15620,SAMD00590821,3663973119,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",DRX440472,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:50:00Z,1,SAMD00590821,Rn1461,DRP011895
DRR456176,RNA-Seq,202,7982482480,replicate 3,PRJDB15620,SAMD00590822,3204454383,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",DRX440473,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:51:00Z,1,SAMD00590822,Rn1462,DRP011895
DRR456177,RNA-Seq,202,8073620840,replicate 3,PRJDB15620,SAMD00590823,3254749795,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",DRX440474,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:54:00Z,1,SAMD00590823,Rn1463,DRP011895
DRR456178,RNA-Seq,202,8247447496,replicate 1,PRJDB15620,SAMD00590824,3299747499,Human SFTPC-GFP 201B7 iPSC reporter line (B2-3),cell culture,CIRA,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",DRX440475,Illumina NovaSeq 6000,,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-08-09T00:00:00Z,2024-08-09T15:51:00Z,1,SAMD00590824,Rn1464,DRP011895
