SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,A1BG,protein_coding,77.03012214,-0.083045163,0.341907729,-0.242887644,0.808092438,0.997447198
A1CF,A1CF,protein_coding,0,NA,NA,NA,NA,NA
A2M,A2M,protein_coding,0,NA,NA,NA,NA,NA
A2ML1,A2ML1,protein_coding,0,NA,NA,NA,NA,NA
A3GALT2,A3GALT2,protein_coding,0.359561223,1.964116561,4.030312406,0.487336058,0.626020199,NA
A4GALT,A4GALT,protein_coding,0.329835059,1.855601879,4.039802152,0.45932989,0.645997286,NA
A4GNT,A4GNT,protein_coding,0,NA,NA,NA,NA,NA
AAAS,AAAS,protein_coding,1080.507436,-0.052613005,0.094675219,-0.555720983,0.57840161,0.997447198
AACS,AACS,protein_coding,1051.125286,0.084982172,0.137684854,0.617222367,0.537088065,0.997447198
AADAC,AADAC,protein_coding,115.0836805,0.182468713,0.257980749,0.707295848,0.479382645,0.987963316
AADACL2,AADACL2,protein_coding,0,NA,NA,NA,NA,NA
AADACL3,AADACL3,protein_coding,0,NA,NA,NA,NA,NA
AADACL4,AADACL4,protein_coding,0,NA,NA,NA,NA,NA
AADAT,AADAT,protein_coding,519.6278708,-0.003045585,0.117570398,-0.025904351,0.97933363,0.999779309
AAED1,AAED1,protein_coding,519.3590631,0.176077416,0.170990875,1.029747442,0.303128579,0.941481141
AAGAB,AAGAB,protein_coding,1024.237378,-0.010188442,0.096495309,-0.105584846,0.915911748,0.999486641
AAK1,AAK1,protein_coding,3999.992703,0.035136839,0.090638749,0.387658032,0.698269118,0.997447198
AAMDC,AAMDC,protein_coding,154.297525,-0.040341163,0.231747428,-0.17407383,0.861807439,0.998359305
AAMP,AAMP,protein_coding,2928.21217,-0.085256335,0.066686139,-1.278471615,0.201083187,0.873206187
AANAT,AANAT,protein_coding,0.678151262,2.890744282,3.972243515,0.727735918,0.466775259,NA
AAR2,AAR2,protein_coding,26.05258606,-0.0473401,1.690202228,-0.028008542,0.977655338,0.999779309
AARD,AARD,protein_coding,0,NA,NA,NA,NA,NA
AARS,AARS,protein_coding,300.5008757,-11.66438512,1.201995349,-9.704184898,2.89E-22,3.60E-18
AARS2,AARS2,protein_coding,80.67282959,-1.501839424,2.789549439,-0.538380644,0.590314286,0.997447198
AARSD1,AARSD1,protein_coding,579.4912282,-0.045004087,0.154880282,-0.290573381,0.771377621,0.997447198
AASDH,AASDH,protein_coding,83.65656315,0.166648788,0.416245084,0.400362176,0.688889779,0.997447198
AASDHPPT,AASDHPPT,protein_coding,3655.164583,0.189380908,0.100641917,1.881729926,0.059872694,0.608750087
AASS,AASS,protein_coding,797.7230044,-0.206889674,0.336457108,-0.614906534,0.538616447,0.997447198
AATF,AATF,protein_coding,2526.597396,-0.114511147,0.119519339,-0.958097224,0.338013735,0.953111615
AATK,AATK,protein_coding,6.044805347,-1.658392301,1.304855137,-1.270939781,0.203750073,0.876419845
AATK-AS1,AATK-AS1,protein_coding,0,NA,NA,NA,NA,NA
ABAT,ABAT,protein_coding,166.3036172,0.033394462,0.203093813,0.16442875,0.869393633,0.998563786
ABC13-47488600E17.1,ABC13-47488600E17.1,protein_coding,25.90983432,-0.113657156,0.562902761,-0.201912593,0.839985057,0.998359305
ABC7-42404400C24.1,ABC7-42404400C24.1,protein_coding,1.830999844,-0.264265228,2.35930004,-0.112010013,0.910815467,NA
ABCA1,ABCA1,protein_coding,205.9840428,0.458872346,0.265089025,1.731012236,0.083449582,0.674735563
ABCA10,ABCA10,protein_coding,15.41308873,-0.935951085,1.28085467,-0.730723873,0.464947831,0.98587318
ABCA12,ABCA12,protein_coding,63.69243344,0.217412347,0.562322435,0.386632889,0.699028006,0.997447198
ABCA13,ABCA13,protein_coding,15.68398402,0.400365219,0.771563336,0.518901301,0.60382957,0.997447198
ABCA2,ABCA2,protein_coding,640.5655797,-0.137519921,0.15595277,-0.881804929,0.377882306,0.968128865
ABCA3,ABCA3,protein_coding,324.5409884,0.173363429,0.45601894,0.380167167,0.70382133,0.997447198
ABCA4,ABCA4,protein_coding,4.836239058,1.717680659,1.400248986,1.226696592,0.219936649,0.883764718
ABCA5,ABCA5,protein_coding,1047.583709,0.009876843,0.103214601,0.095692306,0.923764952,0.999486641
ABCA6,ABCA6,protein_coding,0,NA,NA,NA,NA,NA
ABCA7,ABCA7,protein_coding,120.3568678,-0.258102462,0.393629285,-0.65569934,0.512017594,0.995086483
ABCA8,ABCA8,protein_coding,43.41655926,-0.027213664,0.569681336,-0.047769977,0.961899564,0.999779309
ABCA9,ABCA9,protein_coding,1.883032127,-0.227153722,1.970097196,-0.115300769,0.908206729,NA
ABCB1,ABCB1,protein_coding,0.517177167,-2.47670077,3.991563437,-0.62048388,0.534939263,NA
ABCB10,ABCB10,protein_coding,71.35013121,1.67706317,3.728546141,0.449790108,NA,NA
ABCB11,ABCB11,protein_coding,0,NA,NA,NA,NA,NA
ABCB4,ABCB4,protein_coding,0,NA,NA,NA,NA,NA
ABCB5,ABCB5,protein_coding,3.357408277,0.659834598,1.318879708,0.500299303,0.616864345,NA
ABCB6,ABCB6,protein_coding,175.8444293,0.217023753,0.43858337,0.49482896,0.62072086,0.997447198
ABCB7,ABCB7,protein_coding,521.8340687,-0.085802883,0.153815172,-0.557831076,0.57695974,0.997447198
ABCB8,ABCB8,protein_coding,710.8877279,-0.157492813,0.148437545,-1.061003894,0.288688131,0.928293885
ABCB9,ABCB9,protein_coding,367.4797063,0.420379252,0.162570628,2.585825352,0.009714614,0.246237759
ABCC1,ABCC1,protein_coding,2055.575214,0.012047816,0.087874898,0.137101909,0.890950243,0.999486641
ABCC10,ABCC10,protein_coding,143.380632,0.195667588,0.512744426,0.381608416,0.702751841,0.997447198
ABCC11,ABCC11,protein_coding,4.588864939,-0.724701935,1.832385614,-0.395496412,0.692476569,NA
ABCC12,ABCC12,protein_coding,0,NA,NA,NA,NA,NA
ABCC3,ABCC3,protein_coding,5.496815408,0.422671305,1.542992128,0.273929657,0.78413868,0.997447198
ABCC4,ABCC4,protein_coding,5.406428765,-0.394922802,1.208529153,-0.326779707,0.743834509,0.997447198
ABCC5,ABCC5,protein_coding,305.5677557,0.071396178,0.259804859,0.274806938,0.783464568,0.997447198
ABCC6,ABCC6,protein_coding,7.26280453,0.785012823,1.000456137,0.784654913,0.432655924,0.980271782
ABCC8,ABCC8,protein_coding,0,NA,NA,NA,NA,NA
ABCC9,ABCC9,protein_coding,6.021045798,1.461352594,1.371164684,1.065774674,0.286525512,0.927812395
ABCD1,ABCD1,protein_coding,312.7613881,0.092770139,0.16176083,0.573501873,0.566304931,0.997447198
ABCD2,ABCD2,protein_coding,0,NA,NA,NA,NA,NA
ABCD3,ABCD3,protein_coding,4199.221957,0.085192805,0.085306436,0.998667967,0.317955563,0.945628198
ABCD4,ABCD4,protein_coding,143.9149093,-0.514082744,0.324346761,-1.584978813,0.112971148,0.737102121
ABCE1,ABCE1,protein_coding,1482.508506,0.00205683,0.140017422,0.014689812,0.988279647,0.999779309
ABCF1,ABCF1,protein_coding,1242.909535,0.078323446,0.091333919,0.857550479,0.39114073,0.968451565
ABCF2,ABCF2,protein_coding,569.1971729,-0.209150665,0.216721111,-0.96506826,0.334510623,0.951845582
ABCF3,ABCF3,protein_coding,231.4168252,-0.404957357,0.242053705,-1.673006232,0.094326069,0.702916134
ABCG1,ABCG1,protein_coding,0,NA,NA,NA,NA,NA
ABCG2,ABCG2,protein_coding,12.51715157,0.227387139,1.7684379,0.128580788,0.897689369,0.999486641
ABCG4,ABCG4,protein_coding,1.258416209,0.440836291,2.70211905,0.163144659,0.870404538,NA
ABCG5,ABCG5,protein_coding,0,NA,NA,NA,NA,NA
ABCG8,ABCG8,protein_coding,0,NA,NA,NA,NA,NA
ABHD1,ABHD1,protein_coding,0.179780612,0.981144094,4.080472857,0.240448626,0.809982485,NA
ABHD10,ABHD10,protein_coding,1006.442544,0.260048903,0.134583114,1.932255058,0.053328033,0.581127776
ABHD11,ABHD11,protein_coding,471.6797125,0.005792721,0.146171202,0.039629704,0.968388346,0.999779309
ABHD12,ABHD12,protein_coding,1655.379038,0.164466866,0.086422042,1.903066191,0.057031909,0.595975102
ABHD12B,ABHD12B,protein_coding,0,NA,NA,NA,NA,NA
ABHD13,ABHD13,protein_coding,1093.490266,0.190542527,0.100319301,1.899360581,0.057517083,0.595975102
ABHD14A,ABHD14A,protein_coding,99.83199313,0.019747102,0.300036327,0.065815705,0.947524553,0.999779309
