"SYMBOL","GENENAME","GENEBIOTYPE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG","A1BG","protein_coding",179.284835714532,-1.20044241257237,0.286860872429241,-4.18475479910032,2.85474078983909e-05,0.00122020879976501
"A1CF","A1CF","protein_coding",0,NA,NA,NA,NA,NA
"A2M","A2M","protein_coding",11.9860377576071,-0.414521235299499,2.48180969539867,-0.167023779489633,NA,NA
"A2ML1","A2ML1","protein_coding",0,NA,NA,NA,NA,NA
"A3GALT2","A3GALT2","protein_coding",1.51887163822897,0.753565331293703,2.58291300857321,0.291750178497095,0.770477640465319,NA
"A4GALT","A4GALT","protein_coding",0.185080995084482,-1.7084112435344,3.79069605485305,-0.450685367228852,0.652216330083672,NA
"A4GNT","A4GNT","protein_coding",0.249926743471119,-1.35141812966883,3.80153325189898,-0.355492913022333,0.722220353259694,NA
"AAAS","AAAS","protein_coding",1034.23578021174,-0.216516777410521,0.125546449248562,-1.72459499019245,0.084600486920455,0.309443585000751
"AACS","AACS","protein_coding",521.214037526859,0.115599799782207,0.318746039972711,0.362670544211638,0.716851006019739,0.892857187271161
"AADAC","AADAC","protein_coding",0,NA,NA,NA,NA,NA
"AADACL2","AADACL2","protein_coding",0,NA,NA,NA,NA,NA
"AADACL3","AADACL3","protein_coding",0,NA,NA,NA,NA,NA
"AADACL4","AADACL4","protein_coding",0,NA,NA,NA,NA,NA
"AADAT","AADAT","protein_coding",0,NA,NA,NA,NA,NA
"AAED1","AAED1","protein_coding",505.420084581555,0.206247318443368,0.200579527757236,1.02825707463521,0.303828917147851,0.612011377130172
"AAGAB","AAGAB","protein_coding",634.702974308585,0.0272180485673785,0.150877980459744,0.180397752438372,0.856840318675288,0.950027362355317
"AAK1","AAK1","protein_coding",2496.06387201583,0.398475986630851,0.107728247252385,3.69889974815337,0.000216536102516395,0.00554363265400885
"AAMDC","AAMDC","protein_coding",144.277085496809,0.163477769199351,0.250565598890725,0.652435010724059,0.514120584934272,0.777060346616026
"AAMP","AAMP","protein_coding",4145.07309432203,-0.169913288371114,0.159742152391563,-1.06367221066747,0.287477217540511,0.596877822727017
"AANAT","AANAT","protein_coding",0,NA,NA,NA,NA,NA
"AAR2","AAR2","protein_coding",1271.65340039639,-0.00323252707765288,0.139767344033961,-0.0231279137483462,0.981548239686922,0.992735362280526
"AARD","AARD","protein_coding",0.1098427656144,0.447365564335066,3.81693852603351,0.117205336497772,0.906697338154832,NA
"AARS","AARS","protein_coding",373.157835598256,-0.980371621290106,0.345461617283089,-2.83785975704137,0.00454171329954227,0.0493233962796642
"AARS2","AARS2","protein_coding",481.681185590419,-0.426068810016701,0.234730660275395,-1.81513914508152,0.0695025288212369,0.279735743891119
"AARSD1","AARSD1","protein_coding",400.063695905411,-0.0670425035645742,0.149544847102405,-0.448310355479281,0.653929228097177,0.859841412312736
"AASDH","AASDH","protein_coding",562.684017909309,-0.00097323772579188,0.197193183572241,-0.00493545318434061,0.996062094090699,0.998629171232796
"AASDHPPT","AASDHPPT","protein_coding",1683.48921912432,-0.0426180003355719,0.13683195232628,-0.311462342026284,0.755449166816757,0.909241139513471
"AASS","AASS","protein_coding",4.64945553934049,-0.826505643491506,2.90677562205251,-0.284337613547171,0.776151663700305,NA
"AATF","AATF","protein_coding",3015.94301756538,0.220506527058127,0.0985222418698374,2.23813955989195,0.0252119555822242,0.15025042959317
"AATK","AATK","protein_coding",1579.1637062562,-0.493966569612668,0.242060893071505,-2.04067068969604,0.0412835706035649,0.206613819333981
"AATK-AS1","AATK-AS1","protein_coding",0,NA,NA,NA,NA,NA
"ABAT","ABAT","protein_coding",1424.30120662503,0.134325151467886,0.211109855996295,0.636280816136996,0.524593406415743,0.78444005726792
"ABC13-47488600E17.1","ABC13-47488600E17.1","protein_coding",31.2349937052745,1.63149180865888,0.580037618433489,2.81273447929991,0.00491221946624005,0.0519643818452083
"ABC7-42404400C24.1","ABC7-42404400C24.1","protein_coding",13.3099051014582,-0.148084859463825,0.681757678675316,-0.217210402017855,0.828044378563236,0.938545069345194
"ABCA1","ABCA1","protein_coding",211.214853113663,1.00805213676737,0.564643974796689,1.78528804301922,0.074214607318842,0.289267779358592
"ABCA10","ABCA10","protein_coding",6.50222347961707,0.28281272924446,1.13970748606036,0.248145013263063,0.804022208948034,0.928581404303798
"ABCA12","ABCA12","protein_coding",0.0829484784900053,0.447365564335066,3.81693852603351,0.117205336497772,0.906697338154832,NA
"ABCA13","ABCA13","protein_coding",31.1777833609341,0.00520759734325618,0.59257498828825,0.00878808158660084,0.992988215636884,0.997007134690728
"ABCA2","ABCA2","protein_coding",1381.82589295955,0.445044052640822,0.176178953766139,2.52609090431753,0.0115339632342422,0.0895879541176871
"ABCA3","ABCA3","protein_coding",113.150398197852,1.01230637642969,0.384036900729572,2.63596121754592,0.00838993200330357,0.0733076102940586
"ABCA4","ABCA4","protein_coding",0,NA,NA,NA,NA,NA
"ABCA5","ABCA5","protein_coding",189.802050066543,0.263246122530237,0.417182166052723,0.631010009418688,0.528033979763349,0.786425651791159
"ABCA6","ABCA6","protein_coding",0,NA,NA,NA,NA,NA
"ABCA7","ABCA7","protein_coding",7655.62295474338,0.363706585310641,0.163618311048996,2.22289658766694,0.0262227739336055,0.154096858248015
"ABCA8","ABCA8","protein_coding",0,NA,NA,NA,NA,NA
"ABCA9","ABCA9","protein_coding",28.7015799540266,-1.27619301299926,0.7502103052587,-1.70111367979567,0.0889216426213411,0.31809032867164
"ABCB1","ABCB1","protein_coding",0,NA,NA,NA,NA,NA
"ABCB10","ABCB10","protein_coding",1075.32177191916,0.037896419211032,0.164369600720941,0.230556131090022,0.817659651723678,0.933835522080518
"ABCB11","ABCB11","protein_coding",0.497690870940032,2.15100996062469,3.75219599682237,0.573266951525539,0.566463958458633,NA
"ABCB4","ABCB4","protein_coding",0,NA,NA,NA,NA,NA
"ABCB5","ABCB5","protein_coding",0,NA,NA,NA,NA,NA
"ABCB6","ABCB6","protein_coding",105.556807424404,-0.427020326088333,0.920444891532261,-0.463928183008842,0.642699200156072,0.854770343779525
"ABCB7","ABCB7","protein_coding",522.315517179315,-0.430519024337803,0.233003253038687,-1.8476953378257,0.0646464288086293,0.267115159140032
"ABCB8","ABCB8","protein_coding",656.802840939032,0.144861409325826,0.286705434144943,0.505262168322181,0.613374710643915,0.837148222826396
"ABCB9","ABCB9","protein_coding",9.59662601014809,0.064932071737718,0.773169026508058,0.0839817291064766,0.933070958504037,0.978874580579702
"ABCC1","ABCC1","protein_coding",3137.98868771433,-0.0684494426252995,0.181458500347801,-0.377218165553572,0.706011481604712,0.887689234151244
"ABCC10","ABCC10","protein_coding",872.701342425232,0.0420401795854007,0.180012654810003,0.233540134329849,0.815342008316999,0.932906409253676
"ABCC11","ABCC11","protein_coding",1.86168242837577,0.769983027183487,1.80814491328241,0.425841436450855,0.670223390987235,NA
"ABCC12","ABCC12","protein_coding",0,NA,NA,NA,NA,NA
"ABCC3","ABCC3","protein_coding",866.019470847379,0.235611528693545,0.549094756967734,0.429090836697591,0.667857120506901,0.868063312990888
"ABCC4","ABCC4","protein_coding",8.45819645998036,6.18089020982306,3.13169247573633,1.97365809628859,0.0484206329490585,0.227485275927029
"ABCC5","ABCC5","protein_coding",1009.45285163678,-0.621907922346237,0.214462876450079,-2.89983950901172,0.00373353770108287,0.0431505831617007
"ABCC6","ABCC6","protein_coding",356.258425020876,-0.366223053564434,0.345334369057583,-1.06048828723262,0.288922515780424,0.598847296999038
"ABCC8","ABCC8","protein_coding",0,NA,NA,NA,NA,NA
"ABCC9","ABCC9","protein_coding",5.5672357458414,-0.448890171390513,1.00104266625624,-0.448422616260002,0.653848222604907,0.859841412312736
"ABCD1","ABCD1","protein_coding",2739.48422055966,0.411010642739396,0.154667800041539,2.65737692414977,0.00787513395076334,0.0704747338247397
"ABCD2","ABCD2","protein_coding",38.6745165886967,2.0495971620548,1.28470717192722,1.59538080493483,0.110627105767286,0.358334393796135
"ABCD3","ABCD3","protein_coding",1880.8650064075,-0.273446080919906,0.141889639507076,-1.92717440025823,0.0539578991681001,0.240334088444891
"ABCD4","ABCD4","protein_coding",574.924574059939,-0.131000011766679,0.216581901975929,-0.604852070147758,0.545277292280832,0.796725753774926
"ABCE1","ABCE1","protein_coding",1138.70183992545,-0.327815246325111,0.210800654806464,-1.5550959584356,0.119923217372086,0.37329936252323
"ABCF1","ABCF1","protein_coding",3358.30412436529,0.0727156611601305,0.0901554639356564,0.80655855991188,0.419920856878197,0.711105844099907
"ABCF2","ABCF2","protein_coding",569.501211224462,-0.475218976971686,0.202666023555811,-2.3448379192224,0.0190353524652926,0.124270010005615
"ABCF3","ABCF3","protein_coding",1950.44779255113,-0.0660741267134183,0.165542721515648,-0.399136404841409,0.689792699195205,0.880135680155772
"ABCG1","ABCG1","protein_coding",631.217909949248,-0.0855332000697013,0.520734081572279,-0.16425504513061,0.869530369743171,0.955580549780553
"ABCG2","ABCG2","protein_coding",0.0925404975422409,-1.17803700831184,3.80764629730792,-0.309387195219454,0.757027009649106,NA
"ABCG4","ABCG4","protein_coding",0.779268604568494,1.62341310034831,3.72592825462505,0.435707021017686,0.663049311056335,NA
"ABCG5","ABCG5","protein_coding",0,NA,NA,NA,NA,NA
"ABCG8","ABCG8","protein_coding",0.580639349430037,2.36640051337459,3.74208560767895,0.632374766766057,0.527142018336278,NA
"ABHD1","ABHD1","protein_coding",3.89215538209616,-1.16020769936202,1.67587693896353,-0.692298862993824,0.488749663986125,NA
"ABHD10","ABHD10","protein_coding",1247.58742692284,-0.0449952220317254,0.183265001988802,-0.245519993143451,0.806053829540636,0.929292418808333
"ABHD11","ABHD11","protein_coding",235.679401429828,0.0459265308945531,0.305566733957891,0.150299511663734,0.880528318249698,0.959060286027478
"ABHD12","ABHD12","protein_coding",1261.0124560715,-0.0396167335664827,0.130660324564515,-0.303204003958536,0.76173439784048,0.911301442827312
"ABHD12B","ABHD12B","protein_coding",0,NA,NA,NA,NA,NA
"ABHD13","ABHD13","protein_coding",1751.16742307634,0.00887947438369363,0.12152931516964,0.0730644649095486,0.941754818944494,0.983539821011772
"ABHD14A","ABHD14A","protein_coding",150.738149267087,-0.10694279021301,0.284420947090637,-0.376001807556494,0.706915552225927,0.887995281079237
"ABHD14A-ACY1","ABHD14A-ACY1","protein_coding",44.5918426458052,-0.366785679094101,0.375708670303618,-0.976250238775946,0.328940472700549,0.633613367393372
"ABHD14B","ABHD14B","protein_coding",468.429268445111,-0.333643373619045,0.209339608004479,-1.59378999893754,0.110983078306665,0.35902784626334
"ABHD15","ABHD15","protein_coding",68.1220219365656,0.240542311200654,0.341657738953673,0.704044673295898,0.481404953451658,0.757310656265001
