"PC1","PC2","group","name","sample","GSM","condition","timepoint","infection","runsCollapsed","sizeFactor"
-30.8946296608778,9.54348961671717,"NY1","GSM6323009","SRR20079542","GSM6323009","NY1","6hpi","NY1","SRR20079542,SRR20079543",15.896688308216
-6.18994056333642,31.9296637974321,"NY1","GSM6323010","SRR20079541","GSM6323010","NY1","6hpi","NY1","SRR20079541",1.4160498132364
-9.24974787272987,33.8445117552666,"NY1","GSM6323011","SRR20079540","GSM6323011","NY1","6hpi","NY1","SRR20079540",2.04616717988367
-20.9918794262443,-24.3909303210398,"NY1","GSM6323012","SRR20079538","GSM6323012","NY1","12hpi","NY1","SRR20079538,SRR20079539",10.7046256898439
7.71174039639031,-5.3914602996379,"NY1","GSM6323013","SRR20079537","GSM6323013","NY1","12hpi","NY1","SRR20079537",0.614049946832872
-13.3174888309307,-20.7292710330016,"NY1","GSM6323014","SRR20079536","GSM6323014","NY1","12hpi","NY1","SRR20079536",2.60593384956184
43.1625307998344,-4.86455517877166,"NY1","GSM6323015","SRR20079534","GSM6323015","NY1","24hpi","NY1","SRR20079534,SRR20079535",0.0791928106610683
24.1755258349712,-12.3647971701838,"NY1","GSM6323016","SRR20079533","GSM6323016","NY1","24hpi","NY1","SRR20079533",0.0104225319686892
-4.72511649970119,-4.93529561235482,"NY1","GSM6323017","SRR20079532","GSM6323017","NY1","24hpi","NY1","SRR20079532",0.826649644537765
-28.0198420157501,6.99173165033188,"WA1","GSM6323018","SRR20079530","GSM6323018","WA1","6hpi","WA1","SRR20079530,SRR20079531",12.2463990427709
-25.0057452019768,17.5370633924372,"WA1","GSM6323019","SRR20079529","GSM6323019","WA1","6hpi","WA1","SRR20079529",4.4705188878916
-12.0695212740211,34.8644346316796,"WA1","GSM6323020","SRR20079528","GSM6323020","WA1","6hpi","WA1","SRR20079528",1.44179995716226
-25.4797089719813,-23.6597914813839,"WA1","GSM6323021","SRR20079527","GSM6323021","WA1","12hpi","WA1","SRR20079527",27.9825567915154
-26.8951941436969,-24.4410680860177,"WA1","GSM6323022","SRR20079526","GSM6323022","WA1","12hpi","WA1","SRR20079526",14.7241856620951
-11.7158115937087,-12.8365082026742,"WA1","GSM6323023","SRR20079525","GSM6323023","WA1","12hpi","WA1","SRR20079525",0.920955803884632
41.7038704139148,7.40521431753756,"WA1","GSM6323024","SRR20079524","GSM6323024","WA1","24hpi","WA1","SRR20079524",0.083061425927193
28.6847485681946,3.388623991052,"WA1","GSM6323025","SRR20079523","GSM6323025","WA1","24hpi","WA1","SRR20079523",0.26783324861402
43.8204556564589,5.05414445063803,"WA1","GSM6323026","SRR20079522","GSM6323026","WA1","24hpi","WA1","SRR20079522",0.194063700309365
-27.1416843231589,6.45803118791227,"Mock","GSM6323027","SRR20079520","GSM6323027","Mock","6hpi","Mock","SRR20079520,SRR20079521",9.29890635857272
-28.6598800225304,17.3906702963504,"Mock","GSM6323028","SRR20079519","GSM6323028","Mock","6hpi","Mock","SRR20079519",4.09211223498121
3.28196883286089,30.8693892605046,"Mock","GSM6323029","SRR20079518","GSM6323029","Mock","6hpi","Mock","SRR20079518",0.569312719954221
12.7178512463255,-1.6514142625823,"Mock","GSM6323030","SRR20079517","GSM6323030","Mock","12hpi","Mock","SRR20079517",0.582860251996694
-22.1126013209229,-21.9118409085742,"Mock","GSM6323031","SRR20079516","GSM6323031","Mock","12hpi","Mock","SRR20079516",4.49393752902739
-25.326845307623,-22.0753457896822,"Mock","GSM6323032","SRR20079514","GSM6323032","Mock","12hpi","Mock","SRR20079514,SRR20079515",7.68088545349039
47.0969783318236,-5.95347520063295,"Mock","GSM6323033","SRR20079512","GSM6323033","Mock","24hpi","Mock","SRR20079512,SRR20079513",0.0722732252705158
24.2791193627563,-12.9169427062613,"Mock","GSM6323034","SRR20079511","GSM6323034","Mock","24hpi","Mock","SRR20079511",0.0106849937766653
41.1608475856599,-7.15427209506098,"Mock","GSM6323035","SRR20079510","GSM6323035","Mock","24hpi","Mock","SRR20079510",0.0642272812529943
