"PC1","PC2","group","condition","name"
-15.0450002182932,6.21772752689554,"mock_48h","mock_48h","SRR22223232"
-20.6384370480673,8.46186388800886,"mock_48h","mock_48h","SRR22223233"
-16.5441589658746,7.79973981625967,"mock_12h","mock_12h","SRR22223234"
-15.7373324124216,-0.419891039422728,"mock_12h","mock_12h","SRR22223235"
-14.5904190239508,-2.80071003895264,"mock_12h","mock_12h","SRR22223236"
-15.2325500676318,-1.78569682135291,"mock_12h","mock_12h","SRR22223237"
-16.0966715017579,-4.65047585455761,"mock_4h","mock_4h","SRR22223238"
-16.3705182269788,-4.74588561204657,"mock_4h","mock_4h","SRR22223239"
-6.23913999351809,-9.40524923384686,"mock_4h","mock_4h","SRR22223240"
-20.99943364372,7.11300004348105,"infected_48h","infected_48h","SRR22223241"
-21.8369631943293,6.97367258028295,"infected_48h","infected_48h","SRR22223242"
-19.7398555909642,5.34512965358166,"infected_48h","infected_48h","SRR22223243"
-18.7001997712704,3.43097500717051,"infected_24h","infected_24h","SRR22223244"
-16.88482678039,1.94462591262378,"infected_24h","infected_24h","SRR22223245"
-2.96666577142006,-3.03596441913906,"infected_24h","infected_24h","SRR22223246"
26.0446151277799,8.82947609466614,"infected_12h","infected_12h","SRR22223247"
25.8306896896867,10.5822031703174,"infected_12h","infected_12h","SRR22223248"
-19.8657934390812,1.86805956075526,"infected_12h","infected_12h","SRR22223249"
17.9620441162162,-0.789296926720184,"infected_7h","infected_7h","SRR22223250"
-9.8301246860847,-3.16370703722882,"infected_7h","infected_7h","SRR22223251"
21.5620389882515,2.22145212251127,"infected_7h","infected_7h","SRR22223252"
8.3020920349435,-8.60441857877444,"infected_4h","infected_4h","SRR22223253"
-0.191593852061398,-9.4612417039934,"infected_4h","infected_4h","SRR22223254"
23.3942759013605,3.04761261976878,"infected_4h","infected_4h","SRR22223255"
-6.28100311854548,-6.7451320150116,"infected_2h","infected_2h","SRR22223256"
29.6378587670818,6.10222800541101,"infected_2h","infected_2h","SRR22223257"
8.78853665517816,-8.36880033167047,"infected_2h","infected_2h","SRR22223258"
28.8317180540732,4.3322712956804,"infected_1h","infected_1h","SRR22223259"
25.1358142050278,1.99340622942611,"infected_1h","infected_1h","SRR22223260"
3.45193653307927,-7.7751461168034,"infected_1h","infected_1h","SRR22223261"
14.595291812048,-6.79879770069772,"infected_0h","infected_0h","SRR22223262"
15.3047670097556,-7.00936373348296,"infected_0h","infected_0h","SRR22223263"
24.9490084118787,-0.70366636313904,"infected_0h","infected_0h","SRR22223264"
