"PC1","PC2","group","name","sample","gsm","cell_line","condition","SRA_Study"
-81.1366290099559,-14.3158132675837,"infected:SRP464218","SRR26260919","SRR26260919","GSM7817929","A549-ACE2","infected","SRP464218"
-80.4486631835577,-18.5098591484734,"infected:SRP464218","SRR26260920","SRR26260920","GSM7817928","A549-ACE2","infected","SRP464218"
-81.0375933439244,-12.3978012229606,"infected:SRP464218","SRR26260921","SRR26260921","GSM7817927","A549-ACE2","infected","SRP464218"
-59.5534915102792,-59.4535950050612,"infected:SRP464218","SRR26260922","SRR26260922","GSM7817926","A549-ACE2","infected","SRP464218"
-57.0514604786538,-56.244442291038,"infected:SRP464218","SRR26260923","SRR26260923","GSM7817925","A549-ACE2","infected","SRP464218"
-59.5024210061992,-58.0899272126572,"infected:SRP464218","SRR26260924","SRR26260924","GSM7817924","A549-ACE2","infected","SRP464218"
-57.2755605746732,-60.4460417720246,"infected:SRP464218","SRR26260925","SRR26260925","GSM7817923","A549-ACE2","infected","SRP464218"
-56.6875314363537,-61.1280957654037,"infected:SRP464218","SRR26260926","SRR26260926","GSM7817922","A549-ACE2","infected","SRP464218"
-58.31100835541,-61.3474969481785,"infected:SRP464218","SRR26260927","SRR26260927","GSM7817921","A549-ACE2","infected","SRP464218"
-34.8350769257313,49.0475260871883,"infected:SRP464220","SRR26260934","SRR26260934","GSM7817946","A549-ACE2","infected","SRP464220"
-34.0396986897851,52.3080031432703,"infected:SRP464220","SRR26260935","SRR26260935","GSM7817945","A549-ACE2","infected","SRP464220"
-26.1186336699376,49.4236322475522,"infected:SRP464220","SRR26260936","SRR26260936","GSM7817944","A549-ACE2","infected","SRP464220"
-25.3005289819594,49.9862233602964,"infected:SRP464220","SRR26260937","SRR26260937","GSM7817943","A549-ACE2","infected","SRP464220"
-27.7777969590646,49.1488580751055,"infected:SRP464220","SRR26260938","SRR26260938","GSM7817942","A549-ACE2","infected","SRP464220"
33.766047743272,-2.79443583532912,"infected:SRP464220","SRR26260939","SRR26260939","GSM7817941","A549-ACE2","infected","SRP464220"
32.7048844006948,-2.66623467057622,"infected:SRP464220","SRR26260940","SRR26260940","GSM7817940","A549-ACE2","infected","SRP464220"
36.9318429751394,-1.70970786263984,"infected:SRP464220","SRR26260941","SRR26260941","GSM7817939","A549-ACE2","infected","SRP464220"
37.7471165464269,-7.27976373357721,"infected:SRP464220","SRR26260942","SRR26260942","GSM7817938","A549-ACE2","infected","SRP464220"
35.6816631401894,-5.09061825258471,"infected:SRP464220","SRR26260943","SRR26260943","GSM7817937","A549-ACE2","infected","SRP464220"
35.8248091815267,-6.38147582238374,"infected:SRP464220","SRR26260944","SRR26260944","GSM7817936","A549-ACE2","infected","SRP464220"
36.5466532226536,-9.05814350333153,"mock:SRP464220","SRR26260945","SRR26260945","GSM7817935","A549-ACE2","mock","SRP464220"
35.996786271023,-11.2320137863046,"mock:SRP464220","SRR26260946","SRR26260946","GSM7817934","A549-ACE2","mock","SRP464220"
38.2863294745599,-9.45220604943973,"mock:SRP464220","SRR26260947","SRR26260947","GSM7817933","A549-ACE2","mock","SRP464220"
34.1851772978752,-9.69992537065942,"mock:SRP464220","SRR26260948","SRR26260948","GSM7817932","A549-ACE2","mock","SRP464220"
35.5440638266842,-8.3024403644462,"mock:SRP464220","SRR26260949","SRR26260949","GSM7817931","A549-ACE2","mock","SRP464220"
-35.1298196123057,50.936195513775,"infected:SRP464220","SRR26260950","SRR26260950","GSM7817947","A549-ACE2","infected","SRP464220"
37.1388494094761,-7.66980912311203,"mock:SRP464220","SRR26260951","SRR26260951","GSM7817930","A549-ACE2","mock","SRP464220"
-32.9228684721373,48.5949461614066,"infected:SRP464222","SRR26260989","SRR26260989","GSM7817964","A549-ACE2","infected","SRP464222"
