"PC1","PC2","group","name","sample","gsm","cell_line","condition","timepoint"
-1.16549127821342,0.0502614775673612,"Mock","SRR27961772","SRR27961772","GSM8076559","Calu-3/2B4","Mock","48hpi"
0.411548926518924,1.31019521170273,"Mock","SRR27961773","SRR27961773","GSM8076558","Calu-3/2B4","Mock","48hpi"
-1.08387745686557,-1.81932695231556,"Mock","SRR27961774","SRR27961774","GSM8076557","Calu-3/2B4","Mock","48hpi"
-6.64954305891817,-3.00286276896319,"Mock","SRR27961775","SRR27961775","GSM8076556","Calu-3/2B4","Mock","24hpi"
-6.06436517459016,-4.31366577595031,"Mock","SRR27961776","SRR27961776","GSM8076555","Calu-3/2B4","Mock","24hpi"
-5.19819174757808,-2.81167890975031,"Mock","SRR27961777","SRR27961777","GSM8076554","Calu-3/2B4","Mock","24hpi"
-8.47889485068385,0.773997232217941,"Mock","SRR27961778","SRR27961778","GSM8076553","Calu-3/2B4","Mock","12hpi"
-7.78542685318118,1.16411967911251,"Mock","SRR27961779","SRR27961779","GSM8076552","Calu-3/2B4","Mock","12hpi"
-7.64268859513428,9.87664724059262,"Mock","SRR27961780","SRR27961780","GSM8076551","Calu-3/2B4","Mock","12hpi"
19.1690474034329,-0.62490121580053,"SARS2","SRR27961781","SRR27961781","GSM8076550","Calu-3/2B4","SARS2","48hpi"
20.3218887545513,7.40652406550913,"SARS2","SRR27961782","SRR27961782","GSM8076549","Calu-3/2B4","SARS2","48hpi"
20.2034238789402,-1.95403579856124,"SARS2","SRR27961783","SRR27961783","GSM8076548","Calu-3/2B4","SARS2","48hpi"
2.33377211652093,1.59278798352992,"SARS2","SRR27961784","SRR27961784","GSM8076547","Calu-3/2B4","SARS2","24hpi"
0.690221141826389,-1.73381922221997,"SARS2","SRR27961785","SRR27961785","GSM8076546","Calu-3/2B4","SARS2","24hpi"
0.84900718834354,-4.04786780234062,"SARS2","SRR27961786","SRR27961786","GSM8076545","Calu-3/2B4","SARS2","24hpi"
-8.57554769044707,2.13129849862996,"SARS2","SRR27961787","SRR27961787","GSM8076544","Calu-3/2B4","SARS2","12hpi"
-8.8746305379496,1.37685073461677,"SARS2","SRR27961788","SRR27961788","GSM8076543","Calu-3/2B4","SARS2","12hpi"
-8.5458321793032,0.519193953067473,"SARS2","SRR27961789","SRR27961789","GSM8076542","Calu-3/2B4","SARS2","12hpi"
13.3469610638344,-1.15931298681444,"SARS1","SRR27961790","SRR27961790","GSM8076541","Calu-3/2B4","SARS1","48hpi"
11.6731889110222,0.0467131254801725,"SARS1","SRR27961791","SRR27961791","GSM8076540","Calu-3/2B4","SARS1","48hpi"
13.6307415073758,0.331744363818399,"SARS1","SRR27961792","SRR27961792","GSM8076539","Calu-3/2B4","SARS1","48hpi"
-3.63638697300221,-3.4724215463889,"SARS1","SRR27961793","SRR27961793","GSM8076538","Calu-3/2B4","SARS1","24hpi"
-1.14347516507213,-4.41360854346231,"SARS1","SRR27961794","SRR27961794","GSM8076537","Calu-3/2B4","SARS1","24hpi"
-3.56494809631937,-4.42144491665341,"SARS1","SRR27961795","SRR27961795","GSM8076536","Calu-3/2B4","SARS1","24hpi"
-7.82497714742004,3.90702819128285,"SARS1","SRR27961796","SRR27961796","GSM8076535","Calu-3/2B4","SARS1","12hpi"
-8.80255143535646,2.30578558627645,"SARS1","SRR27961797","SRR27961797","GSM8076534","Calu-3/2B4","SARS1","12hpi"
-7.59297265233182,0.98179909581648,"SARS1","SRR27961798","SRR27961798","GSM8076533","Calu-3/2B4","SARS1","12hpi"
