SRR18889440,SRR18889441,SRR18889442,SRR18889443,SRR18889444,SRR18889445
72.824,51.72,83.109,80.003,80.221,96.769
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,1.99,0,0
0,0,0,0,0,0
1141.176,956.306,1222.55,1069.981,1111.57,996.777
1181.16,947.692,942.273,1118.558,1072.446,1037.47
133.883,123.597,105.508,133.809,110.825,85.699
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
531.86,501.72,587.325,542.655,477.126,483.586
580.491,548.784,441.829,509.615,495.275,529.048
1096.036,946.236,1064.542,950,1073.144,1020.841
4176.733,4005.971,4064.044,3856.926,3896.974,3954.47
151.38,148.594,175.267,157.639,131.002,162.309
3045.604,2497.377,3161.417,3013.818,2887.142,2995.695
2,2,0,0,0,0
45.889,41.568,28.521,0,0,43.172
0,0,0,0,0,0
0,0,696.748,0,459.864,668.22
0,18.412,126.837,108.27,0,235.099
762.697,512.097,655.184,419.358,531.223,648.914
98.877,55.975,120.002,113.163,62.078,59.814
3825.779,3712.664,4021.697,3913.244,3196.521,3237.005
682.762,1095.624,908.212,391.682,915.409,762.251
2675.174,2228.12,2856.617,2221.118,2243.726,2975.348
8,1,7,3.302,3,8
0,0,0,0,0,0
165,159,192,173,153.072,158
19,23,25,32,22,34
0,2.373,3.044,1.603,0,4.067
238.227,173.319,216.603,265.853,175.57,157.474
0,1,28.568,38,36,44
58,64.001,68,42,48,80
28,9,17,11,11,18
700.093,570.551,666.106,604.542,637.678,649.858
89.062,408.77,313.534,414,326.228,436.092
8,9,4,5,0,3
1216.073,1046.857,1058.197,975.583,1054.943,946.314
0,0,0,0,0,0
134,100.001,161,85,116.999,111.759
51.478,57.202,18.694,24.607,32.07,106.184
0,3,1,2,2,3
0,0,0,0,0,3
341.114,0,113.489,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,4,4,5,2,3
210.847,188.699,262.844,123.909,111.61,136.684
525.868,549.006,636.896,557.708,439.105,438.291
768.776,501.551,880.608,636.573,841.929,684.47
413.315,345.118,304.727,390.902,394.149,340.301
1955.855,1973.989,2203.143,2216.267,1964.553,2021.008
105.508,230.852,104.007,141.013,125.652,110.265
1,14,2,2,0,9
0,0,0,0,0,0
9.454,8.713,0,3.471,4.054,6.479
5.86,4.407,2.846,3.789,11.618,2.859
596.289,149.832,475.897,219.545,343.188,230.294
11,7,8.04,10.777,4,3.09
0,0,0,0,0,0
13.264,4,6,10,0,4
330.801,285.917,332.406,348.87,300.363,281.452
0,0,0,0,0,0
4153.412,4115.128,5094.212,4577.986,3638.521,3730.458
118.591,156.966,216.217,95.955,136.419,135.652
1646.273,1397.864,1283.361,1438.526,1413.598,1710.554
1296.026,1170.375,1317.97,1292.339,1118.992,1267.151
503.435,612.344,716.586,442.324,457.671,693.305
256.498,163.78,306.893,192.009,213.327,259
0,0,0,0,0,0
26.587,0,13.137,14.58,22.275,0
0,1,2,1.436,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1161.529,989.696,1098.403,1044.214,932.843,806.112
508.379,424.329,527.233,469.381,401.354,509.401
1885.34,1481.344,1759.746,1694.897,1586.863,1532.73
0,0,0,0,0,0
1187.414,1146.899,1169.213,1137.177,1010.634,916.307
113,93.382,128.454,95.29,86.42,86.1
0,22.708,12.65,18.438,5.543,13.182
342.055,285.702,170.45,524.793,273.299,184.133
29,29,36,32,30,36
551.513,320.18,293.792,476.173,572.434,503.344
0,1,0,0,0,1
79.151,42.005,27.143,50.342,60.853,49.153
21.891,13.181,16.828,24.915,47.519,2.462
199.659,191,179,174,201,180
121.958,90.963,114.93,116.495,154.642,71.567
4589.101,4176.82,4580.445,4193.432,4029.995,3998.661
197.275,162,218,189.094,145,163.421
835.307,761.466,823.604,734.772,706.054,801.661
13.562,93.712,29.982,69.05,17.582,18.911
0,94.345,0,104.473,73,37.988
19.254,31.963,21.52,37.911,25.05,12.828
926.286,501.847,810.764,943.227,767.187,619.368
4007.891,3443.926,4671.061,4031.328,4176.928,4112.41
0,0,0,0,0,0
359.446,296.484,266.868,371.564,456.204,549.469
1292.577,1036,1253.17,1208.036,1120.472,1131.351
4737.538,4415,3822.947,4512.982,3335.927,3387.426
197.105,203,203.999,185.729,153.936,152.817
0,3,4,1,2,1
2661.98,2548.048,2635.083,2596.999,2425.003,2569.042
0,0,0,0,0,0
5071.661,4123.377,5351.503,4956.8,4573.702,4649.429
0,0,0,0,0,0
1030.848,953.005,931.858,1079.688,704.111,696.856
1.492,0,0,0,0,0
216.999,93.912,145.997,196.489,186.12,191.628
17.747,5.803,18.685,12.747,12.046,1.603
0,0,1.356,2.609,0,0
33.21,53.959,29.802,0,0,55.425
14.368,24.272,20.618,22.508,11.545,9.445
0,0,0,1.197,0,0
0,5.273,0,0,0,0
99.592,128.967,126.788,76.899,114.094,114.471
1.321,8.37,0,1.5,1.667,0
42,60,53,43,30,38
0,5.835,3.414,2.476,9.171,9.694
4413.085,3739.008,4701.524,4395.528,4273.284,4421.687
551.994,643.86,710.456,720.599,702.283,668.564
8.153,16.954,0,14.327,8.594,5.331
0,5.615,2.266,0,2.473,0
24.989,19.588,35.462,19.992,26.504,21.86
2,1,3,2,11,2
315.704,247.506,278.284,261.181,180.394,299.785
0,0,0,0,0,0
2,0,0,0,0,1
0,0,0,0,0,0
98.177,122.362,146.695,129.522,120.231,152.145
12.054,7.686,17.394,1.493,14.679,23.513
113.621,91.603,88.023,89.966,83.305,91.414
66.448,55.639,61.267,113.557,85.42,62.298
0,0,0,0,0,0
5.181,12,7.987,5.828,5,0
188.082,158.841,195.75,213.029,158.711,168.004
0,1.344,0,0,4.345,1.685
0,0,0,0,0,0
245.017,123.098,201.167,126.489,138.175,108.3
0,0,0,8.475,13.385,8.293
0,0,0,0,0,0
5.062,4.646,0,0,0,0
17.866,14.533,14.279,2.64,3.962,10.641
0,0,0,0,0,1.795
0,0,0,0,0,0
10,5.178,8.172,9.629,6.45,3.263
19,16,12,13,15,15
0,0,0,0,0,0
12,5.217,7,7.003,6.884,8.383
507.111,374.386,616.354,490.55,508.765,572.959
9317.757,10191.636,9671.439,11447.442,11133.83,8231.406
351.465,323.031,378.36,334.951,358.111,254.649
10277.614,10072.317,11161.945,10226.079,9644.449,10379.168
0,6.649,0,0,0,5.314
8.814,14.324,27.234,18.237,6.871,5.831
9.637,7.777,43.466,32.392,51.26,78.569
0,0,0,0,0,0
303.456,282.804,397.299,269.686,328.683,327.524
2.926,0,1.507,4.476,4.118,0
0,0,0,0,0,0
48,50,49,43,38,38
86.937,86.358,112.337,64.14,75.677,83.599
1,0,0,0,0,0
0,0,65.069,0,0,0
0,2.184,1.258,2.074,2.863,5.009
7,1,11,2,2.188,10
4.575,91.124,51.104,12.067,125.57,68.182
0,0,8.83,4.703,3.705,11.44
20.125,28.428,32.167,28.408,32.5,27.041
17.358,0,0,0,0,5.241
0,1.777,0,0,0,0
887.882,674.255,747.213,649.587,768.738,923.392
0,0,0,0,0,0
0,0,0,0,0,0
1,2,2,1,0,0
314.746,240.98,311.851,211.875,282.721,279.862
312,303,368,300,312,288
282.999,204,279,212,224,191.999
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1999.66,1590.519,2228.72,2041.848,1920.315,1759.323
6.6,8.858,10.6,7.59,9.686,2.952
11,16,16,28,12,11
0,0,0,0,0,0
3.376,0,3.062,0,0,9.723
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
6.522,0,4.474,0,3.716,5.043
0,0,0,0,0,0
0,0,0,0,0,0
83.338,131.994,168.95,141.891,102.295,119.047
0,0,0,0,0,0
0,0,0,0,0,0
21.296,18.263,10.524,23.424,31.233,22.128
2.704,4.737,3.476,6.576,6.767,2.872
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
747.881,694.636,730.718,644.911,750.486,683.163
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.74,17.331,0,0,3.307,5.489
541.044,486.841,490.416,499.538,537.825,467.403
740.427,364.66,635.378,657.264,538.12,630.275
9895.211,9013.168,10532.224,10301.415,8427.466,8102.726
429.001,375,482.691,460.062,433.003,438.999
228.656,181.055,182.394,187.773,157.001,254.845
1155.08,1248.111,1213.708,1327.04,1319.949,1074.935
