"SRR21170613","SRR21170614","SRR21170615","SRR21170616","SRR21170617","SRR21170618"
82,68.199,71.206,92.031,87,80.001
0,0,0,0,3,0
0,0,0,0,0,0
0,0,0,2,0,3
0,0,0,2,2,0
1.719,6.15,4.693,14.665,5.467,9.356
0,0,0,1,0,0
1312.9,1378.847,1459.618,1492.422,1257.739,1299.08
329.176,402.741,443.545,545.239,419.68,434.855
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
247.934,356.485,255.049,274.163,283.003,261.056
253.454,215.629,221.056,185.346,256.685,225.62
910.703,1342.466,932.884,1095.056,1061.385,878.097
839.717,974.596,886.227,865.486,827.961,779.76
160.591,182.338,137.777,184.371,174.752,139.85
3103.903,2972.111,3265.468,3507.915,3162.961,3227.046
2,0,3,5,0,1
827.033,736.324,760.166,750.2,868.721,794.811
32,40,32.966,38,34,30
3579.152,4665.612,4619.341,5401.108,4347.942,4295.296
1352.069,1452.904,1548.97,1466.227,1330.173,1360.653
349.519,395.515,323.871,422.954,325.128,330.267
506.964,610.438,547.829,562.105,528.351,480.897
2335.928,2518.827,2139.104,2446.662,2338.998,2187.494
737.637,987.242,795.542,806.47,708.84,735.254
1801.781,2000.084,1988.263,2129.478,1841.525,1764.215
167.998,164.524,166.625,164.39,127.72,163.57
0,0,0,0,0,0
114.002,152,137,164.026,123.561,132.041
1,0,1,0,1,0
238.869,254.329,190.923,176.422,219.273,239.784
58,80,67,61,64,57
0,1,0,1,2,3
0,4,7,3,5,0
0,0,0,1,0,0
953.072,872.461,818.547,892.796,896.477,911.805
301.741,335.198,234.793,369.419,320.03,388.169
2,1,0,0,1,0
157.372,171.333,240.001,152.39,136.43,178.475
0,0,0,0,0,0
246.999,190.997,225.017,211.001,192.783,212.001
0,8.908,10.168,7.756,0,0
0,1,0,0,0,0
77.085,139.819,87.015,172,73.955,132
1595.542,1692.322,1426.79,1523.369,1475.056,1577.211
0,0,0,1,0,0
8.945,20.707,2.806,0,23,17.856
0,1,0,0,0,1
374.551,371.706,348.391,424.217,313.367,342.694
483.744,459.465,606.01,630.968,491.668,442.672
592.985,558.886,460.152,557.915,464.235,523.475
265.071,239.069,217.026,273.02,283.96,303.092
1768.277,1932.859,1710.038,1765.367,1789.009,1734.273
318.42,218.542,250.911,308.541,157.821,258.598
7,17.006,10,11,10,15
0,0,2,0,0,0
0,0,0,0,0,0
0,39.375,16.275,0,0,6.488
1026.838,1129.545,1045.454,1298.884,1138.106,973.392
