"SRR22223232","SRR22223233","SRR22223234","SRR22223235","SRR22223236","SRR22223237","SRR22223238","SRR22223239","SRR22223240","SRR22223241","SRR22223242","SRR22223243","SRR22223244","SRR22223245","SRR22223246","SRR22223247","SRR22223248","SRR22223249","SRR22223250","SRR22223251","SRR22223252","SRR22223253","SRR22223254","SRR22223255","SRR22223256","SRR22223257","SRR22223258","SRR22223259","SRR22223260","SRR22223261","SRR22223262","SRR22223263","SRR22223264"
2,4,11,7,2,4,5,3,2,8,14,15,4,2,5,9,7,7,6,6,6,13,5,15,5,4,3,18,18,24,18,18,9
786.392,815.525,596.75,199.98,225.932,539.174,314.844,325.175,202.033,1368.577,1329.36,1015.373,560.617,505.819,362.268,188.659,177.912,578.356,225.189,630.937,194.521,171.108,162.667,213.707,165.428,99.216,110.495,62.339,200.1,490.405,120.453,115.324,96.154
0,0,0,2.219,0,0,0,26.713,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2.589,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,5,0,1,1,4,2,0,2,0,0,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.542,13,17.697,0,13.668,7.027,0,6.863,0,0,0,0,10.665,35.537,41.414,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,185.047,187.445,307.001,341.054,746,618.267,623,761.634,470.733,517,430.89,504,457.373,592.002,465.479,527.49,739.356,495.732,921.908,523.346,766.683,593.321,530.534,626.081,576.706,472.771,630,677.001,1231.347,647.256,800.233,577.785
655.033,594.708,698.973,286.59,428.613,879.177,877.755,894.284,773.795,1181.679,1240.161,1096.099,755.072,612.758,597.72,165.092,0,1004.994,334.059,986.628,345.486,580.656,756.529,300.848,931.028,0,649.21,269.232,474.331,2143.753,1024.392,791.855,435.737
17,2.559,12.29,14,0,26.995,13.645,34,18.426,6,0,3,0,0,0,0,0,26,0,7.666,10.209,26,16.272,0,19,6,13.245,10,18.759,38.318,27.519,36.642,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.246,28,27,48.611,34.46,103.706,133.125,148.231,132.456,65.103,68.191,44.356,35.078,50.401,56.036,47,0,105.901,59.861,133.7,63,155.847,128.342,58.883,107.241,49.318,100.516,62.062,108.02,264.498,132,165.959,94.812
