"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
23,16,31,19,19,36,16.676,30,32
0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,115.559,65.928,0,0,129.977,0,152.682,0
0,0,0,0,0,0,0,0,0
295.446,234.582,203.821,1203.297,931.93,1623.659,1595.938,1745.54,1755.616
0,0,0,0,0,34.08,0,0,0
543.335,70.738,97.796,306.702,234,72.187,0,129.531,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11.324,0,0
81.999,77,95,289,163,266,202,221,260
0,0,19.284,13.545,0,9.744,21.246,40.246,34.297
385,393.463,361,307,225,343.115,310.455,287,310
3,13,0,36.693,42.222,76.346,104.358,164.032,112.282
0,0,0,0,0,0,35.92,0,0
1,0,0,0,0,0,0,1.527,0
762,878,664.206,661.15,467,804.393,941.246,838,903.014
1,0,0,0,0,0,0,0,0
0,0,0,0,6.214,21.722,2.646,3.952,10.085
0,45.596,0,22.06,0,0,8.975,51.614,21.141
128.424,141.852,175.702,73.103,124.451,80.106,165.698,109.143,169.669
26.044,22.677,44,112,0,5.554,34.486,10.79,5.689
239.149,211,157,471,135.745,266.005,341.387,272.371,277
0,0,0,0,0,0,0,0,0
231.685,289.238,247.798,340.685,441.02,627.596,424.786,472.616,452.155
44,33,23,13,5,8,5,8,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,9,4,0,1,2,0,1,1
11.505,50,40.829,56.796,30.904,76.873,48.035,65.665,73.802
113,159,149,47,6,17,20,12,17
34,29,12.377,3,4,0,5,3,3
4,5,5,9,2,6,20,17,19
12,1,0,0,0,0,1,0,0
84,133,104,260,242,386.253,325.387,333.284,294.305
22.666,36.657,2.184,27.112,14.509,25.906,24.642,12.891,20.504
1,0,0,1,0,0,5,4,0
78.001,51,62,40,16,15,19,15,17
1,0,21,0,0,0,0,0,0
67,179.001,98,162,170,231,281,269,292
0,0,0,0,0,0,0,0,0
111,90,88,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
66.836,74.914,54.531,207.466,177.898,313.475,386.572,310.889,408.38
40.054,18.124,0,103.352,3.888,63.263,67.347,41.192,35.332
135.21,169.519,190.271,643.303,552.225,811.761,700.976,598.83,716.768
14,6.658,22,3.281,33.137,33.919,26.915,40.04,55.733
1811.747,2641.97,2163.37,2878.653,2464.742,3436.726,3159.306,3280.03,3097.153
79.016,95.687,106,171.469,111.262,274.603,145.339,196.672,179.572
1,7,0,1,1,1,0,0,1
0,0,0,0,0,0,0,2.786,3
166.382,200.538,205.173,386.231,341.512,591.005,435.134,568.534,419.979
1.076,4.655,8,0,14.535,14.554,52.692,26.875,27.083
11,38,23,205.169,108.7,175.312,151.936,184.984,253.726
0,0,1,13.635,12.359,8.265,14,9.682,15.939
24.941,38.918,17.728,25.607,26.909,26.26,34.712,47.482,33.3
3.045,3,3,4.044,0,5,0,1,4.106
11.678,107,103,94,131,171,198,181,159
0,0,0,0,0,0,0,0,0
14.852,16,11,87.519,48.909,64,87.316,46.557,34.356
33.145,33.823,23.634,55.505,34.616,109.846,192.077,118.869,23.944
0,106.971,0,206.946,142,2.087,103.264,2.306,99.83
1128.889,1330.552,1035.647,685.206,491.458,675.525,785.666,776.465,786.86
0,0,0,0,0,0,2.002,7.94,0
0,0,0,0,0,0,0,0,0
14.938,43,37,16.214,1.206,37.268,107,33.988,109
8.728,0,0,75.714,0,18.88,28.221,24.073,51.428
0,0,0,0,0,0,0,0,6.359
1.356,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3.806,8,10,27.243,37,51,33,43.772,49.105
35,33.283,32,281,193,301,329,264,295
20,2.115,18.862,239.04,116.874,318.457,316.891,295.644,252.374
19.178,0,8.79,28.222,36.041,59.448,59.487,46.606,46.94
0,0,0,0,0,0,0,0,0
14.08,15.942,0,15.863,8.867,16.084,5.952,10.626,9.029
5,1.525,5,113.709,93.95,159.867,187.772,171.012,146.844
3.403,9.752,14.976,11.341,1.643,8.183,11.384,16.853,9.154
0,0,0,8.09,0,15.59,2.738,2.743,0
72,72,59.842,485,303,531,478,446,508
36.574,54.675,13.125,119.094,53.226,150.19,116.155,190.144,158.261
1,0,0,1,5,3,0,2,2
0,33.386,42.041,0,111.652,68.27,47.782,58.006,66.849
5.761,14.625,0,4.308,0,1.042,1.365,4.31,0
122,129,108,479,244,334,246,220,241
17,18,29,0,0,42.001,27.923,34.814,41
105.925,99.249,62.971,321.162,122.644,227.545,280.678,266.194,250.445
4,13.428,0,177.348,66,129,132.123,26.626,49.367
39.02,72.272,31.541,208.634,143.779,202.594,278.664,255.554,198.878
7.685,0,3.777,0,6.928,24.79,0,20.335,14.74
0,0,0,5.774,0,0,0,0,0
0,0,0,0,0,0,11.494,57.999,0
0,0,0,0,0,0,0,0,0
80.731,220.717,92.607,666.332,146.901,331.297,337.293,271.701,300.563
0,0,5,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
65.054,40.349,75.57,36.845,22.11,63.57,73.33,25.826,33.116
3111,3523,2951,628,340,445,372,377,419
796,684,517.587,1118,664,941,1028,1116,1117.996
6,8,0,8,12,19,5,10,9
62,90,57,110,156,222,77,92,120
0,0,0,0,0,0,0,0,0
610.012,1113,876,1405.048,971,1644,1269,1258,1328
0,0,0,0,0,0,0,0,0
18.664,64.297,25,248.596,222.702,347.996,272.727,308.511,322.402
55.51,39.205,36.77,91.756,14.482,65.21,83.11,68.383,60.54
25.119,0,0,1,0,180.933,1.081,0,0
80.513,80.435,16.82,0,0,17.63,0,0,0
0,0,0,0,0,0,0,0,0
17.074,119.806,0,0,121.93,114.074,211.718,174.299,273.668
3.005,0,1.263,1.169,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
14,13,20,138,114,119,143,129,146
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,8.004,0,0
0,9.522,0,0,16.699,3.322,7.315,20.943,17.317
0,12.338,3.064,0,6.791,0,4.959,0,7.823
10.445,0,0,1.658,0,4.098,0,6.437,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1.233,0,2.371,0,0,1.084,0,0,0
0,0,0,2.403,2.776,0,6.473,1.135,0
7,2.038,13.241,4.006,2.003,0,5.024,2.008,3.006
157,67.366,0,580.298,625.844,583.796,595.631,966.964,1080.5
1.5,0,0,0,0,0,0,0,0
6,19,8,76,53.171,36.933,198.831,211,127.542
6.46,20.106,10.655,122.628,125.941,135.362,288.279,260.879,255.857
0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,2.843,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
397.881,274.597,280,815,207,369,421.986,404,425.878
0,0,0,4,3,7,5,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
46.016,56.972,57.935,558.283,542.445,927.145,850.235,848.427,880.263
523.853,1636.563,1023.823,4252.924,2711.475,7577.393,6816.28,5290.415,10167.016
0,0,0,0,1,6.047,3.4,7.275,8.159
81.667,151.534,109.244,540.711,146.325,257.327,467.432,212.557,179.732
0,0,0,0,0,0,0,0,0
10,5.827,6.776,7.836,7.974,12.536,8.05,6.422,7.646
0,1,4,3.025,1.004,0,1.007,0,1.009
1.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2.359,7.017,3.47,10,2.726,12.62,0,0
0,0,0,0,0,0,0,0,0
54,45,31,53,31,39,37,45,29
0,0,1.575,1.74,0,0,4.408,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.071
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
37.492,64.773,87.841,0,31.375,17.889,37.994,39.615,32.715
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.018
0,0,0,0,0,0,0,0,0
5,0,0,3,1,5,2,2,2
0,0,0,0,0,0,0,0,0
9,3,2,42,13,19,5,28,10
44,60,46,409,290,435,462,437,494
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
12.823,0,7.795,0,0,0,0,0,0
0,1.5,0,0,0,0,0,0,0
28,17,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5.232,0,0,0,1.094,0,0,4.119,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
44.299,0,108.442,75.25,0,74.754,49.695,30.318,82.168
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
55.342,78.867,63.277,28.921,42.233,38.076,43.552,47.049,51.998
5.658,25.133,1.723,6.079,1.767,3.924,7.448,4.951,2.002
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
289.631,289.827,239.771,39.766,35.927,74.314,66.334,64.959,75.649
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
12.931,46.567,58.405,41.992,50.616,13.184,27.663,29.568,46.343
0,0,26.112,56.787,0,6.489,3.12,142.609,2.74
2.762,11.797,26.975,108.053,49.205,57.928,69.656,85.965,89.179
647,838.999,502,1208.001,917.001,1296.001,1760.999,1680.001,1816
70,171,157,94.999,72,113,62.001,77,83
7.175,3.339,2.467,16.079,6.508,10.482,12.87,4.663,8.673
0,0,0,0,0,0,0,0,0
0,43.247,25.99,42.954,37.992,94.161,55.58,62.441,39.909
1.205,9.268,0,3.908,8.947,3.979,8.328,5.886,1.691
0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.264,0,0,0
0,30.722,0,18.676,0,73.441,0,0,0
0,0,32.588,154,69,127,130,116,118
1048.937,1501.115,1312.866,3183.932,3393.483,4646.286,3950.307,4178.17,3953.29
49,54,33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1.051,0,14.527,10.259,31.565,1.671
12.369,36.09,0,65.091,52.48,79.644,149.861,96.762,98.031
0,0,0,0,0,0,0,0,0
2.224,5.472,52.485,85.011,29.421,41.252,16.311,21.228,112.302
0,0,0,0,0,0,35.22,0,0
155.309,247.829,203.658,849.162,628.267,792.713,808.09,686.804,701.873
28,19,7,41,36,17,48,34,51
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4.733,4.481,0,156.877,8.224,123.66,239.901,149.899,195.678
0,5,0,2,1,0,0,6.122,1
3472.172,1610.736,1433.4,31.199,0,10.007,0,4.589,0
0,5,4,0,0,0,0,0,0
43,15,10,4,3,3,5,5,5
401,286,293,703,306,516.256,508.05,470.746,464.865
1062.208,1694.233,1420.083,21,11,29,11,13,7
