"SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
173.691,234.852,193.04,139.271,75.695,178.535,269.61,78.558
0,0,0,0,0,0,0,0
0,1.699,0,0,0,34,70,1.167
0,0,0,0,0,0,0,0
2,0,0,2,2,0,5,0
0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0
623.928,933.439,659.507,1139.607,734.199,1039.625,1687.874,872.977
275.591,420.489,284.527,545.671,414.522,461.534,1426.116,296.6
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
264.57,358.667,303.382,872.266,409.615,419.212,836.451,371.054
325.867,552.752,413.154,815.585,501.628,570.41,952.385,603.245
1282.9,2032.921,1182.45,4037.819,2046.096,1677.949,4650.706,2194.493
66.008,118.108,101.532,177.575,142.379,120.911,258.116,110.435
2694.545,4122.818,2657.169,4295.212,2546.71,3479.047,7938.243,3747.541
0,0,0,0,0,0,0,0
717.425,1129.029,746.16,1898.428,986.121,1125.953,1904.503,1014.44
0,0,0,1,0,0,0,0
301.174,392.463,386.699,556.833,194.425,440.105,293.188,165.041
362.056,450.76,371.176,400.026,409.773,437.79,683.495,361.916
234.622,366.874,263.902,510.909,299.582,341.61,584.91,369.615
303.116,593.073,337.688,570.233,467.784,462.388,1147.498,441.142
1027.619,1418.555,973.892,2338.016,1356.616,1492.348,2735.845,1222.463
0,0,10.142,0,0,9.578,0,11.894
1582.851,2637.618,1779.154,4367.876,2381.732,2198.901,5844.362,2460.027
844.491,1883.169,721.166,2151.926,771.081,2097.119,2352.225,1122.952
0,0,0,0,0,0,0,0
550,1247.433,826.564,2063.781,1081.386,1449.862,2612,1164.854
14,9,5,52,24,9,107,34
12.786,7.201,7.72,17.898,5.739,8.702,26.32,10.857
23.37,219.487,112.199,572.705,182.513,120.574,391.998,140.477
0,5.728,9,7.195,5.576,6.236,17.56,4.031
0,0,0,0,0,0,1,0
20,29,31,47,35,16,48,12
613,1215.064,690.729,2373.204,1092.277,941.015,2971.42,1038.064
59,42.079,24.98,240.947,105,58.746,207.001,108.827
0,0,0,0,0,0,0,0
116.487,182.001,56.97,183.798,239.019,128.261,417.999,94.843
0,0,0,0,0,0,0,0
4074,7525.44,3527.455,9394,6133,4541.455,17326.189,7091.734
0,0,0,0,0,0,0,0
19,59,33,13,7,30,18,36
0,0,0,0,0,0,0,0
496.58,1022.729,596.996,1278.783,862.143,1047.015,1980.403,903.195
0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
102.507,129.381,4.913,121.729,107.666,87.366,217.305,2.258
232.25,675.983,406.216,597.253,340.968,607.451,781.753,383.268
239.076,617.075,423.188,915.404,342.128,638.001,1360.097,671.103
5.51,10.398,6.224,6.417,6.95,6.09,23.076,9.84
1961.012,2635.99,2095.2,4023.156,1965.498,2650.064,6851.339,2196.194
554.603,589.208,582.716,931.477,779.904,704.514,1542.841,743.26
1,0,0,1,3,2,5,1
0,0,0,0,0,0,0,0
741.967,417.682,440.941,489.575,536.228,420.998,1162.568,1645.152
0,0,0,16.052,0,0,0,39.764
725.156,1543.35,648.765,904.538,498.517,914.322,1434.064,922.388
231.836,419.553,190.039,215.369,265.759,353.024,493.248,391.861
0,0,0,0,0,0,0,0
6,4,3,8,4,4,3,5
1193.24,2409.879,1370.176,4007.193,2707.196,1980.819,5203.87,2146.569
2,28,24,148,66,3,45,1
1147.34,1987.082,1007.816,2145.302,1097.688,1929.94,3171.601,1649.615
378.468,572.576,330.452,567.844,341.845,474.577,1087.167,580.194
