"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
27.619,8.697,1,9.064,3,32.54,18.617,7.546,10.757,217.545,262.518,260.362,106.444,157.219,133.605,175.95,92.231,216.596
52.452,75.916,272.478,92.969,228.304,136.446,70.731,22.405,130.442,116.658,184.51,348.512,666.063,571.391,372.448,395.461,458.573,239.432
0,1.85,239.687,121.503,101.229,454.261,203.203,154,154.099,5176.649,5077.486,17687.422,7215.685,33451.473,12595.283,6959.784,1805.628,13609.971
2,1,0,0,0,2,5,4,10,16,32,0,2,13,3,6,3,5
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,14.795,0,0,0,0,0,0,0,13.434,0,0,15.273,21.175,0,27.748,12.274,34.492
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1049.198,847.249,942.213,937.177,894.794,1000.751,1083.03,897.047,816.684,792.525,680.246,695.4,1072.952,825.68,747.056,699.539,627.959,631.568
1769.349,1660.263,1524.042,1344.246,1485.271,2039.866,1995.107,1875.684,1645.74,1174.568,1139.466,1128.101,1430.208,1261.694,1292.007,1233.526,1102.94,1374.898
3.589,35.755,184.22,47.047,25.365,58.003,28.266,5.697,49.215,0,13,81.408,173.482,13.541,27.002,65.628,0,15.819
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,2,0,1,0,0,7,5,0,1,0,2
449.043,432.479,410.843,357.265,343.246,358.04,440.2,324.41,320.322,202.961,237.96,254.593,253.21,214.568,96.912,218.677,142.701,184.918
171.999,178.151,213.352,212.384,226.3,279.37,274.26,270.158,156.472,386.735,499.475,479.69,686.693,454.024,503.826,401.673,560.955,410.176
999.31,832.802,665.7,607.126,778.636,919.382,1122.796,866.359,729.564,606.795,515.854,527.034,813.204,508.13,527.178,388.802,679.81,436.327
544.598,661.662,587.362,692.946,655.888,597.148,701.601,558.341,507.312,695.956,609.949,737.04,931.585,905.393,643.661,629.882,413.808,605.634
255.415,178.479,137.655,171.653,195.532,298.932,279.236,202.497,205.873,473.921,429.469,430.961,406.034,364.127,396.35,394.501,272.039,417.482
2957.135,2632.958,3163.725,2172.016,2625.735,3101.826,3314.93,2780.465,2568.192,1972.233,2193.179,2312.169,2415.489,2460.5,1749.83,1912.541,1768.592,1772.575
