"SRR18889440","SRR18889441","SRR18889442","SRR18889443","SRR18889444","SRR18889445"
6.154089,4.892046,5.591688,7.385576,7.05499,7.030637
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.108975,0,0,0,0
0,0,0,0.045595,0,0
0,0,0,0,0,0
28.380723,26.740258,28.576588,26.822728,29.85032,26.704423
15.419107,13.900944,11.627367,14.841437,15.262279,14.898727
4.311093,4.483526,3.451804,4.435049,4.476115,3.754602
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10.709268,11.471256,11.251734,11.218984,11.019496,11.285029
8.866673,9.341217,6.317482,7.84647,8.193463,8.607523
49.226536,51.694816,46.807768,45.806115,51.193397,49.989045
25.981862,26.061199,22.23882,21.57543,25.000864,24.710799
16.807893,18.84275,18.624932,18.523942,16.203669,21.160356
118.676795,113.580168,115.56901,113.476959,124.047285,128.167132
0.046534,0.052342,0,0,0,0
0.849727,0.748657,0.841758,0,0,0.805861
0,0,0,0,0,0
0,0,8.032931,0,6.137072,8.868244
0,0.179488,1.029244,0.946393,0,2.196179
39.648949,33.361404,34.56941,28.664165,34.33042,36.285688
1.407063,0.895815,1.604937,1.583779,0.947339,0.9202
67.170424,84.701213,71.316488,77.859578,66.237539,64.300617
9.404807,16.998599,11.715222,5.514291,13.727804,11.351655
61.306751,61.582318,62.04889,56.354522,56.051397,76.411764
0.090843,0.023496,0.11156,0.028841,0.047735,0.315046
0,0,0,0,0,0
1.465112,1.5509,1.564492,1.570009,1.443958,1.482082
0.210798,0.287501,0.260158,0.358729,0.265016,0.407291
0,0.017083,0.009896,0.005614,0,0.015222
1.009954,0.761015,0.791474,1.242846,0.74281,0.662451
0,0.141021,0.193996,0.249734,0.252337,0.306669
0.433789,0.804357,0.482636,0.220871,0.280576,0.474445
0.245391,0.090003,0.155666,0.278214,0.113952,0.188507
4.572086,4.560774,4.410098,4.994598,5.927047,5.265749
1.11907,4.191364,1.843019,3.727145,3.281516,2.940765
0.044616,0.056594,0.020934,0.028185,0,0.018075
22.449206,21.391056,19.714684,19.0917,21.474099,21.466531
0,0,0,0,0,0
0.805328,1.391244,1.764954,0.907646,0.914746,1.023406
0.506378,0.934404,0.366234,0.519456,0.604303,1.002523
0,0.02273,0.006306,0.013011,0.014602,0.020858
0,0,0,0,0,0.028508
3.698781,0,1.154274,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.03892,0.072686,0.046548,0.086415,0.029495,0.050328
3.018913,4.805187,4.031168,1.801899,2.015542,2.182546
14.192074,14.828855,16.906107,13.026776,14.719415,13.052652
17.399234,13.221286,16.315344,15.585474,18.64162,16.7707
27.311436,24.580738,18.250756,25.244649,21.686915,17.81256
12.314178,14.012197,13.016831,14.107619,13.438645,13.746566
0.732496,2.000161,0.651713,0.96335,1.732477,0.860373
0.00933,0.143404,0.096791,0.104514,0,0.327233
0,0,0,0,0,0
0.224172,0.232374,0,0.083095,0.104224,0.331115
0.088361,0.073086,0.040234,0.057724,0.19013,0.046522
8.138307,4.945929,5.767894,4.72181,6.041202,5.250598
0.655399,0.512118,0.585943,0.679335,0.336677,0.179502
0,0,0,0,0,0
0.061644,0.021172,0.02643,0.047139,0,0.020285
4.19894,3.793926,3.781795,4.447514,3.932974,4.01104
0,0,0,0,0,0
55.026656,59.873519,60.56691,59.041108,51.466381,52.285351
5.778197,6.623516,8.773173,3.861143,8.663931,5.845494
29.18928,25.261447,22.609733,25.400873,25.923875,31.392666
16.196562,17.498385,15.494634,16.741861,15.287566,17.091087
7.104068,9.396337,8.933433,7.25035,7.106999,11.463085
4.901878,3.386168,5.950113,3.438697,4.64069,4.955223
0,0,0,0,0,0
0.325449,0,0.175027,0.146296,0.24019,0
0,0.019844,0.033052,0.196958,0,0.038044
0,0,0,0,0,0
0,0,0,0,0,0
0,0.051073,0,0,0,0
21.94399,19.478652,19.356614,19.656588,16.968567,14.785394
19.099302,17.128726,18.155944,17.884387,16.043412,19.827966
71.951577,74.446713,63.45066,65.295159,65.767806,59.860104
0,0,0,0,0,0
9.235004,10.054374,8.531708,8.938219,8.537598,7.697193
5.556595,5.027494,6.144951,4.561409,4.315169,4.506536
0,0.615783,0.237303,1.516276,0.101297,0.354075
9.389021,8.487148,4.084593,14.123548,7.937934,5.650529
0.350529,0.394879,0.408111,0.3908,0.393671,0.469785
11.750022,8.196366,5.774813,10.381951,14.005572,11.886627
0,0.034729,0,0,0,0.033306
3.349695,2.139077,1.370534,2.34296,3.019324,2.074736
0.786075,0.531489,0.565589,0.902671,0.71654,0.095232
5.289451,3.962182,3.092473,3.238946,6.260903,3.57936
2.034186,2.378023,2.032785,2.434265,3.22228,2.247534
28.531186,32.126332,30.438797,28.653884,34.240385,31.893541
6.548235,5.973074,8.717144,7.123455,4.887522,5.164202
29.289815,29.92371,26.750464,25.10068,23.881682,22.817749
0.83691,4.82507,1.399648,3.422229,1.003742,1.194963
0,2.108084,0,2.10366,1.530697,0.817084
0.76895,1.018277,0.750241,0.828145,0.587645,0.474348
20.096772,14.175089,17.429854,20.267832,19.250995,16.018205
43.277618,40.704199,45.970215,42.486612,52.627052,55.110016
0,0,0,0,0,0
23.367103,26.596557,25.123771,33.484093,40.189511,39.164589
10.37308,8.029719,7.86837,8.24672,8.125933,9.662103
23.117487,23.671289,17.265187,21.537738,18.704867,17.901528
1.645063,2.357224,3.171643,1.966695,1.3413,1.31091
0,0.048479,0.046709,0.014496,0.041327,0.029047
27.162998,28.834506,25.054192,26.315044,26.949703,27.739424
0,0,0,0,0,0
103.388176,118.302155,107.624483,129.067008,124.067013,161.963654
0,0,0,0,0,0
71.133301,73.420646,60.112139,74.932493,52.329332,51.745742
0.021656,0,0,0,0,0
5.150675,2.37739,3.354793,4.694694,4.952415,4.784842
0.150007,0.055281,0.14817,0.108889,0.110589,0.014638
0,0,0.038531,0.079906,0,0
1.587095,2.890883,1.331732,0,0,2.849545
1.190558,2.244109,1.592912,1.876658,1.029989,0.838988
0,0,0,0.189925,0,0
0,0.549869,0,0,0,0
1.927655,2.809278,2.594738,1.503209,2.395404,2.390328
0.129158,0.911009,0,0.147438,0.175166,0
5.287854,8.382241,6.200875,5.434315,4.046834,5.107927
0,0.563949,0.275764,0.215879,0.855258,0.900275
114.857322,109.418064,114.628819,115.492463,120.545186,124.07202
11.334529,14.068595,14.797154,13.885557,15.181658,16.117663
0.606049,1.407809,0,1.07211,0.688479,0.425174
0,0.123261,0.04143,0,0.052321,0
0.123511,0.109173,0.164492,0.099883,0.142341,0.116734
0.078255,0.043916,0.109841,0.078942,0.465777,0.084259
15.750683,13.839309,12.97994,13.136635,9.727304,16.086884
0,0,0,0,0,0
0.137597,0,0,0,0,0.073857
0,0,0,0,0,0
9.103599,12.643135,12.672287,12.077963,11.988938,15.109656
1.418916,1.004895,1.903767,0.176498,1.852959,2.95721
4.05955,4.443523,1.961412,1.599237,2.73706,3.180779
0.534697,0.692019,0.49448,1.242747,1.023838,0.634686
0,0,0,0,0,0
0.115334,0.279833,0.135238,0.106319,0.097973,0
7.41764,7.030837,7.223864,8.475115,6.773477,7.133981
0,0.166961,0,0,0.521119,0.20128
0,0,0,0,0,0
9.43817,5.322571,7.251552,4.915356,5.760436,4.49212
0,0,0,0.166161,0.281841,0.173672
0,0,0,0,0,0
0.110114,0.113698,0,0,0,0
0.204441,0.187354,0.153257,0.030528,0.049222,0.131464
0,0,0,0,0,0.245932
0,0,0,0,0,0
0.199685,0.11635,0.152949,0.194184,0.1397,0.070281
2.579297,2.407553,1.512916,1.770802,2.179621,2.172433
0,0,0,0,0,0
2.097328,1.047934,1.133947,1.226142,1.401639,1.667619
133.311839,108.137385,149.871522,128.852888,142.022993,159.738751
732.373024,894.318819,709.012435,905.58237,942.638722,693.889347
2.373739,2.459523,2.397736,2.286367,2.627408,1.857775
59.843961,68.561461,61.266916,59.85759,64.840197,69.242667
0,0.898063,0,0,0,0.690585
0.086034,0.157559,0.249375,0.179889,0.072835,0.061467
0.192929,0.175197,0.815543,0.654866,1.112995,1.696761
0,0,0,0,0,0
7.780654,8.153516,9.54312,6.980962,9.134592,9.054196
0.060776,0,0.029331,0.0939,0.092781,0
0,0,0,0,0,0
0.780293,0.913972,0.753728,0.703565,0.675846,0.659414
0.34421,0.385604,0.417435,0.256703,0.3256,0.357636
0.015711,0,0,0,0,0
0,0,0.640656,0,0,0
0,0.164857,0.06058,0.141028,0.208477,0.363061
0.294802,0.04725,0.433387,0.084954,0.099699,0.453325
0.25374,5.659701,2.648561,0.674464,7.522088,4.064932
0,0,0.601237,0.345484,0.291393,0.895773
3.960961,6.168312,5.86262,5.597252,6.815582,5.655157
0.098858,0,0,0,0,0.032246
0,0.022332,0,0,0,0
15.044693,12.861895,11.869813,11.117873,14.13329,16.883986
0,0,0,0,0,0
0,0,0,0,0,0
0.009041,0.020379,0.016964,0.009137,0,0
4.182408,3.606743,3.886135,2.844417,4.078001,4.014475
1.252534,1.371815,1.386526,1.380099,1.361098,1.249241
6.816424,5.733088,6.480973,5.601533,6.034203,5.402773
0,0,0,0,0,0
0,0,0.045283,0,0,0
0,0,0,0,0,0
105.211255,94.819619,109.773275,108.319601,109.294172,99.245075
0.087501,0.13227,0.131778,0.101653,0.139383,0.042241
0.026975,0.044259,0.03683,0.069415,0.031984,0.029151
0,0,0,0,0,0
0.037477,0,0.031881,0,0,0.116534
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.030703,0,0,0,0
0,0,0,0,0,0
0.813367,0,0.518617,0,0.496621,0.671629
0,0,0,0,0,0
0,0,0,0,0,0
5.323469,9.326294,9.144108,8.330434,7.090031,7.075783
0,0,0,0,0,0
0,0,0,0,0,0
0.60717,0.585259,0.281022,0.674115,0.964879,0.680028
0.054436,0.107314,0.065585,0.133695,0.14775,0.06236
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11.61124,12.16562,10.984065,10.625155,12.836911,11.387656
0,0,0,0,0,0
0,0,0,0,0,0
0,0.448893,0,0.203868,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.045024,0.504221,0,0,0.092749,0.15313
20.436085,20.400971,19.231467,20.035091,20.555362,18.687138
21.23877,12.763655,16.582748,19.049716,16.565872,19.720007
65.842313,65.992354,65.157815,68.996331,63.328313,61.820819
3.146693,3.349064,4.075008,4.159257,3.756636,3.872471
6.715711,5.199799,3.220797,5.197719,4.978405,6.806515
25.434579,27.689555,26.129401,26.687946,31.445267,22.696815
11.11696,12.602938,11.453812,11.816418,12.099824,8.757368
26.366638,21.397162,19.762753,23.053725,19.769878,21.530742
0.120409,0,0,0.052123,0,0
31.417126,35.21593,33.516925,25.973742,33.755502,36.47905
2.504821,2.025261,2.160144,2.878827,2.526662,2.020932
12.704869,11.519447,12.82446,13.117603,10.968919,10.61064
117.389503,115.864164,120.210285,119.737259,119.571429,123.703081
0.078444,0,0,0,0,0
0,0,0,0,0,0
27.645071,27.357189,28.743788,25.390468,26.602418,32.034046
3.239175,2.405878,1.717066,2.582155,2.995182,3.289152
99.651703,101.028285,87.899173,103.562197,86.616441,84.292105
62.60826,67.908136,67.768291,70.34573,61.37287,57.124474
8.604239,9.41319,7.261883,8.4452,7.935541,7.411821
2.697076,3.496812,3.050818,2.228033,2.480393,1.896952
16.785813,17.642642,14.111576,15.536277,10.294299,13.330238
22.840752,21.328704,21.266622,23.445219,22.711705,22.861507
0.702983,0.43836,0.635744,0.608786,0.545103,0.758918
0.950045,2.629793,1.837896,1.305681,0.876268,2.429831
0,0,0,0,0,0
7.683792,4.124854,6.090736,6.279769,5.377985,4.431497
0.023712,0,0,0.036602,0.019657,0.070812
0,0,0,0,0,0
0,0,0,0,0,0
1.591092,1.341507,1.508762,1.125351,1.141783,1.719982
15.885379,17.906661,17.768872,18.339428,17.412615,16.873601
2.779334,3.459936,3.11292,2.395203,3.470807,2.774999
30.943503,25.090732,28.926063,27.869366,27.428631,32.041912
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.08191,0
