"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
9.761518,7.2439,16.523093,4.415398,4.856303,6.701633,3.59346,5.835649,5.999789
0,0,0,0,0,0,0.022824,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,9.724898,6.751129,0,0,5.057233,0,5.70001,0
0,0,0,0,0,0,0,0,0
32.910263,25.959104,28.626052,66.962745,69.861462,80.761803,74.822342,81.87985,81.734675
0,0,0,0,0,0.771016,0,0,0
66.763976,7.610821,13.24697,17.092084,16.665772,3.589912,0,6.181881,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.184823,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.401379,0,0
5.5931,4.255668,7.690927,9.508913,6.902149,7.646946,5.889507,6.06178,7.074683
0,0,1.47675,0.357105,0,0.229609,0.492256,0.909706,0.770503
6.749565,5.349695,6.000905,2.458374,1.950851,2.139612,1.857796,1.696763,1.806448
1.000798,5.202823,0,7.593811,10.449114,14.25908,18.47575,28.91243,19.809306
0,0,0,0,0,0,1.54268,0,0
0.270048,0,0,0,0,0,0,0.058399,0
58.152893,58.851119,56.073303,22.93901,20.783875,24.955955,28.700853,24.96265,26.687934
0.080986,0,0,0,0,0,0,0,0
0,0,0,0,0.183468,0.446051,0.05342,0.077845,0.19742
0,1.490028,0,0.372939,0,0,0.133326,0.748372,0.304672
54.498993,52.502555,81.660653,14.075232,29.906396,13.662907,28.077997,17.903491,27.644373
1.600786,1.224788,2.99548,3.128873,0,0.13675,0.847874,0.245439,0.133533
20.037771,14.158771,13.709883,14.21649,5.236316,7.142463,9.014862,7.015617,7.091254
0,0,0,0,0,0,0,0,0
112.188845,125.088562,134.227351,76.075992,122.563786,124.855786,84.218429,90.414696,85.889976
1.492019,0.99752,0.37465,0.522379,0.154869,0.180033,0.176584,0.093123,0.102662
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.095272,0.376012,0.210533,0,0.027793,0.038652,0,0.018536,0.018424
0.172753,0.658933,0.678061,0.387096,0.364316,0.642038,0.287657,0.442034,0.506791
2.122194,2.353855,2.779631,0.359852,0.184255,0.116451,0.217625,0.120773,0.110997
7.741432,4.311492,2.388274,0.409672,0.579408,0,0.073066,0.042789,0.210811
0.075664,0.083004,0.104594,0.077273,0.022128,0.046088,0.15088,0.319723,0.13911
0.233295,0.03508,0,0,0,0,0.016741,0,0
2.366161,3.196381,3.23879,3.324004,3.874043,4.416818,3.65528,3.654938,3.20797
3.735273,5.284595,0.396244,2.025715,1.380826,1.72551,1.618709,0.824241,1.302755
0.024112,0,0,0.010944,0,0,0.048079,0.037552,0
6.376387,3.586359,3.973458,0.976136,0.252538,0.33859,0.383402,0.239235,0.325961
0.127592,0,2.953256,0,0,0,0,0,0
6.778673,16.255821,9.968751,6.726406,9.411612,9.526883,10.684516,9.805321,10.388967
0,0,0,0,0,0,0,0,0
3.220612,2.291179,2.822743,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.470666,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.013277,0.024458,0.031951
22.083329,21.574395,19.736433,31.039298,33.464115,41.641624,50.881565,39.691197,51.795553
1.561381,0.61975,0,1.828372,0.088497,1.000769,1.046933,0.624974,0.532803
8.669038,6.950573,14.093469,26.271193,31.505456,30.486655,26.488766,22.220772,24.838644
1.349821,0.275133,1.295871,0.157396,0.89654,0.75154,0.469502,0.759455,1.175887
49.245607,63.010984,65.012717,35.512875,39.132092,37.89463,34.240856,34.71036,32.576999
21.596539,22.551293,25.183273,22.529107,19.415391,32.994691,17.034978,22.716311,20.186216
0.040149,0.185092,0,0.01822,0.02344,0.016292,0,0,0.011661
0,0,0,0,0,0,0,0.060912,0.043086
5.749731,6.577902,7.832378,7.478663,9.724598,11.543425,8.482842,9.884807,8.187857
