"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
9.760101,7.243768,16.524234,4.415252,4.856059,6.701413,3.593453,5.835664,5.999441,10.461124,0,4.504622,0,0,7.394225,13.752529,8.350995,8.410595,11.50827,6.152728,2.344051,10.15808,12.404365,8.823155,4.462843,7.037337,8.395494,0,0,13.454304,0,0,7.717026,5.556688,7.555199,4.536989,14.791429,7.446425,5.579789,6.210397,7.424024,3.323941,6.596192,4.885471,0
0,0,0,0,0,0,0.022824,0,0,0,0,0,0.08109,0.445576,0,0.111892,0.174768,0.071546,0.08271,0.04994,0.136856,0.208532,0.157034,0.299566,0.055846,0.100478,0.16391,0,0,0,0,0,0.074986,0,0.083324,0.057226,0.073966,0.059418,0.083558,0.14247,0.09353,0.272786,0.165685,0.143648,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.173324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.726915,0.290281,0.380607,0.272311,0,0,0,0,0,0,0,0,0,0,0,0.737399,0,0,5.498377,0,0.300991,0.288421,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.887054,0,0.91155,1.655066,0,0,0,0,0,0.252992,0,0,0.352195,0,0,1.129441,0,0,0,3.589764,0,0,0,0,0,0.168298,0.179597,0.140614,0,0,0,0,0,0,1.703502
0,9.725013,6.750831,0,0,5.057646,0,5.700099,0,6.808453,0,0,0,0,0.650446,0,1.796872,1.531679,0,0,0,1.883162,0.752629,0,0,0,0,0,0,0,0,0,7.512046,0,1.302094,0,0,4.482638,0,0,0,0,1.250622,1.802224,0
0,0,0,0,0,0,0,0,0,0,0,1.370324,0,0.427579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.913249,25.959346,28.625176,66.966367,69.861651,80.769294,74.820646,81.88509,81.745228,11.363279,17.221475,24.436656,23.112913,21.910867,87.912474,97.051417,83.706963,86.51196,90.663722,87.78333,95.252825,97.370692,96.679626,101.694883,103.021284,30.092068,110.661995,24.607327,17.61148,8.340646,10.723141,16.675293,66.393394,69.911219,77.529731,72.270286,72.489722,70.410147,77.501646,76.708457,87.006616,78.498767,80.192051,81.981395,14.216799
0,0,0,0,0,0.77111,0,0,0,18.957019,26.511543,23.865634,13.899138,29.390462,37.994922,42.088925,41.972897,38.504392,38.813003,42.607671,40.933079,41.728368,42.571358,42.269418,46.967406,15.419208,46.084557,17.250696,3.726668,7.365536,17.983176,1.993669,37.013091,30.690926,31.725911,36.578112,28.458404,33.180074,32.728407,30.18562,33.885889,31.982106,36.181552,33.483807,12.489226
66.770451,7.610942,13.246181,17.085802,16.668054,3.590365,0,6.181956,0,66.89522,48.29408,63.9833,49.01698,75.537478,53.083341,35.682846,41.793116,45.6108,41.669103,34.952745,32.44219,25.271389,39.091074,34.916906,33.427635,78.429616,39.280915,87.48616,42.255818,70.817239,72.475806,63.865573,39.806904,43.821852,47.748604,57.894009,45.048195,62.313281,34.81914,29.43666,37.859195,42.388553,37.249888,39.995157,49.578259
0,0,0,0,0,0,0,0,0,0,0.600157,0.30778,0.262052,0,0,0,0,0,0,0,0,0,0,0,0,0.195469,0,0,0.993242,1.038145,0,0.507523,0,0,0,0,0,0,0,0,0,0,0,0,0.296616
0,0,0,0,0,0,0,0,0,0,0,0.742834,0.380786,0.174164,0,0,0,0,0,0,0,0,0,0,0,0.943658,0,1.567929,0,0,0.384965,0.368966,0,0,0,0,0,0,0,0,0,0,0,0,1.073686
0.184844,0,0,0,0,0,0,0,0,1.914154,0,0.394095,1.213111,1.107195,0,0,0,0,0,0,0,0,0,0,0,0.501044,0,0,0,0.79993,0,0.782204,0.07457,0,0,0,0,0,0,0,0,0,0,0,0.758801
0,0,0,0,0,0,0.401357,0,0,3.648171,10.901094,7.367,4.678624,6.382545,15.015996,0,9.644986,7.431647,10.613878,12.236917,14.038204,11.723302,8.361937,9.497758,9.262796,7.689451,0,7.205258,0,6.72151,0,5.631399,13.635154,9.574966,11.179717,11.719895,11.294542,11.196282,11.234329,9.881032,10.324285,12.280791,11.004315,11.771115,7.290035
