"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
0,0.641374,0,0,0,0,0,0,0,0.267602,0,1.251469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.022694,0,0.111548,0,0,0.05476,0,0.020374,0.020988,0.110392,0.020678,0.047276,0,0.018776,0,0.040236,0.065248,0.137918,0,0.024754,0.048716,0,0,0.02372,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57988,0.172619,0.059762,0.17301,0.089226,0.033865,0.244068,0.158543,0.114119,0,0.038539,1.374453,0.114004,1.093943,1.03542,0.162463,0.93199,0.184745,0.120983,0.132062,0.301309,0.141791,0.089775,0.085424,0.871975,0.08698,0.169511
0.428045,0,0,0.215117,0.186886,0.21317,0,0.220423,0,0.46345,0,0.675285,0,0.270798,0,0.443486,0.666009,0,0.420874,0,0,0.28104,0,0,0,0,0
0,0,4.974803,0,0,0,0.647468,0,0,0.971506,0,0,0,1.671581,1.704333,0,0,0,0,0,0,0,0,0,0,0,0.65904
0,0,0,0,0,0,0.098952,0,0.088935,0,0,0,0,0.137866,0,0,0.226466,0,0,0,0,0.14377,0,0,0,0,0
22.72323,22.743767,24.493963,23.507675,24.413371,22.697058,17.377375,18.23805,19.400163,17.784834,20.358512,20.09158,27.046119,25.427639,22.563916,20.917324,21.483082,21.549136,23.298153,19.956293,22.660833,27.381512,23.020785,26.907403,23.927759,22.13121,22.969419
25.828147,25.974935,27.467283,24.753688,26.306748,19.792867,26.467439,30.560676,17.100836,27.166132,22.466324,27.552371,26.301962,23.439473,22.23048,25.974514,23.908341,31.669049,27.553204,25.642369,23.602564,23.639554,26.227548,27.994285,26.600903,24.501556,25.224971
0,0,0,0.350404,0.310102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435482,0,0,0.969488,0,0.879123,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045314,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.782099,3.985337,3.582009,3.287416,4.752885,3.682641,5.637598,6.045868,5.413405,3.306462,3.284316,1.634145,2.034321,3.109706,4.583902,5.769589,5.858558,6.567688,3.455235,2.695379,3.909248,3.00918,4.522643,2.89991,6.225632,9.995914,6.285814
5.136522,4.017049,5.398742,3.312811,3.856472,3.493216,4.222289,5.022482,4.095602,5.741574,5.773863,4.459242,4.927928,4.041746,4.175642,3.592592,3.478699,5.519407,2.958917,4.618953,3.850768,4.168873,5.591092,3.650886,5.850187,5.136832,4.114627
35.535866,23.760151,35.672519,36.190989,31.481312,24.087326,40.439958,41.165899,24.213569,36.850232,24.666757,34.31445,27.622688,29.955796,39.044814,37.93846,34.654677,35.652529,46.223755,28.433837,30.57547,37.887241,36.481302,35.440924,46.041695,36.293016,31.448325
12.97419,8.215333,11.155899,16.056787,14.572531,13.863749,13.104624,13.154533,7.109209,21.239432,12.144788,20.897312,13.691667,13.648047,13.208149,11.730521,13.535121,11.749563,14.886843,12.729923,15.525378,15.6063,16.034123,16.757769,17.533121,12.386129,13.493889
29.776603,21.276339,15.487675,22.86563,12.487607,14.88729,14.602562,12.457275,22.18728,14.803263,11.394844,14.626814,16.843542,17.164656,20.661681,14.308824,10.489979,17.398004,24.349373,9.097073,16.175004,20.059874,21.836666,11.982445,12.87109,13.311252,14.218811
98.760049,88.076927,87.669185,92.824628,99.535805,99.390635,86.707313,90.253442,92.11776,81.505653,102.464577,83.788462,101.755676,95.979871,80.681648,87.242165,89.096893,90.801819,79.170047,90.074614,83.472793,83.381361,93.405915,81.782391,89.503687,101.338758,94.073698
0.608566,0,1.029768,0.686572,0.265784,1.397587,1.085851,0,0,0.744123,0,0,0,0,0,0,0.553116,0.566256,0.455218,0.86544,0,0,0,0.393227,0,0.799532,0.611491
33.61583,32.104628,36.894059,28.438635,26.115796,34.228058,38.287603,36.707097,27.276691,40.470864,39.823658,36.966751,35.547349,35.040387,33.419004,31.548774,36.14459,27.209131,40.89186,36.315106,38.35216,35.682908,39.819187,32.592867,39.459966,34.114711,35.724759
0.339757,0.226348,0.187468,0.41181,0.140553,0.080872,0,0.081243,0.134364,0,0.183211,0.123334,0.271652,0.310402,0.605289,0.497939,0.340085,0.26361,0.296318,0.201726,0.26727,0.108034,0.215729,0.102602,0,0,0.240227
280.096254,233.479121,258.969604,257.434054,222.309451,251.732706,182.33439,173.78171,165.1482,345.867367,335.786765,355.070716,247.344794,268.37624,250.847229,190.037175,204.662747,197.202306,313.559051,303.242275,339.192,245.858508,241.218929,241.4943,200.869681,193.634929,194.802461
9.138682,5.577072,6.48678,9.942145,7.147257,10.825255,6.500342,6.957738,6.6121,8.046712,8.635881,9.856795,9.08956,8.576146,8.580987,7.157667,8.260457,8.024033,7.483087,5.707589,9.724486,8.070496,5.416336,6.215827,9.149008,0,7.630905
52.052272,43.35593,50.098378,45.274657,38.674625,38.173604,38.901827,46.590694,51.930246,42.714776,43.239764,38.891384,45.986474,37.91731,47.976541,48.672584,52.298097,52.950755,45.76196,52.953792,45.677483,38.291344,50.272264,38.187629,57.291965,51.263286,54.536595
