"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
1.233381,0.137314,0.163278,0.180643,0.605417,1.356749,0.511427,0.851399,0.747995,14.42218,11.78328,15.797756,5.278664,8.316618,7.129453,7.357083,6.868633,11.505537
0.34254,0.424794,1.463224,0.656537,1.503231,0.772628,0.338755,0.125273,0.849814,0.685007,1.109901,2.056137,3.804144,3.531634,2.404682,2.563434,3.183346,1.647194
0,0.224779,2.769948,2.109422,1.73694,5.130021,1.985365,1.756743,2.725413,68.001927,65.67551,222.398042,87.906775,429.638849,179.92164,98.081473,27.225128,203.587614
0.166173,0.015848,0,0,0,0.019758,0.04375,0.207931,1.029738,0.51646,0.785937,0,0.030845,0.138903,0.054859,0.2813,0.323076,0.299404
0,0,0,0,0.070654,0,0,0,0,0.062712,0,0,0.058178,0,0,0,0,0
0,0.406413,0,0,0,0,0,0,0,0.40087,0,0,0.42271,0.629552,0,0.912592,0.425607,1.206744
0,0,0,0,0,0,0,0,0,0,0,0,0,0.06603,0.036443,0,0,0
28.654326,27.346913,29.425277,37.570194,32.926613,30.295108,28.915424,28.212302,28.839655,25.857103,22.515017,22.609384,33.045638,26.644062,26.519809,25.071419,23.568844,24.246446
25.750065,27.28608,24.356802,28.167698,29.202061,32.602983,28.152712,30.91216,30.327447,20.356654,20.184064,19.344352,23.147039,22.069642,24.686103,23.653481,22.102035,27.847347
0.295899,1.305238,7.544858,2.639644,1.805837,2.297105,0.883064,0.531741,1.998393,0,0.903232,3.550129,7.206957,0.843115,1.137383,2.768493,0,0.710445
0.034003,0,0,0,0.045561,0.017283,0,0,0,0,0,0,0,0,0,0,0,0
0.034407,0,0,0,0,0.012611,0,0.01304,0.072431,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.052893,0,0.054674,0,0.028695,0,0,0.186306,0.142947,0,0.031629,0,0.067286
