"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0032609","type II interferon production",112,0.707230923045663,2.35290015528751,2.69875454687926e-10,1.98257255900118e-07,1.1868477127542e-07,2148,"tags=40%, list=11%, signal=36%","IL1RL1/IL12RB1/TLR7/CR1/LILRB4/LILRB1/IL27/PSMA6/PSMA1/LGALS9/IL1B/CD14/PSMA7/IL12A/IRGM/CD274/HAVCR2/CCR2/PSMB8/CD276/RIPK3/CD2/PSMB3/PSMB10/PSMA3/PSMA2/PSMB2/FZD5/IFNL1/SLAMF6/ZC3H12A/PDCD1LG2/PSMA4/ZNF683/TLR8/CRTAM/HLA-DPB1/DDIT3/CD47/SCRIB/IL12RB2/BTN3A2/PSMB9/RARA/SIRPA",0.814035837847908
"GO:0032649","regulation of type II interferon production",112,0.707230923045663,2.35290015528751,2.69875454687926e-10,1.98257255900118e-07,1.1868477127542e-07,2148,"tags=40%, list=11%, signal=36%","IL1RL1/IL12RB1/TLR7/CR1/LILRB4/LILRB1/IL27/PSMA6/PSMA1/LGALS9/IL1B/CD14/PSMA7/IL12A/IRGM/CD274/HAVCR2/CCR2/PSMB8/CD276/RIPK3/CD2/PSMB3/PSMB10/PSMA3/PSMA2/PSMB2/FZD5/IFNL1/SLAMF6/ZC3H12A/PDCD1LG2/PSMA4/ZNF683/TLR8/CRTAM/HLA-DPB1/DDIT3/CD47/SCRIB/IL12RB2/BTN3A2/PSMB9/RARA/SIRPA",0.814035837847908
"GO:0016064","immunoglobulin mediated immune response",146,0.662500965102819,2.28537871242821,4.20711227636312e-10,2.74724431646512e-07,1.64461099724707e-07,3298,"tags=42%, list=17%, signal=35%","C1QA/FCGR1A/CR1/IL21R/CSF2RB/IGHA1/IGHE/CLCF1/IGLL5/IGHA2/IGLC2/IGHG3/FCGR3A/FCER1G/C1QB/IGKC/IGLC3/IGHV3-7/BATF/IGHV4-34/C4BPB/MAD2L2/BTK/IGHV3-33/IL9R/IGHG2/IGHG4/NECTIN2/LIG4/IGHG1/C7/IGHV3-30/C1QC/TLR8/CLU/SLC15A4/HLA-E/FOXJ1/IGHV3-23/PCYT1A/IGLC1/IGHV3-43/RNF8/IGHV4-39/IGHV1-18/C2/IGLL1/IGHV3-49/NBN/IGHV5-51/IGHV4-59/IGHV2-5/FCGR3B/IL10/IGHV3-48/IGHV3-11/CD226/IGHV3-74/IGHV3-21/CD27/PARP3",0.814035837847908
"GO:0042088","T-helper 1 type immune response",61,0.754909048605785,2.25853596233619,5.87598521038834e-08,1.50144196006314e-05,8.98823575482095e-06,1032,"tags=33%, list=5%, signal=31%","IL1RL1/IL12RB1/IL27/PSMA6/PSMA1/LGALS9/IL1B/PSMA7/IL12A/HAVCR2/CCR2/STAT4/PSMB8/PSMB3/PSMB10/PSMA3/PSMA2/SPN/PSMB2/CD80",0.719512826338911
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",341,0.600768564964317,2.24477462847631,1e-10,1.23309102493598e-07,7.38177907244065e-08,1984,"tags=26%, list=10%, signal=24%","C1QA/IL1RL1/FCGR1A/RAET1L/IL12RB1/CR1/LILRB4/IL21R/LILRB1/CSF2RB/IGHA1/IL27/EP300/PSMA6/DENND1B/PSMA1/LGALS9/KLHL6/IL1B/IGHE/MYO1G/CD69/CLCF1/IGLL5/IGHA2/PSMA7/IGLC2/IL12A/IGHG3/FCGR3A/CD274/HAVCR2/FCER1G/C1QB/IGKC/CCR2/STAT4/IGLC3/PSMB8/IGHV3-7/RIPK3/BATF/PSMB3/IGHV4-34/PSMB10/CLEC6A/C4BPB/LOXL3/WAS/PSMA3/MAD2L2/PSMA2/SPN/BTK/CTSC/ULBP2/PSMB2/CD80/FZD5/SLAMF6/SOCS3/IGHV3-33/IL9R/IGHG2/IGHG4/NECTIN2/RSAD2/ZC3H12A/LIG4/PSMA4/IGHG1/C7/IGHV3-30/C1QC/TLR8/CLU/RAET1E/SLC15A4/HLA-E/FOXJ1/IGHV3-23/PTPRC/PCYT1A/HLA-DRA/IL12RB2/IGLC1/IGHV3-43/BTN3A2/RNF8/PSMB9",NA
"GO:0019724","B cell mediated immunity",151,0.640284363712865,2.22559821220901,1.13974564328422e-09,6.08935013234668e-07,3.64533002533647e-07,3298,"tags=41%, list=17%, signal=34%","C1QA/FCGR1A/CR1/IL21R/CSF2RB/IGHA1/IGHE/CLCF1/IGLL5/IGHA2/IGLC2/IGHG3/FCGR3A/FCER1G/C1QB/IGKC/IGLC3/IGHV3-7/BATF/IGHV4-34/C4BPB/MAD2L2/BTK/IGHV3-33/IL9R/IGHG2/IGHG4/NECTIN2/LIG4/IGHG1/C7/IGHV3-30/C1QC/TLR8/CLU/SLC15A4/HLA-E/FOXJ1/IGHV3-23/PCYT1A/IGLC1/IGHV3-43/RNF8/CD70/IGHV4-39/IGHV1-18/C2/IGLL1/IGHV3-49/NBN/IGHV5-51/IGHV4-59/IGHV2-5/FCGR3B/IL10/IGHV3-48/IGHV3-11/CD226/IGHV3-74/IGHV3-21/CD27/PARP3",0.788186810800237
"GO:0002455","humoral immune response mediated by circulating immunoglobulin",44,0.761919781217472,2.21217994621054,1.18540275479466e-06,0.00016587171404591,9.92974827237536e-05,1726,"tags=34%, list=9%, signal=31%","C1QA/CR1/IGHA1/IGHE/IGHA2/IGHG3/C1QB/C4BPB/IGHG2/IGHG4/IGHG1/C7/C1QC/CLU/FOXJ1",0.643551836150722
"GO:0002825","regulation of T-helper 1 type immune response",34,0.796508375933064,2.15539773128695,1.57099864911355e-06,0.000196441682145538,0.000117597895767043,482,"tags=24%, list=2%, signal=23%","IL1RL1/IL12RB1/IL27/LGALS9/IL1B/IL12A/HAVCR2/CCR2",0.643551836150722
"GO:0072539","T-helper 17 cell differentiation",53,0.726263806411727,2.14849472514888,1.00459794356898e-06,0.00014400053937451,8.62045174669984e-05,1385,"tags=34%, list=7%, signal=32%","IL12RB1/EP300/PSMA6/PSMA1/CD69/PSMA7/PSMB8/BATF/PSMB3/PSMB10/LOXL3/PSMA3/PSMA2/PSMB2/SLAMF6/SOCS3/ZC3H12A/PSMA4",0.643551836150722
"GO:0002449","lymphocyte mediated immunity",305,0.573455010997522,2.1479866600858,1e-10,1.23309102493598e-07,7.38177907244065e-08,3298,"tags=36%, list=17%, signal=31%","C1QA/FCGR1A/RAET1L/IL12RB1/CR1/LILRB4/IL21R/LILRB1/SERPINB4/CSF2RB/IGHA1/DENND1B/LGALS9/IL1B/IGHE/MYO1G/CLCF1/IGLL5/IGHA2/IGLC2/IL12A/IGHG3/FCGR3A/CD274/HAVCR2/FCER1G/KIF5B/C1QB/IGKC/CCR2/IGLC3/IGHV3-7/RIPK3/CD2/BATF/IGHV4-34/GZMB/NECTIN4/C4BPB/WAS/MAD2L2/BTK/CTSC/ULBP2/CD80/FZD5/SLAMF6/IGHV3-33/IL9R/IGHG2/IGHG4/NECTIN2/RSAD2/LIG4/IGHG1/C7/IGHV3-30/C1QC/TLR8/CRTAM/CLU/RAET1E/SLC15A4/HLA-E/FOXJ1/LYST/IGHV3-23/PTPRC/PCYT1A/HLA-DRA/IGLC1/IGHV3-43/BTN3A2/RNF8/CLEC12B/CLC/CD70/PLEKHM2/PRF1/IGHV4-39/SLAMF7/KIR2DL4/GRB2/IGHV1-18/IFNB1/TRAF6/C2/IGLL1/CLNK/IGHV3-49/NBN/SECTM1/SLC22A13/IGHV5-51/CORO1A/IGHV4-59/IGHV2-5/FCGR3B/CD7/ULBP3/IL10/IGHV3-48/IGHV3-11/CD226/IGHV3-74/ULBP1/IGHV3-21/FUT7/TIGIT/CD27/PARP3",NA
