Symbol,n_studies,pooled_log2FC,pooled_lfcSE,rem_pvalue,I2,rem_padj,multi_study,is_robust,Confidence_Level
C1QA,2,3.019558731,0.273572996,2.52E-28,0,4.95E-24,TRUE,FALSE,Low
KRT75,6,0.691171621,0.071730718,5.65E-22,0,5.55E-18,TRUE,TRUE,Medium
MS4A4A,4,1.757535352,0.205380249,1.15E-17,0,7.55E-14,TRUE,TRUE,High
IL1RL1,6,0.416925161,0.052707043,2.57E-15,0,1.26E-11,TRUE,TRUE,Medium
FCGR1A,6,2.314303528,0.301905487,1.78E-14,0,6.99E-11,TRUE,TRUE,High
RAET1L,5,0.768400655,0.103906351,1.41E-13,0,4.62E-10,TRUE,TRUE,Medium
TGM5,6,0.654145314,0.092149034,1.26E-12,0,3.53E-09,TRUE,TRUE,Medium
ADH7,3,0.740355451,0.110058495,1.73E-11,0,4.25E-08,TRUE,TRUE,Medium
TRIM29,6,-0.223794176,0.03515253,1.94E-10,0,4.22E-07,TRUE,TRUE,Medium
UCN2,7,-0.856275518,0.134932931,2.21E-10,0,4.34E-07,TRUE,TRUE,Medium
TMPRSS11B,5,0.997124691,0.165710595,1.77E-09,0,3.17E-06,TRUE,TRUE,Medium
ZNF750,6,0.590070646,0.098624625,2.19E-09,0,3.59E-06,TRUE,TRUE,Medium
GRHL3,6,0.506752826,0.087579684,7.20E-09,0,1.06E-05,TRUE,TRUE,Medium
CYGB,8,0.49334007,0.085391098,7.59E-09,0,1.06E-05,TRUE,TRUE,Medium
FOXG1,6,-0.563213866,0.099046699,1.30E-08,0,1.68E-05,TRUE,TRUE,Medium
SPRR2A,5,0.543029727,0.09565112,1.37E-08,0,1.68E-05,TRUE,TRUE,Medium
TMPRSS11D,6,0.675169205,0.119364134,1.55E-08,0,1.79E-05,TRUE,TRUE,Medium
IL1RN,5,0.343630495,0.063768532,7.10E-08,0,7.74E-05,TRUE,TRUE,Medium
LILRB4,4,1.143220578,0.216598566,1.31E-07,0,0.000134942,TRUE,TRUE,High
SPINK6,3,0.930342043,0.177975446,1.72E-07,0,0.000168834,TRUE,TRUE,Medium
CYSLTR1,4,0.73421355,0.140809755,1.85E-07,0,0.000172617,TRUE,TRUE,Medium
ZPLD1,8,0.994993744,0.191634056,2.08E-07,0,0.000180546,TRUE,TRUE,Medium
CCR5,5,1.201019765,0.231608668,2.15E-07,0,0.000180546,TRUE,TRUE,High
FUBP1,8,-0.256570985,0.049521105,2.21E-07,0,0.000180546,TRUE,TRUE,Medium
IL12RB1,7,1.119501745,0.217549226,2.66E-07,0,0.000203591,TRUE,TRUE,High
CR1,6,1.204494977,0.234174295,2.70E-07,0,0.000203591,TRUE,TRUE,High
TLR7,7,1.293443465,0.252752216,3.10E-07,0,0.000225267,TRUE,TRUE,High
TGM1,8,0.740224152,0.147180755,4.92E-07,13.39494038,0.000345162,TRUE,TRUE,Medium
GBP6,5,0.606205699,0.1230211,8.32E-07,0,0.000563555,TRUE,TRUE,Medium
TP53AIP1,7,-0.578804166,0.119036661,1.16E-06,0,0.000759136,TRUE,TRUE,Medium
AIM2,6,2.394797168,0.493635661,1.23E-06,0,0.00077682,TRUE,TRUE,High
RUFY4,6,2.687495027,0.559707176,1.57E-06,4.887987321,0.000965918,TRUE,TRUE,High
RPTN,4,-0.568770275,0.119916385,2.11E-06,0,0.001252766,TRUE,TRUE,Medium
ADAMTSL4,8,0.690070888,0.145725972,2.19E-06,0,0.001262738,TRUE,TRUE,Medium
NOS1,7,-0.547372883,0.116383163,2.56E-06,0,0.001413674,TRUE,TRUE,Medium
