"Gene_Symbol","log2FoldChange","lfcSE","pvalue","padj","cohort","baseMean","stat","GENENAME","GENEBIOTYPE"
"A1BG",-0.083045163,0.341907729,0.808092438,0.997447198,"GSE201325",77.03012214,-0.242887644,"A1BG","protein_coding"
"A3GALT2",1.964116561,4.030312406,0.626020199,NA,"GSE201325",0.359561223,0.487336058,"A3GALT2","protein_coding"
"A4GALT",1.855601879,4.039802152,0.645997286,NA,"GSE201325",0.329835059,0.45932989,"A4GALT","protein_coding"
"AAAS",-0.052613005,0.094675219,0.57840161,0.997447198,"GSE201325",1080.507436,-0.555720983,"AAAS","protein_coding"
"AACS",0.084982172,0.137684854,0.537088065,0.997447198,"GSE201325",1051.125286,0.617222367,"AACS","protein_coding"
"AADAC",0.182468713,0.257980749,0.479382645,0.987963316,"GSE201325",115.0836805,0.707295848,"AADAC","protein_coding"
"AADAT",-0.003045585,0.117570398,0.97933363,0.999779309,"GSE201325",519.6278708,-0.025904351,"AADAT","protein_coding"
"AAED1",0.176077416,0.170990875,0.303128579,0.941481141,"GSE201325",519.3590631,1.029747442,"AAED1","protein_coding"
"AAGAB",-0.010188442,0.096495309,0.915911748,0.999486641,"GSE201325",1024.237378,-0.105584846,"AAGAB","protein_coding"
"AAK1",0.035136839,0.090638749,0.698269118,0.997447198,"GSE201325",3999.992703,0.387658032,"AAK1","protein_coding"
"AAMDC",-0.040341163,0.231747428,0.861807439,0.998359305,"GSE201325",154.297525,-0.17407383,"AAMDC","protein_coding"
"AAMP",-0.085256335,0.066686139,0.201083187,0.873206187,"GSE201325",2928.21217,-1.278471615,"AAMP","protein_coding"
"AANAT",2.890744282,3.972243515,0.466775259,NA,"GSE201325",0.678151262,0.727735918,"AANAT","protein_coding"
"AAR2",-0.0473401,1.690202228,0.977655338,0.999779309,"GSE201325",26.05258606,-0.028008542,"AAR2","protein_coding"
"AARS",-11.66438512,1.201995349,2.89e-22,3.6e-18,"GSE201325",300.5008757,-9.704184898,"AARS","protein_coding"
"AARS2",-1.501839424,2.789549439,0.590314286,0.997447198,"GSE201325",80.67282959,-0.538380644,"AARS2","protein_coding"
"AARSD1",-0.045004087,0.154880282,0.771377621,0.997447198,"GSE201325",579.4912282,-0.290573381,"AARSD1","protein_coding"
"AASDH",0.166648788,0.416245084,0.688889779,0.997447198,"GSE201325",83.65656315,0.400362176,"AASDH","protein_coding"
"AASDHPPT",0.189380908,0.100641917,0.059872694,0.608750087,"GSE201325",3655.164583,1.881729926,"AASDHPPT","protein_coding"
"AASS",-0.206889674,0.336457108,0.538616447,0.997447198,"GSE201325",797.7230044,-0.614906534,"AASS","protein_coding"
"AATF",-0.114511147,0.119519339,0.338013735,0.953111615,"GSE201325",2526.597396,-0.958097224,"AATF","protein_coding"
"AATK",-1.658392301,1.304855137,0.203750073,0.876419845,"GSE201325",6.044805347,-1.270939781,"AATK","protein_coding"
"ABAT",0.033394462,0.203093813,0.869393633,0.998563786,"GSE201325",166.3036172,0.16442875,"ABAT","protein_coding"
"ABC13-47488600E17.1",-0.113657156,0.562902761,0.839985057,0.998359305,"GSE201325",25.90983432,-0.201912593,"ABC13-47488600E17.1","protein_coding"
"ABC7-42404400C24.1",-0.264265228,2.35930004,0.910815467,NA,"GSE201325",1.830999844,-0.112010013,"ABC7-42404400C24.1","protein_coding"
"ABCA1",0.458872346,0.265089025,0.083449582,0.674735563,"GSE201325",205.9840428,1.731012236,"ABCA1","protein_coding"
"ABCA10",-0.935951085,1.28085467,0.464947831,0.98587318,"GSE201325",15.41308873,-0.730723873,"ABCA10","protein_coding"
"ABCA12",0.217412347,0.562322435,0.699028006,0.997447198,"GSE201325",63.69243344,0.386632889,"ABCA12","protein_coding"
"ABCA13",0.400365219,0.771563336,0.60382957,0.997447198,"GSE201325",15.68398402,0.518901301,"ABCA13","protein_coding"
"ABCA2",-0.137519921,0.15595277,0.377882306,0.968128865,"GSE201325",640.5655797,-0.881804929,"ABCA2","protein_coding"
