"sample","GSM","condition","timepoint","infection"
"SRR20079510","GSM6323035","Mock","24hpi","Mock"
"SRR20079511","GSM6323034","Mock","24hpi","Mock"
"SRR20079512","GSM6323033","Mock","24hpi","Mock"
"SRR20079513","GSM6323033","Mock","24hpi","Mock"
"SRR20079514","GSM6323032","Mock","12hpi","Mock"
"SRR20079515","GSM6323032","Mock","12hpi","Mock"
"SRR20079516","GSM6323031","Mock","12hpi","Mock"
"SRR20079517","GSM6323030","Mock","12hpi","Mock"
"SRR20079518","GSM6323029","Mock","6hpi","Mock"
"SRR20079519","GSM6323028","Mock","6hpi","Mock"
"SRR20079520","GSM6323027","Mock","6hpi","Mock"
"SRR20079521","GSM6323027","Mock","6hpi","Mock"
"SRR20079522","GSM6323026","WA1","24hpi","WA1"
"SRR20079523","GSM6323025","WA1","24hpi","WA1"
"SRR20079524","GSM6323024","WA1","24hpi","WA1"
"SRR20079525","GSM6323023","WA1","12hpi","WA1"
"SRR20079526","GSM6323022","WA1","12hpi","WA1"
"SRR20079527","GSM6323021","WA1","12hpi","WA1"
"SRR20079528","GSM6323020","WA1","6hpi","WA1"
"SRR20079529","GSM6323019","WA1","6hpi","WA1"
"SRR20079530","GSM6323018","WA1","6hpi","WA1"
"SRR20079531","GSM6323018","WA1","6hpi","WA1"
"SRR20079532","GSM6323017","NY1","24hpi","NY1"
"SRR20079533","GSM6323016","NY1","24hpi","NY1"
"SRR20079534","GSM6323015","NY1","24hpi","NY1"
"SRR20079535","GSM6323015","NY1","24hpi","NY1"
"SRR20079536","GSM6323014","NY1","12hpi","NY1"
"SRR20079537","GSM6323013","NY1","12hpi","NY1"
"SRR20079538","GSM6323012","NY1","12hpi","NY1"
"SRR20079539","GSM6323012","NY1","12hpi","NY1"
"SRR20079540","GSM6323011","NY1","6hpi","NY1"
"SRR20079541","GSM6323010","NY1","6hpi","NY1"
"SRR20079542","GSM6323009","NY1","6hpi","NY1"
"SRR20079543","GSM6323009","NY1","6hpi","NY1"
