"condition","timepoint"
"mock","48h"
"mock","48h"
"mock","48h"
"mock","12h"
"mock","12h"
"mock","12h"
"mock","4h"
"mock","4h"
"mock","4h"
"infected","48h"
"infected","48h"
"infected","48h"
"infected","24h"
"infected","24h"
"infected","24h"
"infected","12h"
"infected","12h"
"infected","12h"
"infected","7h"
"infected","7h"
"infected","7h"
"infected","4h"
"infected","4h"
"infected","4h"
"infected","2h"
"infected","2h"
"infected","2h"
"infected","1h"
"infected","1h"
"infected","1h"
"infected","0h"
"infected","0h"
"infected","0h"
