"sample","gsm","cell_line","condition","SRA_Study"
"SRR26260919","GSM7817929","A549-ACE2","infected","SRP464218"
"SRR26260920","GSM7817928","A549-ACE2","infected","SRP464218"
"SRR26260921","GSM7817927","A549-ACE2","infected","SRP464218"
"SRR26260922","GSM7817926","A549-ACE2","infected","SRP464218"
"SRR26260923","GSM7817925","A549-ACE2","infected","SRP464218"
"SRR26260924","GSM7817924","A549-ACE2","infected","SRP464218"
"SRR26260925","GSM7817923","A549-ACE2","infected","SRP464218"
"SRR26260926","GSM7817922","A549-ACE2","infected","SRP464218"
"SRR26260927","GSM7817921","A549-ACE2","infected","SRP464218"
"SRR26260934","GSM7817946","A549-ACE2","infected","SRP464220"
"SRR26260935","GSM7817945","A549-ACE2","infected","SRP464220"
"SRR26260936","GSM7817944","A549-ACE2","infected","SRP464220"
"SRR26260937","GSM7817943","A549-ACE2","infected","SRP464220"
"SRR26260938","GSM7817942","A549-ACE2","infected","SRP464220"
"SRR26260939","GSM7817941","A549-ACE2","infected","SRP464220"
"SRR26260940","GSM7817940","A549-ACE2","infected","SRP464220"
"SRR26260941","GSM7817939","A549-ACE2","infected","SRP464220"
"SRR26260942","GSM7817938","A549-ACE2","infected","SRP464220"
"SRR26260943","GSM7817937","A549-ACE2","infected","SRP464220"
"SRR26260944","GSM7817936","A549-ACE2","infected","SRP464220"
"SRR26260945","GSM7817935","A549-ACE2","mock","SRP464220"
"SRR26260946","GSM7817934","A549-ACE2","mock","SRP464220"
"SRR26260947","GSM7817933","A549-ACE2","mock","SRP464220"
"SRR26260948","GSM7817932","A549-ACE2","mock","SRP464220"
"SRR26260949","GSM7817931","A549-ACE2","mock","SRP464220"
"SRR26260950","GSM7817947","A549-ACE2","infected","SRP464220"
"SRR26260951","GSM7817930","A549-ACE2","mock","SRP464220"
"SRR26260989","GSM7817964","A549-ACE2","infected","SRP464222"
"SRR26260990","GSM7817963","A549-ACE2","infected","SRP464222"
"SRR26260991","GSM7817962","A549-ACE2","infected","SRP464222"
"SRR26260992","GSM7817961","A549-ACE2","infected","SRP464222"
"SRR26260993","GSM7817960","A549-ACE2","infected","SRP464222"
"SRR26260994","GSM7817959","A549-ACE2","infected","SRP464222"
"SRR26260995","GSM7817958","A549-ACE2","infected","SRP464222"
"SRR26260996","GSM7817957","A549-ACE2","infected","SRP464222"
"SRR26260997","GSM7817956","A549-ACE2","infected","SRP464222"
"SRR26260998","GSM7817955","A549-ACE2","infected","SRP464222"
"SRR26260999","GSM7817954","A549-ACE2","infected","SRP464222"
"SRR26261000","GSM7817953","A549-ACE2","mock","SRP464222"
"SRR26261001","GSM7817952","A549-ACE2","mock","SRP464222"
"SRR26261002","GSM7817951","A549-ACE2","mock","SRP464222"
"SRR26261003","GSM7817950","A549-ACE2","mock","SRP464222"
"SRR26261004","GSM7817949","A549-ACE2","mock","SRP464222"
"SRR26261005","GSM7817948","A549-ACE2","mock","SRP464222"
"SRR26261006","GSM7817965","A549-ACE2","infected","SRP464222"
