"sample","gsm","cell_line","celltype","condition"
"DRR456169","GSM8473291","iPSC","Alv","WT"
"DRR456170","GSM8473292","iPSC","Alv","x484"
"DRR456171","GSM8473293","iPSC","Alv","x1371"
"DRR456172","GSM8473294","iPSC","Alv","WT"
"DRR456173","GSM8473295","iPSC","Alv","x484"
"DRR456174","GSM8473296","iPSC","Alv","x1371"
"DRR456175","GSM8473297","iPSC","Alv","WT"
"DRR456176","GSM8473298","iPSC","Alv","x484"
"DRR456177","GSM8473299","iPSC","Alv","x1371"
"DRR456178","GSM8473300","iPSC","Air","WT"
"DRR456179","GSM8473301","iPSC","Air","x484"
"DRR456180","GSM8473302","iPSC","Air","x1371"
"DRR456181","GSM8473303","iPSC","Air","WT"
"DRR456182","GSM8473304","iPSC","Air","x484"
"DRR456183","GSM8473305","iPSC","Air","x1371"
"DRR456184","GSM8473306","iPSC","Air","WT"
"DRR456185","GSM8473307","iPSC","Air","x484"
"DRR456186","GSM8473308","iPSC","Air","x1371"
