Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR18889440_1 - illumina_universal_adapter	(1, 0.0009870259120462342)	(2, 0.001008237070614563)	(3, 0.0010266200747071146)	(4, 0.0010619720056543292)	(5, 0.0011355040220245357)	(6, 0.0011821685708748593)	(7, 0.0012047938066810765)	(8, 0.0012302471969630711)	(9, 0.0013419592987562695)	(10, 0.001419733546840142)	(12, 0.001530738610014396)	(14, 0.0016983067627041938)	(16, 0.00188708607396232)	(18, 0.0022328279586260797)	(20, 0.0031477359315399958)	(22, 0.008695160935776925)	(24, 0.014895889623918381)	(26, 0.02291300052412773)	(28, 0.039643655364206554)	(30, 0.06896383985320746)	(32, 0.10835861762354562)	(34, 0.14750876003172908)	(36, 0.1893484773463766)	(38, 0.2393912567180158)	(40, 0.3015816666017369)	(42, 0.37667058201085885)	(44, 0.46169692520924277)	(46, 0.5534231663607428)	(48, 0.6583187088286993)	(50, 0.7811539421751293)	(52, 0.925609002411638)	(54, 1.0935221899474805)	(56, 1.2785089460535897)	(58, 1.4728314400842395)	(60, 1.695296192264729)	(62, 1.9526455228653106)	(64, 2.2439503831406924)	(66, 2.567799524007461)	(68, 2.9285235570066503)	(70, 3.3184900002467566)	(72, 3.742037949732241)	(74, 4.209058875742134)	(76, 4.728291775606587)	(78, 5.310242536164495)	(80, 5.950962346729051)	(82, 6.643660808403918)	(84, 7.387469677765028)	(86, 8.174451739276115)	(88, 9.012056351826377)	(90, 9.885311265621047)	(92, 10.837963081130066)	(94, 11.870667930191814)	(96, 12.965466324846489)	(98, 14.111946414391518)	(100, 15.319431917094914)	(102, 16.58182321079105)	(104, 17.923536460107925)	(106, 19.29368963083322)	(108, 20.694741096244996)	(110, 22.103718464575138)	(112, 23.51403991331989)	(114, 24.9595542093226)	(116, 26.438180537927707)	(118, 28.008782692316803)	(120, 29.569998202000793)	(122, 31.10873271175683)	(124, 32.67980999609786)	(126, 34.285621966671755)	(128, 35.866744148672126)	(130, 37.41454501463888)	(132, 38.94238688743147)	(134, 40.453194785816436)	(136, 41.97422999782444)	(138, 43.44755353678747)
SRR18889440_1 - polya	(1, 0.0068427197541428755)	(2, 0.014768622672508409)	(3, 0.021575990495704068)	(4, 0.033229401013143915)	(5, 0.04016544986498744)	(6, 0.04629264653675869)	(7, 0.053116983286809014)	(8, 0.06289956961852226)	(9, 0.08276028442466747)	(10, 0.10718564055471705)	(12, 0.12216354665843297)	(14, 0.14278715613441906)	(16, 0.15666349606981977)	(18, 0.168946877996739)	(20, 0.17996041856403427)	(22, 0.19277620057101852)	(24, 0.2068674802465783)	(26, 0.22627498329798024)	(28, 0.24518119596855065)	(30, 0.2629900847025195)	(32, 0.2789797630699447)	(34, 0.29972781134286497)	(36, 0.31433593624887307)	(38, 0.3270711158532977)	(40, 0.33984023331143165)	(42, 0.35424048886347004)	(44, 0.3666080083860437)	(46, 0.3832326074332808)	(48, 0.39568638566736564)	(50, 0.4063973137057527)	(52, 0.4181546589001774)	(54, 0.4323675492181956)	(56, 0.4464552937006606)	(58, 0.458952201290501)	(60, 0.46790401724495473)	(62, 0.4782649611669644)	(64, 0.4882667294705504)	(66, 0.497968713399704)	(68, 0.5088486236680188)	(70, 0.5204355725552778)	(72, 0.5318118239340915)	(74, 0.5416792549000782)	(76, 0.5514321456097957)	(78, 0.562256199827214)	(80, 0.5718075845305324)	(82, 0.5812020066604452)	(84, 0.5914017457773356)	(86, 0.6064114686189039)	(88, 0.6192548251320271)	(90, 0.6353696493350054)	(92, 0.6450242616766898)	(94, 0.6540283984889453)	(96, 0.6631060673175712)	(98, 0.6734754957030081)	(100, 0.6828239603226895)	(102, 0.691906578421648)	(104, 0.7005508325768609)	(106, 0.7088253055343661)	(108, 0.7190328220760647)	(110, 0.7280645333944592)	(112, 0.735985487042492)	(114, 0.7431286982096863)	(116, 0.7500350514395342)	(118, 0.7569251427811463)	(120, 0.7632439469186514)	(122, 0.7688896502909216)	(124, 0.7740602237112613)	(126, 0.7793425092333941)	(128, 0.7850391193862283)	(130, 0.7909534974336973)	(132, 0.7971004911867989)	(134, 0.8035444411598572)	(136, 0.8099275858116863)	(138, 0.8154686474683528)
SRR18889440_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001672853372422199)	(4, 0.002344540060419278)	(5, 0.0026796763657988736)	(6, 0.0029695621995660336)	(7, 0.003192986403152431)	(8, 0.003434793610831379)	(9, 0.0037557891438320884)	(10, 0.004107894376066346)	(12, 0.004506664157150928)	(14, 0.004835437114960026)	(16, 0.005193198656145838)	(18, 0.00563651187022391)	(20, 0.00618658791576257)	(22, 0.00668717125797513)	(24, 0.007180684213998248)	(26, 0.00778378815595773)	(28, 0.008520522396897684)	(30, 0.009706226160867266)	(32, 0.011368473954005299)	(34, 0.012983350159674067)	(36, 0.014820943530310285)	(38, 0.01660338788866885)	(40, 0.019160746573390362)	(42, 0.022415952375009887)	(44, 0.025919328731878865)	(46, 0.029858240878017528)	(48, 0.03228267630237751)	(50, 0.03397744787198698)	(52, 0.035445260044915335)	(54, 0.03753173100941995)	(56, 0.04005373776319424)	(58, 0.04250433361645516)	(60, 0.04427051608657801)	(62, 0.04552480259658519)	(64, 0.04712341691401824)	(66, 0.05038640014044615)	(68, 0.06927352276830506)	(70, 0.21086790475256512)	(72, 0.2494071657939807)	(74, 0.25674127738828983)	(76, 0.26190336634520217)	(78, 0.2679711717729821)	(80, 0.27744478222821667)	(82, 0.28323613555598937)	(84, 0.2894955484495032)	(86, 0.29579596958291576)	(88, 0.30241950736518597)	(90, 0.31061267088151245)	(92, 0.32249728302734704)	(94, 0.33451411139492426)	(96, 0.34740978876584927)	(98, 0.3680772346362099)	(100, 0.39938843987615796)	(102, 0.4398911471623818)	(104, 0.4863852997055396)	(106, 0.5328999563686468)	(108, 0.585723518628594)	(110, 0.6477315125486275)	(112, 0.7255842419192027)	(114, 0.8151999727931539)	(116, 0.9086796697196359)	(118, 1.0115283353857487)	(120, 1.134995661257515)	(122, 1.2754481758721798)	(124, 1.4470301868017241)	(126, 1.635615062439641)	(128, 1.8465706399809552)	(130, 2.048319160626377)	(132, 2.2574378518356735)	(134, 2.5243746261091404)	(136, 2.8542279389279837)	(138, 3.2297481691058203)
SRR18889440_2 - illumina_universal_adapter	(1, 0.000979955525856791)	(2, 0.0009955103754735657)	(3, 0.0010153074568040059)	(4, 0.0010435890015617775)	(5, 0.0011199491724077613)	(6, 0.0011581292578307532)	(7, 0.0011807544936369705)	(8, 0.0011977234204916336)	(9, 0.0013051932905711664)	(10, 0.0013787253069413728)	(12, 0.0014840740611640727)	(14, 0.0016558844455675358)	(16, 0.001846077834063551)	(18, 0.0022130308772956393)	(20, 0.0031449077770642187)	(22, 0.00871566505572631)	(24, 0.014934069709341375)	(26, 0.023017642239731483)	(28, 0.03983879802303518)	(30, 0.06913565023761092)	(32, 0.10836498097111613)	(34, 0.1474309857836452)	(36, 0.18875597898370128)	(38, 0.23860573681236869)	(40, 0.3004016191467189)	(42, 0.3752154965330715)	(44, 0.458699081464919)	(46, 0.5491667938746982)	(48, 0.6531608621035008)	(50, 0.7752593612089909)	(52, 0.9183837747646463)	(54, 1.083680212371776)	(56, 1.2652583352959548)	(58, 1.4559346311687087)	(60, 1.674973074201794)	(62, 1.9289307405473002)	(64, 2.215045230321012)	(66, 2.5317257066303043)	(68, 2.8855695468285463)	(70, 3.2679416882625723)	(72, 3.683259708223545)	(74, 4.139433954780214)	(76, 4.645075451272701)	(78, 5.2116813526836605)	(80, 5.835695254759802)	(82, 6.507360024559693)	(84, 7.222216369513655)	(86, 7.975674194907498)	(88, 8.784683337553176)	(90, 9.634005701135202)	(92, 10.56235235707939)	(94, 11.56398073772268)	(96, 12.62342225215981)	(98, 13.735946104991417)	(100, 14.908209064814866)	(102, 16.128038754766415)	(104, 17.427061012271434)	(106, 18.762146481574327)	(108, 20.12992753773306)	(110, 21.507370276619667)	(112, 22.885785900645942)	(114, 24.295152140216505)	(116, 25.73744799642578)	(118, 27.282025473328773)	(120, 28.812831959050584)	(122, 30.320127289576646)	(124, 31.856196970777884)	(126, 33.42722405537696)	(128, 34.973480041961324)	(130, 36.4889381333431)	(132, 37.9640186632742)	(134, 39.09271319635968)	(136, 40.2649450464839)	(138, 41.23637863586656)
SRR18889440_2 - polya	(1, 0.008970905997165199)	(2, 0.014754481900129523)	(3, 0.020850568872667223)	(4, 0.029760669548603215)	(5, 0.03861137898054788)	(6, 0.04692049683038122)	(7, 0.055508187896078615)	(8, 0.06888818672098043)	(9, 0.08641426000737158)	(10, 0.10969209245887457)	(12, 0.13366635795003767)	(14, 0.16191750004719485)	(16, 0.1950330678426887)	(18, 0.22413619147567374)	(20, 0.25198432156003264)	(22, 0.27848059380497003)	(24, 0.3034192599723732)	(26, 0.33082336980403504)	(28, 0.3537625307570637)	(30, 0.37468380349162533)	(32, 0.3941436274008292)	(34, 0.41238027449925935)	(36, 0.4305766203964097)	(38, 0.4466002366175442)	(40, 0.4628338433085052)	(42, 0.47829889902067374)	(44, 0.49394707773514884)	(46, 0.5132654939205639)	(48, 0.532402908219529)	(50, 0.5530597485106055)	(52, 0.5738000193587174)	(54, 0.5947700777579862)	(56, 0.6156241818237482)	(58, 0.6334528676390474)	(60, 0.6509202567200663)	(62, 0.6686718753259007)	(64, 0.6864729866350611)	(66, 0.707645258079348)	(68, 0.7343409152148277)	(70, 0.7744116219048767)	(72, 0.8113310574702908)	(74, 0.8356546000392124)	(76, 0.854062350483427)	(78, 0.8699424378649159)	(80, 0.8841652267235993)	(82, 0.8974024037474744)	(84, 0.9115403479718844)	(86, 0.9270633808508064)	(88, 0.9409170955504009)	(90, 0.9552254360819765)	(92, 0.968508570616083)	(94, 0.983460316290898)	(96, 0.9973797855820543)	(98, 1.0112419847450762)	(100, 1.0234949640113808)	(102, 1.0355421950395727)	(104, 1.0479514298406638)	(106, 1.0587896248304611)	(108, 1.0702959713151605)	(110, 1.081317996345883)	(112, 1.091434304905738)	(114, 1.100967306604964)	(116, 1.1103794047003503)	(118, 1.1195914108665754)	(120, 1.128292935149923)	(122, 1.1364627663918243)	(124, 1.144537854458787)	(126, 1.1524786051881504)	(128, 1.1602729989233924)	(130, 1.168121127593674)	(132, 1.1759565295688146)	(134, 1.1832920552403619)	(136, 1.1902401237487272)	(138, 1.1969265879680835)
SRR18889440_2 - polyg	(1, 0.6214558363528007)	(2, 0.6400353971814188)	(3, 0.6405557776049619)	(4, 0.6409658600039495)	(5, 0.6414070521021707)	(6, 0.6420702543267405)	(7, 0.6427249720878829)	(8, 0.6436384659835589)	(9, 0.6448856821073767)	(10, 0.6468788239741806)	(12, 0.6496645561328211)	(14, 0.6510864107955181)	(16, 0.6519214234044913)	(18, 0.652788959789936)	(20, 0.6536041753175788)	(22, 0.6543911093004637)	(24, 0.6551667306654456)	(26, 0.6559670983820907)	(28, 0.656723629704361)	(30, 0.6576802529557926)	(32, 0.6588306047888149)	(34, 0.6603507378195452)	(36, 0.6625149830321337)	(38, 0.6641871293659369)	(40, 0.665848670120456)	(42, 0.667879285034064)	(44, 0.6705122968510127)	(46, 0.6723300931403184)	(48, 0.6739492115777008)	(50, 0.6754297504457701)	(52, 0.6770969475092408)	(54, 0.6788624229407447)	(56, 0.6809361672101084)	(58, 0.6826648766334271)	(60, 0.6842960147273316)	(62, 0.685864933422769)	(64, 0.6875894006143741)	(66, 0.6900640357806791)	(68, 0.6927027039065793)	(70, 0.695865994687736)	(72, 0.7000976208221177)	(74, 0.7048871004268462)	(76, 0.71178284807741)	(78, 0.7198388461016613)	(80, 0.7305893683027093)	(82, 0.7442847063516602)	(84, 0.7598296574277694)	(86, 0.7785619385980795)	(88, 0.8004009474600309)	(90, 0.8267798512942236)	(92, 0.8573536152546127)	(94, 0.8929607871432663)	(96, 0.935306037070459)	(98, 0.9849578240858221)	(100, 1.0403938940427684)	(102, 1.1061293955618763)	(104, 1.184457961923001)	(106, 1.2784438985006468)	(108, 1.3830233947059352)	(110, 1.4964005724467473)	(112, 1.6232164332178338)	(114, 1.7774328686274874)	(116, 1.9485319721802927)	(118, 2.1573494649379197)	(120, 2.39705888903446)	(122, 2.6589714468817087)	(124, 2.938729659471111)	(126, 3.2470303140686756)	(128, 3.627779801872224)	(130, 4.020956907480956)	(132, 4.409935617770397)	(134, 4.80922012296957)	(136, 5.207704260452099)	(138, 5.6324831641731645)
SRR18889441_1 - illumina_universal_adapter	(1, 0.0009521838093344859)	(2, 0.0009635872082486714)	(3, 0.0009764160320271301)	(4, 0.0010034991044483206)	(5, 0.0010890245963047114)	(6, 0.001140339891418546)	(7, 0.001180251787618195)	(8, 0.0012044840103108392)	(9, 0.0012515230308318543)	(10, 0.001302838325945689)	(12, 0.00138622568050567)	(14, 0.0014988342447832515)	(16, 0.001635675031753477)	(18, 0.0019492685018935771)	(20, 0.0033746933661667595)	(22, 0.012755414397948575)	(24, 0.023159590482278534)	(26, 0.037081715131634704)	(28, 0.06592589997263469)	(30, 0.11692047449200779)	(32, 0.186981531995899)	(34, 0.2549664581849763)	(36, 0.32741866589868573)	(38, 0.416180584909409)	(40, 0.5247787163313578)	(42, 0.6568215232084398)	(44, 0.8065916264100552)	(46, 0.967435855382209)	(48, 1.1484705148443601)	(50, 1.361247960609011)	(52, 1.6104400226688167)	(54, 1.8944138768417522)	(56, 2.2101055723820626)	(58, 2.5445594226983683)	(60, 2.9187477038187217)	(62, 3.3441757325351027)	(64, 3.8212347879727555)	(66, 4.345045640821271)	(68, 4.922923571484102)	(70, 5.537324450731772)	(72, 6.1943526605455315)	(74, 6.909107726512627)	(76, 7.689089521556429)	(78, 8.544375799467353)	(80, 9.474904554263802)	(82, 10.460561615686014)	(84, 11.50428193352953)	(86, 12.589926134768618)	(88, 13.728792849589937)	(90, 14.90651807163621)	(92, 16.157811609064915)	(94, 17.472834466750413)	(96, 18.83451860736789)	(98, 20.242345176266756)	(100, 21.70198237541979)	(102, 23.215285395287847)	(104, 24.79582000430421)	(106, 26.386257752565115)	(108, 27.996965042395985)	(110, 29.581307673937253)	(112, 31.136426957623627)	(114, 32.70305013267712)	(116, 34.28263754687118)	(118, 35.913894474257845)	(120, 37.52381778041335)	(122, 39.10938057563845)	(124, 40.7018310238077)	(126, 42.308213574600366)	(128, 43.88275783562462)	(130, 45.42139065533081)	(132, 46.93602359659724)	(134, 48.41926440607777)	(136, 49.89699309760816)	(138, 51.32376356295322)
SRR18889441_1 - polya	(1, 0.009184012400512115)	(2, 0.017103672946413916)	(3, 0.024131017527280706)	(4, 0.03668330888207035)	(5, 0.04398148418714905)	(6, 0.050415852024478194)	(7, 0.057457450853987714)	(8, 0.0673399214379937)	(9, 0.08719466437245485)	(10, 0.11043550407199695)	(12, 0.12516228105723534)	(14, 0.14516027919055596)	(16, 0.15845165333747124)	(18, 0.17033328229362038)	(20, 0.18105461541025109)	(22, 0.19339594388512832)	(24, 0.20728742189990262)	(26, 0.22628334635363917)	(28, 0.24426579372887752)	(30, 0.2621135384544421)	(32, 0.2778338365700788)	(34, 0.29710700615991653)	(36, 0.3112971106837561)	(38, 0.3236812019045615)	(40, 0.3362541619198831)	(42, 0.3507186607300952)	(44, 0.3629103195942237)	(46, 0.37895704000377906)	(48, 0.39124990403327103)	(50, 0.401815865839696)	(52, 0.41363263796452066)	(54, 0.42760750333385494)	(56, 0.4412295760492816)	(58, 0.4538353208364815)	(60, 0.46270217620469284)	(62, 0.47307784379173734)	(64, 0.48253268691646134)	(66, 0.49170814676778785)	(68, 0.502562044396796)	(70, 0.5140395654039236)	(72, 0.5252669243473713)	(74, 0.5347182039099347)	(76, 0.5438950891861254)	(78, 0.5537654436587851)	(80, 0.5627833940626095)	(82, 0.571354473771484)	(84, 0.5806197353892597)	(86, 0.5947243144212429)	(88, 0.6073044015608858)	(90, 0.6228835826149596)	(92, 0.6320283958317041)	(94, 0.6404269991320017)	(96, 0.6487586074636785)	(98, 0.6581699751300423)	(100, 0.6665372190833259)	(102, 0.6746977764312898)	(104, 0.6824456732810467)	(106, 0.6901108954886757)	(108, 0.6992970460264842)	(110, 0.7077013510262389)	(112, 0.7148177846611228)	(114, 0.7211295659601245)	(116, 0.7275183202017969)	(118, 0.7337011005505818)	(120, 0.7392203456250475)	(122, 0.7441152546089617)	(124, 0.7486345641411398)	(126, 0.7530533812203866)	(128, 0.758080142004246)	(130, 0.7634996073382126)	(132, 0.7688406743046443)	(134, 0.7744240634980023)	(136, 0.7800623315486348)	(138, 0.7848738531779891)
SRR18889441_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0020953745504815784)	(4, 0.0027467937134544227)	(5, 0.0030717905825087084)	(6, 0.0032670737889141342)	(7, 0.0034481027466768286)	(8, 0.003604899481746879)	(9, 0.003841520009216227)	(10, 0.004083842236142669)	(12, 0.0043432695614403875)	(14, 0.004605547736466653)	(16, 0.004862836924467963)	(18, 0.005175004969743789)	(20, 0.005564858670122505)	(22, 0.005934756422401395)	(24, 0.006346704208176345)	(26, 0.006859144446882555)	(28, 0.007461386452037974)	(30, 0.008182651433360204)	(32, 0.009140536942151783)	(34, 0.010069201241225761)	(36, 0.01107127492080981)	(38, 0.012042701965811984)	(40, 0.01320157238046608)	(42, 0.014698268487952922)	(44, 0.016150063712215158)	(46, 0.01788908204662844)	(48, 0.019163411875288666)	(50, 0.020238182222950644)	(52, 0.02118894060742086)	(54, 0.022659266354918647)	(56, 0.023940723307900237)	(58, 0.02537897699595188)	(60, 0.026611256791116047)	(62, 0.027593374522600266)	(64, 0.029270386875417664)	(66, 0.0327769320415297)	(68, 0.0637350219562468)	(70, 0.32780210518717523)	(72, 0.4024851028134723)	(74, 0.4113932955027475)	(76, 0.4154742868891616)	(78, 0.41921246359571807)	(80, 0.4238272765938025)	(82, 0.4272183623459084)	(84, 0.43060160826126076)	(86, 0.4336220835486556)	(88, 0.43689200818729834)	(90, 0.44158807040264636)	(92, 0.45258237238078536)	(94, 0.46543329024464025)	(96, 0.4808549618512118)	(98, 0.5088168087012267)	(100, 0.5563910762587763)	(102, 0.6218280555029654)	(104, 0.69637349962986)	(106, 0.7715019425262424)	(108, 0.8591220962206827)	(110, 0.963250807980703)	(112, 1.0936002101190283)	(114, 1.2450138281891507)	(116, 1.4012261390648488)	(118, 1.5725807382737211)	(120, 1.7804839437149895)	(122, 2.018007477835855)	(124, 2.3040061480284906)	(126, 2.6186373274697816)	(128, 2.9839822727321836)	(130, 3.3222512726977174)	(132, 3.660315011482795)	(134, 4.095163673127158)	(136, 4.633385571353476)	(138, 5.241862384865227)
SRR18889441_2 - illumina_universal_adapter	(1, 0.0009436312601488468)	(2, 0.0009536092341987591)	(3, 0.0009650126331129446)	(4, 0.0009849685812127692)	(5, 0.0010818974719833455)	(6, 0.0011260856427758143)	(7, 0.0011602958395183706)	(8, 0.0011816772124824684)	(9, 0.001232992507596303)	(10, 0.001285020515142274)	(12, 0.0013719714318629382)	(14, 0.0014738893096584707)	(16, 0.0016000394101466475)	(18, 0.0019221854294723868)	(20, 0.00340391457588436)	(22, 0.0128338127654836)	(24, 0.02325865751034552)	(26, 0.03726559493912594)	(28, 0.06611334334228662)	(30, 0.11682283288880509)	(32, 0.1863600467550759)	(34, 0.2541539660123406)	(36, 0.3258407205739353)	(38, 0.41422490199562617)	(40, 0.5225543408306595)	(42, 0.6542742889759836)	(44, 0.8022298263253793)	(46, 0.9616714372310882)	(48, 1.1412970642149056)	(50, 1.3525364765510055)	(52, 1.599072259376238)	(54, 1.8779737391696574)	(56, 2.187255299095331)	(58, 2.5162782806787565)	(60, 2.885987164163131)	(62, 3.306085529311995)	(64, 3.775168619921607)	(66, 4.287769218925047)	(68, 4.855271482000832)	(70, 5.459901073803909)	(72, 6.107170824996855)	(74, 6.809146957055741)	(76, 7.573841783142646)	(78, 8.410417221572688)	(80, 9.32066930767485)	(82, 10.281014387069732)	(84, 11.287316589513646)	(86, 12.330249360119652)	(88, 13.433965810500426)	(90, 14.58559221599429)	(92, 15.813071892928015)	(94, 17.09793988760981)	(96, 18.425871392866163)	(98, 19.80197798226036)	(100, 21.23278952709563)	(102, 22.710972929157723)	(104, 24.25669011043935)	(106, 25.820083985462833)	(108, 27.407918907921573)	(110, 28.973969774892062)	(112, 30.51103177639782)	(114, 32.05631634123314)	(116, 33.61574397157178)	(118, 35.23814259613942)	(120, 36.835286968386725)	(122, 38.40607095861903)	(124, 39.98099010638259)	(126, 41.569996728079765)	(128, 43.12860188827172)	(130, 44.6532847875437)	(132, 46.136107234826575)	(134, 47.24652532020673)	(136, 48.397083369764815)	(138, 49.34849388611043)
