Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR18889440_1	(1, 0.005558737622140038)	(2, 0.06812034278080692)	(3, 0.00024463536215472563)	(4, 0.0012740835913376174)	(5, 0.00010746987007953264)	(6, 0.0)	(7, 0.0005924983626753182)	(8, 9.898540665220113e-06)	(9, 0.00033230815090381805)	(10, 0.0)	(15, 1.13126179031087e-05)	(20, 9.502599038611308e-05)	(25, 0.008247746897708975)	(30, 0.005884541017749568)	(35, 0.005403471941419871)	(40, 0.006772864338591179)	(45, 0.002390073347479291)	(50, 0.001904196408540772)	(55, 6.900696920896307e-05)	(60, 0.0004952098487085834)	(65, 0.0)	(70, 2.601902117715001e-05)	(75, 0.0)	(80, 0.00014791247908314627)	(85, 1.4706403274041312e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.61204805119299e-05)	(115, 0.0)	(120, 8.484463427331525e-07)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR18889440_2	(1, 9.898540665220113e-06)	(2, 0.0012316612742009597)	(3, 0.0)	(4, 0.0)	(5, 4.242231713665763e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.0928343120751094e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 5.8825613096165247e-05)	(45, 0.00023021177432826207)	(50, 0.0001100152091077321)	(55, 0.00014847810997830168)	(60, 1.1312617903108702e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0001906176116673816)	(85, 0.0)	(90, 1.696892685466305e-06)	(95, 0.0)	(100, 9.559162128126851e-05)	(105, 4.242231713665763e-06)	(110, 0.0)	(115, 2.8281544757771754e-07)	(120, 0.0)	(125, 0.00014480150915979138)	(130, 0.0)	(135, 0.0010368014308199125)	(140, 0.0)	(145, 3.39378537093261e-06)	(150, 0.0)
SRR18889441_1	(1, 0.0058485182181128685)	(2, 0.07089920732408383)	(3, 0.0002138137296409774)	(4, 0.0009407804104203005)	(5, 7.982379239929822e-05)	(6, 0.0)	(7, 0.00037488673930384704)	(8, 8.552549185639096e-06)	(9, 0.00020383575559106511)	(10, 0.0)	(15, 8.552549185639096e-06)	(20, 0.00010291567520052379)	(25, 0.008701648626442071)	(30, 0.006099963164170657)	(35, 0.005709966921305515)	(40, 0.0071416636549815)	(45, 0.0025087477611208013)	(50, 0.002024388392240774)	(55, 8.410006699211777e-05)	(60, 0.0005185695656225838)	(65, 0.0)	(70, 2.708307242119047e-05)	(75, 0.0)	(80, 9.863940060770424e-05)	(85, 1.1688483887040097e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.1118313941330824e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR18889441_2	(1, 5.701699457092731e-06)	(2, 0.0007768565510288844)	(3, 0.0)	(4, 0.0)	(5, 3.135934701401002e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.79603532898421e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 5.131529511383457e-05)	(45, 0.00014710384599299245)	(50, 7.49773478607694e-05)	(55, 0.00016221334955428818)	(60, 1.140339891418546e-06)	(65, 0.0)	(70, 0.0)	(75, 2.850849728546365e-07)	(80, 0.00012771806783887717)	(85, 0.0)	(90, 1.995594809982456e-06)	(95, 0.0)	(100, 6.357394894658395e-05)	(105, 4.276274592819548e-06)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00013969163669877189)	(130, 0.0)	(135, 0.0010967218905717866)	(140, 0.0)	(145, 3.706104647110275e-06)	(150, 0.0)
SRR18889442_1	(1, 0.006525342187682832)	(2, 0.0744329893675659)	(3, 0.0002484752444050288)	(4, 0.0006587779556789737)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.5290784271078693e-06)	(20, 0.0001123872643924284)	(25, 0.009821015890909326)	(30, 0.006979733326938387)	(35, 0.006316877828787126)	(40, 0.007910177549833527)	(45, 0.0028025459104842063)	(50, 0.0022171637193064107)	(55, 7.619907495087548e-05)	(60, 0.0005537812370175666)	(65, 0.0)	(70, 2.4720101238243887e-05)	(75, 0.0)	(80, 0.0)	(85, 1.019385618071913e-06)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR18889442_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.0581568542157386e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 3.2620339778301214e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0001674340877683117)	(60, 7.645392135539347e-07)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.274232022589891e-06)	(95, 0.0)	(100, 0.0)	(105, 3.822696067769673e-06)	(110, 0.0)	(115, 7.645392135539347e-07)	(120, 0.0)	(125, 0.00011824873169634189)	(130, 0.0)	(135, 0.0012158721959552741)	(140, 0.0)	(145, 2.548464045179782e-06)	(150, 0.0)
SRR18889443_1	(1, 0.00521254101495762)	(2, 0.06759884781044166)	(3, 0.00017936218420976457)	(4, 0.0015080220564713282)	(5, 0.00015038829291434105)	(6, 0.0)	(7, 0.0008140283744904699)	(8, 2.897389129542351e-05)	(9, 0.0004125330236824585)	(10, 0.0)	(15, 1.407303291491999e-05)	(20, 8.25066047364917e-05)	(25, 0.007792321107537756)	(30, 0.00552463121548261)	(35, 0.005039249550828801)	(40, 0.006291749480256681)	(45, 0.002199808203877297)	(50, 0.001764647950802222)	(55, 5.6568073481541135e-05)	(60, 0.0004522686460304679)	(65, 0.0)	(70, 2.1247520283310573e-05)	(75, 0.0)	(80, 0.00019177956619351752)	(85, 2.3179113036338806e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 2.2627229392616456e-05)	(115, 0.0)	(120, 2.7594182186117624e-07)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR18889443_2	(1, 1.931592753028234e-05)	(2, 0.0016584103493856692)	(3, 0.0)	(4, 0.0)	(5, 4.8289818825705846e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.2285193157757625e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 6.51222699592376e-05)	(45, 0.0002908426802416798)	(50, 0.0001462491655864234)	(55, 0.00014155815461478342)	(60, 2.7594182186117624e-07)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0002513829997155316)	(85, 0.0)	(90, 2.4834763967505863e-06)	(95, 0.0)	(100, 0.00012500164530311283)	(105, 3.863185506056468e-06)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00014211003825850577)	(130, 0.0)	(135, 0.0009732468057043688)	(140, 0.0)	(145, 1.6556509311670576e-06)	(150, 0.0)
SRR18889444_1	(1, 0.005617158342799892)	(2, 0.06886547669086168)	(3, 0.00023398881590530414)	(4, 0.0012355750888658134)	(5, 0.00011699440795265207)	(6, 0.0)	(7, 0.0005863988008358537)	(8, 1.56943717985265e-05)	(9, 0.00031531419704312327)	(10, 0.0)	(15, 1.341155408237719e-05)	(20, 9.759045736538296e-05)	(25, 0.008104002892330046)	(30, 0.005732155285250914)	(35, 0.005242776237351406)	(40, 0.0066778125241657655)	(45, 0.0023250498438980713)	(50, 0.0018450874190776788)	(55, 6.249213497958733e-05)	(60, 0.00046826298402512695)	(65, 0.0)	(70, 2.3969586019567745e-05)	(75, 0.0)	(80, 0.00014210540283029447)	(85, 1.4838315154970506e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.4552962940451844e-05)	(115, 0.0)	(120, 8.560566435559907e-07)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR18889444_2	(1, 1.4267610725933182e-05)	(2, 0.0012669638324628663)	(3, 0.0)	(4, 0.0)	(5, 4.9936637540766135e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.0830711659862444e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 6.049466947795669e-05)	(45, 0.00021372880867447905)	(50, 0.00010386820608479355)	(55, 0.00015580230912719031)	(60, 5.707044290373272e-07)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00017948654293223942)	(85, 0.0)	(90, 2.282817716149309e-06)	(95, 0.0)	(100, 9.159806086049102e-05)	(105, 3.99493100326129e-06)	(110, 0.0)	(115, 8.560566435559907e-07)	(120, 0.0)	(125, 0.00014067864175770116)	(130, 0.0)	(135, 0.0009995888074588784)	(140, 0.0)	(145, 3.1388743597052993e-06)	(150, 0.0)
