Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR18889440_1	(0.0, 3935.0)	(1.0, 3508.0)	(2.0, 3420.5)	(3.0, 4025.5)	(4.0, 4259.5)	(5.0, 4138.5)	(6.0, 3830.5)	(7.0, 3516.0)	(8.0, 3250.0)	(9.0, 3006.0)	(10.0, 2902.0)	(11.0, 3077.0)	(12.0, 3364.0)	(13.0, 3552.5)	(14.0, 3951.0)	(15.0, 4604.0)	(16.0, 5878.5)	(17.0, 8093.5)	(18.0, 11581.5)	(19.0, 17480.5)	(20.0, 27548.5)	(21.0, 43431.5)	(22.0, 70177.0)	(23.0, 103877.0)	(24.0, 152199.0)	(25.0, 216071.0)	(26.0, 292704.0)	(27.0, 393876.5)	(28.0, 511385.5)	(29.0, 628320.5)	(30.0, 751466.5)	(31.0, 887065.0)	(32.0, 1019399.0)	(33.0, 1143596.5)	(34.0, 1270711.5)	(35.0, 1409654.0)	(36.0, 1547269.5)	(37.0, 1693635.0)	(38.0, 1828361.5)	(39.0, 1924914.5)	(40.0, 2013922.5)	(41.0, 2107606.0)	(42.0, 2187491.5)	(43.0, 2225058.5)	(44.0, 2215103.0)	(45.0, 2229959.5)	(46.0, 2301617.0)	(47.0, 2303181.0)	(48.0, 2281361.5)	(49.0, 2224133.0)	(50.0, 2133057.5)	(51.0, 2111952.5)	(52.0, 2063716.5)	(53.0, 2046492.5)	(54.0, 1980184.0)	(55.0, 1876705.0)	(56.0, 1806388.0)	(57.0, 1830280.0)	(58.0, 1804409.0)	(59.0, 1711974.5)	(60.0, 1746100.5)	(61.0, 1816548.0)	(62.0, 1761728.0)	(63.0, 1567303.5)	(64.0, 1205560.5)	(65.0, 785051.5)	(66.0, 546486.5)	(67.0, 432210.0)	(68.0, 413179.5)	(69.0, 337136.5)	(70.0, 226274.5)	(71.0, 175364.0)	(72.0, 152420.5)	(73.0, 123772.0)	(74.0, 90882.5)	(75.0, 79952.5)	(76.0, 78781.0)	(77.0, 83735.0)	(78.0, 83352.0)	(79.0, 75984.5)	(80.0, 81836.0)	(81.0, 123952.5)	(82.0, 176785.5)	(83.0, 161671.5)	(84.0, 94827.0)	(85.0, 55066.5)	(86.0, 55849.5)	(87.0, 68161.5)	(88.0, 68822.0)	(89.0, 59873.0)	(90.0, 66442.5)	(91.0, 126136.5)	(92.0, 126474.5)	(93.0, 62828.5)	(94.0, 40274.0)	(95.0, 34794.0)	(96.0, 29541.5)	(97.0, 16265.0)	(98.0, 7986.0)	(99.0, 5796.0)	(100.0, 2266.0)
SRR18889440_2	(0.0, 3383.0)	(1.0, 3559.5)	(2.0, 5082.5)	(3.0, 7738.5)	(4.0, 9760.0)	(5.0, 10619.0)	(6.0, 10902.0)	(7.0, 11088.5)	(8.0, 11034.5)	(9.0, 10806.0)	(10.0, 10778.0)	(11.0, 10869.0)	(12.0, 11112.0)	(13.0, 11589.5)	(14.0, 12093.0)	(15.0, 12989.5)	(16.0, 14382.5)	(17.0, 16399.0)	(18.0, 19856.5)	(19.0, 25327.0)	(20.0, 35038.5)	(21.0, 50343.5)	(22.0, 74619.0)	(23.0, 111283.0)	(24.0, 159589.5)	(25.0, 223232.0)	(26.0, 305625.5)	(27.0, 409429.5)	(28.0, 521149.5)	(29.0, 631936.0)	(30.0, 748541.0)	(31.0, 874752.0)	(32.0, 999680.0)	(33.0, 1126604.5)	(34.0, 1253276.0)	(35.0, 1410497.0)	(36.0, 1622084.0)	(37.0, 1772724.5)	(38.0, 1846890.5)	(39.0, 1932795.0)	(40.0, 2021843.5)	(41.0, 2097452.5)	(42.0, 2142626.5)	(43.0, 2172668.0)	(44.0, 2208896.0)	(45.0, 2243311.5)	(46.0, 2281225.5)	(47.0, 2277094.0)	(48.0, 2268780.5)	(49.0, 2196533.0)	(50.0, 2087011.5)	(51.0, 2050666.0)	(52.0, 2007805.5)	(53.0, 1985876.0)	(54.0, 1990847.5)	(55.0, 1958649.5)	(56.0, 1783606.0)	(57.0, 1592044.0)	(58.0, 1520077.0)	(59.0, 1572384.5)	(60.0, 1712727.5)	(61.0, 1970739.0)	(62.0, 1872191.5)	(63.0, 1442790.5)	(64.0, 1192866.5)	(65.0, 939710.5)	(66.0, 678512.0)	(67.0, 487073.0)	(68.0, 369766.0)	(69.0, 282964.5)	(70.0, 215674.0)	(71.0, 172782.0)	(72.0, 151627.0)	(73.0, 131411.0)	(74.0, 109795.5)	(75.0, 93641.5)	(76.0, 84218.5)	(77.0, 80560.0)	(78.0, 78767.0)	(79.0, 81626.0)	(80.0, 85797.0)	(81.0, 91375.0)	(82.0, 93124.0)	(83.0, 99218.5)	(84.0, 96399.5)	(85.0, 84771.5)	(86.0, 99819.5)	(87.0, 105449.5)	(88.0, 87012.5)	(89.0, 76863.0)	(90.0, 80622.5)	(91.0, 99238.0)	(92.0, 105035.5)	(93.0, 91173.0)	(94.0, 81969.0)	(95.0, 73714.5)	(96.0, 62307.0)	(97.0, 53094.5)	(98.0, 47334.5)	(99.0, 41218.0)	(100.0, 67275.5)
SRR18889441_1	(0.0, 5152.0)	(1.0, 4214.0)	(2.0, 3618.5)	(3.0, 4222.5)	(4.0, 4472.0)	(5.0, 4292.5)	(6.0, 3887.0)	(7.0, 3456.5)	(8.0, 3171.5)	(9.0, 2965.0)	(10.0, 2855.5)	(11.0, 2954.5)	(12.0, 3206.0)	(13.0, 3435.0)	(14.0, 3710.5)	(15.0, 4264.0)	(16.0, 5610.5)	(17.0, 7792.5)	(18.0, 10932.0)	(19.0, 16622.0)	(20.0, 26782.5)	(21.0, 42840.5)	(22.0, 69974.5)	(23.0, 104935.0)	(24.0, 153356.5)	(25.0, 219031.0)	(26.0, 300004.5)	(27.0, 404479.5)	(28.0, 525435.5)	(29.0, 648751.0)	(30.0, 775814.5)	(31.0, 914532.5)	(32.0, 1054229.5)	(33.0, 1187487.5)	(34.0, 1323467.5)	(35.0, 1473573.5)	(36.0, 1629493.5)	(37.0, 1798231.0)	(38.0, 1948948.5)	(39.0, 2061538.0)	(40.0, 2161746.0)	(41.0, 2256487.0)	(42.0, 2338408.0)	(43.0, 2381603.5)	(44.0, 2378223.5)	(45.0, 2393111.0)	(46.0, 2452073.0)	(47.0, 2430704.0)	(48.0, 2388330.5)	(49.0, 2319135.0)	(50.0, 2209096.0)	(51.0, 2154574.5)	(52.0, 2069926.5)	(53.0, 1985916.5)	(54.0, 1902776.5)	(55.0, 1827248.0)	(56.0, 1743355.0)	(57.0, 1690327.0)	(58.0, 1625704.0)	(59.0, 1530021.5)	(60.0, 1537609.5)	(61.0, 1567405.5)	(62.0, 1541526.5)	(63.0, 1397325.0)	(64.0, 1053737.0)	(65.0, 701942.5)	(66.0, 501163.0)	(67.0, 394179.5)	(68.0, 358207.5)	(69.0, 283371.0)	(70.0, 195259.5)	(71.0, 155520.5)	(72.0, 129593.0)	(73.0, 101953.0)	(74.0, 79550.5)	(75.0, 73653.0)	(76.0, 78985.0)	(77.0, 91201.0)	(78.0, 94917.0)	(79.0, 84234.0)	(80.0, 78115.5)	(81.0, 100371.5)	(82.0, 133048.0)	(83.0, 115500.0)	(84.0, 58903.0)	(85.0, 26490.0)	(86.0, 22377.0)	(87.0, 27262.5)	(88.0, 26837.5)	(89.0, 20530.5)	(90.0, 18901.0)	(91.0, 27003.0)	(92.0, 25066.0)	(93.0, 13783.0)	(94.0, 10127.0)	(95.0, 9267.0)	(96.0, 8184.0)	(97.0, 4951.0)	(98.0, 2859.5)	(99.0, 2373.0)	(100.0, 1108.5)
SRR18889441_2	(0.0, 6470.0)	(1.0, 7289.5)	(2.0, 11583.5)	(3.0, 18850.5)	(4.0, 24596.5)	(5.0, 27504.0)	(6.0, 29020.5)	(7.0, 29362.5)	(8.0, 29074.0)	(9.0, 29055.0)	(10.0, 28980.5)	(11.0, 28891.5)	(12.0, 29106.0)	(13.0, 29542.5)	(14.0, 29952.5)	(15.0, 30620.0)	(16.0, 32026.0)	(17.0, 33942.5)	(18.0, 37002.0)	(19.0, 42093.0)	(20.0, 52290.0)	(21.0, 68676.0)	(22.0, 94630.0)	(23.0, 133558.5)	(24.0, 184798.0)	(25.0, 251887.0)	(26.0, 336651.5)	(27.0, 444174.0)	(28.0, 559997.5)	(29.0, 672382.0)	(30.0, 790554.5)	(31.0, 919235.0)	(32.0, 1047803.0)	(33.0, 1180664.5)	(34.0, 1311448.0)	(35.0, 1473513.0)	(36.0, 1697036.0)	(37.0, 1847626.0)	(38.0, 1918829.5)	(39.0, 2012137.0)	(40.0, 2103638.0)	(41.0, 2176453.0)	(42.0, 2216050.0)	(43.0, 2241538.0)	(44.0, 2267668.5)	(45.0, 2287125.0)	(46.0, 2313804.0)	(47.0, 2301946.0)	(48.0, 2286339.5)	(49.0, 2213349.5)	(50.0, 2097705.5)	(51.0, 2041485.0)	(52.0, 1973970.5)	(53.0, 1911891.0)	(54.0, 1869193.5)	(55.0, 1823807.5)	(56.0, 1709732.5)	(57.0, 1568814.5)	(58.0, 1480035.5)	(59.0, 1473769.5)	(60.0, 1542546.5)	(61.0, 1730303.0)	(62.0, 1616989.0)	(63.0, 1229465.0)	(64.0, 1008809.5)	(65.0, 809080.5)	(66.0, 615839.0)	(67.0, 450448.5)	(68.0, 336597.0)	(69.0, 260844.0)	(70.0, 202396.0)	(71.0, 166151.5)	(72.0, 146518.5)	(73.0, 127185.5)	(74.0, 109036.5)	(75.0, 95716.0)	(76.0, 87204.0)	(77.0, 81559.5)	(78.0, 77174.0)	(79.0, 75117.5)	(80.0, 73503.5)	(81.0, 74271.0)	(82.0, 74864.0)	(83.0, 74392.5)	(84.0, 71042.0)	(85.0, 67802.0)	(86.0, 71495.5)	(87.0, 71335.5)	(88.0, 63528.0)	(89.0, 56630.0)	(90.0, 53479.0)	(91.0, 53671.0)	(92.0, 51257.0)	(93.0, 45990.5)	(94.0, 43530.5)	(95.0, 42442.5)	(96.0, 42244.0)	(97.0, 44099.0)	(98.0, 50220.0)	(99.0, 65449.5)	(100.0, 172235.5)
SRR18889442_1	(0.0, 5109.0)	(1.0, 4232.0)	(2.0, 3789.5)	(3.0, 4550.0)	(4.0, 4882.5)	(5.0, 4789.5)	(6.0, 4439.5)	(7.0, 3918.0)	(8.0, 3591.5)	(9.0, 3435.0)	(10.0, 3300.5)	(11.0, 3483.0)	(12.0, 3739.0)	(13.0, 3920.0)	(14.0, 4194.0)	(15.0, 4838.5)	(16.0, 6430.0)	(17.0, 8653.5)	(18.0, 12055.5)	(19.0, 18190.5)	(20.0, 29005.5)	(21.0, 46140.0)	(22.0, 75526.0)	(23.0, 113573.0)	(24.0, 166220.5)	(25.0, 236439.0)	(26.0, 322561.5)	(27.0, 435521.0)	(28.0, 566157.5)	(29.0, 698127.5)	(30.0, 835157.0)	(31.0, 984408.5)	(32.0, 1130604.0)	(33.0, 1269138.0)	(34.0, 1414498.0)	(35.0, 1572401.5)	(36.0, 1732086.0)	(37.0, 1906929.0)	(38.0, 2066427.5)	(39.0, 2182022.5)	(40.0, 2289370.0)	(41.0, 2398854.5)	(42.0, 2492411.0)	(43.0, 2547754.5)	(44.0, 2548115.5)	(45.0, 2570994.5)	(46.0, 2652379.5)	(47.0, 2654136.0)	(48.0, 2625971.0)	(49.0, 2558187.5)	(50.0, 2458869.0)	(51.0, 2430272.5)	(52.0, 2357710.0)	(53.0, 2283726.5)	(54.0, 2201565.5)	(55.0, 2116295.5)	(56.0, 2023769.5)	(57.0, 1994523.0)	(58.0, 1945573.0)	(59.0, 1851861.0)	(60.0, 1885762.0)	(61.0, 1931332.5)	(62.0, 1881620.0)	(63.0, 1706013.5)	(64.0, 1301861.5)	(65.0, 871273.5)	(66.0, 626734.5)	(67.0, 475806.0)	(68.0, 420087.0)	(69.0, 326788.0)	(70.0, 216604.0)	(71.0, 170223.5)	(72.0, 147608.5)	(73.0, 118576.0)	(74.0, 90056.0)	(75.0, 81726.5)	(76.0, 81062.5)	(77.0, 84922.0)	(78.0, 83006.5)	(79.0, 73041.0)	(80.0, 70866.0)	(81.0, 92289.5)	(82.0, 122371.0)	(83.0, 110984.5)	(84.0, 66247.5)	(85.0, 39523.0)	(86.0, 40065.0)	(87.0, 50080.0)	(88.0, 51545.5)	(89.0, 43036.0)	(90.0, 43463.0)	(91.0, 75296.5)	(92.0, 74259.0)	(93.0, 38523.0)	(94.0, 26117.0)	(95.0, 22862.0)	(96.0, 19610.5)	(97.0, 11147.0)	(98.0, 5592.5)	(99.0, 4280.0)	(100.0, 1828.0)
SRR18889442_2	(0.0, 4862.0)	(1.0, 5627.0)	(2.0, 9206.5)	(3.0, 15091.5)	(4.0, 19692.5)	(5.0, 21682.5)	(6.0, 22268.5)	(7.0, 22049.0)	(8.0, 21415.0)	(9.0, 20854.5)	(10.0, 20535.5)	(11.0, 20635.0)	(12.0, 21014.0)	(13.0, 21341.0)	(14.0, 21596.0)	(15.0, 22285.0)	(16.0, 23807.5)	(17.0, 26194.5)	(18.0, 29878.5)	(19.0, 35795.5)	(20.0, 47092.5)	(21.0, 65036.0)	(22.0, 93504.0)	(23.0, 135777.0)	(24.0, 190828.5)	(25.0, 263644.0)	(26.0, 356438.0)	(27.0, 473185.5)	(28.0, 596964.5)	(29.0, 718389.5)	(30.0, 847159.5)	(31.0, 986502.5)	(32.0, 1124959.5)	(33.0, 1265338.0)	(34.0, 1403128.5)	(35.0, 1573621.5)	(36.0, 1805220.0)	(37.0, 1972999.5)	(38.0, 2062701.0)	(39.0, 2166342.0)	(40.0, 2271243.0)	(41.0, 2363338.0)	(42.0, 2422546.0)	(43.0, 2464406.5)	(44.0, 2506563.5)	(45.0, 2550031.5)	(46.0, 2603694.5)	(47.0, 2601993.5)	(48.0, 2586944.5)	(49.0, 2507916.0)	(50.0, 2393622.5)	(51.0, 2350031.5)	(52.0, 2287527.0)	(53.0, 2236506.0)	(54.0, 2209409.0)	(55.0, 2157053.0)	(56.0, 1989225.5)	(57.0, 1798949.5)	(58.0, 1708862.5)	(59.0, 1741438.5)	(60.0, 1859307.5)	(61.0, 2095530.0)	(62.0, 1963535.5)	(63.0, 1509071.0)	(64.0, 1242607.0)	(65.0, 977782.5)	(66.0, 718553.5)	(67.0, 513333.0)	(68.0, 382349.5)	(69.0, 291927.5)	(70.0, 220929.0)	(71.0, 176371.0)	(72.0, 155043.5)	(73.0, 134444.0)	(74.0, 112296.5)	(75.0, 95770.0)	(76.0, 85977.0)	(77.0, 79776.5)	(78.0, 74986.5)	(79.0, 74965.5)	(80.0, 75246.0)	(81.0, 76810.5)	(82.0, 75901.0)	(83.0, 78221.5)	(84.0, 75116.0)	(85.0, 67653.5)	(86.0, 79839.0)	(87.0, 83116.5)	(88.0, 67560.5)	(89.0, 58095.0)	(90.0, 59188.0)	(91.0, 70158.5)	(92.0, 72560.5)	(93.0, 63475.5)	(94.0, 58609.5)	(95.0, 54493.0)	(96.0, 48681.0)	(97.0, 44195.0)	(98.0, 40907.5)	(99.0, 38015.0)	(100.0, 70648.0)
SRR18889443_1	(0.0, 4222.0)	(1.0, 3573.0)	(2.0, 3229.5)	(3.0, 3725.5)	(4.0, 3886.0)	(5.0, 3798.0)	(6.0, 3484.5)	(7.0, 3147.0)	(8.0, 2998.0)	(9.0, 2907.0)	(10.0, 2915.5)	(11.0, 3022.0)	(12.0, 3190.5)	(13.0, 3453.0)	(14.0, 3778.0)	(15.0, 4367.5)	(16.0, 5662.5)	(17.0, 7700.5)	(18.0, 11188.0)	(19.0, 17046.0)	(20.0, 27140.5)	(21.0, 43358.0)	(22.0, 70490.5)	(23.0, 106084.5)	(24.0, 156423.5)	(25.0, 222366.5)	(26.0, 302684.5)	(27.0, 408934.0)	(28.0, 533019.0)	(29.0, 655372.0)	(30.0, 782769.5)	(31.0, 923305.5)	(32.0, 1060373.0)	(33.0, 1191615.0)	(34.0, 1326422.0)	(35.0, 1473797.0)	(36.0, 1624936.0)	(37.0, 1785008.0)	(38.0, 1932482.5)	(39.0, 2045246.5)	(40.0, 2147046.0)	(41.0, 2247152.0)	(42.0, 2329507.0)	(43.0, 2375379.5)	(44.0, 2375645.0)	(45.0, 2395030.0)	(46.0, 2453983.0)	(47.0, 2432076.0)	(48.0, 2395970.0)	(49.0, 2330364.0)	(50.0, 2229270.0)	(51.0, 2190551.0)	(52.0, 2121564.0)	(53.0, 2063301.0)	(54.0, 1992728.0)	(55.0, 1917457.5)	(56.0, 1847734.5)	(57.0, 1845446.5)	(58.0, 1797489.0)	(59.0, 1710567.5)	(60.0, 1733567.5)	(61.0, 1789216.0)	(62.0, 1750980.0)	(63.0, 1568641.0)	(64.0, 1226068.0)	(65.0, 823158.5)	(66.0, 558706.5)	(67.0, 412752.0)	(68.0, 375246.5)	(69.0, 299880.5)	(70.0, 200876.5)	(71.0, 156852.5)	(72.0, 135162.0)	(73.0, 108319.5)	(74.0, 79361.5)	(75.0, 70717.0)	(76.0, 73505.0)	(77.0, 80606.5)	(78.0, 80039.5)	(79.0, 71588.5)	(80.0, 75066.0)	(81.0, 114519.5)	(82.0, 158489.5)	(83.0, 132686.0)	(84.0, 65691.0)	(85.0, 30869.0)	(86.0, 27699.0)	(87.0, 34047.0)	(88.0, 34233.0)	(89.0, 29298.5)	(90.0, 31264.0)	(91.0, 49913.5)	(92.0, 48500.0)	(93.0, 25718.0)	(94.0, 16530.5)	(95.0, 14559.0)	(96.0, 12826.0)	(97.0, 7448.5)	(98.0, 4191.5)	(99.0, 3392.0)	(100.0, 1398.5)
SRR18889443_2	(0.0, 4872.0)	(1.0, 5317.5)	(2.0, 8103.5)	(3.0, 13136.0)	(4.0, 17367.5)	(5.0, 19686.0)	(6.0, 20871.0)	(7.0, 21271.5)	(8.0, 21103.0)	(9.0, 20822.5)	(10.0, 20762.0)	(11.0, 20815.5)	(12.0, 21157.0)	(13.0, 21805.0)	(14.0, 22005.5)	(15.0, 22507.5)	(16.0, 24057.0)	(17.0, 26110.5)	(18.0, 29348.5)	(19.0, 34838.5)	(20.0, 44918.0)	(21.0, 61340.0)	(22.0, 87775.5)	(23.0, 126893.5)	(24.0, 178608.0)	(25.0, 246737.0)	(26.0, 333160.5)	(27.0, 441061.0)	(28.0, 557281.0)	(29.0, 670782.0)	(30.0, 789053.0)	(31.0, 918074.5)	(32.0, 1048111.0)	(33.0, 1181146.5)	(34.0, 1310335.0)	(35.0, 1469111.0)	(36.0, 1680597.5)	(37.0, 1832898.0)	(38.0, 1913736.5)	(39.0, 2006174.5)	(40.0, 2100536.5)	(41.0, 2180719.0)	(42.0, 2224817.5)	(43.0, 2251784.5)	(44.0, 2283535.5)	(45.0, 2315225.5)	(46.0, 2355111.5)	(47.0, 2350822.5)	(48.0, 2338738.0)	(49.0, 2264871.5)	(50.0, 2152659.5)	(51.0, 2105251.5)	(52.0, 2047888.0)	(53.0, 2003112.5)	(54.0, 1986725.5)	(55.0, 1966929.0)	(56.0, 1839228.5)	(57.0, 1672996.0)	(58.0, 1592982.5)	(59.0, 1624789.0)	(60.0, 1744867.0)	(61.0, 1977068.5)	(62.0, 1860905.5)	(63.0, 1440420.5)	(64.0, 1192622.5)	(65.0, 941947.0)	(66.0, 691219.0)	(67.0, 492748.5)	(68.0, 364936.0)	(69.0, 278503.0)	(70.0, 212055.5)	(71.0, 170253.5)	(72.0, 148287.5)	(73.0, 127967.5)	(74.0, 107854.5)	(75.0, 92915.5)	(76.0, 82617.0)	(77.0, 76350.5)	(78.0, 72572.5)	(79.0, 71115.5)	(80.0, 71640.5)	(81.0, 75555.5)	(82.0, 78307.0)	(83.0, 81095.0)	(84.0, 78918.5)	(85.0, 74487.0)	(86.0, 79801.5)	(87.0, 80738.5)	(88.0, 70645.0)	(89.0, 61660.5)	(90.0, 59373.0)	(91.0, 62738.5)	(92.0, 60104.0)	(93.0, 50674.0)	(94.0, 45012.5)	(95.0, 41039.5)	(96.0, 37586.0)	(97.0, 36280.5)	(98.0, 37042.5)	(99.0, 39960.5)	(100.0, 90145.5)
SRR18889444_1	(0.0, 3600.0)	(1.0, 3083.0)	(2.0, 2800.0)	(3.0, 3423.5)	(4.0, 3785.5)	(5.0, 3628.0)	(6.0, 3331.5)	(7.0, 3061.0)	(8.0, 2848.5)	(9.0, 2681.5)	(10.0, 2639.5)	(11.0, 2748.0)	(12.0, 2947.5)	(13.0, 3187.5)	(14.0, 3443.0)	(15.0, 3946.0)	(16.0, 5198.5)	(17.0, 7121.5)	(18.0, 9977.0)	(19.0, 15031.0)	(20.0, 23758.0)	(21.0, 37806.0)	(22.0, 61962.0)	(23.0, 92966.0)	(24.0, 135651.0)	(25.0, 193358.0)	(26.0, 266088.0)	(27.0, 363279.0)	(28.0, 475607.0)	(29.0, 588684.5)	(30.0, 706870.5)	(31.0, 837822.5)	(32.0, 969705.5)	(33.0, 1094243.5)	(34.0, 1221253.5)	(35.0, 1362621.5)	(36.0, 1507503.5)	(37.0, 1666765.0)	(38.0, 1817156.0)	(39.0, 1932518.5)	(40.0, 2034678.0)	(41.0, 2131717.0)	(42.0, 2215146.0)	(43.0, 2270264.0)	(44.0, 2282043.0)	(45.0, 2306312.0)	(46.0, 2372497.0)	(47.0, 2362905.0)	(48.0, 2338075.5)	(49.0, 2282752.0)	(50.0, 2189894.0)	(51.0, 2167589.5)	(52.0, 2107183.0)	(53.0, 2042103.0)	(54.0, 1969178.0)	(55.0, 1884345.5)	(56.0, 1794835.0)	(57.0, 1766995.0)	(58.0, 1735400.5)	(59.0, 1653413.0)	(60.0, 1667680.5)	(61.0, 1731122.5)	(62.0, 1748548.0)	(63.0, 1621629.5)	(64.0, 1222133.0)	(65.0, 778789.0)	(66.0, 535120.0)	(67.0, 413944.5)	(68.0, 388495.5)	(69.0, 313913.0)	(70.0, 211367.0)	(71.0, 165844.0)	(72.0, 142899.5)	(73.0, 115439.5)	(74.0, 88589.5)	(75.0, 79724.5)	(76.0, 80339.5)	(77.0, 88653.0)	(78.0, 91592.0)	(79.0, 82477.5)	(80.0, 80568.0)	(81.0, 108155.0)	(82.0, 148150.5)	(83.0, 136582.0)	(84.0, 81431.5)	(85.0, 47229.5)	(86.0, 46309.0)	(87.0, 58623.0)	(88.0, 59702.5)	(89.0, 48228.5)	(90.0, 48358.0)	(91.0, 84955.5)	(92.0, 83986.5)	(93.0, 41869.5)	(94.0, 27147.0)	(95.0, 24438.0)	(96.0, 20920.5)	(97.0, 11602.5)	(98.0, 5941.0)	(99.0, 4502.0)	(100.0, 1875.0)
SRR18889444_2	(0.0, 3609.0)	(1.0, 4004.0)	(2.0, 6280.0)	(3.0, 9841.0)	(4.0, 12566.5)	(5.0, 14145.0)	(6.0, 14940.5)	(7.0, 15125.0)	(8.0, 14968.0)	(9.0, 14957.0)	(10.0, 14796.0)	(11.0, 14687.0)	(12.0, 15015.5)	(13.0, 15377.0)	(14.0, 15658.5)	(15.0, 16546.0)	(16.0, 18091.5)	(17.0, 20083.5)	(18.0, 23354.0)	(19.0, 28505.5)	(20.0, 37833.0)	(21.0, 52853.0)	(22.0, 76995.5)	(23.0, 112904.5)	(24.0, 159541.0)	(25.0, 220116.5)	(26.0, 299519.5)	(27.0, 400447.5)	(28.0, 508214.0)	(29.0, 612870.5)	(30.0, 722080.0)	(31.0, 842811.5)	(32.0, 966459.5)	(33.0, 1091874.0)	(34.0, 1213707.0)	(35.0, 1367343.0)	(36.0, 1569755.0)	(37.0, 1713242.0)	(38.0, 1795064.5)	(39.0, 1893143.5)	(40.0, 1989027.5)	(41.0, 2069726.0)	(42.0, 2122724.5)	(43.0, 2162260.5)	(44.0, 2206321.0)	(45.0, 2254243.5)	(46.0, 2310364.5)	(47.0, 2312315.5)	(48.0, 2296744.0)	(49.0, 2226284.5)	(50.0, 2127713.0)	(51.0, 2093833.5)	(52.0, 2042585.0)	(53.0, 1999107.5)	(54.0, 1977311.5)	(55.0, 1936728.0)	(56.0, 1793185.5)	(57.0, 1627841.5)	(58.0, 1560624.0)	(59.0, 1605735.0)	(60.0, 1718981.5)	(61.0, 1940155.0)	(62.0, 1816247.5)	(63.0, 1389595.0)	(64.0, 1138944.5)	(65.0, 893359.5)	(66.0, 659223.0)	(67.0, 481160.0)	(68.0, 364809.5)	(69.0, 279116.5)	(70.0, 212324.0)	(71.0, 169749.0)	(72.0, 148424.5)	(73.0, 128700.0)	(74.0, 109640.5)	(75.0, 95308.5)	(76.0, 86935.5)	(77.0, 82754.5)	(78.0, 78884.0)	(79.0, 79456.0)	(80.0, 80510.0)	(81.0, 82538.5)	(82.0, 82866.5)	(83.0, 86245.5)	(84.0, 83343.0)	(85.0, 76032.0)	(86.0, 88459.5)	(87.0, 91417.5)	(88.0, 75296.5)	(89.0, 64809.5)	(90.0, 65018.0)	(91.0, 76414.5)	(92.0, 78705.5)	(93.0, 68026.0)	(94.0, 62372.5)	(95.0, 58033.5)	(96.0, 51375.0)	(97.0, 46214.0)	(98.0, 43669.0)	(99.0, 42542.0)	(100.0, 85135.5)
