Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR18889440_1	(13.0, 6.0)	(14.0, 101.0)	(15.0, 733.0)	(16.0, 2025.0)	(17.0, 4010.0)	(18.0, 7212.0)	(19.0, 13072.0)	(20.0, 21812.0)	(21.0, 33562.0)	(22.0, 47537.0)	(23.0, 64812.0)	(24.0, 86518.0)	(25.0, 122798.0)	(26.0, 177614.0)	(27.0, 260300.0)	(28.0, 374851.0)	(29.0, 525448.0)	(30.0, 701882.0)	(31.0, 940343.0)	(32.0, 1447281.0)	(33.0, 3101849.0)	(34.0, 4435992.0)	(35.0, 6755612.0)	(36.0, 44637342.0)	(37.0, 6954783.0)		
SRR18889440_2	(11.0, 9.0)	(12.0, 1035.0)	(13.0, 12600.0)	(14.0, 36772.0)	(15.0, 48496.0)	(16.0, 45545.0)	(17.0, 42029.0)	(18.0, 45282.0)	(19.0, 60813.0)	(20.0, 96739.0)	(21.0, 160064.0)	(22.0, 236360.0)	(23.0, 296598.0)	(24.0, 325323.0)	(25.0, 340575.0)	(26.0, 342832.0)	(27.0, 368206.0)	(28.0, 433589.0)	(29.0, 573951.0)	(30.0, 939762.0)	(31.0, 2051707.0)	(32.0, 3099695.0)	(33.0, 4441674.0)	(34.0, 8950451.0)	(35.0, 22779316.0)	(36.0, 24778339.0)	(37.0, 209733.0)
SRR18889441_1	(13.0, 5.0)	(14.0, 81.0)	(15.0, 558.0)	(16.0, 1590.0)	(17.0, 3220.0)	(18.0, 5376.0)	(19.0, 8757.0)	(20.0, 13747.0)	(21.0, 21516.0)	(22.0, 33746.0)	(23.0, 49990.0)	(24.0, 71711.0)	(25.0, 104109.0)	(26.0, 154620.0)	(27.0, 227577.0)	(28.0, 333262.0)	(29.0, 475371.0)	(30.0, 660517.0)	(31.0, 940511.0)	(32.0, 1850148.0)	(33.0, 4832108.0)	(34.0, 5379931.0)	(35.0, 7075742.0)	(36.0, 41431934.0)	(37.0, 6478395.0)		
SRR18889441_2	(11.0, 26.0)	(12.0, 2290.0)	(13.0, 31322.0)	(14.0, 99303.0)	(15.0, 134803.0)	(16.0, 126140.0)	(17.0, 110203.0)	(18.0, 107694.0)	(19.0, 131298.0)	(20.0, 194740.0)	(21.0, 294722.0)	(22.0, 390979.0)	(23.0, 432926.0)	(24.0, 400909.0)	(25.0, 351682.0)	(26.0, 331085.0)	(27.0, 362023.0)	(28.0, 471021.0)	(29.0, 749041.0)	(30.0, 1187274.0)	(31.0, 1745570.0)	(32.0, 2763117.0)	(33.0, 5015118.0)	(34.0, 10432065.0)	(35.0, 21965258.0)	(36.0, 22158627.0)	(37.0, 165286.0)
SRR18889442_1	(13.0, 3.0)	(14.0, 83.0)	(15.0, 596.0)	(16.0, 1669.0)	(17.0, 3389.0)	(18.0, 6885.0)	(19.0, 12021.0)	(20.0, 19814.0)	(21.0, 30237.0)	(22.0, 43817.0)	(23.0, 60147.0)	(24.0, 81474.0)	(25.0, 112955.0)	(26.0, 161792.0)	(27.0, 234992.0)	(28.0, 340896.0)	(29.0, 482078.0)	(30.0, 647130.0)	(31.0, 850102.0)	(32.0, 1135739.0)	(33.0, 1630660.0)	(34.0, 3176639.0)	(35.0, 8917488.0)	(36.0, 52048463.0)	(37.0, 8479574.0)		
SRR18889442_2	(11.0, 9.0)	(12.0, 1103.0)	(13.0, 14267.0)	(14.0, 48403.0)	(15.0, 70878.0)	(16.0, 67299.0)	(17.0, 60029.0)	(18.0, 61042.0)	(19.0, 78525.0)	(20.0, 126760.0)	(21.0, 210866.0)	(22.0, 307081.0)	(23.0, 350502.0)	(24.0, 337537.0)	(25.0, 327121.0)	(26.0, 326252.0)	(27.0, 345519.0)	(28.0, 395689.0)	(29.0, 501962.0)	(30.0, 729582.0)	(31.0, 1487080.0)	(32.0, 3471328.0)	(33.0, 4699170.0)	(34.0, 8762741.0)	(35.0, 26101742.0)	(36.0, 29471077.0)	(37.0, 125079.0)
SRR18889443_1	(13.0, 6.0)	(14.0, 120.0)	(15.0, 762.0)	(16.0, 2133.0)	(17.0, 4113.0)	(18.0, 6893.0)	(19.0, 10902.0)	(20.0, 16631.0)	(21.0, 23714.0)	(22.0, 34484.0)	(23.0, 48761.0)	(24.0, 67567.0)	(25.0, 93413.0)	(26.0, 135078.0)	(27.0, 197073.0)	(28.0, 291028.0)	(29.0, 420724.0)	(30.0, 581057.0)	(31.0, 789597.0)	(32.0, 1084213.0)	(33.0, 1633938.0)	(34.0, 3537056.0)	(35.0, 8325253.0)	(36.0, 48502956.0)	(37.0, 6671574.0)		
SRR18889443_2	(11.0, 14.0)	(12.0, 731.0)	(13.0, 11854.0)	(14.0, 47644.0)	(15.0, 79964.0)	(16.0, 82629.0)	(17.0, 76181.0)	(18.0, 75220.0)	(19.0, 90056.0)	(20.0, 133400.0)	(21.0, 203674.0)	(22.0, 282707.0)	(23.0, 339241.0)	(24.0, 355061.0)	(25.0, 343414.0)	(26.0, 321740.0)	(27.0, 319102.0)	(28.0, 369433.0)	(29.0, 497906.0)	(30.0, 831516.0)	(31.0, 1589090.0)	(32.0, 2860276.0)	(33.0, 4505942.0)	(34.0, 9103024.0)	(35.0, 22725288.0)	(36.0, 26970481.0)	(37.0, 263458.0)
SRR18889444_1	(13.0, 4.0)	(14.0, 74.0)	(15.0, 511.0)	(16.0, 1482.0)	(17.0, 2966.0)	(18.0, 5831.0)	(19.0, 11263.0)	(20.0, 18673.0)	(21.0, 28510.0)	(22.0, 41032.0)	(23.0, 58345.0)	(24.0, 80437.0)	(25.0, 115088.0)	(26.0, 169668.0)	(27.0, 251902.0)	(28.0, 367495.0)	(29.0, 521355.0)	(30.0, 714549.0)	(31.0, 997895.0)	(32.0, 2054398.0)	(33.0, 4589170.0)	(34.0, 4725054.0)	(35.0, 6622020.0)	(36.0, 41800228.0)	(37.0, 6910870.0)		
SRR18889444_2	(11.0, 14.0)	(12.0, 1338.0)	(13.0, 16672.0)	(14.0, 49419.0)	(15.0, 65628.0)	(16.0, 60871.0)	(17.0, 54663.0)	(18.0, 56828.0)	(19.0, 73942.0)	(20.0, 115547.0)	(21.0, 187246.0)	(22.0, 271289.0)	(23.0, 324941.0)	(24.0, 332740.0)	(25.0, 330848.0)	(26.0, 330111.0)	(27.0, 358142.0)	(28.0, 424449.0)	(29.0, 555036.0)	(30.0, 853358.0)	(31.0, 1866075.0)	(32.0, 3653234.0)	(33.0, 4669633.0)	(34.0, 9142525.0)	(35.0, 22126089.0)	(36.0, 23954828.0)	(37.0, 213354.0)
