Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18889440_1	(1.0, 16.291779951814597)	(2.0, 8.353267235106378)	(3.0, 5.00126190418095)	(4.0, 3.523895420828891)	(5.0, 2.7449034499262717)	(6.0, 2.2658023798419817)	(7.0, 1.9345852180264542)	(8.0, 1.6531913306934196)	(9.0, 1.4233959887992198)	('>10', 19.491637070206203)	('>50', 6.421334142335551)	('>100', 10.891020955986368)	('>500', 3.7481785795353293)	('>1k', 5.9975329582352455)	('>5k', 1.4634589677733993)	('>10k+', 8.794754446709714)
SRR18889440_2	(1.0, 16.923533932423275)	(2.0, 8.171908344831486)	(3.0, 5.358270718911258)	(4.0, 3.884670423070042)	(5.0, 3.016545605908264)	(6.0, 2.5067739765718127)	(7.0, 2.0500000996213226)	(8.0, 1.8300461871442357)	(9.0, 1.5664151289794945)	('>10', 19.805513089089477)	('>50', 6.085422242688813)	('>100', 10.951701585042223)	('>500', 3.364626078114093)	('>1k', 4.602648389504621)	('>5k', 1.518286988547246)	('>10k+', 8.363637209552223)
SRR18889441_1	(1.0, 15.603548532689834)	(2.0, 8.54476359978494)	(3.0, 5.236228988136079)	(4.0, 3.585409892097708)	(5.0, 2.751471431365703)	(6.0, 2.2759769610993605)	(7.0, 1.951659179202068)	(8.0, 1.7011801611245394)	(9.0, 1.4435893129839459)	('>10', 20.42326844174868)	('>50', 6.5716312328907955)	('>100', 11.374617991108485)	('>500', 3.787640746802722)	('>1k', 5.901293979185543)	('>5k', 1.5216413654366623)	('>10k+', 7.326078184343086)
SRR18889441_2	(1.0, 17.832088352386087)	(2.0, 8.330681077439742)	(3.0, 5.445339956586052)	(4.0, 4.034199747213836)	(5.0, 3.081369111953753)	(6.0, 2.5610577634326677)	(7.0, 2.1516221572806473)	(8.0, 1.7736442814794708)	(9.0, 1.6004160521789361)	('>10', 20.220755115878543)	('>50', 6.066843864760495)	('>100', 10.85558252030172)	('>500', 3.321012027655321)	('>1k', 4.24442233367765)	('>5k', 1.4829748895515678)	('>10k+', 6.997990748223394)
SRR18889442_1	(1.0, 15.07945679680393)	(2.0, 8.19414799684872)	(3.0, 5.043221352085793)	(4.0, 3.497421047400959)	(5.0, 2.725514149320383)	(6.0, 2.277894224883521)	(7.0, 1.8720692670835652)	(8.0, 1.6401139755984049)	(9.0, 1.3954439439416348)	('>10', 19.974456529272498)	('>50', 6.723212684666054)	('>100', 11.660660453916062)	('>500', 3.992034822073153)	('>1k', 6.292766906761256)	('>5k', 1.3425287009569729)	('>10k+', 8.289057148386796)
SRR18889442_2	(1.0, 15.972669867802388)	(2.0, 8.118176257322027)	(3.0, 5.2881219430793625)	(4.0, 3.779893162397029)	(5.0, 3.0532472512722357)	(6.0, 2.3771672414365996)	(7.0, 2.0286920946045903)	(8.0, 1.8671680106756656)	(9.0, 1.6358082034703816)	('>10', 20.333968202784327)	('>50', 6.325442756639352)	('>100', 11.510383618460493)	('>500', 3.6240702470554282)	('>1k', 4.730543497714377)	('>5k', 1.4578629885179817)	('>10k+', 7.896784656767644)
SRR18889443_1	(1.0, 16.246717618976398)	(2.0, 8.468020325326709)	(3.0, 5.099316163199359)	(4.0, 3.4716475799206328)	(5.0, 2.673929876140867)	(6.0, 2.322027420744086)	(7.0, 1.9217329733543107)	(8.0, 1.7035703443853485)	(9.0, 1.5361217776574503)	('>10', 19.9052869024354)	('>50', 6.351384403163617)	('>100', 11.372107229857118)	('>500', 3.579701350960729)	('>1k', 5.674603512118019)	('>5k', 1.371384772903875)	('>10k+', 8.30244774885606)
SRR18889443_2	(1.0, 17.306775798986116)	(2.0, 8.368373450731879)	(3.0, 5.179993089864647)	(4.0, 3.822706547326556)	(5.0, 3.044560451231919)	(6.0, 2.431677573842968)	(7.0, 2.1790247273494523)	(8.0, 1.7975134537574815)	(9.0, 1.626127965480215)	('>10', 19.959971900595015)	('>50', 6.094612399027842)	('>100', 11.116355724843016)	('>500', 3.334856683801786)	('>1k', 4.264253359544098)	('>5k', 1.3790059921932984)	('>10k+', 8.094190881423744)
SRR18889444_1	(1.0, 16.361655523954383)	(2.0, 8.216766995270094)	(3.0, 4.910012059028758)	(4.0, 3.4496136186717075)	(5.0, 2.6850979275045823)	(6.0, 2.2610605553375036)	(7.0, 1.8198961613856826)	(8.0, 1.6364782950053927)	(9.0, 1.4706669463774307)	('>10', 19.514845143934263)	('>50', 6.423198728454283)	('>100', 11.436674335799593)	('>500', 3.839852706493787)	('>1k', 6.24044817397147)	('>5k', 1.5425289113139549)	('>10k+', 8.191203917497056)
SRR18889444_2	(1.0, 17.482633245256803)	(2.0, 8.288606062019248)	(3.0, 5.251039873371316)	(4.0, 3.822495429764746)	(5.0, 2.96385708820259)	(6.0, 2.4534842102708883)	(7.0, 2.081397847418171)	(8.0, 1.7661948093527284)	(9.0, 1.5489769673414395)	('>10', 19.66684122720271)	('>50', 5.95214470902239)	('>100', 11.24259255456345)	('>500', 3.487679375550941)	('>1k', 4.535321530441851)	('>5k', 1.620698727472603)	('>10k+', 7.8360363427482564)
