.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR20079519_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079519_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079520_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR20079520_2	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR20079521_1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079521_2	1	1	1	0.25	1	1	0.5	0.5	0.25	1
SRR20079522_1	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR20079522_2	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079523_1	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR20079523_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079524_1	1	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.25	1
SRR20079524_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079525_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079525_2	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR20079526_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079526_2	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR20079527_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079527_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079528_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079528_2	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079529_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079529_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR20079530_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079530_2	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR20079531_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079531_2	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR20079532_1	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR20079532_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079533_1	1	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.25	1
SRR20079533_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079534_1	1	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0.25	1
SRR20079534_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079535_1	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR20079535_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079536_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR20079536_2	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079537_1	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079537_2	1	1	1	0.25	0.5	1	0.5	1	0.25	1
SRR20079538_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079538_2	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR20079539_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079539_2	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079540_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079540_2	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079541_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR20079541_2	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1
SRR20079542_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079542_2	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR20079543_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079543_2	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR20079516_1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR20079516_2	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR20079517_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079517_2	1	1	1	0.5	0.25	1	0.5	0.5	0.25	1
SRR20079518_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR20079518_2	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
