Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR20079516_1	(1, 9.553778325750416)	(2, 9.523060673777312)	(3, 9.511520888482789)	(4, 9.513273348713762)	(5, 9.525659605365133)	(6, 9.511520888482789)	(7, 9.511520888482789)	(8, 9.511520888482789)	(9, 9.511520888482789)	(10, 9.511849888092188)	(12, 9.511520888482789)	(14, 9.511520888482789)	(16, 9.511520888482789)	(18, 9.511520888482789)	(20, 9.511520888482789)	(22, 9.51280382163301)	(24, 9.518056242532825)	(26, 9.522548161822971)	(28, 9.527119437802822)	(30, 9.531232759552504)	(32, 9.534909619508811)	(34, 9.538604665373175)	(36, 0.0)	(38, 0.0015737139398575516)	(40, 0.00017730488675664834)	(42, 0.0005154952573156728)	(44, 0.0006764020173086889)	(46, 0.00016820077966180527)	(48, 0.0)	(50, 0.0)	(52, 0.004295354895649036)	(54, 6.221708723862212e-05)	(56, 7.322745887646597e-06)	(58, 0.0)	(60, 0.0)	(62, 3.673389870109485e-06)	(64, 0.0)	(66, 0.0006394864882955175)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 6.394331943801119e-05)	(78, 2.648147289952267e-05)	(80, 0.0)	(82, 7.678121182174213e-06)	(84, 0.004928822477584073)	(86, 8.21189793737067e-05)	(88, 0.0)	(90, 0.0)	(92, 0.002196886724784955)	(94, 0.0)	(96, 0.0033278518809412784)	(98, 0.003358197811608606)	(100, 0.0)
SRR20079516_2	(1, 0.32073328755554514)	(2, 0.055718315758747326)	(3, 0.04926397166278419)	(4, 0.04926397166278419)	(5, 0.04926397166278419)	(6, 0.04926397166278419)	(7, 0.04926397166278419)	(8, 0.04926397166278419)	(9, 0.05349963497576)	(10, 0.04926397166278419)	(12, 0.04926397166278419)	(14, 0.04928215757084147)	(16, 0.04926397166278419)	(18, 0.04926397166278419)	(20, 0.04926397166278419)	(22, 0.050525412376211415)	(24, 0.05707068601246092)	(26, 0.05982667771532223)	(28, 0.06424089358013307)	(30, 0.06828312496195425)	(32, 0.0717285279066231)	(34, 0.0760600805529918)	(36, 0.0002812785885559556)	(38, 1.3237270242561892e-05)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0006455513336130502)	(50, 4.3044507557257965e-05)	(52, 0.0)	(54, 0.0)	(56, 3.47970894720163e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0007704685367274863)	(66, 0.0)	(68, 0.002310367754416093)	(70, 0.00017595806822038424)	(72, 0.0)	(74, 0.00021790938446021287)	(76, 1.6968155150566416e-06)	(78, 0.00013813832547732716)	(80, 0.0)	(82, 5.182771382996111e-06)	(84, 6.964293406099056e-05)	(86, 1.4045336626075234e-05)	(88, 0.0)	(90, 0.0)	(92, 3.6122493760426196e-06)	(94, 0.00010592296956579235)	(96, 0.0)	(98, 3.0380207537830763e-05)	(100, 0.0)
SRR20079517_1	(1, 10.638025865913484)	(2, 10.77954511669392)	(3, 10.638372726822258)	(4, 10.63822407214707)	(5, 10.638025865913484)	(6, 10.640602546950102)	(7, 10.638025865913484)	(8, 10.638025865913484)	(9, 10.638025865913484)	(10, 10.63806302958228)	(12, 10.638025865913484)	(14, 10.638025865913484)	(16, 10.638025865913484)	(18, 10.638447054159855)	(20, 10.638025865913484)	(22, 10.639450473217382)	(24, 10.644678162628214)	(26, 10.64844408106635)	(28, 10.653188642782816)	(30, 10.657115603785739)	(32, 10.661736286606214)	(34, 10.66376790050047)	(36, 6.933583755889039e-05)	(38, 0.00011094287856275721)	(40, 0.0003189793548240357)	(42, 0.0)	(44, 1.387020649131212e-05)	(46, 0.0012484190160294228)	(48, 0.0009156259052210654)	(50, 0.0008464238799210357)	(52, 4.163821966631408e-05)	(54, 0.001818764176121348)	(56, 0.0)	(58, 0.0)	(60, 0.00048704339333986246)	(62, 0.0011566910886428125)	(64, 2.7914535740794552e-05)	(66, 1.3982560391377458e-05)	(68, 0.0013177090422736481)	(70, 0.0)	(72, 9.89004949404626e-05)	(74, 0.0)	(76, 1.4269888978836755e-05)	(78, 0.0)	(80, 0.000982865759038318)	(82, 0.0)	(84, 2.9405892176238924e-05)	(86, 0.0)	(88, 0.0007799594811049565)	(90, 0.0)	(92, 0.0)	(94, 0.0019424002192892152)	(96, 0.0)	(98, 0.0005035440567750797)	(100, 0.0)
SRR20079517_2	(1, 0.13676230117437194)	(2, 0.1458550121401318)	(3, 0.13663842227838066)	(4, 0.13663842227838066)	(5, 0.13663842227838066)	(6, 0.13668797383677717)	(7, 0.13663842227838066)	(8, 0.13668797383677717)	(9, 0.13663842227838066)	(10, 0.1366631980575789)	(12, 0.13663842227838066)	(14, 0.13663842227838066)	(16, 0.13937614587978792)	(18, 0.13663842227838066)	(20, 0.13663842227838066)	(22, 0.13803825380308213)	(24, 0.14306773698032801)	(26, 0.14609038204251523)	(28, 0.150327040285417)	(30, 0.15445220752192657)	(32, 0.1567315792081661)	(34, 0.15932064813438382)	(36, 1.2407983942083502e-05)	(38, 0.0038217790282109336)	(40, 0.00027299512381073396)	(42, 0.0)	(44, 0.0010176168084484038)	(46, 0.0010673281784691858)	(48, 0.0)	(50, 0.0)	(52, 0.0008319316733275007)	(54, 2.4840221485350852e-05)	(56, 0.0)	(58, 1.2432128349293078e-05)	(60, 0.0008337553960773676)	(62, 0.0)	(64, 0.0)	(66, 0.0006997141667628773)	(68, 0.0005509632904429282)	(70, 0.0)	(72, 0.0)	(74, 0.0016581621512970436)	(76, 0.0)	(78, 3.833169720872414e-05)	(80, 0.003123564349410392)	(82, 0.00024592101172421954)	(84, 0.00018260852098315385)	(86, 0.0)	(88, 0.0012604499594068774)	(90, 1.3390808468722218e-05)	(92, 0.0)	(94, 0.003008445801344666)	(96, 0.0016057448011935669)	(98, 0.0)	(100, 0.0007926552912999389)
SRR20079518_1	(1, 18.737988389518424)	(2, 18.862784049865976)	(3, 18.73823631299031)	(4, 18.73816869749798)	(5, 18.737988389518424)	(6, 18.742766550976558)	(7, 18.737988389518424)	(8, 18.737988389518424)	(9, 18.737988389518424)	(10, 18.738067274259482)	(12, 18.737988389518424)	(14, 18.737988389518424)	(16, 18.737988389518424)	(18, 18.738484236462195)	(20, 18.73802219726459)	(22, 18.739058968147017)	(24, 18.743408898153714)	(26, 18.747262981216643)	(28, 18.751950988685)	(30, 18.755027493586105)	(32, 18.759715501054465)	(34, 18.761586196342318)	(36, 0.0004023009394143109)	(38, 9.711179801522906e-05)	(40, 0.00037459616452374537)	(42, 0.0)	(44, 0.0004023956137213019)	(46, 0.001720717311540171)	(48, 0.0009576229632990306)	(50, 0.0028318312828237357)	(52, 5.5540922065394713e-05)	(54, 0.002402889245139983)	(56, 0.0)	(58, 1.3905372549264995e-05)	(60, 0.00047331090303683233)	(62, 0.0013661484038646945)	(64, 4.1883226214655445e-05)	(66, 0.00015384809039554345)	(68, 0.0015844054126093153)	(70, 0.0)	(72, 0.0003815563570751359)	(74, 2.8399941609720053e-05)	(76, 8.565145425462892e-05)	(78, 0.0)	(80, 0.0012151329181822074)	(82, 0.0)	(84, 0.000279793641880926)	(86, 0.0)	(88, 0.0008723351102398455)	(90, 0.0)	(92, 0.00012330710899392805)	(94, 0.0024216006780481895)	(96, 0.0)	(98, 0.0017332079537240017)	(100, 2.0828837775846713e-05)
SRR20079518_2	(1, 1.479111433261368)	(2, 1.4926570702252249)	(3, 1.4787508173022637)	(4, 1.4787508173022637)	(5, 1.4787508173022637)	(6, 1.4788860482869277)	(7, 1.4787508173022637)	(8, 1.4789987407741478)	(9, 1.4787508173022637)	(10, 1.4788747790382057)	(12, 1.4787620865509856)	(14, 1.4787620865509856)	(16, 1.4825936311164694)	(18, 1.4787508173022637)	(20, 1.4787508173022637)	(22, 1.4798777421744647)	(24, 1.4840022872067207)	(26, 1.4869210226257215)	(28, 1.4904144897295448)	(30, 1.4942460342950286)	(32, 1.496612576526651)	(34, 1.4985396180581145)	(36, 3.432284964772743e-05)	(38, 0.005594780676016548)	(40, 0.0003089252273947111)	(42, 2.288427183448447e-05)	(44, 0.0014188946650361583)	(46, 0.002071250087541785)	(48, 0.00011444530990531024)	(50, 0.0)	(52, 0.0013623897094011302)	(54, 0.00025192859931248685)	(56, 0.0)	(58, 1.1461201140756272e-05)	(60, 0.0011585774825074874)	(62, 2.296665047135031e-05)	(64, 0.0)	(66, 0.000771322727530707)	(68, 0.0018685651288375656)	(70, 1.1565750481886993e-05)	(72, 0.0)	(74, 0.002201379647721019)	(76, 0.0)	(78, 5.87494981324122e-05)	(80, 0.004655289957216231)	(82, 0.0009870455621420696)	(84, 0.0003234558695979276)	(86, 0.0)	(88, 0.0018872820204486399)	(90, 3.685936579283759e-05)	(92, 0.0)	(94, 0.004513627770646525)	(96, 0.002499163985245545)	(98, 0.0)	(100, 0.0013545659978418298)
SRR20079519_1	(1, 16.85572820589846)	(2, 16.826906196755196)	(3, 16.816409476557137)	(4, 16.817909482099193)	(5, 16.829444922949165)	(6, 16.816409476557137)	(7, 16.816409476557137)	(8, 16.816409476557137)	(9, 16.816409476557137)	(10, 16.816714787419677)	(12, 16.816409476557137)	(14, 16.816409476557137)	(16, 16.816409476557137)	(18, 16.816409476557137)	(20, 16.816409476557137)	(22, 16.81752618422285)	(24, 16.821851974541588)	(26, 16.8258276529473)	(28, 16.829929438013632)	(30, 16.833888523437686)	(32, 16.837452695898236)	(34, 16.84101354976245)	(36, 0.0)	(38, 0.0015705010179620418)	(40, 0.00018759440214312636)	(42, 0.00048698340266759525)	(44, 0.0006407114268068632)	(46, 0.0001517101395731288)	(48, 0.0)	(50, 0.0)	(52, 0.004532342367669286)	(54, 4.995368993221144e-05)	(56, 7.996212993526265e-06)	(58, 0.0)	(60, 0.0)	(62, 6.017774580422702e-06)	(64, 0.0)	(66, 0.000622007432163497)	(68, 0.0)	(70, 2.025854850984397e-06)	(72, 0.0)	(74, 0.0)	(76, 5.347034134869517e-05)	(78, 2.8973750382324157e-05)	(80, 0.0)	(82, 4.206362548196765e-06)	(84, 0.00510406634784979)	(86, 6.225345351570046e-05)	(88, 0.0)	(90, 0.0)	(92, 0.0022324127275747795)	(94, 0.0)	(96, 0.003476460296084875)	(98, 0.0034646152300184287)	(100, 0.0)
SRR20079519_2	(1, 0.5263260596560169)	(2, 0.26046335171194107)	(3, 0.2543504972684302)	(4, 0.2543504972684302)	(5, 0.2543504972684302)	(6, 0.2543504972684302)	(7, 0.2543504972684302)	(8, 0.2543504972684302)	(9, 0.25870449565599063)	(10, 0.2543504972684302)	(12, 0.2543504972684302)	(14, 0.25436874954825606)	(16, 0.2543504972684302)	(18, 0.2543504972684302)	(20, 0.2543504972684302)	(22, 0.25543899686532023)	(24, 0.2611254116801715)	(26, 0.26322940175464804)	(28, 0.2670773142015812)	(30, 0.27094347892834025)	(32, 0.2741708138611928)	(34, 0.27820622700088293)	(36, 0.00029785290156732024)	(38, 4.992188556159892e-06)	(40, 0.0)	(42, 0.0)	(44, 3.3287013344697073e-06)	(46, 0.0)	(48, 0.0006209264912427808)	(50, 4.328962956631084e-05)	(52, 0.0)	(54, 0.0)	(56, 4.99918363331268e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0007478801237505696)	(66, 0.0)	(68, 0.0023408288441699155)	(70, 0.0001835775158502764)	(72, 0.0)	(74, 0.00021891351694237893)	(76, 1.7044186884055043e-06)	(78, 0.00014902659170549167)	(80, 0.0)	(82, 1.040976694301475e-05)	(84, 8.917490603456555e-05)	(86, 2.2921582427764793e-05)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.00013393067883828676)	(96, 0.0)	(98, 2.4761118065810782e-05)	(100, 0.0)
SRR20079520_1	(1, 1.5477622546477325)	(2, 1.5136770314993464)	(3, 1.5008778076786558)	(4, 1.5027290143613545)	(5, 1.516216925434987)	(6, 1.5008778076786558)	(7, 1.5008778076786558)	(8, 1.5008778076786558)	(9, 1.5008778076786558)	(10, 1.5011799476294587)	(12, 1.5008778076786558)	(14, 1.5008778076786558)	(16, 1.5008778076786558)	(18, 1.5008778076786558)	(20, 1.5008778076786558)	(22, 1.502620627648844)	(24, 1.5098595172003095)	(26, 1.516402046103257)	(28, 1.5232352048636437)	(30, 1.5296645511818459)	(32, 1.5352220079277303)	(34, 1.540583793086428)	(36, 0.0)	(38, 0.0015179678187314928)	(40, 0.0001666179479684303)	(42, 0.00045701308602890344)	(44, 0.0006636400069677328)	(46, 0.00014326399589832255)	(48, 0.0)	(50, 0.0)	(52, 0.004267806256416762)	(54, 4.876290223725659e-05)	(56, 1.9510549954309705e-06)	(58, 0.0)	(60, 0.0)	(62, 5.8663997845858e-06)	(64, 0.0)	(66, 0.0006202817127477348)	(68, 0.0)	(70, 1.9683818237142236e-06)	(72, 0.0)	(74, 0.0)	(76, 4.575846258250438e-05)	(78, 2.3985876396401507e-05)	(80, 0.0)	(82, 3.0360687702366e-06)	(84, 0.004828160770900008)	(86, 6.171522406781828e-05)	(88, 0.0)	(90, 0.0)	(92, 0.0020914344396201763)	(94, 0.0)	(96, 0.003192465390365309)	(98, 0.003251354593089952)	(100, 0.0)
SRR20079520_2	(1, 0.33372556534269454)	(2, 0.06922553818846593)	(3, 0.06284319141816647)	(4, 0.06284319141816647)	(5, 0.06284319141816647)	(6, 0.06284319141816647)	(7, 0.06284319141816647)	(8, 0.06284319141816647)	(9, 0.06694845805130167)	(10, 0.06284319141816647)	(12, 0.06284319141816647)	(14, 0.06286333408155334)	(16, 0.06284319141816647)	(18, 0.06284319141816647)	(20, 0.06284319141816647)	(22, 0.06456778707386206)	(24, 0.07296056348506136)	(26, 0.07770943617212969)	(28, 0.0843469233453296)	(30, 0.09069665818443125)	(32, 0.09605748416868187)	(34, 0.10211275245255631)	(36, 0.00026405630778956313)	(38, 1.056293795021042e-05)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0006311452788166884)	(50, 3.362824018903299e-05)	(52, 0.0)	(54, 0.0)	(56, 4.03811321236896e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.000700245252701295)	(66, 0.0)	(68, 0.002191033237587277)	(70, 0.0001949247794004269)	(72, 0.0)	(74, 0.000195224721322079)	(76, 6.859154801227083e-06)	(78, 0.00014174506981855204)	(80, 0.0)	(82, 6.97494634148869e-06)	(84, 9.537365586267535e-05)	(86, 2.0244930866699055e-05)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.00012760293509951262)	(96, 0.0)	(98, 3.4075882725849015e-05)	(100, 0.0)
