Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR20079516_1	(1, 32.02627986055839)	(2, 32.26501202898622)	(3, 32.33127810528761)	(4, 32.55031804342643)	(5, 32.6764627760749)	(6, 32.72242524492368)	(7, 32.5775592772153)	(8, 32.74345271764754)	(9, 32.71455299517442)	(10, 32.7867841650471)	(12, 32.74989968818442)	(14, 32.771430050864)	(16, 32.79309822966137)	(18, 32.774599920768964)	(20, 32.76307329545881)	(22, 32.719920813927175)	(24, 32.706839938251235)	(26, 32.637990223057436)	(28, 32.648560848246305)	(30, 32.59078974025134)	(32, 32.587135893735045)	(34, 32.591208363322174)	(36, 35.82288945390157)	(38, 35.79204072702474)	(40, 35.79729861119165)	(42, 35.68264825207213)	(44, 35.706941243728124)	(46, 35.74931897817089)	(48, 35.760210829241586)	(50, 35.7234298279993)	(52, 35.74421842718715)	(54, 35.64652526123777)	(56, 35.66734869143099)	(58, 35.58549003306187)	(60, 35.612457325193375)	(62, 35.62331529914541)	(64, 35.61268066266307)	(66, 35.537679890328874)	(68, 35.45972719144814)	(70, 35.50935845652518)	(72, 35.63465401976647)	(74, 35.63601164549188)	(76, 35.6323622898129)	(78, 35.609119655302024)	(80, 35.59769362511943)	(82, 35.58284661786396)	(84, 35.5743428767678)	(86, 35.54137720666413)	(88, 35.52221476356808)	(90, 35.52570641605011)	(92, 35.512425574723565)	(94, 35.490421690483146)	(96, 35.481904073247705)	(98, 35.466099599428844)	(100, 35.44516883703331)
SRR20079516_2	(1, 33.00823114037845)	(2, 34.02649832291209)	(3, 34.5225384075632)	(4, 34.71938545385926)	(5, 34.88590944932178)	(6, 34.78436125651663)	(7, 34.77036134771069)	(8, 34.805809650348806)	(9, 34.83588097514955)	(10, 34.75586142562904)	(12, 34.78598443147396)	(14, 34.803024379333976)	(16, 34.87820626238688)	(18, 34.88146970705511)	(20, 34.78439075075297)	(22, 34.878714525451784)	(24, 34.65254321492533)	(26, 34.42060693847942)	(28, 34.33418875987218)	(30, 34.27527456835995)	(32, 34.0356387586934)	(34, 33.94421978602328)	(36, 33.71803185699588)	(38, 33.73589686333655)	(40, 33.966730948096426)	(42, 34.0877177189483)	(44, 34.20092404736002)	(46, 34.28529600787578)	(48, 34.36739064876774)	(50, 34.50201764669673)	(52, 34.328034499024625)	(54, 34.16608967421494)	(56, 33.95155865457779)	(58, 33.74766194252312)	(60, 33.47856767356825)	(62, 33.32948834514012)	(64, 33.399419826731574)	(66, 33.61865572184243)	(68, 33.76656429499458)	(70, 33.86825740621744)	(72, 33.948037677076314)	(74, 34.117173716786716)	(76, 34.207064921898024)	(78, 34.27825449183985)	(80, 34.40757773693109)	(82, 34.421267867265584)	(84, 34.46119510228147)	(86, 34.48511019573249)	(88, 34.54490400612194)	(90, 34.552233495914194)	(92, 34.47902611210483)	(94, 34.50879601856687)	(96, 34.490175864495725)	(98, 34.47784729993528)	(100, 34.48520169831621)
SRR20079517_1	(1, 29.844253010257173)	(2, 30.83895793072692)	(3, 30.927071502898766)	(4, 30.818350924136563)	(5, 31.328546157276648)	(6, 31.694820375600813)	(7, 31.9113844705416)	(8, 32.10666518011991)	(9, 31.714656855458106)	(10, 32.088383752044)	(12, 31.952922055398645)	(14, 32.08751746692433)	(16, 32.23561988999554)	(18, 32.19402408205738)	(20, 32.15932907189931)	(22, 31.894895074575096)	(24, 32.00108604628116)	(26, 31.933856721668896)	(28, 31.986822506317825)	(30, 31.877210123383378)	(32, 31.781513800109014)	(34, 32.03175189534711)	(36, 35.48238504396806)	(38, 35.417261386112024)	(40, 35.45284556948369)	(42, 35.09571177490035)	(44, 35.323240970493345)	(46, 35.441692663991134)	(48, 35.40630855637541)	(50, 35.36801574885382)	(52, 35.39683051814896)	(54, 35.37702410563827)	(56, 35.32086180953973)	(58, 35.30340929947986)	(60, 35.323527704580016)	(62, 35.35004572941849)	(64, 35.210582248906746)	(66, 35.07277457538325)	(68, 33.70551872371122)	(70, 33.324054417910205)	(72, 34.68063908425974)	(74, 34.813265239998536)	(76, 34.84868075625117)	(78, 34.88474290239002)	(80, 34.94236120605041)	(82, 34.95231395188387)	(84, 34.90927877324329)	(86, 34.99912178798746)	(88, 35.057302855637836)	(90, 35.08497296828601)	(92, 35.04998372470989)	(94, 35.06460109583729)	(96, 35.067703500396284)	(98, 35.056425153039115)	(100, 35.2151804307248)
SRR20079517_2	(1, 34.722048956939695)	(2, 34.7026423368515)	(3, 34.91428893513701)	(4, 34.75602571725881)	(5, 35.022028888558545)	(6, 35.10473985431842)	(7, 34.67154377880184)	(8, 34.1900834943759)	(9, 34.49224443783757)	(10, 34.10857787027402)	(12, 34.21803974034984)	(14, 34.33587309845895)	(16, 34.58233747088846)	(18, 34.72359050592141)	(20, 34.43969129379119)	(22, 34.7798331351271)	(24, 34.12917558594718)	(26, 33.55432820474704)	(28, 33.26380816114167)	(30, 33.55276621574748)	(32, 33.28704102869035)	(34, 33.19198317724592)	(36, 32.93797068644524)	(38, 32.91487394193704)	(40, 33.646077570041626)	(42, 33.86309087242958)	(44, 34.165120203366016)	(46, 34.26824327044041)	(48, 34.42633196234715)	(50, 34.613707874637356)	(52, 34.26305445062059)	(54, 33.88227231123158)	(56, 33.57190341576391)	(58, 33.24968506215105)	(60, 32.368956049261236)	(62, 31.96085176988037)	(64, 32.64545508922237)	(66, 33.43326642387082)	(68, 34.05213083632704)	(70, 34.30569094230662)	(72, 34.51351980975869)	(74, 34.646764246869225)	(76, 34.572899091730505)	(78, 34.49915911073586)	(80, 34.57133367867257)	(82, 34.51683245200479)	(84, 34.51218675875678)	(86, 34.435129897255166)	(88, 34.49604326120689)	(90, 34.486208854243344)	(92, 34.3711115250527)	(94, 34.314856996027885)	(96, 34.28443078301001)	(98, 34.23523900000016)	(100, 33.82491994317346)
SRR20079518_1	(1, 27.155853033670486)	(2, 28.037851377992464)	(3, 28.110019196038273)	(4, 27.928813057362955)	(5, 28.337375612849918)	(6, 28.698664120717996)	(7, 28.80915144134818)	(8, 29.009213061600192)	(9, 28.881376507177496)	(10, 29.126506219611063)	(12, 29.04376863511142)	(14, 29.177059505915565)	(16, 29.2974727808201)	(18, 29.26088153021973)	(20, 29.230176320919355)	(22, 28.99176950419588)	(24, 29.110738286799226)	(26, 29.007260664259103)	(28, 29.02574583832279)	(30, 28.955263561808337)	(32, 28.850434756346445)	(34, 28.872874760556638)	(36, 34.95955311736044)	(38, 34.90306218871993)	(40, 34.86295311207026)	(42, 34.548068869622185)	(44, 34.80450238012567)	(46, 34.874042322302124)	(48, 34.911531448793355)	(50, 34.95465907512505)	(52, 34.93714749037562)	(54, 34.85276720480377)	(56, 34.78523025199537)	(58, 34.78773639320333)	(60, 34.78094661500809)	(62, 34.76444028402941)	(64, 34.618184234593215)	(66, 34.501512702977735)	(68, 33.22040383106976)	(70, 32.916634167725405)	(72, 34.272621778738696)	(74, 34.310018999258276)	(76, 34.21019758639574)	(78, 34.183649068082374)	(80, 34.26973764986086)	(82, 34.33335712219103)	(84, 34.3389531967337)	(86, 34.47071697230775)	(88, 34.57813858655936)	(90, 34.6018482228984)	(92, 34.56145453951096)	(94, 34.60439499387904)	(96, 34.604418086460825)	(98, 34.59317598674525)	(100, 34.726397895934596)
SRR20079518_2	(1, 33.967523152108036)	(2, 33.882702897752075)	(3, 34.0082844755055)	(4, 33.80416051647418)	(5, 34.04962819367692)	(6, 34.14110248863327)	(7, 33.75805486456279)	(8, 33.13854617225317)	(9, 33.36936720689191)	(10, 32.990072129953376)	(12, 33.04529144869122)	(14, 33.20726210672294)	(16, 33.47173131496581)	(18, 33.61013019813818)	(20, 33.297714168127726)	(22, 33.65714347534164)	(24, 32.98252184600211)	(26, 32.33225633123297)	(28, 32.00713647713819)	(30, 32.27471261725371)	(32, 31.90657037769789)	(34, 31.73414963263376)	(36, 31.797166653940742)	(38, 31.90484630600635)	(40, 32.80173787065367)	(42, 33.06388737032212)	(44, 33.36592227764659)	(46, 33.514202060276105)	(48, 33.73538326327635)	(50, 33.970829801936524)	(52, 33.56874416520709)	(54, 33.10080025514135)	(56, 32.76239451778142)	(58, 32.42504410016511)	(60, 31.495171953882995)	(62, 31.11942702277281)	(64, 31.78238179305191)	(66, 32.59981159709892)	(68, 33.27146816503556)	(70, 33.559643475184394)	(72, 33.82027289725659)	(74, 33.99236208304918)	(76, 33.93907464477502)	(78, 33.872074733812326)	(80, 33.96666109914174)	(82, 33.92218989337549)	(84, 33.907976857629976)	(86, 33.84269154122153)	(88, 33.916295127960026)	(90, 33.90638388366692)	(92, 33.789182753783095)	(94, 33.717900167025704)	(96, 33.69123670153857)	(98, 33.64120400524413)	(100, 33.34802542411956)
SRR20079519_1	(1, 29.50553737665358)	(2, 29.75129373818704)	(3, 29.828822155161504)	(4, 30.04068519456698)	(5, 30.16711588292815)	(6, 30.20949933598206)	(7, 30.078576462882065)	(8, 30.23371300951488)	(9, 30.210512636186067)	(10, 30.27295252396176)	(12, 30.2405737096418)	(14, 30.26019733302997)	(16, 30.28015517225473)	(18, 30.261158232597893)	(20, 30.25039937647557)	(22, 30.20781383749803)	(24, 30.191749458454858)	(26, 30.123123640744424)	(28, 30.13180459095944)	(30, 30.075532779070222)	(32, 30.06971909608604)	(34, 30.070993237961744)	(36, 35.75900695554179)	(38, 35.72447719986365)	(40, 35.727389149367376)	(42, 35.603525197647244)	(44, 35.62326807387905)	(46, 35.667339088555195)	(48, 35.67776304025777)	(50, 35.63975011342599)	(52, 35.65932354674375)	(54, 35.55437004151182)	(56, 35.569808989876364)	(58, 35.483858184365104)	(60, 35.51104093582849)	(62, 35.51870821124162)	(64, 35.514304088765385)	(66, 35.43975953781776)	(68, 35.35574035683551)	(70, 35.39595460682396)	(72, 35.52032452403179)	(74, 35.514488303593446)	(76, 35.50716031064472)	(78, 35.47192560529884)	(80, 35.452684876504804)	(82, 35.429530354456425)	(84, 35.419100102889544)	(86, 35.3821050120693)	(88, 35.35813066287184)	(90, 35.355303640496516)	(92, 35.33202993233077)	(94, 35.30996458581099)	(96, 35.30166529648697)	(98, 35.28876415472182)	(100, 35.275766726091085)
SRR20079519_2	(1, 33.10394364731392)	(2, 33.81529562288427)	(3, 34.21862401571263)	(4, 34.407062411049175)	(5, 34.56601096291661)	(6, 34.48192855048823)	(7, 34.325154409309434)	(8, 34.30610865310055)	(9, 34.3791427946205)	(10, 34.1927881459208)	(12, 34.24756745229568)	(14, 34.2034330248521)	(16, 34.27928991463309)	(18, 34.2673699812121)	(20, 34.12345838755643)	(22, 34.26941702417352)	(24, 33.94002929723214)	(26, 33.59795339841189)	(28, 33.43817551272811)	(30, 33.337621413335754)	(32, 32.96224189036273)	(34, 32.81581901530477)	(36, 32.51476110111162)	(38, 32.56133941724075)	(40, 33.00970183384594)	(42, 33.162175938229005)	(44, 33.287550233609686)	(46, 33.45577890786254)	(48, 33.65298144417695)	(50, 33.84328731335894)	(52, 33.589403615248116)	(54, 33.34886413068554)	(56, 33.027347187347246)	(58, 32.67689960154754)	(60, 32.268765760507975)	(62, 32.03611852701084)	(64, 32.14691743831192)	(66, 32.47587041555489)	(68, 32.733961810790916)	(70, 32.917426665407206)	(72, 33.04720498929163)	(74, 33.290360981322536)	(76, 33.45735026102065)	(78, 33.60648511327676)	(80, 33.79157251495902)	(82, 33.82702138794096)	(84, 33.91310901669084)	(86, 33.99020526885779)	(88, 34.07235327175778)	(90, 34.08939280239351)	(92, 34.012937814343644)	(94, 34.04310504068997)	(96, 34.031536970066085)	(98, 34.03749606084425)	(100, 34.12144747060863)
SRR20079520_1	(1, 34.81509165458571)	(2, 35.06512027155533)	(3, 35.111795273192165)	(4, 35.36523910751426)	(5, 35.49815158451494)	(6, 35.55180630676766)	(7, 35.39038342442198)	(8, 35.5712047658846)	(9, 35.53082996731843)	(10, 35.61077252466282)	(12, 35.57068846146328)	(14, 35.59383382045647)	(16, 35.61549487617643)	(18, 35.596021927571925)	(20, 35.58230734439299)	(22, 35.53884380268086)	(24, 35.52411582292343)	(26, 35.461993690895795)	(28, 35.47436840328973)	(30, 35.41207104927412)	(32, 35.41113591173877)	(34, 35.41504297456417)	(36, 35.94704307643486)	(38, 35.91835195341744)	(40, 35.926444312942635)	(42, 35.827297162716675)	(44, 35.85553059589823)	(46, 35.8932343854064)	(48, 35.896411248614356)	(50, 35.86248065141369)	(52, 35.8897562006606)	(54, 35.80201277485438)	(56, 35.828706589209816)	(58, 35.749170562785)	(60, 35.77510897570312)	(62, 35.78381866963751)	(64, 35.759303675180576)	(66, 35.68043380940601)	(68, 35.59773543567758)	(70, 35.64076055013435)	(72, 35.768617591303816)	(74, 35.776810463378624)	(76, 35.77895952670099)	(78, 35.75723045641554)	(80, 35.74540243993123)	(82, 35.73291698659641)	(84, 35.72377176391158)	(86, 35.69189010726602)	(88, 35.671969656021474)	(90, 35.67586227368788)	(92, 35.65823385203534)	(94, 35.6362219799701)	(96, 35.62800152677332)	(98, 35.61102803255469)	(100, 35.58222468028187)
SRR20079520_2	(1, 33.87280917122705)	(2, 34.53872249588855)	(3, 34.96984265376252)	(4, 35.067303026477376)	(5, 35.19749093009439)	(6, 35.125039189469966)	(7, 34.98377289772413)	(8, 35.11409324414878)	(9, 35.205522174473025)	(10, 35.14158477602922)	(12, 35.22702719169395)	(14, 35.19672031975193)	(16, 35.240755164948176)	(18, 35.25189804796682)	(20, 35.19301476988609)	(22, 35.24857790398552)	(24, 35.10539579556624)	(26, 34.95424453013027)	(28, 34.924973940669034)	(30, 34.900891947828356)	(32, 34.80412898126217)	(34, 34.776188296763436)	(36, 34.70060034267272)	(38, 34.668364011207615)	(40, 34.75825130884364)	(42, 34.81193231947127)	(44, 34.891875753451835)	(46, 34.893488980868526)	(48, 34.87086857739626)	(50, 34.95393176217068)	(52, 34.85535762613051)	(54, 34.766011822501724)	(56, 34.67734627996904)	(58, 34.635226312614094)	(60, 34.54227133643093)	(62, 34.54450301135167)	(64, 34.56589900301243)	(66, 34.62514922550934)	(68, 34.6628678103711)	(70, 34.69022055843139)	(72, 34.72944687382942)	(74, 34.833304453195)	(76, 34.85174048517159)	(78, 34.8575674100577)	(80, 34.932476159237055)	(82, 34.93035776850414)	(84, 34.93500397672928)	(86, 34.914580125532694)	(88, 34.95312943990106)	(90, 34.95742906771318)	(92, 34.88124888136933)	(94, 34.908515399837434)	(96, 34.87857266066845)	(98, 34.855624189084736)	(100, 34.783125829133226)
