Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR20079516_1	(2.0, 2876588.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 30.0)	(16.0, 120.0)	(17.0, 358.0)	(18.0, 918.0)	(19.0, 2145.0)	(20.0, 4298.0)	(21.0, 9375.0)	(22.0, 19082.0)	(23.0, 38205.0)	(24.0, 66915.0)	(25.0, 103486.0)	(26.0, 141745.0)	(27.0, 191722.0)	(28.0, 251714.0)	(29.0, 337598.0)	(30.0, 433343.0)	(31.0, 565517.0)	(32.0, 706178.0)	(33.0, 930346.0)	(34.0, 1304090.0)	(35.0, 2457247.0)	(36.0, 14081285.0)	(37.0, 5720886.0)
SRR20079516_2	(2.0, 14899.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 14.0)	(12.0, 338.0)	(13.0, 4330.0)	(14.0, 17943.0)	(15.0, 39553.0)	(16.0, 54196.0)	(17.0, 63919.0)	(18.0, 73748.0)	(19.0, 92882.0)	(20.0, 120805.0)	(21.0, 164360.0)	(22.0, 207025.0)	(23.0, 250853.0)	(24.0, 278883.0)	(25.0, 308903.0)	(26.0, 336137.0)	(27.0, 394531.0)	(28.0, 465515.0)	(29.0, 581526.0)	(30.0, 722629.0)	(31.0, 952599.0)	(32.0, 1254666.0)	(33.0, 1810040.0)	(34.0, 2744641.0)	(35.0, 4972992.0)	(36.0, 12030355.0)	(37.0, 2284915.0)
SRR20079517_1	(2.0, 429372.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 16.0)	(18.0, 63.0)	(19.0, 229.0)	(20.0, 806.0)	(21.0, 2086.0)	(22.0, 4546.0)	(23.0, 8621.0)	(24.0, 12792.0)	(25.0, 16855.0)	(26.0, 20531.0)	(27.0, 26547.0)	(28.0, 34525.0)	(29.0, 48214.0)	(30.0, 65804.0)	(31.0, 95205.0)	(32.0, 132645.0)	(33.0, 194947.0)	(34.0, 297419.0)	(35.0, 674824.0)	(36.0, 1865599.0)	(37.0, 104552.0)
SRR20079517_2	(2.0, 5515.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 117.0)	(14.0, 747.0)	(15.0, 3094.0)	(16.0, 6027.0)	(17.0, 8191.0)	(18.0, 8974.0)	(19.0, 10810.0)	(20.0, 14046.0)	(21.0, 19222.0)	(22.0, 24241.0)	(23.0, 29183.0)	(24.0, 32565.0)	(25.0, 37465.0)	(26.0, 43344.0)	(27.0, 54774.0)	(28.0, 67302.0)	(29.0, 85957.0)	(30.0, 107824.0)	(31.0, 144532.0)	(32.0, 195659.0)	(33.0, 292455.0)	(34.0, 476344.0)	(35.0, 971796.0)	(36.0, 1346189.0)	(37.0, 49818.0)
SRR20079518_1	(2.0, 831377.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 9.0)	(17.0, 28.0)	(18.0, 101.0)	(19.0, 366.0)	(20.0, 1066.0)	(21.0, 3133.0)	(22.0, 7775.0)	(23.0, 15476.0)	(24.0, 24857.0)	(25.0, 35875.0)	(26.0, 44696.0)	(27.0, 51070.0)	(28.0, 54157.0)	(29.0, 64348.0)	(30.0, 83141.0)	(31.0, 112448.0)	(32.0, 148225.0)	(33.0, 206612.0)	(34.0, 306638.0)	(35.0, 672310.0)	(36.0, 1687738.0)	(37.0, 85406.0)
SRR20079518_2	(2.0, 65610.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 5.0)	(12.0, 27.0)	(13.0, 258.0)	(14.0, 1614.0)	(15.0, 6128.0)	(16.0, 12217.0)	(17.0, 16514.0)	(18.0, 18805.0)	(19.0, 22782.0)	(20.0, 28243.0)	(21.0, 36418.0)	(22.0, 43974.0)	(23.0, 50246.0)	(24.0, 53247.0)	(25.0, 57778.0)	(26.0, 64131.0)	(27.0, 77445.0)	(28.0, 92733.0)	(29.0, 116475.0)	(30.0, 144720.0)	(31.0, 187893.0)	(32.0, 242940.0)	(33.0, 342670.0)	(34.0, 514486.0)	(35.0, 954238.0)	(36.0, 1241196.0)	(37.0, 44060.0)
SRR20079519_1	(2.0, 5067326.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 20.0)	(16.0, 116.0)	(17.0, 360.0)	(18.0, 861.0)	(19.0, 2246.0)	(20.0, 5002.0)	(21.0, 10973.0)	(22.0, 21559.0)	(23.0, 41075.0)	(24.0, 69461.0)	(25.0, 105537.0)	(26.0, 145218.0)	(27.0, 195053.0)	(28.0, 253561.0)	(29.0, 335198.0)	(30.0, 423377.0)	(31.0, 546673.0)	(32.0, 678404.0)	(33.0, 889020.0)	(34.0, 1244466.0)	(35.0, 2406180.0)	(36.0, 13039237.0)	(37.0, 4652294.0)
SRR20079519_2	(2.0, 76644.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 32.0)	(12.0, 627.0)	(13.0, 8143.0)	(14.0, 35956.0)	(15.0, 84862.0)	(16.0, 118612.0)	(17.0, 139708.0)	(18.0, 154227.0)	(19.0, 183709.0)	(20.0, 222656.0)	(21.0, 280836.0)	(22.0, 329612.0)	(23.0, 374769.0)	(24.0, 392779.0)	(25.0, 419494.0)	(26.0, 443368.0)	(27.0, 502114.0)	(28.0, 570218.0)	(29.0, 682182.0)	(30.0, 814413.0)	(31.0, 1034233.0)	(32.0, 1314084.0)	(33.0, 1823841.0)	(34.0, 2659236.0)	(35.0, 4614383.0)	(36.0, 10842778.0)	(37.0, 2009706.0)
SRR20079520_1	(2.0, 782380.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 57.0)	(16.0, 286.0)	(17.0, 1013.0)	(18.0, 2465.0)	(19.0, 4644.0)	(20.0, 7810.0)	(21.0, 13332.0)	(22.0, 22740.0)	(23.0, 42305.0)	(24.0, 74750.0)	(25.0, 123863.0)	(26.0, 186749.0)	(27.0, 276658.0)	(28.0, 389909.0)	(29.0, 550149.0)	(30.0, 734064.0)	(31.0, 982121.0)	(32.0, 1248974.0)	(33.0, 1677123.0)	(34.0, 2386271.0)	(35.0, 4570882.0)	(36.0, 26960863.0)	(37.0, 11088747.0)
SRR20079520_2	(2.0, 32759.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 21.0)	(12.0, 181.0)	(13.0, 1633.0)	(14.0, 7511.0)	(15.0, 20511.0)	(16.0, 32842.0)	(17.0, 40965.0)	(18.0, 48200.0)	(19.0, 63290.0)	(20.0, 89885.0)	(21.0, 138108.0)	(22.0, 197129.0)	(23.0, 263155.0)	(24.0, 312425.0)	(25.0, 361126.0)	(26.0, 411735.0)	(27.0, 506760.0)	(28.0, 625204.0)	(29.0, 812886.0)	(30.0, 1044991.0)	(31.0, 1418128.0)	(32.0, 1921454.0)	(33.0, 2837793.0)	(34.0, 4445744.0)	(35.0, 8585888.0)	(36.0, 23547643.0)	(37.0, 4360194.0)
