Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR20079516_1	(1.0, 27.671207723554787)	(2.0, 14.140011781299469)	(3.0, 7.887647547078723)	(4.0, 4.7087952843514875)	(5.0, 3.199008857985314)	(6.0, 2.2779382543295617)	(7.0, 1.7634188435362983)	(8.0, 1.3879010117177506)	(9.0, 1.133139918007287)	('>10', 12.788512715994663)	('>50', 4.236950560679119)	('>100', 7.194704478941069)	('>500', 1.3347054632966011)	('>1k', 0.5879812261603516)	('>5k', 0.0)	('>10k+', 9.688076333067547)
SRR20079516_2	(1.0, 35.454056965655255)	(2.0, 13.040541934469887)	(3.0, 7.155502698259497)	(4.0, 4.093323914525458)	(5.0, 2.7540928973574053)	(6.0, 2.097339306186769)	(7.0, 1.489348935036899)	(8.0, 1.2919433548946389)	(9.0, 1.0049938773754947)	('>10', 11.450161410487619)	('>50', 3.8128695512469633)	('>100', 6.358195118268192)	('>500', 1.2034710427227033)	('>1k', 0.7664019488904071)	('>5k', 0.16779276091928683)	('>10k+', 7.859964283703601)
SRR20079517_1	(1.0, 56.22902678121091)	(2.0, 10.359253384318878)	(3.0, 4.088545556070175)	(4.0, 2.335717977387481)	(5.0, 1.6522895717298056)	(6.0, 1.2333363225941913)	(7.0, 1.0167401249891814)	(8.0, 0.8171035646112746)	(9.0, 0.7334450923821327)	('>10', 8.327455408107314)	('>50', 1.7223763911468786)	('>100', 0.893107825858382)	('>500', 0.025764214157772566)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 10.565837785435647)
SRR20079517_2	(1.0, 61.15073928149266)	(2.0, 9.386209638110836)	(3.0, 3.58516676628706)	(4.0, 2.1043842954452177)	(5.0, 1.5098197873009018)	(6.0, 1.177885107228176)	(7.0, 1.0247879210974622)	(8.0, 0.8093015954029092)	(9.0, 0.6658812063260617)	('>10', 7.677340657740989)	('>50', 1.5430768614441057)	('>100', 1.2230935145724238)	('>500', 0.37525244470890134)	('>1k', 0.7001649547928784)	('>5k', 0.425494631887952)	('>10k+', 6.641401336161487)
SRR20079518_1	(1.0, 50.92121928631721)	(2.0, 8.441758892751675)	(3.0, 3.3550203303694985)	(4.0, 2.05676558476035)	(5.0, 1.46394893497463)	(6.0, 1.1162571537675818)	(7.0, 0.9365022803661277)	(8.0, 0.8383690587429052)	(9.0, 0.6976740421516174)	('>10', 8.31031781513335)	('>50', 1.9291518962527126)	('>100', 1.076440939232967)	('>500', 0.10891608357421224)	('>1k', 0.09287261432090328)	('>5k', 0.0)	('>10k+', 18.654785087284274)
SRR20079518_2	(1.0, 56.76700140721712)	(2.0, 7.478048400323319)	(3.0, 3.1348924269406013)	(4.0, 1.793546090197425)	(5.0, 1.3328411631035282)	(6.0, 1.0442134228834923)	(7.0, 0.8464327316862391)	(8.0, 0.7953979653804386)	(9.0, 0.6722435982719702)	('>10', 7.510795109546536)	('>50', 1.6132697473097872)	('>100', 1.3852497486552315)	('>500', 0.5291451827617879)	('>1k', 1.117624051042122)	('>5k', 0.9222004869039997)	('>10k+', 13.057098467776344)
SRR20079519_1	(1.0, 27.90417264393861)	(2.0, 11.898411372146086)	(3.0, 6.054450147172295)	(4.0, 3.7164543582318514)	(5.0, 2.542486067781731)	(6.0, 1.853718559682064)	(7.0, 1.467780892810541)	(8.0, 1.1999218748309564)	(9.0, 1.0414378038870857)	('>10', 11.6408883952582)	('>50', 4.1659603286450855)	('>100', 7.474978209654886)	('>500', 1.4424065214897457)	('>1k', 0.5700670054342206)	('>5k', 0.017816898236191783)	('>10k+', 17.009048920800446)
SRR20079519_2	(1.0, 36.421620883013375)	(2.0, 10.820361180535425)	(3.0, 5.514015398262564)	(4.0, 3.279527176007033)	(5.0, 2.2036923775537587)	(6.0, 1.6723936672119653)	(7.0, 1.3027790440799663)	(8.0, 1.0876001671895916)	(9.0, 0.9227987698304241)	('>10', 10.406088537959707)	('>50', 3.7422800581700213)	('>100', 6.71640550561716)	('>500', 1.3162677022168376)	('>1k', 1.1692990992733916)	('>5k', 0.22944945259401375)	('>10k+', 13.195420980484728)
SRR20079520_1	(1.0, 27.73138071044231)	(2.0, 11.777925787858425)	(3.0, 6.83038812517102)	(4.0, 4.434915934728844)	(5.0, 3.275840074394122)	(6.0, 2.55141042703671)	(7.0, 1.978403773424247)	(8.0, 1.6491857505163183)	(9.0, 1.4298228412971707)	('>10', 15.42208799308328)	('>50', 5.072184573906395)	('>100', 10.68902935600203)	('>500', 3.16093368185058)	('>1k', 2.3758470276430868)	('>5k', 0.06619048407112173)	('>10k+', 1.5544534585742178)
SRR20079520_2	(1.0, 33.60069414428713)	(2.0, 11.418335301105188)	(3.0, 6.3011777033846705)	(4.0, 4.254542239357612)	(5.0, 2.9053127022321026)	(6.0, 2.3035824289202194)	(7.0, 1.801175728401695)	(8.0, 1.483101955633924)	(9.0, 1.2755207049678314)	('>10', 14.237815607586466)	('>50', 4.689515735239163)	('>100', 9.839941196802211)	('>500', 2.830505819138727)	('>1k', 2.050581939505569)	('>5k', 0.14802770599992715)	('>10k+', 0.8601690874376865)
SRR20079521_1	(1.0, 56.88897461718903)	(2.0, 10.831856088016515)	(3.0, 4.606305195194441)	(4.0, 2.693358801248435)	(5.0, 1.8747978257905782)	(6.0, 1.4825740996897712)	(7.0, 1.1800684374846)	(8.0, 0.9870726117864135)	(9.0, 0.9070895474408647)	('>10', 11.338384572308163)	('>50', 2.9651718664611146)	('>100', 2.316595055048526)	('>500', 0.0748572342466125)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 1.8528940480950156)
SRR20079521_2	(1.0, 61.39779580611769)	(2.0, 9.894367516897931)	(3.0, 4.182591483938306)	(4.0, 2.482117039151139)	(5.0, 1.7486516523183073)	(6.0, 1.373832879222842)	(7.0, 1.068688399176794)	(8.0, 0.927883078649153)	(9.0, 0.7364123640692742)	('>10', 10.167288625624073)	('>50', 2.7902708511306407)	('>100', 1.9008120862640496)	('>500', 0.1323368690437059)	('>1k', 0.19440569586791076)	('>5k', 0.0)	('>10k+', 1.0025456525281211)
SRR20079522_1	(1.0, 6.297363994648565)	(2.0, 0.37043423581122503)	(3.0, 0.16525719437996744)	(4.0, 0.10348034805456909)	(5.0, 0.06896462554503742)	(6.0, 0.056935660574657605)	(7.0, 0.041458831817189984)	(8.0, 0.037061806444223244)	(9.0, 0.03175178127278777)	('>10', 0.37417971234062636)	('>50', 0.12240372088993098)	('>100', 0.31715691725473816)	('>500', 0.1407463424486452)	('>1k', 0.5260451909544265)	('>5k', 0.38542059329597567)	('>10k+', 90.96133904426743)
SRR20079522_2	(1.0, 16.324884720685237)	(2.0, 0.9590604937391981)	(3.0, 0.48497441738068403)	(4.0, 0.3400742923793797)	(5.0, 0.26842001328415843)	(6.0, 0.19875521630636828)	(7.0, 0.17558314532111724)	(8.0, 0.15835949080248926)	(9.0, 0.12690767220436605)	('>10', 1.7859502842337165)	('>50', 0.6963289200015499)	('>100', 1.9346671971650826)	('>500', 0.9929532849310431)	('>1k', 1.8339648988171289)	('>5k', 1.0848790724978885)	('>10k+', 72.6342368802506)
SRR20079523_1	(1.0, 26.35569162028369)	(2.0, 1.586709615822946)	(3.0, 0.6500403146276948)	(4.0, 0.38505404749942423)	(5.0, 0.2836506137262813)	(6.0, 0.21046968334199487)	(7.0, 0.1602146068036558)	(8.0, 0.12880671654768727)	(9.0, 0.10640155001545176)	('>10', 0.8417931622410603)	('>50', 0.06249347755159553)	('>100', 0.10619739201647099)	('>500', 0.0069748428501649985)	('>1k', 0.05767126817911203)	('>5k', 0.0)	('>10k+', 69.05783108849273)
SRR20079523_2	(1.0, 35.63061632091052)	(2.0, 1.7774644107141455)	(3.0, 0.7905144918625328)	(4.0, 0.5114145825631103)	(5.0, 0.36874146733900165)	(6.0, 0.29158971461560107)	(7.0, 0.22822151605374183)	(8.0, 0.19604945359620948)	(9.0, 0.1652739575029747)	('>10', 2.112728868438602)	('>50', 0.9073261107446554)	('>100', 1.742480056431143)	('>500', 0.7063512677198036)	('>1k', 3.266669278533243)	('>5k', 1.6053668492460125)	('>10k+', 49.69919165372868)
SRR20079524_1	(1.0, 8.057548197136825)	(2.0, 0.7826432298215441)	(3.0, 0.3421837461830933)	(4.0, 0.18385386640719742)	(5.0, 0.11564402140683101)	(6.0, 0.08725751598007309)	(7.0, 0.06729071641105401)	(8.0, 0.05245247770682265)	(9.0, 0.04609584226019307)	('>10', 0.3553873219733168)	('>50', 0.037134294223394856)	('>100', 0.005656935472261738)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.86685183501739)
SRR20079524_2	(1.0, 20.891788987864896)	(2.0, 1.162811811824133)	(3.0, 0.5617349913157065)	(4.0, 0.35970689592907396)	(5.0, 0.2653276028442757)	(6.0, 0.21131631039381757)	(7.0, 0.16792361996581284)	(8.0, 0.14217802146209516)	(9.0, 0.13577859404789563)	('>10', 1.9515113918754403)	('>50', 0.8326529216291604)	('>100', 1.8957519249444283)	('>500', 1.1406888392086574)	('>1k', 3.535665316499772)	('>5k', 1.1013115852661068)	('>10k+', 65.64385118492874)
SRR20079525_1	(1.0, 51.112540878096965)	(2.0, 10.165755465141482)	(3.0, 4.072240516939307)	(4.0, 2.4297783044078667)	(5.0, 1.6499283263446252)	(6.0, 1.247491165169762)	(7.0, 1.0077840090912253)	(8.0, 0.8095263637494067)	(9.0, 0.7126843983967747)	('>10', 8.700289488650244)	('>50', 2.013131030586197)	('>100', 1.095324038463838)	('>500', 0.01897175031236998)	('>1k', 0.06777147723945327)	('>5k', 0.0)	('>10k+', 14.896782787410448)
SRR20079525_2	(1.0, 57.15778716896679)	(2.0, 9.120563541458825)	(3.0, 3.708112910696121)	(4.0, 2.2438013241829298)	(5.0, 1.5755600988382263)	(6.0, 1.1982717829389855)	(7.0, 0.9337489297818241)	(8.0, 0.7814333741630602)	(9.0, 0.66752305757628)	('>10', 8.062698805865494)	('>50', 1.8726890812836894)	('>100', 1.4350553633952514)	('>500', 0.39568280132336986)	('>1k', 0.8417394190236427)	('>5k', 0.2728019010223696)	('>10k+', 9.732530439483046)
SRR20079526_1	(1.0, 20.704191881040632)	(2.0, 10.669939934714858)	(3.0, 6.645508289289652)	(4.0, 4.447559942813319)	(5.0, 3.228916352142889)	(6.0, 2.561215600654916)	(7.0, 2.110433596039758)	(8.0, 1.751994360662084)	(9.0, 1.4607172172724168)	('>10', 15.542835025167415)	('>50', 4.551443445817437)	('>100', 9.112492668602949)	('>500', 2.684962222540312)	('>1k', 2.4117671317250595)	('>5k', 0.0781255899950025)	('>10k+', 12.037896741521324)
SRR20079526_2	(1.0, 30.258236326229625)	(2.0, 10.069159334609243)	(3.0, 6.038204534357031)	(4.0, 4.125331831231588)	(5.0, 2.9850075918569656)	(6.0, 2.3422077735221216)	(7.0, 1.861218597454107)	(8.0, 1.476025813142599)	(9.0, 1.3185594405820664)	('>10', 13.84759993958722)	('>50', 4.064212109120877)	('>100', 8.228600877183199)	('>500', 2.376905401981946)	('>1k', 2.4262847453469596)	('>5k', 0.339124195735916)	('>10k+', 8.243321488058694)
SRR20079527_1	(1.0, 18.091564467915568)	(2.0, 7.535859162551615)	(3.0, 6.107305878878361)	(4.0, 4.7416695437556)	(5.0, 3.576049549181217)	(6.0, 2.7563288974203974)	(7.0, 2.3311098754314687)	(8.0, 1.9513608294427147)	(9.0, 1.691333788028522)	('>10', 18.491133017487044)	('>50', 4.904614428501404)	('>100', 9.374675894316239)	('>500', 3.294611357690465)	('>1k', 4.387742746135835)	('>5k', 0.41538355857377357)	('>10k+', 10.349257004689862)
SRR20079527_2	(1.0, 27.47304800897865)	(2.0, 7.511799660884484)	(3.0, 5.671375144539077)	(4.0, 4.1979841675207865)	(5.0, 3.2019572809187298)	(6.0, 2.4662752567989616)	(7.0, 2.063067599688975)	(8.0, 1.6374293682660979)	(9.0, 1.4478166780602122)	('>10', 16.112182296422958)	('>50', 4.20958390026052)	('>100', 8.45187056734742)	('>500', 3.0466394691825447)	('>1k', 3.6835488485851275)	('>5k', 0.4529716503090501)	('>10k+', 8.372450102236657)
SRR20079528_1	(1.0, 46.71910376908223)	(2.0, 12.785480413319428)	(3.0, 5.359421884893505)	(4.0, 3.0662328692959413)	(5.0, 2.143040373146557)	(6.0, 1.5987089019339837)	(7.0, 1.221335485479458)	(8.0, 1.1413775408846334)	(9.0, 0.9369591363409977)	('>10', 12.033172642717888)	('>50', 3.6059686352185767)	('>100', 3.7018948650176817)	('>500', 0.16911430697054256)	('>1k', 0.05321672389681552)	('>5k', 0.0)	('>10k+', 5.464972451801902)
SRR20079528_2	(1.0, 51.33124693597735)	(2.0, 11.9930874503836)	(3.0, 5.075284547440121)	(4.0, 2.884400217003776)	(5.0, 1.9315979423666176)	(6.0, 1.4772328704488145)	(7.0, 1.2116187685307238)	(8.0, 0.9674487078880374)	(9.0, 0.90542754106934)	('>10', 11.198559938957825)	('>50', 3.2658743836082436)	('>100', 3.504029155707749)	('>500', 0.3143086856642052)	('>1k', 0.2727276670369473)	('>5k', 0.4115696598554544)	('>10k+', 3.255585528061079)
SRR20079529_1	(1.0, 30.394849830120744)	(2.0, 13.845338051128797)	(3.0, 7.339039082585841)	(4.0, 4.541618715314093)	(5.0, 3.012579681758881)	(6.0, 2.1947569841311934)	(7.0, 1.7407381686502184)	(8.0, 1.3664171664849432)	(9.0, 1.2266367367288904)	('>10', 13.852949193299057)	('>50', 4.983797261824727)	('>100', 8.475908293711123)	('>500', 1.5474982003076918)	('>1k', 0.5900470323254111)	('>5k', 0.0)	('>10k+', 4.887825601628442)
SRR20079529_2	(1.0, 35.69420772344661)	(2.0, 13.242276214001217)	(3.0, 6.954627860152023)	(4.0, 4.183086912329581)	(5.0, 2.8341353259105904)	(6.0, 2.0717327266127454)	(7.0, 1.6850612924788537)	(8.0, 1.3172111861914186)	(9.0, 1.1278287309360795)	('>10', 12.94071540566802)	('>50', 4.62972135663437)	('>100', 7.932493999861233)	('>500', 1.3697065903642789)	('>1k', 0.7050902707264375)	('>5k', 0.19014487831895638)	('>10k+', 3.1219595263674815)
SRR20079530_1	(1.0, 22.08847420677513)	(2.0, 10.580920305041916)	(3.0, 6.495743586880671)	(4.0, 4.45549900390126)	(5.0, 3.245361697309531)	(6.0, 2.5101342857865476)	(7.0, 1.973294051115013)	(8.0, 1.6605122997026223)	(9.0, 1.4054551637610988)	('>10', 15.689171871768234)	('>50', 4.897372574951113)	('>100', 10.777479025709088)	('>500', 3.280740247220705)	('>1k', 2.9323994483287907)	('>5k', 0.11840002311735498)	('>10k+', 7.889042208630998)
SRR20079530_2	(1.0, 33.677106253744206)	(2.0, 9.527339133692445)	(3.0, 5.826107245175272)	(4.0, 3.793603855839206)	(5.0, 2.7669914994164455)	(6.0, 2.133081125890041)	(7.0, 1.7017363972838102)	(8.0, 1.3537034292912178)	(9.0, 1.2018536310236885)	('>10', 13.182067159146158)	('>50', 4.173169928726149)	('>100', 9.015376602765635)	('>500', 2.664835762052077)	('>1k', 2.403085639460716)	('>5k', 0.2139750051232407)	('>10k+', 6.365967331369586)
SRR20079531_1	(1.0, 51.06146005809834)	(2.0, 9.838130216819115)	(3.0, 4.28196726467206)	(4.0, 2.564676186706229)	(5.0, 1.7662313260600842)	(6.0, 1.3481529556998695)	(7.0, 1.0438010875750108)	(8.0, 0.9127105263493631)	(9.0, 0.7429179070091046)	('>10', 10.297009087776837)	('>50', 2.9523140214446983)	('>100', 2.6799134358961765)	('>500', 0.11196537819501118)	('>1k', 0.06021637627005189)	('>5k', 0.0)	('>10k+', 10.338534171428094)
