Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR20079516_1	(34, 2885760.0)	(36, 1408.0)	(38, 1603.0)	(40, 1665.0)	(42, 1695.0)	(44, 2086.0)	(46, 3310.0)	(48, 4983.0)	(50, 7060.0)	(52, 7643.0)	(54, 10136.0)	(56, 16894.0)	(58, 28263.0)	(60, 37833.0)	(62, 40923.0)	(64, 46376.0)	(66, 63119.0)	(68, 89338.0)	(70, 112566.0)	(72, 125417.0)	(74, 133730.0)	(76, 147155.0)	(78, 171352.0)	(80, 200189.0)	(82, 225111.0)	(84, 242477.0)	(86, 249309.0)	(88, 262662.0)	(90, 286310.0)	(92, 303723.0)	(94, 323880.0)	(96, 457407.0)	(98, 2600194.0)	(100, 21151620.0)
SRR20079516_2	(34, 23715.0)	(36, 1423.0)	(38, 1573.0)	(40, 1641.0)	(42, 1671.0)	(44, 2079.0)	(46, 3270.0)	(48, 4891.0)	(50, 6946.0)	(52, 7507.0)	(54, 9946.0)	(56, 16465.0)	(58, 27610.0)	(60, 37021.0)	(62, 40014.0)	(64, 45258.0)	(66, 61546.0)	(68, 87368.0)	(70, 110198.0)	(72, 121805.0)	(74, 129907.0)	(76, 143254.0)	(78, 167204.0)	(80, 195412.0)	(82, 219102.0)	(84, 236315.0)	(86, 243854.0)	(88, 258035.0)	(90, 281756.0)	(92, 298783.0)	(94, 321081.0)	(96, 453948.0)	(98, 2626767.0)	(100, 24055832.0)
SRR20079517_1	(34, 430525.0)	(36, 181.0)	(38, 189.0)	(40, 202.0)	(42, 200.0)	(44, 264.0)	(46, 416.0)	(48, 599.0)	(50, 920.0)	(52, 1068.0)	(54, 1329.0)	(56, 2266.0)	(58, 3724.0)	(60, 5152.0)	(62, 5395.0)	(64, 5998.0)	(66, 8255.0)	(68, 11636.0)	(70, 14927.0)	(72, 16586.0)	(74, 17752.0)	(76, 19618.0)	(78, 23182.0)	(80, 26927.0)	(82, 30118.0)	(84, 32766.0)	(86, 33855.0)	(88, 35071.0)	(90, 37997.0)	(92, 40641.0)	(94, 43642.0)	(96, 60919.0)	(98, 343561.0)	(100, 2780319.0)
SRR20079517_2	(34, 6511.0)	(36, 130.0)	(38, 136.0)	(40, 166.0)	(42, 181.0)	(44, 253.0)	(46, 383.0)	(48, 564.0)	(50, 873.0)	(52, 1004.0)	(54, 1240.0)	(56, 2137.0)	(58, 3510.0)	(60, 4885.0)	(62, 5098.0)	(64, 5714.0)	(66, 7817.0)	(68, 11145.0)	(70, 14331.0)	(72, 15818.0)	(74, 17029.0)	(76, 18813.0)	(78, 22355.0)	(80, 25995.0)	(82, 28988.0)	(84, 31571.0)	(86, 32680.0)	(88, 33974.0)	(90, 36877.0)	(92, 39280.0)	(94, 42309.0)	(96, 60350.0)	(98, 338277.0)	(100, 3225806.0)
SRR20079518_1	(34, 832548.0)	(36, 163.0)	(38, 216.0)	(40, 203.0)	(42, 237.0)	(44, 252.0)	(46, 411.0)	(48, 694.0)	(50, 919.0)	(52, 1076.0)	(54, 1333.0)	(56, 2212.0)	(58, 3715.0)	(60, 4847.0)	(62, 5247.0)	(64, 6005.0)	(66, 8039.0)	(68, 11658.0)	(70, 14825.0)	(72, 16682.0)	(74, 18079.0)	(76, 20385.0)	(78, 24080.0)	(80, 27592.0)	(82, 31523.0)	(84, 34382.0)	(86, 35783.0)	(88, 37971.0)	(90, 41522.0)	(92, 42503.0)	(94, 46178.0)	(96, 62839.0)	(98, 336776.0)	(100, 2765958.0)
SRR20079518_2	(34, 66564.0)	(36, 113.0)	(38, 150.0)	(40, 165.0)	(42, 201.0)	(44, 237.0)	(46, 384.0)	(48, 632.0)	(50, 841.0)	(52, 976.0)	(54, 1220.0)	(56, 2033.0)	(58, 3461.0)	(60, 4540.0)	(62, 4843.0)	(64, 5598.0)	(66, 7462.0)	(68, 10954.0)	(70, 13960.0)	(72, 15606.0)	(74, 16967.0)	(76, 19212.0)	(78, 22687.0)	(80, 26274.0)	(82, 30026.0)	(84, 32551.0)	(86, 33863.0)	(88, 36191.0)	(90, 39456.0)	(92, 40863.0)	(94, 44539.0)	(96, 62139.0)	(98, 328152.0)	(100, 3563993.0)
SRR20079519_1	(34, 5075684.0)	(36, 1479.0)	(38, 1582.0)	(40, 1814.0)	(42, 1877.0)	(44, 2246.0)	(46, 3355.0)	(48, 5151.0)	(50, 6985.0)	(52, 7660.0)	(54, 10015.0)	(56, 16237.0)	(58, 27007.0)	(60, 36112.0)	(62, 39174.0)	(64, 44270.0)	(66, 59797.0)	(68, 85791.0)	(70, 107865.0)	(72, 120150.0)	(74, 131020.0)	(76, 147046.0)	(78, 171197.0)	(80, 201463.0)	(82, 227267.0)	(84, 246034.0)	(86, 254356.0)	(88, 270159.0)	(90, 291642.0)	(92, 303684.0)	(94, 324272.0)	(96, 440616.0)	(98, 2353068.0)	(100, 19117147.0)
SRR20079519_2	(34, 84514.0)	(36, 1420.0)	(38, 1505.0)	(40, 1765.0)	(42, 1794.0)	(44, 2131.0)	(46, 3199.0)	(48, 4995.0)	(50, 6704.0)	(52, 7375.0)	(54, 9560.0)	(56, 15465.0)	(58, 25955.0)	(60, 34799.0)	(62, 37589.0)	(64, 42429.0)	(66, 57124.0)	(68, 82181.0)	(70, 103619.0)	(72, 114742.0)	(74, 125027.0)	(76, 140590.0)	(78, 163769.0)	(80, 192883.0)	(82, 218234.0)	(84, 235881.0)	(86, 244577.0)	(88, 260821.0)	(90, 281651.0)	(92, 298558.0)	(94, 321225.0)	(96, 437469.0)	(98, 2394815.0)	(100, 24178857.0)
SRR20079520_1	(34, 805419.0)	(36, 3332.0)	(38, 3513.0)	(40, 3569.0)	(42, 3420.0)	(44, 3882.0)	(46, 5125.0)	(48, 7814.0)	(50, 10216.0)	(52, 10541.0)	(54, 12584.0)	(56, 20936.0)	(58, 37044.0)	(60, 49467.0)	(62, 50920.0)	(64, 57089.0)	(66, 81338.0)	(68, 121281.0)	(70, 156269.0)	(72, 174370.0)	(74, 192900.0)	(76, 223373.0)	(78, 272432.0)	(80, 325277.0)	(82, 371144.0)	(84, 407451.0)	(86, 433864.0)	(88, 468629.0)	(90, 512280.0)	(92, 546717.0)	(94, 585532.0)	(96, 838025.0)	(98, 4900913.0)	(100, 40431495.0)
SRR20079520_2	(34, 55186.0)	(36, 3317.0)	(38, 3564.0)	(40, 3613.0)	(42, 3443.0)	(44, 3930.0)	(46, 5148.0)	(48, 7849.0)	(50, 10201.0)	(52, 10507.0)	(54, 12525.0)	(56, 20737.0)	(58, 36674.0)	(60, 48934.0)	(62, 50336.0)	(64, 56448.0)	(66, 80403.0)	(68, 119891.0)	(70, 154562.0)	(72, 171814.0)	(74, 189848.0)	(76, 220333.0)	(78, 269021.0)	(80, 321376.0)	(82, 365790.0)	(84, 401912.0)	(86, 429267.0)	(88, 464740.0)	(90, 508981.0)	(92, 541177.0)	(94, 582713.0)	(96, 837367.0)	(98, 4956393.0)	(100, 41180161.0)
