Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR21170613	83.7362803549539	20.398353	IU	100.0	0.49515524515263476						
SRR21170613_1						54.05164916565538	50.0	150.0	150	9.090909090909092	24.360232999999997
SRR21170613_2						52.478839620023344	50.0	150.0	150	9.090909090909092	24.360232999999997
SRR21170614	86.49913623957572	20.805107	IU	100.0	0.496873344748574						
SRR21170614_1						54.2777221959685	49.0	150.0	150	9.090909090909092	24.052387
SRR21170614_2						52.486388283649546	49.0	150.0	150	9.090909090909092	24.052387
SRR21170615	87.04337412762902	20.065592	IU	100.0	0.4960992114417824						
SRR21170615_1						54.09860226185298	50.0	150.0	150	9.090909090909092	23.052405999999998
SRR21170615_2						51.743394597478336	50.0	150.0	150	9.090909090909092	23.052405999999998
SRR21170616	87.58441550991843	21.375905	IU	100.0	0.4965848814610172						
SRR21170616_1						55.17587442016642	50.0	150.0	150	9.090909090909092	24.40606
SRR21170616_2						53.52675140797678	50.0	150.0	150	9.090909090909092	24.40606
SRR21170617	84.74575546645362	20.221021999999998	IU	100.0	0.4970265851669591						
SRR21170617_1						54.91944994866748	50.0	150.0	150	9.090909090909092	23.860808
SRR21170617_2						53.241094559750174	50.0	150.0	150	9.090909090909092	23.860808
SRR21170618	84.6491939472715	19.638431	IU	100.0	0.4960083872883012						
SRR21170618_1						54.26684125511435	50.0	150.0	150	9.090909090909092	23.199785
SRR21170618_2						51.89683160045195	50.0	150.0	150	9.090909090909092	23.199785
