Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR22223232_1 - polya	(1, 0.0032684411780470723)	(2, 0.010008055891629765)	(3, 0.01418632033255227)	(4, 0.019551310768529687)	(5, 0.022893922321267694)	(6, 0.025722285942815233)	(7, 0.031008161312455658)	(8, 0.036971459437606595)	(9, 0.047617380551578374)	(10, 0.06987047083551641)	(15, 0.09750140775371165)	(20, 0.12278163826336892)	(25, 0.1591953364832997)	(30, 0.19352929739689675)	(35, 0.22314008885017525)	(40, 0.24938354529248544)	(45, 0.2747082780269573)	(50, 0.29873255685851474)	(55, 0.3224957559711602)	(60, 0.3466110171290052)	(65, 0.37089835355613326)	(70, 0.39954591907675885)	(75, 0.42383721125720364)	(80, 0.4464809321811806)	(85, 0.4694707815203819)	(90, 0.4972718158312017)	(95, 0.5248157261764261)	(100, 0.5504470297929539)	(105, 0.577388676695688)	(110, 0.6013654864874434)	(115, 0.6217099257960015)	(120, 0.6416399999446194)	(125, 0.6597444939375114)	(130, 0.6813003826993546)	(135, 0.7015973529681105)	(140, 0.7086484832553951)
SRR22223232_2 - polya	(1, 0.008559261239333558)	(2, 0.011689251051290891)	(3, 0.013647348943131497)	(4, 0.01638670811504992)	(5, 0.01907167567886166)	(6, 0.021450072360617547)	(7, 0.023828469042373436)	(8, 0.02899567181250837)	(9, 0.035883627275472924)	(10, 0.050274657842172166)	(15, 0.07465297659558771)	(20, 0.09711769968197721)	(25, 0.11672735781193042)	(30, 0.13364215899477977)	(35, 0.15063607524396613)	(40, 0.16869211125872666)	(45, 0.18786070289385112)	(50, 0.20733883222601907)	(55, 0.22695046823263074)	(60, 0.24607455764294067)	(65, 0.27544404814389134)	(70, 0.30106941813044374)	(75, 0.32095597899257644)	(80, 0.33972207272771143)	(85, 0.3623321697484952)	(90, 0.3818557902438069)	(95, 0.40064265168385543)	(100, 0.4175327294084744)	(105, 0.43325981565793975)	(110, 0.44919556789486875)	(115, 0.4651243975634933)	(120, 0.48134100828591875)	(125, 0.5000715002412021)	(130, 0.517202878918149)	(135, 0.5347525785083527)	(140, 0.5407762018715856)
SRR22223232_2 - polyg	(1, 0.08251206949783887)	(2, 0.08493991309605538)	(3, 0.08533548842774036)	(4, 0.0856025017766277)	(5, 0.08581512351740839)	(6, 0.08598818772502055)	(7, 0.08613652847440242)	(8, 0.08638870774835158)	(9, 0.08711063272867665)	(10, 0.09000327734162301)	(15, 0.09244298819979006)	(20, 0.09311052157200847)	(25, 0.09379387795749425)	(30, 0.09459590694248551)	(35, 0.09545925010388798)	(40, 0.09635918398347128)	(45, 0.09734317762103764)	(50, 0.09839343012666124)	(55, 0.09964641498977338)	(60, 0.10087269851799681)	(65, 0.10218205286587405)	(70, 0.10363084751817027)	(75, 0.10555631044514684)	(80, 0.11663538654731369)	(85, 0.1295261976685977)	(90, 0.13669501161705855)	(95, 0.14134796645600303)	(100, 0.14493781259104413)	(105, 0.14814790640766767)	(110, 0.15140546926409343)	(115, 0.1549072998878346)	(120, 0.15876910406340913)	(125, 0.16315504555346624)	(130, 0.16772987426440295)	(135, 0.17281103939989637)	(140, 0.17618430804083998)
SRR22223233_1 - polya	(1, 0.003958822055885016)	(2, 0.012273316300396579)	(3, 0.01665318666784883)	(4, 0.022441391042956994)	(5, 0.025824296442790277)	(6, 0.02822475578230002)	(7, 0.03254655052057058)	(8, 0.03853801959781465)	(9, 0.04966434222187291)	(10, 0.07162467346977494)	(15, 0.09924737856289145)	(20, 0.12634353128476067)	(25, 0.1643017625179115)	(30, 0.19847055894695723)	(35, 0.22600518266914818)	(40, 0.2515894331779875)	(45, 0.2768920168852956)	(50, 0.30112891279711973)	(55, 0.3253416105301182)	(60, 0.3486551039379535)	(65, 0.3730013756180699)	(70, 0.40110417257908837)	(75, 0.42498874300721023)	(80, 0.44628314037382893)	(85, 0.46781951952870465)	(90, 0.4938267542034172)	(95, 0.5218443735749692)	(100, 0.5469088472026324)	(105, 0.5715861499690844)	(110, 0.5937632968992647)	(115, 0.6125381798865511)	(120, 0.6309859034961142)	(125, 0.6487231685753544)	(130, 0.6692664544712233)	(135, 0.6890499175519651)	(140, 0.695586329616364)
SRR22223233_2 - polya	(1, 0.007433680535255972)	(2, 0.010051923484197041)	(3, 0.011794192359647659)	(4, 0.01458666219613379)	(5, 0.01681773428386361)	(6, 0.018864900212518087)	(7, 0.021008858856475375)	(8, 0.026022721509161042)	(9, 0.03270141886505508)	(10, 0.044791796933529346)	(15, 0.06641819331363666)	(20, 0.08707375875925677)	(25, 0.10493588644123772)	(30, 0.12053790422089801)	(35, 0.1366016232525527)	(40, 0.15311930011897762)	(45, 0.17158444641729506)	(50, 0.18896551430422107)	(55, 0.20751874197346404)	(60, 0.22589290311939694)	(65, 0.2572285767715293)	(70, 0.28271409871075975)	(75, 0.3017677447181183)	(80, 0.3190849294129444)	(85, 0.33901745327525246)	(90, 0.35577517607562836)	(95, 0.3722638151274625)	(100, 0.3870624533701094)	(105, 0.40153393223503286)	(110, 0.41502877260255094)	(115, 0.42991742807042943)	(120, 0.4453181170022599)	(125, 0.4622665214517824)	(130, 0.4777378690657838)	(135, 0.4933224641566897)	(140, 0.4988744943064589)
SRR22223233_2 - polyg	(1, 0.11347010014948666)	(2, 0.11633032488668477)	(3, 0.11674653356248686)	(4, 0.11708530806604671)	(5, 0.11731277094700832)	(6, 0.11748699783455337)	(7, 0.11772413998704526)	(8, 0.11807743339790053)	(9, 0.11907439836551949)	(10, 0.12303418834855755)	(15, 0.12637934458942274)	(20, 0.1272359601198526)	(25, 0.1279454507230222)	(30, 0.1288020662534521)	(35, 0.12978160853231657)	(40, 0.13061692966537986)	(45, 0.13158872852702008)	(50, 0.13263505777944345)	(55, 0.1340027388466722)	(60, 0.13525814036414968)	(65, 0.13653677213329982)	(70, 0.13803512336618734)	(75, 0.14026522752676415)	(80, 0.15368069786773392)	(85, 0.16938434799846216)	(90, 0.17811698677308185)	(95, 0.18381517392295843)	(100, 0.18802178533001862)	(105, 0.19176185584931932)	(110, 0.19556677748787282)	(115, 0.19942106341123084)	(120, 0.20393353979864792)	(125, 0.2086792866299448)	(130, 0.213574094242808)	(135, 0.2186847496107965)	(140, 0.22213444198418872)
SRR22223234_1 - polya	(1, 0.003908275015905855)	(2, 0.011802408670862099)	(3, 0.01631680574258462)	(4, 0.021713716527576202)	(5, 0.02442429436118833)	(6, 0.026848782584454986)	(7, 0.031159522645423106)	(8, 0.03721589422714322)	(9, 0.04816488304341546)	(10, 0.06973216048230635)	(15, 0.09725495079282948)	(20, 0.12325710208971974)	(25, 0.15944016433375136)	(30, 0.19260037466101415)	(35, 0.2215410056845036)	(40, 0.24703983322624365)	(45, 0.2718481665219975)	(50, 0.29538606798875955)	(55, 0.3187367989646853)	(60, 0.3418004705349764)	(65, 0.36614912086359885)	(70, 0.3953360798905722)	(75, 0.4185355228013662)	(80, 0.4402686352347285)	(85, 0.46295408664219)	(90, 0.4897466210998652)	(95, 0.5162220324979371)	(100, 0.5407675512702887)	(105, 0.5657582060804323)	(110, 0.5875398082782598)	(115, 0.6057797180795397)	(120, 0.6244240325164603)	(125, 0.6415961977042132)	(130, 0.662005539567672)	(135, 0.6809068497562588)	(140, 0.687196942002702)
SRR22223234_2 - polya	(1, 0.007656533809076111)	(2, 0.010323470854669435)	(3, 0.011768465835736364)	(4, 0.01450813752802769)	(5, 0.01665623409384195)	(6, 0.018726747036511678)	(7, 0.020996068013489272)	(8, 0.025951721941846324)	(9, 0.0336761414211739)	(10, 0.046267963457531626)	(15, 0.0694063092650993)	(20, 0.09001542895815522)	(25, 0.10812247680479994)	(30, 0.12465457710161063)	(35, 0.1416453905702634)	(40, 0.15936064112002823)	(45, 0.17811648201521907)	(50, 0.19682965191768048)	(55, 0.21626240992480744)	(60, 0.23425308233673534)	(65, 0.26008939863915415)	(70, 0.28431876414719187)	(75, 0.3044342580379907)	(80, 0.3229098280945719)	(85, 0.34484077876695285)	(90, 0.3631349971044337)	(95, 0.38112179033520444)	(100, 0.3972126337753806)	(105, 0.41264013723767096)	(110, 0.42729859303554124)	(115, 0.442578687613857)	(120, 0.45818657299995846)	(125, 0.4753907414322587)	(130, 0.49186077483055374)	(135, 0.5083065633466162)	(140, 0.5143212337308961)
SRR22223234_2 - polyg	(1, 0.1014648321437097)	(2, 0.10409782635417729)	(3, 0.10446634856411383)	(4, 0.10467485455131476)	(5, 0.10481547486826422)	(6, 0.10499003802033942)	(7, 0.10516945014886116)	(8, 0.10545069078276008)	(9, 0.10632350654313608)	(10, 0.10983513528571551)	(15, 0.1127299742242959)	(20, 0.11354072308615629)	(25, 0.1143311062469412)	(30, 0.11513603633706575)	(35, 0.11602339902678134)	(40, 0.11697670779616978)	(45, 0.11801923773217445)	(50, 0.11910346886561932)	(55, 0.12048251776701338)	(60, 0.12189453970824386)	(65, 0.12336571916212209)	(70, 0.1250017638151824)	(75, 0.12711397795529233)	(80, 0.13722797302747153)	(85, 0.1484145616896239)	(90, 0.1551973099430347)	(95, 0.1599522162465053)	(100, 0.16377417948166284)	(105, 0.1673915159107767)	(110, 0.17111262043584635)	(115, 0.175175092902752)	(120, 0.1796439095958771)	(125, 0.18426401435413406)	(130, 0.18926815804695643)	(135, 0.1950316514513059)	(140, 0.19870620580248888)
SRR22223235_1 - polya	(1, 0.0033458979171352805)	(2, 0.0104078577451119)	(3, 0.01428256136754155)	(4, 0.01998885566012715)	(5, 0.02282998449493599)	(6, 0.024868290122616103)	(7, 0.02905546984362879)	(8, 0.03451178325734796)	(9, 0.04452063306119229)	(10, 0.06367012984727946)	(15, 0.08944508138824574)	(20, 0.11392878554337502)	(25, 0.14897898915520452)	(30, 0.18128132602934074)	(35, 0.207399520546289)	(40, 0.23075927221143805)	(45, 0.25310275545750327)	(50, 0.2747693674007916)	(55, 0.2973378334378366)	(60, 0.31954863452511884)	(65, 0.3422497827209467)	(70, 0.37018899179394504)	(75, 0.3913816015323059)	(80, 0.41108874797124895)	(85, 0.4319265771546032)	(90, 0.45684486345299263)	(95, 0.4805959313400595)	(100, 0.5024875260743277)	(105, 0.523994534841109)	(110, 0.5427604071246283)	(115, 0.5582755665179648)	(120, 0.5737339994810975)	(125, 0.5888174611259303)	(130, 0.6064468818755258)	(135, 0.6232484813301059)	(140, 0.6288845886836252)
