Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR22223232_1	(1, 0.13225072276557792)	(2, 0.13923757206146373)	(3, 0.12914051172020483)	(4, 0.12803784548313296)	(5, 0.12810212647453176)	(6, 0.12803784548313296)	(7, 0.12803784548313296)	(8, 0.12985749200888383)	(9, 0.12803784548313296)	(10, 0.1280388344214622)	(15, 0.12912666658359584)	(20, 0.1292097374032497)	(25, 0.13512062179695236)	(30, 0.1337380860127134)	(35, 0.027143289511462467)	(40, 0.0012883941072596907)	(45, 1.683585279229452e-05)	(50, 0.00023670465835857085)	(55, 1.188569632812509e-05)	(60, 0.0001822692080541593)	(65, 0.001766550430026229)	(70, 2.6758733094104973e-05)	(75, 1.7847723933309956e-05)	(80, 1.488496541488209e-05)	(85, 0.0001102905724363888)	(90, 0.001666612141701537)	(95, 6.490805643989176e-05)	(100, 2.406768482801127e-05)	(105, 7.865909795380156e-05)	(110, 0.00011578395988739868)	(115, 0.005271888641402436)	(120, 6.520786393590485e-05)	(125, 0.011851816226424654)	(130, 0.012221535675025715)	(135, 0.001262047936934764)	(140, 0.002426675507142314)	(145, 0.0001771308887962751)	(150, 0.0)
SRR22223232_2	(1, 0.05364495966812813)	(2, 0.03780216763414503)	(3, 0.04637131825677072)	(4, 0.03784172516731353)	(5, 0.04101621720408542)	(6, 0.03780216763414503)	(7, 0.03791589554200446)	(8, 0.06351456419366815)	(9, 0.03794061900023477)	(10, 0.03964752655645542)	(15, 0.037933696431930286)	(20, 0.04650185811622676)	(25, 0.041995266150005726)	(30, 0.04932725492278667)	(35, 0.01152239737095041)	(40, 0.0005995866236102787)	(45, 0.007788955249582684)	(50, 0.0005630267813138279)	(55, 0.0008173937672854414)	(60, 0.0021021208112780958)	(65, 0.003981290665934315)	(70, 0.0005822177336887568)	(75, 0.00013967996704266036)	(80, 0.003611749374653306)	(85, 0.001394725198931988)	(90, 7.360358580755766e-05)	(95, 0.011627111907006568)	(100, 0.0003997145777449262)	(105, 0.004267138762376239)	(110, 0.0005346214294427789)	(115, 0.015727060975015573)	(120, 0.0013447311130034506)	(125, 0.0009777659576737563)	(130, 0.004850840470906494)	(135, 0.004022076390966651)	(140, 0.00034111316245488124)	(145, 0.0009380303738045435)	(150, 0.0007076337762699561)
SRR22223233_1	(1, 0.18173316261679492)	(2, 0.18989762815258712)	(3, 0.1786454749986352)	(4, 0.1774742831434712)	(5, 0.17768238748137224)	(6, 0.17746944350770605)	(7, 0.17746944350770605)	(8, 0.1791923538400961)	(9, 0.17746944350770605)	(10, 0.17747331521631818)	(15, 0.17851190105151735)	(20, 0.17893004558162548)	(25, 0.1864576150507252)	(30, 0.18665991182570807)	(35, 0.03808024607737694)	(40, 0.001171540704333181)	(45, 3.879488876564615e-05)	(50, 0.0006314416260442454)	(55, 1.6491415146474277e-05)	(60, 0.00022025622571687238)	(65, 0.0015219276728138922)	(70, 2.3307741206885134e-05)	(75, 3.402160399070693e-05)	(80, 3.40711734742948e-05)	(85, 0.00020099242644926077)	(90, 0.001488954774892945)	(95, 8.064602104924092e-05)	(100, 6.82681922859713e-05)	(105, 0.00018339089647988552)	(110, 0.00015081606876440556)	(115, 0.004996808136461125)	(120, 0.00017875333724262087)	(125, 0.011521402261097824)	(130, 0.012200598912202622)	(135, 0.0013687878762738382)	(140, 0.0022027223708451288)	(145, 0.00011933920876320078)	(150, 0.0)
SRR22223233_2	(1, 0.061414977859634304)	(2, 0.04690574983574276)	(3, 0.05436362854982444)	(4, 0.046929948014568464)	(5, 0.0494852756985627)	(6, 0.04690574983574276)	(7, 0.04720096761741634)	(8, 0.07172824167514893)	(9, 0.047036420001401555)	(10, 0.048561873194573876)	(15, 0.04707997672328782)	(20, 0.055588056398405014)	(25, 0.05314791204562112)	(30, 0.061777950542019844)	(35, 0.01474088721780309)	(40, 0.0007496583461144108)	(45, 0.008101403457728201)	(50, 0.0009231586116977021)	(55, 0.001074412751808707)	(60, 0.002185137166001905)	(65, 0.004099345649826547)	(70, 0.000839911655260065)	(75, 0.00017085286439632398)	(80, 0.0033315699441527967)	(85, 0.001345582820393622)	(90, 0.00012414884844758072)	(95, 0.011172694872563862)	(100, 0.00040502346854156044)	(105, 0.0038806989942889946)	(110, 0.0005379673411870476)	(115, 0.015144331561845253)	(120, 0.0014137400027360329)	(125, 0.000907330193984704)	(130, 0.004418662095655306)	(135, 0.003835551396645274)	(140, 0.0003097361179776831)	(145, 0.0010785688492224148)	(150, 0.0005421327632155093)
SRR22223234_1	(1, 0.15472598943243168)	(2, 0.16310017175559471)	(3, 0.15201541159881954)	(4, 0.1507983185107397)	(5, 0.1510601632388525)	(6, 0.15078862055784661)	(7, 0.15078862055784661)	(8, 0.15237423585586302)	(9, 0.15078862055784661)	(10, 0.15079249973900385)	(15, 0.15183987865145504)	(20, 0.15221034045197018)	(25, 0.1594488924913551)	(30, 0.15958466383185807)	(35, 0.03276857606102139)	(40, 0.0011890140695335427)	(45, 6.120231183864102e-05)	(50, 0.0008471827719010032)	(55, 2.040460009466374e-05)	(60, 0.00028182832295539406)	(65, 0.0015631260888660512)	(70, 3.0148733036450652e-05)	(75, 6.423579535608485e-05)	(80, 6.236565074580744e-05)	(85, 0.0002870528222301204)	(90, 0.0015531560154716667)	(95, 0.00011114751766084876)	(100, 0.00011874445667479364)	(105, 0.00025330968803745097)	(110, 0.00021147009782606724)	(115, 0.005033124396363772)	(120, 0.00030246469811148166)	(125, 0.0112119692361168)	(130, 0.011980047376542778)	(135, 0.001434612972293554)	(140, 0.0024069916567250535)	(145, 0.00011928311258308239)	(150, 0.0)
SRR22223234_2	(1, 0.06305608971071927)	(2, 0.04790788729174919)	(3, 0.0557680781115797)	(4, 0.04792243422108879)	(5, 0.05065240796048705)	(6, 0.047893340362409595)	(7, 0.04845097265376092)	(8, 0.07185213298473073)	(9, 0.04801941375001946)	(10, 0.04969328041936275)	(15, 0.048144517342340015)	(20, 0.056304374906566285)	(25, 0.053953591125286936)	(30, 0.062167757225714375)	(35, 0.015071113475364613)	(40, 0.0009335399154302114)	(45, 0.008128611559778464)	(50, 0.001304404438049757)	(55, 0.0013074599403058635)	(60, 0.0024280157642588332)	(65, 0.00415625575581943)	(70, 0.0009948472257125804)	(75, 0.0002459797717513835)	(80, 0.003541349144999752)	(85, 0.001370319622126513)	(90, 0.00022107447182153966)	(95, 0.010853379614887077)	(100, 0.0004971295070200913)	(105, 0.004080520328988938)	(110, 0.0006566390542402563)	(115, 0.014807363161947182)	(120, 0.0015385655575106685)	(125, 0.0009945447806964443)	(130, 0.004589833666214112)	(135, 0.003950106164651078)	(140, 0.0003278073367895558)	(145, 0.0012893771350484986)	(150, 0.0006153768611853389)
SRR22223235_1	(1, 0.13119669548353297)	(2, 0.13845094829525298)	(3, 0.12837960327169207)	(4, 0.12695663519199082)	(5, 0.1269758644903652)	(6, 0.12694702054280368)	(7, 0.12694702054280368)	(8, 0.1287834185375532)	(9, 0.12694702054280368)	(10, 0.12694702054280368)	(15, 0.12801136220782341)	(20, 0.12844786728092097)	(25, 0.13575788505792658)	(30, 0.13603767134927322)	(35, 0.027768633008787454)	(40, 0.0012661826812553506)	(45, 2.2147920336280157e-05)	(50, 2.9855112273375985e-05)	(55, 2.119136750764994e-05)	(60, 0.00012911175908084915)	(65, 0.0017534575116712407)	(70, 1.5435218114633062e-05)	(75, 4.829616631020554e-06)	(80, 7.743089179180959e-06)	(85, 5.9229338913190174e-05)	(90, 0.0017228599991087174)	(95, 6.874889050339657e-05)	(100, 5.944708680690505e-06)	(105, 1.702732681626088e-05)	(110, 0.00011363814384429886)	(115, 0.005357104845884425)	(120, 2.094513453426451e-06)	(125, 0.012403690590770245)	(130, 0.012788666679017398)	(135, 0.0013681451907711067)	(140, 0.002437787703334484)	(145, 0.00013358813512369557)	(150, 0.0)
SRR22223235_2	(1, 0.06088476597775622)	(2, 0.04540518078641197)	(3, 0.05383242079896677)	(4, 0.04544844670775423)	(5, 0.04836649273606043)	(6, 0.04540518078641197)	(7, 0.04540518078641197)	(8, 0.07237427175642477)	(9, 0.04553497855043876)	(10, 0.04726561540412943)	(15, 0.04548113651499061)	(20, 0.054667933813331876)	(25, 0.051215313290219)	(30, 0.060588634782791376)	(35, 0.01379492977413051)	(40, 0.0005397325928061053)	(45, 0.007841653858872573)	(50, 0.00027232538152521324)	(55, 0.000559186299046365)	(60, 0.0019341208218417291)	(65, 0.003984634624752742)	(70, 0.000392305582413976)	(75, 8.106880416536149e-05)	(80, 0.0034891089273213294)	(85, 0.001564770988490086)	(90, 3.5087236079292594e-05)	(95, 0.01209334342191189)	(100, 0.0003325317108820854)	(105, 0.004249559078234623)	(110, 0.0005116750880618156)	(115, 0.01668974255948718)	(120, 0.0013224422771979307)	(125, 0.0009187209785836879)	(130, 0.004950124186430582)	(135, 0.0040473535483480285)	(140, 0.00032458506962701564)	(145, 0.0008686128988336508)	(150, 0.000685074116124756)
SRR22223236_1	(1, 0.14535680309099697)	(2, 0.15224632144095832)	(3, 0.14224298147867817)	(4, 0.14100447272144348)	(5, 0.14103455795441275)	(6, 0.14100447272144348)	(7, 0.14100447272144348)	(8, 0.14300514071389953)	(9, 0.14100447272144348)	(10, 0.14100447272144348)	(15, 0.14208453258504006)	(20, 0.142618044049695)	(25, 0.1500571193218949)	(30, 0.149727184600332)	(35, 0.030379213838237953)	(40, 0.0013067454986082807)	(45, 2.912945040371058e-05)	(50, 2.7122205879139937e-05)	(55, 1.6073785103137443e-05)	(60, 0.00013061450467242243)	(65, 0.0017073118599860374)	(70, 1.909748713354548e-05)	(75, 7.038484249948601e-06)	(80, 1.0060538384278943e-05)	(85, 5.739461610911204e-05)	(90, 0.0016454990986808935)	(95, 5.556887973805275e-05)	(100, 6.080316604517724e-06)	(105, 1.3229868030946941e-05)	(110, 9.519028661119755e-05)	(115, 0.005279055689448386)	(120, 4.164180737520132e-06)	(125, 0.012145134131766839)	(130, 0.01247355198840423)	(135, 0.0013875555075008098)	(140, 0.0023270706242476532)	(145, 0.00012061771057575186)	(150, 0.0)
SRR22223236_2	(1, 0.0663529813137108)	(2, 0.05107971137631467)	(3, 0.05944340614176994)	(4, 0.051114810814778804)	(5, 0.053907723275425444)	(6, 0.05107971137631467)	(7, 0.05107971137631467)	(8, 0.07750457433431784)	(9, 0.05119503810269685)	(10, 0.052884825354470484)	(15, 0.051157932982034755)	(20, 0.06027175288952366)	(25, 0.05712283183874075)	(30, 0.06581746416685791)	(35, 0.014743219501143592)	(40, 0.000525840510144773)	(45, 0.007746477297226674)	(50, 0.0002589345699539892)	(55, 0.0005520392772533159)	(60, 0.0018179221567338603)	(65, 0.004010926788638665)	(70, 0.0003765836207394421)	(75, 7.132561068510689e-05)	(80, 0.003421484469938279)	(85, 0.0014164430772370716)	(90, 4.2307907217913315e-05)	(95, 0.011962159322476863)	(100, 0.0003037162723079602)	(105, 0.004022829215223285)	(110, 0.0004672552480969445)	(115, 0.01646148710402506)	(120, 0.0012746928990840709)	(125, 0.0008137709901660507)	(130, 0.0045893866789663935)	(135, 0.003908754679517311)	(140, 0.0002748046872402237)	(145, 0.000726053007416406)	(150, 0.0006077788191701883)
