Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR22223232_1	(1, 36.2188943788152)	(2, 36.18603932572602)	(3, 36.29880687557395)	(4, 36.33641605189315)	(5, 36.35413263482641)	(6, 36.319455858440996)	(7, 36.308182752638636)	(8, 36.33522250222363)	(9, 36.33685395378533)	(10, 36.36709087176298)	(15, 36.35188772504033)	(20, 36.33464489301368)	(25, 36.278805983551585)	(30, 36.25891174852801)	(35, 36.27632926543295)	(40, 36.255785674288454)	(45, 36.24827181616093)	(50, 36.21821455263923)	(55, 36.2011290260638)	(60, 36.172316390427845)	(65, 36.13704522840146)	(70, 36.12364647597332)	(75, 36.117295336257754)	(80, 36.096840869321554)	(85, 36.07443218155144)	(90, 36.030399696687894)	(95, 36.00524022619339)	(100, 35.959333159934644)	(105, 35.96794142343002)	(110, 35.94387500242438)	(115, 35.902359470643255)	(120, 35.858796238062745)	(125, 35.80837178546791)	(130, 35.81866640351012)	(135, 35.748923880488135)	(140, 35.68888481756521)	(145, 35.65571106687214)	(150, 35.48751164552118)
SRR22223232_2	(1, 35.369389283112675)	(2, 35.87892521984593)	(3, 35.94954495980658)	(4, 35.88181974344171)	(5, 35.953441129589095)	(6, 35.91409018563757)	(7, 35.9273746436608)	(8, 35.94423767392211)	(9, 35.99747459763561)	(10, 35.96590147563444)	(15, 35.937645895599374)	(20, 35.92541527992789)	(25, 35.87173322518304)	(30, 35.83736698532237)	(35, 35.80959402497634)	(40, 35.787003586579104)	(45, 35.765689337126)	(50, 35.74128811531734)	(55, 35.69400565071401)	(60, 35.65378971164155)	(65, 35.64485357053301)	(70, 35.610402928754596)	(75, 35.58996435041691)	(80, 35.527666145084154)	(85, 35.5142641525229)	(90, 35.523776017576814)	(95, 35.459832648503074)	(100, 35.406763729949)	(105, 35.351442329240484)	(110, 35.31796043469227)	(115, 35.28134647464808)	(120, 35.226037115805624)	(125, 35.17089705338762)	(130, 35.12811533559802)	(135, 35.08543747957441)	(140, 35.061253660158926)	(145, 34.94915369862012)	(150, 34.738229846036134)
SRR22223233_1	(1, 36.16918035735096)	(2, 36.14248023202375)	(3, 36.26977567126716)	(4, 36.3044927984284)	(5, 36.32178389748645)	(6, 36.28583508302298)	(7, 36.275160104830384)	(8, 36.308659676425826)	(9, 36.31097466779772)	(10, 36.33889404256324)	(15, 36.3239423072828)	(20, 36.30766428917946)	(25, 36.24972898039715)	(30, 36.2286539830783)	(35, 36.2610343583908)	(40, 36.24204014184713)	(45, 36.23220425990009)	(50, 36.20092290454143)	(55, 36.18544445503708)	(60, 36.15677209604308)	(65, 36.11882477481475)	(70, 36.10470337809202)	(75, 36.09769586301251)	(80, 36.07507048878816)	(85, 36.05399788154555)	(90, 36.01630375058946)	(95, 35.98492669814124)	(100, 35.942756183550344)	(105, 35.950359534874984)	(110, 35.92760426077139)	(115, 35.88521223785707)	(120, 35.84263335636437)	(125, 35.79175833768703)	(130, 35.796867744100695)	(135, 35.73042229505354)	(140, 35.673637140136336)	(145, 35.639352424681206)	(150, 35.46534171930006)
SRR22223233_2	(1, 35.346409609735645)	(2, 35.812487537937905)	(3, 35.87257118039491)	(4, 35.81029387623464)	(5, 35.89645836422634)	(6, 35.844819305423215)	(7, 35.850890192923366)	(8, 35.880181023672016)	(9, 35.92207155575706)	(10, 35.90014738626759)	(15, 35.869174946638175)	(20, 35.85647123184991)	(25, 35.799061004189575)	(30, 35.76111880183008)	(35, 35.73802544895744)	(40, 35.715980777140054)	(45, 35.69016189407952)	(50, 35.66741966831644)	(55, 35.62075656273125)	(60, 35.578949066706606)	(65, 35.569612287666075)	(70, 35.5366777025652)	(75, 35.51422088745412)	(80, 35.45044810647113)	(85, 35.43901866046683)	(90, 35.448952984278655)	(95, 35.38235553358752)	(100, 35.32963509323429)	(105, 35.273603245753726)	(110, 35.237138254433866)	(115, 35.20244166870421)	(120, 35.14251430139071)	(125, 35.08453428003387)	(130, 35.040146743406474)	(135, 34.9959858383735)	(140, 34.966623492335614)	(145, 34.858839832088684)	(150, 34.64720128317687)
SRR22223234_1	(1, 36.17884334358455)	(2, 36.14811106425383)	(3, 36.27156338613529)	(4, 36.302562068231985)	(5, 36.319390537969205)	(6, 36.282638787767524)	(7, 36.26808778528771)	(8, 36.303899464425704)	(9, 36.309454694291674)	(10, 36.334065926392825)	(15, 36.316964129551266)	(20, 36.29896168382453)	(25, 36.23826452417551)	(30, 36.2150036544311)	(35, 36.240869590831906)	(40, 36.22187416453137)	(45, 36.21190447748968)	(50, 36.184110248228635)	(55, 36.16617746235916)	(60, 36.13870460838941)	(65, 36.10418410734197)	(70, 36.09081582038976)	(75, 36.0821017687464)	(80, 36.061985486263936)	(85, 36.04118846311525)	(90, 36.002552650957405)	(95, 35.97207857042575)	(100, 35.93141836908481)	(105, 35.93800712874462)	(110, 35.91673067100611)	(115, 35.87595830452979)	(120, 35.83462404975849)	(125, 35.78480338380466)	(130, 35.79194954308985)	(135, 35.7300463693923)	(140, 35.66985418367079)	(145, 35.63874479624021)	(150, 35.46641093079111)
SRR22223234_2	(1, 35.48375241339619)	(2, 35.88672330368136)	(3, 35.9277088406878)	(4, 35.86897910474221)	(5, 35.93613156126519)	(6, 35.87985244952591)	(7, 35.8897444099666)	(8, 35.91640767071222)	(9, 35.955011002570004)	(10, 35.93349244764645)	(15, 35.90029217507579)	(20, 35.88870405237205)	(25, 35.8313350943846)	(30, 35.79544293193555)	(35, 35.7723423983954)	(40, 35.750014097336226)	(45, 35.725874818740934)	(50, 35.700897100185685)	(55, 35.65799382643626)	(60, 35.61475970102639)	(65, 35.60652238062138)	(70, 35.570438231858894)	(75, 35.54731973385141)	(80, 35.48499479345414)	(85, 35.476361446310506)	(90, 35.48232921820694)	(95, 35.41762724333971)	(100, 35.362068575481445)	(105, 35.307810640553875)	(110, 35.271880558369354)	(115, 35.23774618515576)	(120, 35.1772817027761)	(125, 35.11685949527791)	(130, 35.07497301488178)	(135, 35.02521141621095)	(140, 34.99429864466705)	(145, 34.88790181924751)	(150, 34.676907548907394)
SRR22223235_1	(1, 36.25601512884279)	(2, 36.23949182540893)	(3, 36.34379062639968)	(4, 36.37258986584247)	(5, 36.3941743686817)	(6, 36.35532291736723)	(7, 36.3492127116623)	(8, 36.371104210250074)	(9, 36.371273331929274)	(10, 36.40047619434494)	(15, 36.38377375076743)	(20, 36.36655954825763)	(25, 36.312735251837225)	(30, 36.293470427334135)	(35, 36.31129501314175)	(40, 36.29357226145641)	(45, 36.28517091862912)	(50, 36.2560949628766)	(55, 36.24054695953604)	(60, 36.21467653016991)	(65, 36.176808925755594)	(70, 36.16477559385485)	(75, 36.16033970640136)	(80, 36.14082560050706)	(85, 36.12084223855307)	(90, 36.08128413853503)	(95, 36.05539607238913)	(100, 36.01392662254244)	(105, 36.02410692855843)	(110, 36.00103172121191)	(115, 35.959007903521396)	(120, 35.91632226260121)	(125, 35.868069524450235)	(130, 35.875966452308376)	(135, 35.806998809172214)	(140, 35.748655938001875)	(145, 35.71575616958077)	(150, 35.53960396142853)
SRR22223235_2	(1, 35.39484128882257)	(2, 35.916862609210995)	(3, 35.981718081083315)	(4, 35.93455726535533)	(5, 35.99912381701957)	(6, 35.956445446889134)	(7, 35.96948550714222)	(8, 35.97878643032641)	(9, 36.02356295727572)	(10, 36.00056385110158)	(15, 35.97057787550962)	(20, 35.95920427432691)	(25, 35.90167716498223)	(30, 35.86736737588966)	(35, 35.840312179039195)	(40, 35.82130074474079)	(45, 35.79924479789226)	(50, 35.775216878540675)	(55, 35.72753119039407)	(60, 35.68592729798449)	(65, 35.68093074639267)	(70, 35.64409103556956)	(75, 35.6249617586963)	(80, 35.556749016822)	(85, 35.54221838244011)	(90, 35.55226425953133)	(95, 35.4809456552188)	(100, 35.43034453561758)	(105, 35.370668254119536)	(110, 35.337490039949046)	(115, 35.29554958467236)	(120, 35.23815508543222)	(125, 35.17930559274099)	(130, 35.13088109245024)	(135, 35.086317803022325)	(140, 35.06268585085069)	(145, 34.94049707451353)	(150, 34.71677293835326)
SRR22223236_1	(1, 36.22110279527415)	(2, 36.19142662118916)	(3, 36.30545191053514)	(4, 36.336591480493816)	(5, 36.35488360299146)	(6, 36.31442187288698)	(7, 36.30560589678589)	(8, 36.33945594566687)	(9, 36.340026913246575)	(10, 36.36355073741664)	(15, 36.34587814006471)	(20, 36.32786847779101)	(25, 36.27253591788216)	(30, 36.25224646685292)	(35, 36.27478264963922)	(40, 36.254770369007645)	(45, 36.245498084615825)	(50, 36.216107850461846)	(55, 36.20096547802929)	(60, 36.173151851817764)	(65, 36.13581061441177)	(70, 36.12398248848463)	(75, 36.1196274904618)	(80, 36.099415407439324)	(85, 36.07770756227275)	(90, 36.03540433995087)	(95, 36.00908718227133)	(100, 35.96651150960194)	(105, 35.97549356850035)	(110, 35.95341514008758)	(115, 35.91170476333214)	(120, 35.870526474883256)	(125, 35.82189695028565)	(130, 35.83107183695322)	(135, 35.761697498150134)	(140, 35.703783985922726)	(145, 35.67232710769277)	(150, 35.50014120525891)
SRR22223236_2	(1, 35.43029710320825)	(2, 35.80314810874949)	(3, 35.844570059206234)	(4, 35.789499190682164)	(5, 35.857607394629355)	(6, 35.800284596275475)	(7, 35.82236254420586)	(8, 35.839909455482854)	(9, 35.88472466922415)	(10, 35.8555875723719)	(15, 35.82277990661443)	(20, 35.81262981088573)	(25, 35.74961550821555)	(30, 35.712473061807756)	(35, 35.6856568853496)	(40, 35.662472525400034)	(45, 35.64027904964233)	(50, 35.61404334727266)	(55, 35.56664928384806)	(60, 35.520790353004244)	(65, 35.51513391713115)	(70, 35.474744674636085)	(75, 35.454963377496256)	(80, 35.38978029500879)	(85, 35.376739855454204)	(90, 35.39113016532702)	(95, 35.322136420410445)	(100, 35.2671547929573)	(105, 35.20924485915499)	(110, 35.176442039622245)	(115, 35.13741498478168)	(120, 35.08124519671668)	(125, 35.02572943537154)	(130, 34.98192234423763)	(135, 34.94096806376655)	(140, 34.92148324669621)	(145, 34.79900362790853)	(150, 34.58519142851652)
