Sample	Unique Reads	Duplicate Reads
SRR22223232_1	7446398.0	12777310.0
SRR22223232_2	7520011.0	12703697.0
SRR22223233_1	7216666.0	13446046.0
SRR22223233_2	7699877.0	12962835.0
SRR22223234_1	7308739.0	13314170.0
SRR22223234_2	7570977.0	13051932.0
SRR22223235_1	7330091.0	13471500.0
SRR22223235_2	7645681.0	13155910.0
SRR22223236_1	7084443.0	12858896.0
SRR22223236_2	7461740.0	12481599.0
SRR22223237_1	7962579.0	17927294.0
SRR22223237_2	8316349.0	17573524.0
SRR22223238_1	6969369.0	13666919.0
SRR22223238_2	7485117.0	13151171.0
SRR22223239_1	6886028.0	14212182.0
SRR22223239_2	7325447.0	13772763.0
SRR22223240_1	6767119.0	13026510.0
SRR22223240_2	6962381.0	12831248.0
SRR22223241_1	6848873.0	14982834.0
SRR22223241_2	7099546.0	14732161.0
SRR22223242_1	6674287.0	14873077.0
SRR22223242_2	6944598.0	14602766.0
SRR22223243_1	6810767.0	14929090.0
SRR22223243_2	7188210.0	14551647.0
SRR22223244_1	5299499.0	15995840.0
SRR22223244_2	5595047.0	15700292.0
SRR22223245_1	5120489.0	15738635.0
SRR22223245_2	5469385.0	15389739.0
SRR22223246_1	5061902.0	15470134.0
SRR22223246_2	5465795.0	15066241.0
SRR22223247_1	4790990.0	16486973.0
SRR22223247_2	4941672.0	16336291.0
SRR22223248_1	4956532.0	17510027.0
SRR22223248_2	5259301.0	17207258.0
SRR22223249_1	10673501.0	42092411.0
SRR22223249_2	11785416.0	40980496.0
SRR22223250_1	5057067.0	16116404.0
SRR22223250_2	5373779.0	15799692.0
SRR22223251_1	9338321.0	33731158.0
SRR22223251_2	10406116.0	32663363.0
SRR22223252_1	5305896.0	16609538.0
SRR22223252_2	5540348.0	16375086.0
SRR22223253_1	9445753.0	24025267.0
SRR22223253_2	10092034.0	23378986.0
SRR22223254_1	6412246.0	14808575.0
SRR22223254_2	6595712.0	14625109.0
SRR22223255_1	7797912.0	26786887.0
SRR22223255_2	8634065.0	25950734.0
SRR22223256_1	7183762.0	15517279.0
SRR22223256_2	7467979.0	15233062.0
SRR22223257_1	6472824.0	14844146.0
SRR22223257_2	6805759.0	14511211.0
SRR22223258_1	5836118.0	11701939.0
SRR22223258_2	6025121.0	11512936.0
SRR22223259_1	7001013.0	19159096.0
SRR22223259_2	7494353.0	18665756.0
SRR22223260_1	7561370.0	20411678.0
SRR22223260_2	7788903.0	20184145.0
SRR22223261_1	13895021.0	35121121.0
SRR22223261_2	15089025.0	33927117.0
SRR22223262_1	6814509.0	16319669.0
SRR22223262_2	7079651.0	16054527.0
SRR22223263_1	7987014.0	17110124.0
SRR22223263_2	7645226.0	17451912.0
SRR22223264_1	6115961.0	14396022.0
SRR22223264_2	6282453.0	14229530.0
