Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR26260919_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.000293423984792512)	(3, 0.00030470952266914707)	(4, 0.00030470952266914707)	(5, 0.00030470952266914707)	(6, 0.00031035229160746464)	(7, 0.00031035229160746464)	(8, 0.00031035229160746464)	(9, 0.00031035229160746464)	(10, 0.00031035229160746464)	(12, 0.00031035229160746464)	(14, 0.00031035229160746464)	(16, 0.00032163782948409973)	(18, 0.00034703028970652864)	(20, 0.00036113721205232246)	(22, 0.00036113721205232246)	(24, 0.00036113721205232246)	(26, 0.00037806551886727507)	(28, 0.00037806551886727507)	(30, 0.00037806551886727507)	(32, 0.00037806551886727507)	(34, 0.00037806551886727507)	(36, 0.00037806551886727507)	(38, 0.00040345797908970403)	(40, 0.00042038628590465664)	(42, 0.00042602905484297415)	(44, 0.00042885043931213294)	(46, 0.00043449320825045046)	(48, 0.0004429573616579268)	(50, 0.00046270705294203815)	(52, 0.000476813975287832)	(54, 0.0005304202802018486)	(56, 0.0005953121229925003)	(58, 0.0006348115055607232)	(60, 0.0006743108881289458)	(62, 0.0007843448824261379)	(64, 0.0008972002611924886)	(66, 0.0010241625623046333)	(68, 0.0011708745547008893)	(70, 0.0013514431607270505)	(72, 0.0015856180716672282)	(74, 0.0018818634409288992)	(76, 0.0022401792685120625)	(78, 0.0026803152457008307)	(80, 0.003286912906569966)	(82, 0.0038624753382783547)	(84, 0.00460732083813627)	(86, 0.005733053241330619)	(88, 0.006833393184302539)	(90, 0.008105837579893143)	(92, 0.009505244276595893)	(94, 0.011288359261104237)	(96, 0.013401576228504153)	(98, 0.01582232410304238)	(100, 0.01845467581276751)	(102, 0.021422772274322537)	(104, 0.024720970718769136)	(106, 0.028352092530576474)	(108, 0.03257288369643799)	(110, 0.0372874171444023)	(112, 0.04197655813214417)	(114, 0.04724408293606359)	(116, 0.0526696052702559)	(118, 0.05822491129002952)	(120, 0.06375764623404986)	(122, 0.06939759378789825)	(124, 0.07461433367137281)	(126, 0.08000882077640438)	(128, 0.08559516202533873)	(130, 0.09975851206051575)	(132, 0.10890261912505933)	(134, 0.1117437532855022)	(136, 0.11174939605444054)	
SRR26260919_1 - polya	(1, 0.0019636835905345036)	(2, 0.0024376761813531766)	(3, 0.007149388244848321)	(4, 0.010433479766949128)	(5, 0.015957750557562)	(6, 0.019467552837195506)	(7, 0.02377298553713179)	(8, 0.027903492399980228)	(9, 0.035126236641026674)	(10, 0.05181754716056995)	(12, 0.06220588477601255)	(14, 0.07086753509632997)	(16, 0.07884923175958011)	(18, 0.08607479738509573)	(20, 0.09376589144802254)	(22, 0.1018632648745082)	(24, 0.11029074028388544)	(26, 0.11748244929577115)	(28, 0.12667451989629042)	(30, 0.13568037912184522)	(32, 0.1427084478345197)	(34, 0.14905938427459609)	(36, 0.15550060501768556)	(38, 0.1621844648251227)	(40, 0.16865954218184206)	(42, 0.1754788284437988)	(44, 0.1822416870163724)	(46, 0.18816377301713663)	(48, 0.19377550672629343)	(50, 0.20012362178190068)	(52, 0.206135992085678)	(54, 0.21226121776822168)	(56, 0.21791809362888503)	(58, 0.22343672165055956)	(60, 0.22847007154353882)	(62, 0.2328911810067106)	(64, 0.23744489553993287)	(66, 0.24300302294417564)	(68, 0.24814076406251376)	(70, 0.2532559341050986)	(72, 0.2580946084697059)	(74, 0.26281196330213935)	(76, 0.26774656473869807)	(78, 0.27425832009351647)	(80, 0.2802960828575162)	(82, 0.2853661107485945)	(84, 0.28975900636707475)	(86, 0.29535099038494744)	(88, 0.30097400963198084)	(90, 0.30584371922574893)	(92, 0.3133965654496869)	(94, 0.3199421774181353)	(96, 0.32581347849845466)	(98, 0.33120514421901703)	(100, 0.3365968099395795)	(102, 0.34512867657431556)	(104, 0.3514937199367378)	(106, 0.35678663720087966)	(108, 0.36228833691573925)	(110, 0.3677872152461297)	(112, 0.37240017885320426)	(114, 0.37625419003807514)	(116, 0.38020412829489747)	(118, 0.38421895839451037)	(120, 0.3884707847895326)	(122, 0.3926407910349493)	(124, 0.3957076359529249)	(126, 0.3995193263707584)	(128, 0.40409561197973387)	(130, 0.40827690376302717)	(132, 0.41261619307659336)	(134, 0.41583539275590353)	(136, 0.4194044441093894)	
SRR26260919_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00028778121585419446)	(4, 0.00030470952266914707)	(5, 0.000806915958179408)	(6, 0.0009141285680074413)	(7, 0.0009423424126990289)	(8, 0.0009649134884522991)	(9, 0.0009987701020822044)	(10, 0.0011031613274410787)	(12, 0.001334514853912098)	(14, 0.0017323300640634844)	(16, 0.0022232509616971104)	(18, 0.002663386938885878)	(20, 0.0029398826168634375)	(22, 0.0032445921395325844)	(24, 0.003978152101513865)	(26, 0.005202632961128771)	(28, 0.006432756589681994)	(30, 0.008294870339326781)	(32, 0.01024726839198465)	(34, 0.01139275048646311)	(36, 0.012024740607554674)	(38, 0.01279215718316586)	(40, 0.014137957574954594)	(42, 0.01547529381333585)	(44, 0.017698544775032958)	(46, 0.02003465111549642)	(48, 0.021259131975111326)	(50, 0.02268957390097482)	(52, 0.023945089989750475)	(54, 0.025561743290578448)	(56, 0.027237645665258756)	(58, 0.02904615310998953)	(60, 0.030659985026348344)	(62, 0.033216159355406186)	(64, 0.03532091216939863)	(66, 0.03829465139989198)	(68, 0.040924181725147946)	(70, 0.04326028806561141)	(72, 0.04598856684728794)	(74, 0.049080804225485955)	(76, 0.0549831405349661)	(78, 0.06125225682543688)	(80, 0.06611068088132828)	(82, 0.06983772976508701)	(84, 0.07301743006182895)	(86, 0.07634948511990546)	(88, 0.07983107355484738)	(90, 0.08289791847282296)	(92, 0.08607761876956489)	(94, 0.08954510028216102)	(96, 0.09276429996147117)	(98, 0.09588475118436077)	(100, 0.09863277965732142)	(102, 0.10121152506213252)	(104, 0.10383541261845018)	(106, 0.10658626247587999)	(108, 0.10901829588829484)	(110, 0.1112584751568069)	(112, 0.11364536641771522)	(114, 0.11630593197213193)	(116, 0.119203493821958)	(118, 0.1220700204426233)	(120, 0.12532589812003253)	(122, 0.12910091053976697)	(124, 0.1330395632587126)	(126, 0.1367355769133106)	(128, 0.13983627844491608)	(130, 0.14303008566400383)	(132, 0.14666967162921862)	(134, 0.15049546896939792)	(136, 0.1549024715102239)	
SRR26260919_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.00011285537876635077)	(3, 0.00012414091664298584)	(4, 0.00012414091664298584)	(5, 0.00012414091664298584)	(6, 0.00012414091664298584)	(7, 0.00012414091664298584)	(8, 0.00012414091664298584)	(9, 0.00012414091664298584)	(10, 0.00012414091664298584)	(12, 0.00012414091664298584)	(14, 0.00012978368558130338)	(16, 0.00012978368558130338)	(18, 0.00012978368558130338)	(20, 0.00012978368558130338)	(22, 0.00012978368558130338)	(24, 0.00012978368558130338)	(26, 0.00013542645451962093)	(28, 0.00013542645451962093)	(30, 0.0001382478389887797)	(32, 0.00014389060792709723)	(34, 0.00020596106624859017)	(36, 0.00021442521965606647)	(38, 0.00021442521965606647)	(40, 0.00021724660412522525)	(42, 0.00022571075753270153)	(44, 0.0002539246022242892)	(46, 0.0002708529090392418)	(48, 0.00028778121585419446)	(50, 0.0003047095226691471)	(52, 0.00033574475182989355)	(54, 0.00040345797908970403)	(56, 0.00045424289953456185)	(58, 0.00048809951316446706)	(60, 0.0005896693540541828)	(62, 0.000708167501758851)	(64, 0.0008407725718093133)	(66, 0.0010185197933663156)	(68, 0.0012639802421831286)	(70, 0.001503797922061624)	(72, 0.0017464369864092781)	(74, 0.002113216967399918)	(76, 0.002516674946489622)	(78, 0.003007595844123248)	(80, 0.003583158275831637)	(82, 0.004350574851442822)	(84, 0.005275988957326899)	(86, 0.006508933970349281)	(88, 0.007812413595100633)	(90, 0.009200534753926747)	(92, 0.010746653443025752)	(94, 0.01267648041993035)	(96, 0.0147191627756013)	(98, 0.017024233886904015)	(100, 0.019851261125001102)	(102, 0.022703680823320617)	(104, 0.025965201269668156)	(106, 0.029759963380686698)	(108, 0.03378607901817626)	(110, 0.03817897463665647)	(112, 0.04252672810363013)	(114, 0.047043764638753316)	(116, 0.05168776347498865)	(118, 0.05701171596829125)	(120, 0.06281812520582)	(122, 0.06851167906458239)	(124, 0.07456354875092795)	(126, 0.08060695428386604)	(128, 0.08677167934897795)	(130, 0.09808825245477376)	(132, 0.10709693306479773)	(134, 0.10924400664582753)	(136, 0.10927222049051913)	
SRR26260919_2 - polya	(1, 0.012436662740051854)	(2, 0.02668465430930364)	(3, 0.036299932580196724)	(4, 0.039228529659183525)	(5, 0.04419416632490296)	(6, 0.0471340489417664)	(7, 0.05039556938811394)	(8, 0.053578091069325026)	(9, 0.060552553477085505)	(10, 0.07718461492277645)	(12, 0.08888771770084702)	(14, 0.10007450712106154)	(16, 0.1151999492602217)	(18, 0.13152730118324352)	(20, 0.147902616642241)	(22, 0.1675761305456851)	(24, 0.1818579787285668)	(26, 0.19614829106485596)	(28, 0.2116856553365133)	(30, 0.2232900096581633)	(32, 0.23350906420545636)	(34, 0.24473535300823912)	(36, 0.25508701262558264)	(38, 0.2649957148812683)	(40, 0.2756549054057501)	(42, 0.28698840681836085)	(44, 0.2975375633485455)	(46, 0.31138209693870755)	(48, 0.32539027082808086)	(50, 0.3404818563536111)	(52, 0.35461981392856573)	(54, 0.3704562449539539)	(56, 0.3878275091305644)	(58, 0.4036808684627675)	(60, 0.41729686991092774)	(62, 0.4300579918649329)	(64, 0.4420178406296969)	(66, 0.4593213915790476)	(68, 0.4749377546158414)	(70, 0.49545204109109486)	(72, 0.5158139728050137)	(74, 0.5326294242412)	(76, 0.548925740935061)	(78, 0.5670813499940976)	(80, 0.5797070454935831)	(82, 0.5912126513588126)	(84, 0.6031894284303916)	(86, 0.62160742624506)	(88, 0.6376949604882034)	(90, 0.6544906622331055)	(92, 0.6697374239044396)	(94, 0.6865810891853172)	(96, 0.7058003601892269)	(98, 0.7215775421407626)	(100, 0.7344740905492875)	(102, 0.747190070351786)	(104, 0.7581737200902211)	(106, 0.7703338871522953)	(108, 0.78209059623528)	(110, 0.7964175865696682)	(112, 0.8086482882434715)	(114, 0.818805272332443)	(116, 0.8294559987035174)	(118, 0.8419970526689282)	(120, 0.8543716449506584)	(122, 0.8650364782440787)	(124, 0.8735062744204933)	(126, 0.88445042477636)	(128, 0.894415554721429)	(130, 0.9034750202518977)	(132, 0.9130282280644693)	(134, 0.9228635743239568)	(136, 0.9333732314715733)	
SRR26260919_2 - polyg	(1, 0.04662619973731782)	(2, 0.08070288135581744)	(3, 0.08121637332920432)	(4, 0.08153801115868843)	(5, 0.08285841909025474)	(6, 0.08311234369247902)	(7, 0.0834904092113463)	(8, 0.08373869104463227)	(9, 0.08421268363545094)	(10, 0.08495188636637055)	(12, 0.08592808539269947)	(14, 0.08661650320317421)	(16, 0.08782123437150502)	(18, 0.08870432771035171)	(20, 0.08951970782193859)	(22, 0.0906002980736264)	(24, 0.09178527955067309)	(26, 0.09326932778145058)	(28, 0.0948154464705496)	(30, 0.0964095286956243)	(32, 0.09866945765542048)	(34, 0.1014259502817886)	(36, 0.10412037244983521)	(38, 0.10710257583373603)	(40, 0.11023431259450228)	(42, 0.11343658396699748)	(44, 0.11712131208371883)	(46, 0.12088221758110747)	(48, 0.12460080231145873)	(50, 0.12814446120472214)	(52, 0.13156115779687338)	(54, 0.13488474870154243)	(56, 0.13822526791302642)	(58, 0.14174071296159824)	(60, 0.1453718347734056)	(62, 0.1491976321135849)	(64, 0.1532547829802352)	(66, 0.1575715012180481)	(68, 0.16191361191608344)	(70, 0.16671278689812252)	(72, 0.17168688771724944)	(74, 0.17692055590753894)	(76, 0.1821175460997294)	(78, 0.1873314645987348)	(80, 0.19322533675480746)	(82, 0.20466322939277715)	(84, 0.21559609421076736)	(86, 0.22389096455009413)	(88, 0.2308118206529406)	(90, 0.23693422495101513)	(92, 0.2435588356845999)	(94, 0.2500423771947268)	(96, 0.25584596504778634)	(98, 0.261562089982302)	(100, 0.26726410799447187)	(102, 0.27265859509950346)	(104, 0.27831829234463595)	(106, 0.28393002605379275)	(108, 0.28978722021176634)	(110, 0.2958870534340876)	(112, 0.3025201283210799)	(114, 0.30879770876495816)	(116, 0.3142627304817187)	(118, 0.3195528263613914)	(120, 0.3246087473301239)	(122, 0.3298678079806358)	(124, 0.3349209075648992)	(126, 0.34014329021731204)	(128, 0.34579452330903704)	(130, 0.3514908985522686)	(132, 0.3568487076592011)	(134, 0.36226012307104766)	(136, 0.3681765663028736)	
SRR26260920_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0016962596476968492)	(3, 0.0017490843426078238)	(4, 0.0017490843426078238)	(5, 0.0017490843426078238)	(6, 0.0017490843426078238)	(7, 0.0017490843426078238)	(8, 0.0017490843426078238)	(9, 0.0017490843426078238)	(10, 0.0017490843426078238)	(12, 0.0017520190478806557)	(14, 0.0017608231636991514)	(16, 0.0017608231636991514)	(18, 0.0017666925742448152)	(20, 0.001778431395336143)	(22, 0.001778431395336143)	(24, 0.001778431395336143)	(26, 0.001778431395336143)	(28, 0.001778431395336143)	(30, 0.0017843008058818068)	(32, 0.0017960396269731344)	(34, 0.001813647858610126)	(36, 0.0018195172691557898)	(38, 0.0018253866797014536)	(40, 0.0018253866797014536)	(42, 0.0018283213849742855)	(44, 0.0018312560902471174)	(46, 0.001845929616611277)	(48, 0.001884080785158092)	(50, 0.0019134278378864112)	(52, 0.0019427748906147304)	(54, 0.0020073384066170326)	(56, 0.0021188572069846456)	(58, 0.002242114828443586)	(60, 0.002388850092085182)	(62, 0.002638300040275895)	(64, 0.00289068469373944)	(66, 0.003081440536473515)	(68, 0.003345564011028388)	(70, 0.003627295717220252)	(72, 0.003958917413050258)	(74, 0.004475425541068677)	(76, 0.004994868374359926)	(78, 0.00556713590256215)	(80, 0.006236248704767828)	(82, 0.0071548114551642185)	(84, 0.008261195343021853)	(86, 0.009666919168708342)	(88, 0.011087316520758991)	(90, 0.012789445579001503)	(92, 0.014717546943252075)	(94, 0.017000747645515304)	(96, 0.019753501191431648)	(98, 0.023005154633729413)	(100, 0.026556148013856036)	(102, 0.030148227267802304)	(104, 0.03415409996521787)	(106, 0.03861778668519522)	(108, 0.04377993326010657)	(110, 0.04939695915230686)	(112, 0.05476160039104361)	(114, 0.06110643319090622)	(116, 0.0672018160425781)	(118, 0.07345567297898292)	(120, 0.07959801111502014)	(122, 0.08525318817576724)	(124, 0.09093184287869702)	(126, 0.09699787867764059)	(128, 0.1031871720980431)	(130, 0.11755255440855535)	(132, 0.12728403709326597)	(134, 0.13005733357609217)	(136, 0.1300720071024563)	
SRR26260920_1 - polya	(1, 0.002212767775715267)	(2, 0.0026060182822747443)	(3, 0.006955251496611648)	(4, 0.009942781464354542)	(5, 0.01454439933215499)	(6, 0.01737345521516496)	(7, 0.02153486729204062)	(8, 0.025484980589272385)	(9, 0.032598706170616956)	(10, 0.047950149452800725)	(12, 0.05862660723536325)	(14, 0.06598391335435287)	(16, 0.07352904061080373)	(18, 0.08020549510649634)	(20, 0.08719009365583631)	(22, 0.09433903570045488)	(24, 0.10183427296726759)	(26, 0.10806171755621692)	(28, 0.11605585471941107)	(30, 0.12324588263784927)	(32, 0.12939702488970495)	(34, 0.13506981018208908)	(36, 0.14011163384081432)	(38, 0.14625397197685153)	(40, 0.1517594790686842)	(42, 0.1572121614656059)	(44, 0.1623332221666976)	(46, 0.16735743759378585)	(48, 0.1723288283259631)	(50, 0.17725032906850224)	(52, 0.1822422627375893)	(54, 0.18728408639631458)	(56, 0.19145723729428155)	(58, 0.19587103402462075)	(60, 0.20005005433313341)	(62, 0.20375952179799298)	(64, 0.2077448515584987)	(66, 0.21295101871250255)	(68, 0.21774632712830988)	(70, 0.22262087258648372)	(72, 0.2268116317160877)	(74, 0.23039197214894264)	(76, 0.23449469012036167)	(78, 0.23942499497871927)	(80, 0.2442437810367093)	(82, 0.24818215551284972)	(84, 0.25231422053699704)	(86, 0.2568043196044299)	(88, 0.26183733914733665)	(90, 0.2655556107280147)	(92, 0.26988136630016896)	(94, 0.2745651559156087)	(96, 0.27860331037102537)	(98, 0.2826297260053508)	(100, 0.28716678035714893)	(102, 0.29211175874187073)	(104, 0.29615284790256025)	(106, 0.3003964317270752)	(108, 0.3045519743934052)	(110, 0.30898924876592704)	(112, 0.3126899121149681)	(114, 0.31557766210343474)	(116, 0.31921963134701914)	(118, 0.32258573829495735)	(120, 0.3260985805065372)	(122, 0.3293737115910176)	(124, 0.33207657514729577)	(126, 0.3352313833155901)	(128, 0.3390905207493641)	(130, 0.34295259288841085)	(132, 0.34674716680618256)	(134, 0.3496261126788307)	(136, 0.3524023438669297)	
SRR26260920_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004812916647444347)	(4, 0.0005517245912924007)	(5, 0.0011151880036761293)	(6, 0.001267792677863389)	(7, 0.0013382256044113551)	(8, 0.0013734420676853381)	(9, 0.0014556138153246317)	(10, 0.0016199573106032194)	(12, 0.0019662525327973856)	(14, 0.0023800459762666863)	(16, 0.002893619399012272)	(18, 0.0034688216324873285)	(20, 0.0037828350966803434)	(22, 0.004167281487421325)	(24, 0.004947913089994616)	(26, 0.006256791641677651)	(28, 0.007559800782815023)	(30, 0.009226713377783554)	(32, 0.01086134421475093)	(34, 0.011938381049880247)	(36, 0.012795314989547167)	(38, 0.01354953424466497)	(40, 0.014761567522344553)	(42, 0.015900233168203336)	(44, 0.018004416848823823)	(46, 0.020302291077451216)	(48, 0.021666929029318056)	(50, 0.02315188989737101)	(52, 0.024493050207055195)	(54, 0.025978011075108144)	(56, 0.027474710764252425)	(58, 0.029188578643586267)	(60, 0.030714625385458865)	(62, 0.03295087080335679)	(64, 0.03488190687288019)	(66, 0.03726195284914688)	(68, 0.039762321741599674)	(70, 0.042978758720623456)	(72, 0.04762733187278921)	(74, 0.05515191619233026)	(76, 0.07281590722950557)	(78, 0.08845788633369969)	(80, 0.09804263375476875)	(82, 0.1029289180340339)	(84, 0.10680566369944486)	(86, 0.11068240936485582)	(88, 0.11408666748134086)	(90, 0.1171446303756317)	(92, 0.12052834555520692)	(94, 0.12395608131387459)	(96, 0.12727816768272032)	(98, 0.13020993825027943)	(100, 0.13291867121710327)	(102, 0.13564501241556412)	(104, 0.1384770030038469)	(106, 0.14117399714957946)	(108, 0.14357752076802882)	(110, 0.14588126440720187)	(112, 0.1481380527620096)	(114, 0.15044766581172833)	(116, 0.15277782179835686)	(118, 0.15527819069080967)	(120, 0.1580778995210913)	(122, 0.1609539106884666)	(124, 0.16400306946693896)	(126, 0.16677636594976514)	(128, 0.1690243501887544)	(130, 0.17132222441738176)	(132, 0.17372281333055828)	(134, 0.17632002749701453)	(136, 0.1792958186436661)	
SRR26260920_2 - nextera_transposase_sequence	(1, 1.1738821091327676e-05)	(2, 0.0012971397305917081)	(3, 0.001308878551683036)	(4, 0.001308878551683036)	(5, 0.001308878551683036)	(6, 0.001308878551683036)	(7, 0.001308878551683036)	(8, 0.001308878551683036)	(9, 0.001308878551683036)	(10, 0.001308878551683036)	(12, 0.001308878551683036)	(14, 0.001308878551683036)	(16, 0.001308878551683036)	(18, 0.0013147479622286997)	(20, 0.0013147479622286997)	(22, 0.0013147479622286997)	(24, 0.0013147479622286997)	(26, 0.0013147479622286997)	(28, 0.0013147479622286997)	(30, 0.0013147479622286997)	(32, 0.0013176826675015316)	(34, 0.0014409402889604722)	(36, 0.001449744404778968)	(38, 0.001449744404778968)	(40, 0.0014702873416887912)	(42, 0.0014996343944171106)	(44, 0.0015025690996899425)	(46, 0.0015289814471454298)	(48, 0.0015495243840552531)	(50, 0.0015847408473292361)	(52, 0.0016522390686043702)	(54, 0.0017197372898795046)	(56, 0.0018165825638829579)	(58, 0.0019104931326135793)	(60, 0.002024946638254024)	(62, 0.0021511389649857965)	(64, 0.002424066555359165)	(66, 0.0027322106090065168)	(68, 0.0030432893679266998)	(70, 0.0033661069479382112)	(72, 0.003694793938495386)	(74, 0.004137934434693006)	(76, 0.004683789615439743)	(78, 0.005317685954371437)	(80, 0.00601027639875977)	(82, 0.006952316791338816)	(84, 0.008011745394831139)	(86, 0.00946735921015577)	(88, 0.010993405952028367)	(90, 0.012613363262631587)	(92, 0.014509182868881008)	(94, 0.016672060654958132)	(96, 0.019078518978680306)	(98, 0.021699210787319206)	(100, 0.024642720175969624)	(102, 0.02801763123972633)	(104, 0.03144243229312118)	(106, 0.03531624325325931)	(108, 0.03995894699487941)	(110, 0.044792406579233585)	(112, 0.04970510320595421)	(114, 0.054468129863760414)	(116, 0.05960386409121628)	(118, 0.06559066284779339)	(120, 0.07181810743674272)	(122, 0.07797218439387125)	(124, 0.08451657715228644)	(126, 0.09071173998323462)	(128, 0.09688342517200015)	(130, 0.1077829205552979)	(132, 0.11731484328145596)	(134, 0.11946598224644175)	(136, 0.11950119870971575)	
