Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR26260919_1	(2.0, 157704.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 42.0)	(17.0, 473.0)	(18.0, 3113.0)	(19.0, 11232.0)	(20.0, 20959.0)	(21.0, 29886.0)	(22.0, 44598.0)	(23.0, 65818.0)	(24.0, 96440.0)	(25.0, 142091.0)	(26.0, 201111.0)	(27.0, 274993.0)	(28.0, 364678.0)	(29.0, 472793.0)	(30.0, 609190.0)	(31.0, 809649.0)	(32.0, 1168877.0)	(33.0, 2023218.0)	(34.0, 4831901.0)	(35.0, 6393020.0)
SRR26260919_2	(2.0, 152070.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 574.0)	(15.0, 1890.0)	(16.0, 3321.0)	(17.0, 7255.0)	(18.0, 16837.0)	(19.0, 35431.0)	(20.0, 57772.0)	(21.0, 75842.0)	(22.0, 94736.0)	(23.0, 122134.0)	(24.0, 160577.0)	(25.0, 208416.0)	(26.0, 266094.0)	(27.0, 334655.0)	(28.0, 420650.0)	(29.0, 528625.0)	(30.0, 676576.0)	(31.0, 901966.0)	(32.0, 1325381.0)	(33.0, 2329033.0)	(34.0, 5193618.0)	(35.0, 4808340.0)
SRR26260920_1	(2.0, 1336143.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 42.0)	(17.0, 462.0)	(18.0, 3307.0)	(19.0, 10574.0)	(20.0, 19640.0)	(21.0, 28300.0)	(22.0, 41882.0)	(23.0, 63020.0)	(24.0, 93989.0)	(25.0, 135828.0)	(26.0, 190995.0)	(27.0, 259981.0)	(28.0, 342724.0)	(29.0, 442614.0)	(30.0, 569027.0)	(31.0, 754047.0)	(32.0, 1081033.0)	(33.0, 1848966.0)	(34.0, 4303396.0)	(35.0, 5511510.0)
SRR26260920_2	(2.0, 1307328.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 495.0)	(15.0, 1892.0)	(16.0, 3524.0)	(17.0, 7544.0)	(18.0, 18067.0)	(19.0, 37135.0)	(20.0, 58927.0)	(21.0, 76306.0)	(22.0, 94032.0)	(23.0, 118069.0)	(24.0, 152356.0)	(25.0, 194376.0)	(26.0, 246374.0)	(27.0, 309038.0)	(28.0, 386302.0)	(29.0, 483623.0)	(30.0, 616938.0)	(31.0, 818423.0)	(32.0, 1186367.0)	(33.0, 2040103.0)	(34.0, 4504221.0)	(35.0, 4376044.0)
SRR26260921_1	(2.0, 477635.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 8.0)	(16.0, 61.0)	(17.0, 577.0)	(18.0, 4031.0)	(19.0, 13299.0)	(20.0, 22219.0)	(21.0, 30936.0)	(22.0, 44006.0)	(23.0, 64252.0)	(24.0, 93504.0)	(25.0, 134933.0)	(26.0, 188716.0)	(27.0, 254949.0)	(28.0, 337113.0)	(29.0, 435013.0)	(30.0, 565370.0)	(31.0, 752430.0)	(32.0, 1084434.0)	(33.0, 1849152.0)	(34.0, 4187762.0)	(35.0, 5597722.0)
SRR26260921_2	(2.0, 457134.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 1.0)	(14.0, 537.0)	(15.0, 2015.0)	(16.0, 3552.0)	(17.0, 7641.0)	(18.0, 17173.0)	(19.0, 35012.0)	(20.0, 56006.0)	(21.0, 72894.0)	(22.0, 89237.0)	(23.0, 111725.0)	(24.0, 141975.0)	(25.0, 180635.0)	(26.0, 230196.0)	(27.0, 291010.0)	(28.0, 368571.0)	(29.0, 466362.0)	(30.0, 605268.0)	(31.0, 816625.0)	(32.0, 1207301.0)	(33.0, 2118145.0)	(34.0, 4594795.0)	(35.0, 4264311.0)
SRR26260922_1	(2.0, 72248.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 12.0)	(16.0, 34.0)	(17.0, 412.0)	(18.0, 2394.0)	(19.0, 7381.0)	(20.0, 14696.0)	(21.0, 23565.0)	(22.0, 37924.0)	(23.0, 59439.0)	(24.0, 89951.0)	(25.0, 131254.0)	(26.0, 186730.0)	(27.0, 254727.0)	(28.0, 338985.0)	(29.0, 441560.0)	(30.0, 573047.0)	(31.0, 765127.0)	(32.0, 1106627.0)	(33.0, 1881543.0)	(34.0, 4300929.0)	(35.0, 6009830.0)
SRR26260922_2	(2.0, 69357.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 478.0)	(15.0, 2358.0)	(16.0, 4924.0)	(17.0, 9690.0)	(18.0, 18996.0)	(19.0, 36307.0)	(20.0, 57472.0)	(21.0, 77117.0)	(22.0, 98894.0)	(23.0, 127096.0)	(24.0, 164572.0)	(25.0, 210656.0)	(26.0, 267545.0)	(27.0, 336409.0)	(28.0, 418811.0)	(29.0, 523491.0)	(30.0, 663083.0)	(31.0, 881616.0)	(32.0, 1282135.0)	(33.0, 2191477.0)	(34.0, 4599943.0)	(35.0, 4255988.0)
SRR26260923_1	(2.0, 468717.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 41.0)	(17.0, 409.0)	(18.0, 2094.0)	(19.0, 6330.0)	(20.0, 12217.0)	(21.0, 20478.0)	(22.0, 32673.0)	(23.0, 51151.0)	(24.0, 77359.0)	(25.0, 111733.0)	(26.0, 156689.0)	(27.0, 212248.0)	(28.0, 279442.0)	(29.0, 359352.0)	(30.0, 466291.0)	(31.0, 618297.0)	(32.0, 887818.0)	(33.0, 1487254.0)	(34.0, 3157698.0)	(35.0, 3574987.0)
SRR26260923_2	(2.0, 458764.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 349.0)	(15.0, 1943.0)	(16.0, 3739.0)	(17.0, 6675.0)	(18.0, 13439.0)	(19.0, 25236.0)	(20.0, 38909.0)	(21.0, 49361.0)	(22.0, 57699.0)	(23.0, 69108.0)	(24.0, 85093.0)	(25.0, 107263.0)	(26.0, 136447.0)	(27.0, 175193.0)	(28.0, 226680.0)	(29.0, 295669.0)	(30.0, 393370.0)	(31.0, 545402.0)	(32.0, 823234.0)	(33.0, 1481923.0)	(34.0, 3391459.0)	(35.0, 3596333.0)
