Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR26260919_1	(35, 158638.0)	(40, 1814.0)	(45, 4256.0)	(50, 9500.0)	(55, 16664.0)	(60, 30447.0)	(65, 49706.0)	(70, 76127.0)	(75, 123087.0)	(80, 174696.0)	(85, 265351.0)	(90, 339621.0)	(95, 477902.0)	(100, 564295.0)	(105, 719061.0)	(110, 754061.0)	(115, 857416.0)	(120, 827804.0)	(125, 841965.0)	(130, 775981.0)	(135, 754645.0)	(140, 708143.0)	(145, 9190616.0)	
SRR26260919_2	(35, 154271.0)	(40, 1774.0)	(45, 4187.0)	(50, 9395.0)	(55, 16465.0)	(60, 30141.0)	(65, 49206.0)	(70, 75346.0)	(75, 121617.0)	(80, 172166.0)	(85, 261493.0)	(90, 334841.0)	(95, 470885.0)	(100, 556219.0)	(105, 709438.0)	(110, 744343.0)	(115, 842704.0)	(120, 810828.0)	(125, 824857.0)	(130, 759918.0)	(135, 740179.0)	(140, 726451.0)	(145, 9305072.0)	
SRR26260920_1	(35, 1338382.0)	(40, 3513.0)	(45, 6817.0)	(50, 13635.0)	(55, 21523.0)	(60, 37386.0)	(65, 58799.0)	(70, 88039.0)	(75, 136286.0)	(80, 192386.0)	(85, 279998.0)	(90, 357586.0)	(95, 479184.0)	(100, 565183.0)	(105, 676998.0)	(110, 722940.0)	(115, 783112.0)	(120, 759507.0)	(125, 754564.0)	(130, 707247.0)	(135, 675228.0)	(140, 618737.0)	(145, 7760436.0)	
SRR26260920_2	(35, 1313294.0)	(40, 3464.0)	(45, 6719.0)	(50, 13403.0)	(55, 21182.0)	(60, 36942.0)	(65, 58143.0)	(70, 86989.0)	(75, 134252.0)	(80, 189362.0)	(85, 275426.0)	(90, 352164.0)	(95, 471340.0)	(100, 555541.0)	(105, 665730.0)	(110, 711774.0)	(115, 766605.0)	(120, 740400.0)	(125, 734884.0)	(130, 688204.0)	(135, 659064.0)	(140, 632741.0)	(145, 7919863.0)	
SRR26260921_1	(35, 479191.0)	(40, 2649.0)	(45, 5548.0)	(50, 11448.0)	(55, 20079.0)	(60, 34722.0)	(65, 56968.0)	(70, 87950.0)	(75, 137109.0)	(80, 197674.0)	(85, 289698.0)	(90, 366197.0)	(95, 499108.0)	(100, 576221.0)	(105, 688349.0)	(110, 727696.0)	(115, 793970.0)	(120, 771206.0)	(125, 758299.0)	(130, 711499.0)	(135, 672639.0)	(140, 624574.0)	(145, 7625331.0)	
SRR26260921_2	(35, 461790.0)	(40, 2593.0)	(45, 5453.0)	(50, 11263.0)	(55, 19766.0)	(60, 34315.0)	(65, 56391.0)	(70, 87049.0)	(75, 135437.0)	(80, 194902.0)	(85, 285130.0)	(90, 360808.0)	(95, 492248.0)	(100, 568225.0)	(105, 678941.0)	(110, 719051.0)	(115, 780158.0)	(120, 755408.0)	(125, 742925.0)	(130, 695731.0)	(135, 659597.0)	(140, 640780.0)	(145, 7750164.0)	
SRR26260922_1	(35, 73258.0)	(40, 2198.0)	(45, 4795.0)	(50, 10388.0)	(55, 18512.0)	(60, 32345.0)	(65, 51835.0)	(70, 80784.0)	(75, 124396.0)	(80, 180970.0)	(85, 263097.0)	(90, 344786.0)	(95, 466092.0)	(100, 557601.0)	(105, 681797.0)	(110, 720109.0)	(115, 805964.0)	(120, 778768.0)	(125, 799873.0)	(130, 738115.0)	(135, 727835.0)	(140, 665533.0)	(145, 8169365.0)	
SRR26260922_2	(35, 70778.0)	(40, 2157.0)	(45, 4693.0)	(50, 10222.0)	(55, 18194.0)	(60, 31830.0)	(65, 51060.0)	(70, 79371.0)	(75, 122016.0)	(80, 177244.0)	(85, 257560.0)	(90, 337128.0)	(95, 455306.0)	(100, 543962.0)	(105, 664125.0)	(110, 701633.0)	(115, 782739.0)	(120, 753078.0)	(125, 773180.0)	(130, 711912.0)	(135, 702813.0)	(140, 670789.0)	(145, 8376626.0)	
SRR26260923_1	(35, 471007.0)	(40, 4942.0)	(45, 9770.0)	(50, 18458.0)	(55, 30720.0)	(60, 47772.0)	(65, 74702.0)	(70, 103233.0)	(75, 153548.0)	(80, 202662.0)	(85, 288692.0)	(90, 347299.0)	(95, 464531.0)	(100, 511716.0)	(105, 614998.0)	(110, 619222.0)	(115, 664727.0)	(120, 626400.0)	(125, 609311.0)	(130, 557888.0)	(135, 519628.0)	(140, 458962.0)	(145, 4583100.0)	
SRR26260923_2	(35, 462937.0)	(40, 4898.0)	(45, 9686.0)	(50, 18254.0)	(55, 30462.0)	(60, 47346.0)	(65, 74237.0)	(70, 102546.0)	(75, 151888.0)	(80, 200569.0)	(85, 285399.0)	(90, 343284.0)	(95, 458988.0)	(100, 505246.0)	(105, 606762.0)	(110, 611653.0)	(115, 654003.0)	(120, 614953.0)	(125, 598273.0)	(130, 548260.0)	(135, 510069.0)	(140, 479555.0)	(145, 4664020.0)	
