Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR27961772_1	(15.0, 1.0)	(16.0, 14.0)	(17.0, 91.0)	(18.0, 395.0)	(19.0, 1012.0)	(20.0, 2221.0)	(21.0, 4274.0)	(22.0, 7298.0)	(23.0, 12084.0)	(24.0, 18767.0)	(25.0, 28264.0)	(26.0, 40625.0)	(27.0, 57653.0)	(28.0, 78830.0)	(29.0, 103533.0)	(30.0, 131400.0)	(31.0, 167411.0)	(32.0, 218149.0)	(33.0, 323884.0)	(34.0, 681914.0)	(35.0, 8787401.0)													
SRR27961772_2	(2.0, 130.0)	(3.0, 73.0)	(4.0, 68.0)	(5.0, 64.0)	(6.0, 64.0)	(7.0, 70.0)	(8.0, 65.0)	(9.0, 100.0)	(10.0, 92.0)	(11.0, 91.0)	(12.0, 102.0)	(13.0, 92.0)	(14.0, 1173.0)	(15.0, 10140.0)	(16.0, 36187.0)	(17.0, 42641.0)	(18.0, 21138.0)	(19.0, 12479.0)	(20.0, 11088.0)	(21.0, 12067.0)	(22.0, 14406.0)	(23.0, 18571.0)	(24.0, 24761.0)	(25.0, 33572.0)	(26.0, 45587.0)	(27.0, 59439.0)	(28.0, 76356.0)	(29.0, 97672.0)	(30.0, 123765.0)	(31.0, 158490.0)	(32.0, 211682.0)	(33.0, 322920.0)	(34.0, 689838.0)	(35.0, 8640238.0)
SRR27961773_1	(15.0, 3.0)	(16.0, 6.0)	(17.0, 97.0)	(18.0, 384.0)	(19.0, 1159.0)	(20.0, 2669.0)	(21.0, 5081.0)	(22.0, 8846.0)	(23.0, 13283.0)	(24.0, 18817.0)	(25.0, 25878.0)	(26.0, 35594.0)	(27.0, 49096.0)	(28.0, 66123.0)	(29.0, 87640.0)	(30.0, 114564.0)	(31.0, 149091.0)	(32.0, 200950.0)	(33.0, 310491.0)	(34.0, 686754.0)	(35.0, 8652539.0)													
SRR27961773_2	(2.0, 154.0)	(3.0, 65.0)	(4.0, 79.0)	(5.0, 63.0)	(6.0, 48.0)	(7.0, 67.0)	(8.0, 77.0)	(9.0, 119.0)	(10.0, 112.0)	(11.0, 92.0)	(12.0, 83.0)	(13.0, 111.0)	(14.0, 1103.0)	(15.0, 8966.0)	(16.0, 32335.0)	(17.0, 37690.0)	(18.0, 18777.0)	(19.0, 12031.0)	(20.0, 11402.0)	(21.0, 12705.0)	(22.0, 15451.0)	(23.0, 20129.0)	(24.0, 26388.0)	(25.0, 34305.0)	(26.0, 44138.0)	(27.0, 56775.0)	(28.0, 72736.0)	(29.0, 91663.0)	(30.0, 116021.0)	(31.0, 149103.0)	(32.0, 202660.0)	(33.0, 313885.0)	(34.0, 705519.0)	(35.0, 8444213.0)
SRR27961774_1	(16.0, 6.0)	(17.0, 59.0)	(18.0, 310.0)	(19.0, 804.0)	(20.0, 2021.0)	(21.0, 3893.0)	(22.0, 6689.0)	(23.0, 10344.0)	(24.0, 15458.0)	(25.0, 22197.0)	(26.0, 31905.0)	(27.0, 43946.0)	(28.0, 59030.0)	(29.0, 78555.0)	(30.0, 102126.0)	(31.0, 133714.0)	(32.0, 183435.0)	(33.0, 283657.0)	(34.0, 628927.0)	(35.0, 7994407.0)														
SRR27961774_2	(2.0, 141.0)	(3.0, 61.0)	(4.0, 62.0)	(5.0, 62.0)	(6.0, 52.0)	(7.0, 43.0)	(8.0, 71.0)	(9.0, 91.0)	(10.0, 67.0)	(11.0, 75.0)	(12.0, 80.0)	(13.0, 92.0)	(14.0, 994.0)	(15.0, 7949.0)	(16.0, 26108.0)	(17.0, 29296.0)	(18.0, 15338.0)	(19.0, 10272.0)	(20.0, 9392.0)	(21.0, 10636.0)	(22.0, 13222.0)	(23.0, 17878.0)	(24.0, 23539.0)	(25.0, 31354.0)	(26.0, 41209.0)	(27.0, 53644.0)	(28.0, 67859.0)	(29.0, 86809.0)	(30.0, 109372.0)	(31.0, 141947.0)	(32.0, 194665.0)	(33.0, 306859.0)	(34.0, 705933.0)	(35.0, 7696311.0)
SRR27961775_1	(15.0, 1.0)	(16.0, 10.0)	(17.0, 121.0)	(18.0, 400.0)	(19.0, 1142.0)	(20.0, 2406.0)	(21.0, 4211.0)	(22.0, 6785.0)	(23.0, 10621.0)	(24.0, 16037.0)	(25.0, 24312.0)	(26.0, 35501.0)	(27.0, 50967.0)	(28.0, 70270.0)	(29.0, 92894.0)	(30.0, 119902.0)	(31.0, 154641.0)	(32.0, 205225.0)	(33.0, 311553.0)	(34.0, 693384.0)	(35.0, 9041081.0)													
SRR27961775_2	(2.0, 133.0)	(3.0, 59.0)	(4.0, 54.0)	(5.0, 60.0)	(6.0, 63.0)	(7.0, 68.0)	(8.0, 77.0)	(9.0, 99.0)	(10.0, 97.0)	(11.0, 100.0)	(12.0, 97.0)	(13.0, 128.0)	(14.0, 1145.0)	(15.0, 7105.0)	(16.0, 21777.0)	(17.0, 24619.0)	(18.0, 14908.0)	(19.0, 11226.0)	(20.0, 11290.0)	(21.0, 12566.0)	(22.0, 15475.0)	(23.0, 20234.0)	(24.0, 27186.0)	(25.0, 37242.0)	(26.0, 49722.0)	(27.0, 64804.0)	(28.0, 82890.0)	(29.0, 105230.0)	(30.0, 133690.0)	(31.0, 171922.0)	(32.0, 236890.0)	(33.0, 376843.0)	(34.0, 864261.0)	(35.0, 8549404.0)
SRR27961776_1	(15.0, 3.0)	(16.0, 8.0)	(17.0, 52.0)	(18.0, 243.0)	(19.0, 613.0)	(20.0, 1504.0)	(21.0, 3122.0)	(22.0, 5996.0)	(23.0, 10313.0)	(24.0, 17139.0)	(25.0, 27143.0)	(26.0, 41171.0)	(27.0, 59100.0)	(28.0, 80095.0)	(29.0, 106044.0)	(30.0, 138779.0)	(31.0, 184165.0)	(32.0, 262960.0)	(33.0, 442520.0)	(34.0, 981665.0)	(35.0, 10321131.0)													
SRR27961776_2	(2.0, 182.0)	(3.0, 86.0)	(4.0, 70.0)	(5.0, 78.0)	(6.0, 68.0)	(7.0, 94.0)	(8.0, 104.0)	(9.0, 96.0)	(10.0, 125.0)	(11.0, 122.0)	(12.0, 127.0)	(13.0, 157.0)	(14.0, 3213.0)	(15.0, 37887.0)	(16.0, 152394.0)	(17.0, 172765.0)	(18.0, 67463.0)	(19.0, 24668.0)	(20.0, 16466.0)	(21.0, 14574.0)	(22.0, 16060.0)	(23.0, 20447.0)	(24.0, 27617.0)	(25.0, 37812.0)	(26.0, 50546.0)	(27.0, 66740.0)	(28.0, 85624.0)	(29.0, 109604.0)	(30.0, 138030.0)	(31.0, 176736.0)	(32.0, 237905.0)	(33.0, 367665.0)	(34.0, 823404.0)	(35.0, 10034837.0)
