Sample	Unique Reads	Duplicate Reads
SRR27961772_1	6979496.0	3685725.0
SRR27961772_2	7086670.0	3578551.0
SRR27961773_1	6475477.0	3953588.0
SRR27961773_2	6579371.0	3849694.0
SRR27961774_1	6339114.0	3262369.0
SRR27961774_2	6416212.0	3185271.0
SRR27961775_1	6974925.0	3866539.0
SRR27961775_2	7070790.0	3770674.0
SRR27961776_1	7665430.0	5018336.0
SRR27961776_2	7960871.0	4722895.0
SRR27961777_1	7010553.0	3892370.0
SRR27961777_2	7089814.0	3813109.0
SRR27961778_1	7547057.0	4505085.0
SRR27961778_2	7690657.0	4361485.0
SRR27961779_1	6874757.0	3930798.0
SRR27961779_2	7029214.0	3776341.0
SRR27961780_1	6599302.0	4552158.0
SRR27961780_2	6751569.0	4399891.0
SRR27961781_1	7223465.0	3994023.0
SRR27961781_2	7312149.0	3905339.0
SRR27961782_1	6196084.0	3614263.0
SRR27961782_2	6272985.0	3537362.0
SRR27961783_1	5493245.0	2633070.0
SRR27961783_2	5585604.0	2540711.0
SRR27961784_1	5885792.0	3295719.0
SRR27961784_2	5939332.0	3242179.0
SRR27961785_1	5715920.0	2870550.0
SRR27961785_2	5765733.0	2820737.0
SRR27961786_1	5568041.0	3162140.0
SRR27961786_2	5698273.0	3031908.0
SRR27961787_1	6813413.0	3835457.0
SRR27961787_2	6977835.0	3671035.0
SRR27961788_1	6858162.0	3641859.0
SRR27961788_2	6946559.0	3553462.0
SRR27961789_1	6641051.0	3497977.0
SRR27961789_2	6712983.0	3426045.0
SRR27961790_1	4641493.0	3168732.0
SRR27961790_2	4743144.0	3067081.0
SRR27961791_1	6083984.0	4488933.0
SRR27961791_2	6173892.0	4399025.0
SRR27961792_1	4932482.0	3448226.0
SRR27961792_2	4987652.0	3393056.0
SRR27961793_1	5582714.0	3114090.0
SRR27961793_2	5676517.0	3020287.0
SRR27961794_1	5644163.0	3127551.0
SRR27961794_2	5755067.0	3016647.0
SRR27961795_1	5685818.0	3333961.0
SRR27961795_2	5826132.0	3193647.0
SRR27961796_1	4406114.0	1862710.0
SRR27961796_2	4444990.0	1823834.0
SRR27961797_1	5696105.0	2832214.0
SRR27961797_2	5777565.0	2750754.0
SRR27961798_1	7078736.0	4067701.0
SRR27961798_2	7216229.0	3930208.0
