Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR27961772_1 - illumina_universal_adapter	(1, 0.0004031796434410501)	(2, 0.000412555914218749)	(3, 0.0004781898096626408)	(4, 0.0006469626836612199)	(5, 0.0006938440375497142)	(6, 0.0007501016622159072)	(7, 0.000759477932993606)	(8, 0.0008438643699928956)	(9, 0.0009094982654367875)	(10, 0.0010876474102130655)	(11, 0.0012376677426562468)	(12, 0.001350182991988633)	(13, 0.001584589761431104)	(14, 0.0017252338230965866)	(15, 0.0018283728016512738)	(16, 0.001987769404872154)	(17, 0.0021284134665376367)	(18, 0.0022971863405362157)	(19, 0.002522216839200988)	(20, 0.0028222575040873507)	(21, 0.0029535252949751344)	(22, 0.003169179522862208)	(23, 0.003403586292304679)	(24, 0.0036567456033025476)	(25, 0.0038348947480788256)	(26, 0.004013043892855103)	(27, 0.004266203203852972)	(28, 0.00452873878562854)	(29, 0.004875660804403397)	(30, 0.005569504841953111)	(31, 0.0059914370269495585)	(32, 0.0064696268366122)	(33, 0.007313491206605095)	(34, 0.007819809828600833)	(35, 0.008288623367485775)	(36, 0.008757436906370717)	(37, 0.00937627077769884)	(38, 0.010210758876914037)	(39, 0.01098898935146304)	(40, 0.011851606263011334)	(41, 0.013023640110223689)	(42, 0.014261307852879936)	(43, 0.015489599324758484)	(44, 0.01689603994141331)	(45, 0.018386866995067426)	(46, 0.01997145675649853)	(47, 0.022043612598369972)	(48, 0.024556453166793262)	(49, 0.02733182931699212)	(50, 0.03062290035996441)	(51, 0.03411087308926838)	(52, 0.03834894748078826)	(53, 0.04236199137364336)	(54, 0.047153265741047466)	(55, 0.051907035025340775)	(56, 0.05712961784851903)	(57, 0.06380552264224061)	(58, 0.07124090536895579)	(59, 0.08015773887854738)	(60, 0.09002157573668657)	(61, 0.10172316166725472)	(62, 0.11469992042358991)	(63, 0.12890497065180365)	(64, 0.1447508682661147)	(65, 0.16152501668741792)
SRR27961772_1 - polya	(1, 0.009713816525695999)	(2, 0.013154907901111472)	(3, 0.015058290868984338)	(4, 0.017758656852961602)	(5, 0.019624534737723673)	(6, 0.021443531268597247)	(7, 0.024050134544797524)	(8, 0.031794934207176766)	(9, 0.04208070325031239)	(10, 0.05054747576257445)	(11, 0.053332228183551)	(12, 0.05584506875197429)	(13, 0.060898878701153965)	(14, 0.06683405810343733)	(15, 0.07463511539048277)	(16, 0.08403013870973701)	(17, 0.0889433045972512)	(18, 0.09405337217109706)	(19, 0.0985727346859479)	(20, 0.10440477510967658)	(21, 0.10979613080685342)	(22, 0.11623762883113252)	(23, 0.12159147944519856)	(24, 0.12637337754182495)	(25, 0.13125841461700605)	(26, 0.13864691598983275)	(27, 0.1439726377915657)	(28, 0.14930773586407634)	(29, 0.15401462379448114)	(30, 0.15852461003855428)	(31, 0.1634471521968462)	(32, 0.16767585031758836)	(33, 0.1722889755402162)	(34, 0.1769208533043994)	(35, 0.1810557887173646)	(36, 0.1852094766718852)	(37, 0.18888497481674313)	(38, 0.1930949203959299)	(39, 0.19737987614133828)	(40, 0.2036338487500634)	(41, 0.20831260786813513)	(42, 0.21236315684410104)	(43, 0.21680750919273029)	(44, 0.22118622764591564)	(45, 0.22717766467286518)	(46, 0.23230648478826646)	(47, 0.23716339305111445)	(48, 0.24169213183674298)	(49, 0.2456114130218211)	(50, 0.2501495280782274)	(51, 0.254518870260635)	(52, 0.25928201581570604)	(53, 0.2669236764995306)	(54, 0.2755685981565689)	(55, 0.28158816399585157)	(56, 0.2868107468190298)	(57, 0.2914051195001022)	(58, 0.29573695659939914)	(59, 0.30011567505258446)	(60, 0.3047006714628792)	(61, 0.3097451051412812)	(62, 0.3150895794845695)	(63, 0.3195995657286427)	(64, 0.32580665698347927)	(65, 0.3317605889273181)
SRR27961772_1 - polyg	(1, 0.005175701469289759)	(2, 0.007651036954602253)	(3, 0.008335504721374268)	(4, 0.00913248773747867)	(5, 0.010463918187911906)	(6, 0.012095389303231504)	(7, 0.013079897734889882)	(8, 0.01470199257943178)	(9, 0.017392982292631348)	(10, 0.01906195849106174)	(11, 0.02068405333560364)	(12, 0.022006107515259176)	(13, 0.023571944735134884)	(14, 0.025015890434900503)	(15, 0.0266567378209978)	(16, 0.028063178437652627)	(17, 0.029375856346530466)	(18, 0.030519761381409723)	(19, 0.031794934207176766)	(20, 0.03294821551283372)	(21, 0.034223388338600766)	(22, 0.03547043235203471)	(23, 0.03654870349147008)	(24, 0.03757071700623925)	(25, 0.03853647289634223)	(26, 0.039699130472776886)	(27, 0.04074927279987916)	(28, 0.04219321849964478)	(29, 0.0436277879286327)	(30, 0.04516549633617531)	(31, 0.046600065765163234)	(32, 0.04786586232015258)	(33, 0.04968485885102615)	(34, 0.05138196386178964)	(35, 0.053360356995884095)	(36, 0.05521685860986847)	(37, 0.056848329725188065)	(38, 0.06004563806038337)	(39, 0.06165835663414757)	(40, 0.06365550230979743)	(41, 0.06608395644122142)	(42, 0.06795921059676119)	(43, 0.07009700033407652)	(44, 0.07216915617594798)	(45, 0.0743256984548187)	(46, 0.07633222040124625)	(47, 0.07891069486511344)	(48, 0.08144228797509212)	(49, 0.08354257262929667)	(50, 0.0856709860958343)	(51, 0.08789316227014893)	(52, 0.08979654523802179)	(53, 0.09264693155444224)	(54, 0.09602238903441382)	(55, 0.09830082283339464)	(56, 0.10089804983881721)	(57, 0.10375781242601537)	(58, 0.1066175750132135)	(59, 0.10906478168619291)	(60, 0.11166200869161548)	(61, 0.11469992042358991)	(62, 0.11769095080167584)	(63, 0.12102890319853662)	(64, 0.1244699945739521)	(65, 0.1277516893461467)
SRR27961772_2 - illumina_universal_adapter	(1, 0.00039380337266335127)	(2, 0.0004031796434410501)	(3, 0.00045943726810724315)	(4, 0.0006282101421058223)	(5, 0.0006657152252166176)	(6, 0.0007219728498828107)	(7, 0.0007313491206605095)	(8, 0.000815735557659799)	(9, 0.000881369453103691)	(10, 0.0010501423271022702)	(11, 0.0011814101179900539)	(12, 0.0012751728257670422)	(13, 0.001528332136764911)	(14, 0.0016689761984303936)	(15, 0.0017814914477627796)	(16, 0.001922135509428262)	(17, 0.0020627795710937446)	(18, 0.002231552445092324)	(19, 0.0024284541314239998)	(20, 0.002756623608643459)	(21, 0.0029066439410866405)	(22, 0.003103545627418316)	(23, 0.0033191998553053896)	(24, 0.003581735437080957)	(25, 0.003750508311079536)	(26, 0.003928657455855814)	(27, 0.0041630642252982845)	(28, 0.004388094723963057)	(29, 0.004716264201182516)	(30, 0.005344474343288339)	(31, 0.0057570302575070875)	(32, 0.006178962442503535)	(33, 0.007069708166384925)	(34, 0.007547897976047566)	(35, 0.008044840327265605)	(36, 0.008513653866150547)	(37, 0.009066853842034778)	(38, 0.00994822329513847)	(39, 0.010717077498909775)	(40, 0.01157031813968037)	(41, 0.012742351986892723)	(42, 0.013989396000326669)	(43, 0.015227063742982916)	(44, 0.016567870464193852)	(45, 0.01803994497629257)	(46, 0.01966203982083447)	(47, 0.021715443121150514)	(48, 0.0242376599603515)	(49, 0.02702241238132806)	(50, 0.030266602070411857)	(51, 0.03367956463349423)	(52, 0.038020778003568796)	(53, 0.04209007952109009)	(54, 0.046918858971605)	(55, 0.051710133339009104)	(56, 0.05694209243296505)	(57, 0.06358986841435353)	(58, 0.07108150876573491)	(59, 0.07991395583832721)	(60, 0.08966527744713401)	(61, 0.10125434812836977)	(62, 0.11404358146915099)	(63, 0.12828613678047554)	(64, 0.14408515304089808)	(65, 0.1606905285882027)
SRR27961772_2 - polya	(1, 0.01406440616654826)	(2, 0.01868690765995379)	(3, 0.02085282620960222)	(4, 0.02416264979412991)	(5, 0.026562975113220814)	(6, 0.02869138857975845)	(7, 0.03169179522862208)	(8, 0.04058049992588058)	(9, 0.05125069607090186)	(10, 0.060401936349935924)	(11, 0.06347735316502115)	(12, 0.06632773948144159)	(13, 0.07163470874161913)	(14, 0.07769177966401258)	(15, 0.08710555552482223)	(16, 0.09746633473417944)	(17, 0.10270767009891309)	(18, 0.10851158171030867)	(19, 0.11381855097048622)	(20, 0.12018503882854373)	(21, 0.12657027922815664)	(22, 0.13394940433020563)	(23, 0.1398189498370451)	(24, 0.14538845467899822)	(25, 0.15064854258528726)	(26, 0.16061551842198113)	(27, 0.16674759951059617)	(28, 0.17348913819976164)	(29, 0.17900238541704855)	(30, 0.18449688009278006)	(31, 0.18975696799906913)	(32, 0.19467013388658333)	(33, 0.19987396416820616)	(34, 0.20571538086271254)	(35, 0.21062854675022674)	(36, 0.21534481095140925)	(37, 0.22013608531881337)	(38, 0.22503049866477215)	(39, 0.23011243742628493)	(40, 0.2375478201530001)	(41, 0.24320171143195252)	(42, 0.2483024027350207)	(43, 0.25351560928742123)	(44, 0.25895384633848656)	(45, 0.266754903625532)	(46, 0.27209000169804265)	(47, 0.2780345573711037)	(48, 0.28353842831761294)	(49, 0.28828282133112854)	(50, 0.2941242380256349)	(51, 0.29944995982736783)	(52, 0.3063227663074211)	(53, 0.3159897014792286)	(54, 0.32860078567523354)	(55, 0.3603769673408549)	(56, 0.3977320301192071)	(57, 0.4409097570505103)	(58, 0.5579724977100803)	(59, 0.7743955798009249)	(60, 0.8906519611736128)	(61, 0.9256442037159849)	(62, 0.9359487253006759)	(63, 0.941115050499188)	(64, 0.9467689417781404)	(65, 0.9533323313225296)
SRR27961772_2 - polyg	(1, 0.9278757561610772)	(2, 0.9303135865632789)	(3, 0.9321325830941525)	(4, 0.9339140745419152)	(5, 0.93519862363846)	(6, 0.9363425286733392)	(7, 0.9379646235178811)	(8, 0.9416588742042945)	(9, 0.9476034298773556)	(10, 0.9527978838882007)	(11, 0.9578985751912689)	(12, 0.9630367715774478)	(13, 0.9730693813095856)	(14, 0.9768948997868867)	(15, 0.9796421471247525)	(16, 0.982211245317842)	(17, 0.9843115299720465)	(18, 0.9864962010632503)	(19, 0.9882026823447916)	(20, 0.9900873127711091)	(21, 0.9920844584467589)	(22, 0.9941753668301857)	(23, 0.9961068786103917)	(24, 0.9978133598919329)	(25, 0.9994542072780301)	(26, 1.0010669258517944)	(27, 1.0025014952807823)	(28, 1.00487369178754)	(29, 1.0066270544229698)	(30, 1.008427298412288)	(31, 1.0103963152756048)	(32, 1.0121590541818122)	(33, 1.014371854085349)	(34, 1.0165377726349973)	(35, 1.0188912166001998)	(36, 1.0211977792115137)	(37, 1.023279311324163)	(38, 1.0272267213215742)	(39, 1.030311514407437)	(40, 1.0345870938820676)	(41, 1.0414223952790103)	(42, 1.0453041713809774)	(43, 1.0493734728984987)	(44, 1.0524395134428064)	(45, 1.0549242251988964)	(46, 1.0574745708504305)	(47, 1.060015540231187)	(48, 1.062378360467167)	(49, 1.0646474179953702)	(50, 1.0670102382313502)	(51, 1.0687260957836693)	(52, 1.0704513296067657)	(53, 1.0726172481564142)	(54, 1.0752332277033922)	(55, 1.076761559840157)	(56, 1.0786461902664746)	(57, 1.081055891856343)	(58, 1.0834937222585448)	(59, 1.085640888266638)	(60, 1.0876474102130655)	(61, 1.0899445965536017)	(62, 1.0921855252694717)	(63, 1.0946796132963397)	(64, 1.0971361962400967)	(65, 1.099799057140963)
SRR27961773_1 - polya	(1, 0.012302157480080908)	(2, 0.01615676956659106)	(3, 0.01799777832432725)	(4, 0.02093188603196931)	(5, 0.02318520404274017)	(6, 0.02500703562591661)	(7, 0.027624719953322757)	(8, 0.035381887062742444)	(9, 0.046188224927162694)	(10, 0.054242638242258535)	(11, 0.05713839160078109)	(12, 0.05999579061018413)	(13, 0.06435859782252772)	(14, 0.06983368115933691)	(15, 0.07775385425251449)	(16, 0.08607674801144685)	(17, 0.09099569328602325)	(18, 0.09602970160795814)	(19, 0.1008048180733364)	(20, 0.10648126174302298)	(21, 0.11239742009470648)	(22, 0.11870671052486488)	(23, 0.12426809114719296)	(24, 0.12906238478713097)	(25, 0.13367449526875133)	(26, 0.14150837107641)	(27, 0.14677250549306195)	(28, 0.1525352464482674)	(29, 0.1573678944373249)	(30, 0.16218136525182267)	(31, 0.16718660781191794)	(32, 0.17138640904050362)	(33, 0.17620946844228125)	(34, 0.1807832245747821)	(35, 0.18499261439064768)	(36, 0.18960472487226804)	(37, 0.19357440000613668)	(38, 0.19765913818736386)	(39, 0.20225207149442448)	(40, 0.20869560214650115)	(41, 0.2133077126281215)	(42, 0.21729656493654992)	(43, 0.2219757955291294)	(44, 0.22620436251955472)	(45, 0.23246571001331376)	(46, 0.23766272431900654)	(47, 0.24292685873565847)	(48, 0.2477019752010367)	(49, 0.25191136501690226)	(50, 0.25635088092748487)	(51, 0.2609438142345455)	(52, 0.26606411984199924)	(53, 0.2731692630163874)	(54, 0.2807921899038888)	(55, 0.2864111020498961)	(56, 0.29133004732447254)	(57, 0.296085986615291)	(58, 0.2998638900035622)	(59, 0.30463900646894043)	(60, 0.3090689337922431)	(61, 0.3145152513672127)	(62, 0.3190794189124337)	(63, 0.3234134603629376)	(64, 0.32951180187293877)	(65, 0.33530330858998386)
SRR27961773_1 - polyg	(1, 0.0064147648902370446)	(2, 0.009061214979482821)	(3, 0.009655707390835133)	(4, 0.010528268833303848)	(5, 0.011899436814326116)	(6, 0.013596616762864168)	(7, 0.014823955934688297)	(8, 0.016741673390663497)	(9, 0.01920594032159163)	(10, 0.02099900614292844)	(11, 0.022744129027865875)	(12, 0.024192005707127148)	(13, 0.025668648148228054)	(14, 0.027327473747646602)	(15, 0.02843016128483234)	(16, 0.029925980900492997)	(17, 0.03137385757975427)	(18, 0.03243819076782051)	(19, 0.0337614158124434)	(20, 0.03502710933338703)	(21, 0.03612979687057277)	(22, 0.03742425615335603)	(23, 0.03860365238878078)	(24, 0.03991728884612379)	(25, 0.041106273668828415)	(26, 0.04244867588801105)	(27, 0.04376231234535406)	(28, 0.04520060043733547)	(29, 0.046715597227555875)	(30, 0.04822100543049641)	(31, 0.049755179395276565)	(32, 0.05115511313813846)	(33, 0.052756407213877754)	(34, 0.054693301844412706)	(35, 0.056639785062227534)	(36, 0.05850955958180335)	(37, 0.060398511275938926)	(38, 0.06358192225285776)	(39, 0.0654037538360342)	(40, 0.06754200879944655)	(41, 0.07015969312685269)	(42, 0.07207741058282789)	(43, 0.07436908294271825)	(44, 0.07641145203333184)	(45, 0.07848258688578506)	(46, 0.08064960761103704)	(47, 0.08322893758932369)	(48, 0.0852233637435379)	(49, 0.08754380186526789)	(50, 0.08979711987603875)	(51, 0.09206961506136936)	(52, 0.09421745861206159)	(53, 0.09686390870130736)	(54, 0.10002814250366644)	(55, 0.10244446649819519)	(56, 0.10536898561855737)	(57, 0.1080729672314824)	(58, 0.11086324612992632)	(59, 0.11344257610821296)	(60, 0.11643421533953427)	(61, 0.11920531706341844)	(62, 0.12231201934209826)	(63, 0.12566802489005485)	(64, 0.12888020162881333)	(65, 0.1320540240184523)
SRR27961773_2 - polya	(1, 0.018784042481277085)	(2, 0.02358792470849496)	(3, 0.025975482941184087)	(4, 0.029484905885618702)	(5, 0.032284773371342494)	(6, 0.03459562290579261)	(7, 0.03786533116823033)	(8, 0.047070374956911284)	(9, 0.0584520280581241)	(10, 0.06741735716480816)	(11, 0.07033228769789046)	(12, 0.07353487584936905)	(13, 0.07891407331337948)	(14, 0.08534801537817628)	(15, 0.09490783689621266)	(16, 0.10470737309624592)	(17, 0.11041258252777214)	(18, 0.11629997511761601)	(19, 0.12166958399434658)	(20, 0.12814188040826288)	(21, 0.13490183444057546)	(22, 0.1421124520750422)	(23, 0.1484313310924805)	(24, 0.1546159698880005)	(25, 0.1604170651923255)	(26, 0.16982346931388384)	(27, 0.17560538744364906)	(28, 0.18260505615795855)	(29, 0.18816643678028663)	(30, 0.19383329186269335)	(31, 0.19914536921574466)	(32, 0.20462045255255384)	(33, 0.21032566198408006)	(34, 0.2164719464304806)	(35, 0.2213429487686576)	(36, 0.22686597504186617)	(37, 0.23159314857084504)	(38, 0.23678057428925794)	(39, 0.24150774781823683)	(40, 0.2486320681671847)	(41, 0.2540304428057549)	(42, 0.25926581146056715)	(43, 0.26454912305177886)	(44, 0.26973654877019176)	(45, 0.27709099521385666)	(46, 0.2828345589945024)	(47, 0.2892109695356199)	(48, 0.295002476252665)	(49, 0.3004775595894742)	(50, 0.3064800152266766)	(51, 0.3122427561818821)	(52, 0.3187821727067575)	(53, 0.32802557084455797)	(54, 0.34057703159391567)	(55, 0.3686907694985121)	(56, 0.40387129622837714)	(57, 0.4446803236915294)	(58, 0.5551408491557009)	(59, 0.75394102922937)	(60, 0.8595880838790438)	(61, 0.8927741844546947)	(62, 0.902727138051206)	(63, 0.908748770862968)	(64, 0.9145019232308936)	(65, 0.9219522555473573)
SRR27961773_2 - polyg	(1, 0.8325482677497935)	(2, 0.8347440542368851)	(3, 0.8367001260419797)	(4, 0.8378795222774046)	(5, 0.8387137293707537)	(6, 0.8398355940824992)	(7, 0.8411875848889617)	(8, 0.8446011219605977)	(9, 0.8502296226938848)	(10, 0.8553019853649393)	(11, 0.8596456154027231)	(12, 0.8637974736949093)	(13, 0.8723025506121593)	(14, 0.8763297572697073)	(15, 0.8784200692967202)	(16, 0.8809322791640478)	(17, 0.8828404080327431)	(18, 0.8848923657106366)	(19, 0.8865128369609356)	(20, 0.8880374223384359)	(21, 0.889734602286974)	(22, 0.8916810855047888)	(23, 0.8934933285006853)	(24, 0.895295982909302)	(25, 0.896839745461362)	(26, 0.8984410395371014)	(27, 0.9002341053584382)	(28, 0.9024298918455298)	(29, 0.9042133690795867)	(30, 0.906131086535562)	(31, 0.9078474436586598)	(32, 0.9097363953527953)	(33, 0.9117499986815693)	(34, 0.9137827791849029)	(35, 0.9160552743702336)	(36, 0.9183277695555642)	(37, 0.9208303908356118)	(38, 0.9245219969383641)	(39, 0.9273793959477671)	(40, 0.931492899890834)	(41, 0.9381473794630679)	(42, 0.9418389855658201)	(43, 0.9454442943830536)	(44, 0.9483688135034157)	(45, 0.9507947260852243)	(46, 0.9533357017143914)	(47, 0.9558287344071592)	(48, 0.9582354698144081)	(49, 0.9605271421742985)	(50, 0.9629818205179467)	(51, 0.9650146010212804)	(52, 0.9669610842390952)	(53, 0.9694637055191428)	(54, 0.9723115159412661)	(55, 0.9743730622064394)	(56, 0.9765496715189712)	(57, 0.9787262808315031)	(58, 0.9806823526365979)	(59, 0.9829644364092083)	(60, 0.9851506343090201)	(61, 0.987403952319791)	(62, 0.9897723333779203)	(63, 0.9923996062926063)	(64, 0.9951131764928112)	(65, 0.9977883923438966)
