Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR27961772_1	(1, 0.021040351625156196)	(2, 0.00035629828955255593)	(3, 3.750508311079536e-05)	(4, 0.0006750914959943165)	(5, 0.0003281694772194594)	(6, 0.014505090893100104)	(7, 0.00047818980966264087)	(8, 0.0006188338713281234)	(9, 0.00033754574799715827)	(10, 0.000379738966496803)	(12, 0.0012517321488227952)	(14, 0.0009845084316583781)	(16, 0.0016595999276526946)	(18, 0.0017392982292631348)	(20, 0.0005203830281622857)	(22, 6.094576005504246e-05)	(24, 0.0013923762104882777)	(26, 0.0017252338230965866)	(28, 0.0013079897734889882)	(30, 0.005456989592620725)	(32, 0.008115162358098347)	(34, 0.011139009683906222)	(36, 0.010693636821965526)	(38, 0.007125965791051119)	(40, 0.004177128631464833)	(42, 0.003984915080522007)	(44, 0.0023628202359801077)	(46, 0.0027050541193661152)	(48, 0.00161740670915305)	(50, 0.002175294820426131)	(52, 0.003984915080522007)	(54, 0.0021190371957599376)	(56, 0.002433142266812849)	(58, 0.004064613382132447)	(60, 0.002386260912924355)	(62, 0.0025362812453675362)	(64, 0.0023534439652024087)	(66, 0.0032863829075834433)	(68, 0.0014767626474875672)	(70, 0.002901955805697791)	(72, 0.005292904854010996)	(74, 0.002189359226592679)	(76, 0.004134935412965188)
SRR27961772_2	(1, 0.014289436665213033)	(2, 0.010623314791132786)	(3, 0.01252669775900565)	(4, 0.01872441274306458)	(5, 0.025475327703007745)	(6, 0.03064165290151981)	(7, 0.037298805153685985)	(8, 0.03541417472736852)	(9, 0.03533916456114693)	(10, 0.03907092033067106)	(12, 0.03120422914818174)	(14, 0.03367956463349424)	(16, 0.028658571632036507)	(18, 0.02351568711046869)	(20, 0.020205863525941)	(22, 0.019127592386505635)	(24, 0.020655924523270544)	(26, 0.022892165103751718)	(28, 0.029028934327755607)	(30, 0.02068405333560364)	(32, 0.01803056870551487)	(34, 0.018246222933401942)	(36, 0.013286175691999257)	(38, 0.020065219464275516)	(40, 0.015953724728254577)	(42, 0.01623970098697439)	(44, 0.015105172222872831)	(46, 0.015784951854255998)	(48, 0.01608030438375351)	(50, 0.01084365715440871)	(52, 0.013023640110223689)	(54, 0.007801057287045435)	(56, 0.012146958792508846)	(58, 0.0133377451812766)	(60, 0.010252952095413681)	(62, 0.014317565477546128)	(64, 0.01672726706741473)	(66, 0.021710754985761666)	(68, 0.02497838535178971)	(70, 0.024139209117185662)	(72, 0.031935578268842246)	(74, 0.036014256057141245)	(76, 0.039924160971441656)
SRR27961773_1	(1, 0.021727738776199018)	(2, 0.000268480443836528)	(3, 9.588587279876002e-05)	(4, 0.000565726649512684)	(5, 0.000517783713113304)	(6, 0.014440412443493257)	(7, 0.000517783713113304)	(8, 0.000699966871430948)	(9, 0.000345189142075536)	(10, 0.000369160610275226)	(12, 0.0012273391718241279)	(14, 0.000728732633270576)	(16, 0.0017307400040176182)	(18, 0.00170197424217799)	(20, 0.00046504648307398597)	(22, 6.2325817319194e-05)	(24, 0.001332813631902764)	(26, 0.0016108826630191681)	(28, 0.001351990806462516)	(30, 0.0055949406778076465)	(32, 0.008145504894254663)	(34, 0.011271384347494239)	(36, 0.011141938419215913)	(38, 0.007253766277226194)	(40, 0.004094326768507053)	(42, 0.0039025550229095317)	(44, 0.002502621280047636)	(46, 0.0026416557956058383)	(48, 0.0016588255994185478)	(50, 0.002200580780731542)	(52, 0.0039025550229095317)	(54, 0.002176609312531852)	(56, 0.002416323994528752)	(58, 0.003816257737390648)	(60, 0.0023252324153699303)	(62, 0.002502621280047636)	(64, 0.002286878066250426)	(66, 0.00314026233415939)	(68, 0.001385550861942082)	(70, 0.002847810422123172)	(72, 0.005125099901093722)	(74, 0.0019464832178148282)	(76, 0.00412309253034668)
SRR27961773_2	(1, 0.015734871726276516)	(2, 0.011496716148571324)	(3, 0.013251427620788632)	(4, 0.020692171349972407)	(5, 0.027557599842363625)	(6, 0.03259160816429853)	(7, 0.03833517194494425)	(8, 0.0364366316635288)	(9, 0.037577673549834045)	(10, 0.040991210621469897)	(12, 0.03244298506146045)	(14, 0.03479218894503007)	(16, 0.029729414861255538)	(18, 0.024450897563683804)	(20, 0.02093188603196931)	(22, 0.01992508436758233)	(24, 0.02195786487091604)	(26, 0.023712576343133347)	(28, 0.030381438796287106)	(30, 0.021396932515043293)	(32, 0.01877445389399721)	(34, 0.019134025916992557)	(36, 0.01386030291306076)	(38, 0.021032566198408008)	(40, 0.01697659377902046)	(42, 0.016712907628823867)	(44, 0.016161563860230998)	(46, 0.016338952724908706)	(48, 0.017326577214735933)	(50, 0.011415213156692378)	(52, 0.013284987676268198)	(54, 0.007977704616856832)	(56, 0.012235037369121777)	(58, 0.013486348009145594)	(60, 0.010485120190544407)	(62, 0.015351328235081478)	(64, 0.018088869903486075)	(66, 0.022523591520428727)	(68, 0.026272729146860244)	(70, 0.025150864435114748)	(72, 0.03373265005060377)	(74, 0.03636471725892973)	(76, 0.04066519865395412)
SRR27961774_1	(1, 0.021455018979880506)	(2, 0.0004686775990750596)	(3, 0.00013539575084390608)	(4, 0.0005207528878611772)	(5, 0.0002916216172022593)	(6, 0.015091418690216919)	(7, 0.0005415830033756243)	(8, 0.0005207528878611772)	(9, 0.00014581080860112965)	(10, 0.00030203667495948283)	(12, 0.001348749979560449)	(14, 0.0008748648516067779)	(16, 0.0015622586635835318)	(18, 0.0017549372320921673)	(20, 0.0006040733499189657)	(22, 6.249034654334127e-05)	(24, 0.0012029391709593195)	(26, 0.0014893532592829672)	(28, 0.0011873165843234842)	(30, 0.005014850310103137)	(32, 0.007905028837732671)	(34, 0.010821245009755264)	(36, 0.01046192551713105)	(38, 0.006853108004253093)	(40, 0.003869193956808547)	(42, 0.0037962885525079826)	(44, 0.002431915986311698)	(46, 0.0026922924302422865)	(48, 0.0015882963079765907)	(50, 0.0023329729376180743)	(52, 0.004301418853733325)	(54, 0.0020257287337799796)	(56, 0.0025725192660342156)	(58, 0.0042076833339183125)	(60, 0.0023173503509822386)	(62, 0.002562104208276992)	(64, 0.0024267084574330863)	(66, 0.003249498020253746)	(68, 0.0013435424506818374)	(70, 0.0029474613452942634)	(72, 0.005540810726842926)	(74, 0.002181954600138333)	(76, 0.00458262541317836)
SRR27961774_2	(1, 0.015101833747974141)	(2, 0.011289922608830324)	(3, 0.012883426445685527)	(4, 0.0191532912155341)	(5, 0.02546481621641157)	(6, 0.030526534286422213)	(7, 0.03683805928729968)	(8, 0.03445301106089549)	(9, 0.03531746085474504)	(10, 0.038910655780987166)	(12, 0.03076087308595974)	(14, 0.033593768795924545)	(16, 0.02855288084142835)	(18, 0.023376597136088247)	(20, 0.019705289276666947)	(22, 0.019372007428435794)	(24, 0.0206113993015454)	(26, 0.022736071084019)	(28, 0.028563295899185572)	(30, 0.020804077870054033)	(32, 0.01859608562552264)	(34, 0.018601293154401254)	(36, 0.013523952497754774)	(38, 0.020194796991256456)	(40, 0.016002736243973976)	(42, 0.016726582758101013)	(44, 0.01577360497331506)	(46, 0.01579964261770812)	(48, 0.016237075043511507)	(50, 0.010607736325732182)	(52, 0.012873011387928304)	(54, 0.008113329992877142)	(56, 0.012091882056136536)	(58, 0.013930139750286492)	(60, 0.010378605055073263)	(62, 0.014627948620020469)	(64, 0.017174430241661626)	(66, 0.021626867432874692)	(68, 0.025048213906122628)	(70, 0.02403274577479333)	(72, 0.03176592615953181)	(74, 0.035957986906814295)	(76, 0.039483483957634465)
SRR27961775_1	(1, 0.02162992009197282)	(2, 0.0004242969399704689)	(3, 0.00011991000477426296)	(4, 0.0004242969399704689)	(5, 0.0003228346282384003)	(6, 0.0152193467598103)	(7, 0.0005811023308291205)	(8, 0.0006272215634346062)	(9, 0.0003228346282384003)	(10, 0.00034589424454114316)	(12, 0.0013005623594746982)	(14, 0.0009731158079757494)	(16, 0.0017802023785717502)	(18, 0.0017848143018322988)	(20, 0.0005349830982236348)	(22, 4.611923260548575e-05)	(24, 0.001434308134030607)	(26, 0.001794038148353396)	(28, 0.0014573677503333497)	(30, 0.0054559052172289645)	(32, 0.00822305917355811)	(34, 0.011446793532681564)	(36, 0.010838019662289151)	(38, 0.007448256065785949)	(40, 0.004390550944042244)	(42, 0.003966254004071775)	(44, 0.0024904385606962305)	(46, 0.0027164228004631107)	(48, 0.001821709687916687)	(50, 0.0021906635487605733)	(52, 0.004206074013620301)	(54, 0.0019277839229093045)	(56, 0.0025780651026466534)	(58, 0.003989313620374518)	(60, 0.002116872776591796)	(62, 0.0026195724119915907)	(64, 0.0023613047094008703)	(66, 0.003182227049778517)	(68, 0.0013974127479462182)	(70, 0.002942407040229991)	(72, 0.005460517140489513)	(74, 0.0022967377837531905)	(76, 0.004519684795337604)
SRR27961775_2	(1, 0.015302361378500173)	(2, 0.010432170415360877)	(3, 0.012562878961734318)	(4, 0.01889966152172806)	(5, 0.02544859255170704)	(6, 0.03017120197050878)	(7, 0.036498760683981425)	(8, 0.03444184290977676)	(9, 0.034995273701042585)	(10, 0.03893385616555107)	(12, 0.03085376661306997)	(14, 0.0335056224878854)	(16, 0.028524745366492937)	(18, 0.023387062854241827)	(20, 0.02017255234163947)	(22, 0.019162541147579332)	(24, 0.020915071986587788)	(26, 0.022607647823209117)	(28, 0.02887063961103408)	(30, 0.019863553483182715)	(32, 0.018115634567434803)	(34, 0.018378514193286073)	(36, 0.013254667450816606)	(38, 0.019789762711013938)	(40, 0.01586040409302655)	(42, 0.016399999114510736)	(44, 0.015339256764584561)	(46, 0.015680539085865156)	(48, 0.015782001397597223)	(50, 0.010473677724705815)	(52, 0.012581326654776513)	(54, 0.007854105312714224)	(56, 0.011695837388751186)	(58, 0.013489875537104581)	(60, 0.010072440401038088)	(62, 0.014264678644876743)	(64, 0.01702722067794534)	(66, 0.021643755861754464)	(68, 0.02489054983718066)	(70, 0.024166477885274533)	(72, 0.0322050601284107)	(74, 0.0359268821996734)	(76, 0.04011450852025151)
SRR27961776_1	(1, 0.02190201238338834)	(2, 0.00028382737429876896)	(3, 0.00011037731222729905)	(4, 0.00044939334263971757)	(5, 0.0002207546244545981)	(6, 0.015295141837211439)	(7, 0.0006228434047111875)	(8, 0.0006228434047111875)	(9, 0.0002601750931072049)	(10, 0.00040997287398711075)	(12, 0.0014270209652243663)	(14, 0.0008475400760310463)	(16, 0.0017660369956367847)	(18, 0.0017936313236936096)	(20, 0.00040997287398711075)	(22, 3.9420468652606806e-05)	(24, 0.0013678902622454561)	(26, 0.001628065355352661)	(28, 0.0013127016061318065)	(30, 0.005723852048358508)	(32, 0.008420212104196814)	(34, 0.011447704096717016)	(36, 0.011108688066304597)	(38, 0.007288844653866998)	(40, 0.004221932192694189)	(42, 0.003815901365572339)	(44, 0.002455895197057404)	(46, 0.0026845339152425235)	(48, 0.001789689276828349)	(50, 0.002132647354106028)	(52, 0.003831669553033381)	(54, 0.0022154303382765023)	(56, 0.002353401978560626)	(58, 0.003894742302877552)	(60, 0.0023731122128869296)	(62, 0.0025110838531710532)	(64, 0.002416474728404797)	(66, 0.0032088261483221936)	(68, 0.0014703834807422338)	(70, 0.002909230586562382)	(72, 0.005440024674059739)	(74, 0.0021799519164891566)	(76, 0.0039814673339132875)
SRR27961776_2	(1, 0.015279373649750398)	(2, 0.010903701629311043)	(3, 0.012669738624947828)	(4, 0.019434291045735155)	(5, 0.025757334217613285)	(6, 0.0310396770170626)	(7, 0.036795065440343194)	(8, 0.035084217100820055)	(9, 0.03610126519205731)	(10, 0.03972400626123188)	(12, 0.03172559317161796)	(14, 0.03422879293105849)	(16, 0.02874146369461562)	(18, 0.024007065409437544)	(20, 0.01992704690389274)	(22, 0.019166231858897428)	(24, 0.02056960054293023)	(26, 0.02312404691161915)	(28, 0.02867050685104093)	(30, 0.020723340370675396)	(32, 0.018129473533333867)	(34, 0.018748374891179795)	(36, 0.013414785482482096)	(38, 0.019722060466899182)	(40, 0.016241233084874)	(42, 0.01626094331920031)	(44, 0.015772129507907982)	(46, 0.015464649852417649)	(48, 0.016162392147568788)	(50, 0.010706599286048007)	(52, 0.012508114703472139)	(54, 0.007982644902152879)	(56, 0.011664516674306354)	(58, 0.013083653545800197)	(60, 0.009926074006726394)	(62, 0.014652588198173949)	(64, 0.01714790386388396)	(66, 0.02207152039859455)	(68, 0.02536312953108722)	(70, 0.02434608143984996)	(72, 0.03207643534262616)	(74, 0.034962013647996976)	(76, 0.040335023525347284)
