Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR27961772_1	(1, 31.66443967734002)	(2, 31.71171849134678)	(3, 31.77491193103265)	(4, 31.80155394810853)	(5, 31.818513277877692)	(6, 35.583640601540274)	(7, 35.58705806471333)	(8, 35.561134457504444)	(9, 35.56518219359918)	(10, 35.57072117867975)	(12, 35.572961826107495)	(14, 35.56119624712887)	(16, 35.55255892025116)	(18, 35.54834100484182)	(20, 35.542226316735494)	(22, 35.51881142453588)	(24, 35.50287054529859)	(26, 35.46915666351405)	(28, 35.45300903750611)	(30, 35.428268715669375)	(32, 35.40348048108895)	(34, 35.38942371658308)	(36, 35.36598064868979)	(38, 35.34900519173489)	(40, 35.25870771923057)	(42, 35.16488697233747)	(44, 35.23843373709743)	(46, 35.213085317219395)	(48, 35.221679560132884)	(50, 35.19827193454313)	(52, 35.169869850798214)	(54, 35.091047105353)	(56, 35.11445519975629)	(58, 35.09469269319408)	(60, 35.03412249966503)	(62, 35.08355935615399)	(64, 35.04304763117426)	(66, 35.07876850371877)	(68, 35.051380182370345)	(70, 34.956016195069935)	(72, 34.85591208095923)	(74, 34.84070887982537)	(76, 34.423161789146235)
SRR27961772_2	(1, 31.62357948325684)	(2, 31.564464440071145)	(3, 31.603769392120427)	(4, 31.60421504627049)	(5, 31.616562938545766)	(6, 35.38485494112124)	(7, 35.288674655686926)	(8, 35.21051631278902)	(9, 35.2119893249282)	(10, 35.22302702400635)	(12, 35.222200927669476)	(14, 35.21348366808339)	(16, 35.21582914221843)	(18, 35.207126415852045)	(20, 35.17062239029083)	(22, 35.16839060343897)	(24, 35.13982799793834)	(26, 35.10136151890336)	(28, 35.10314268218164)	(30, 35.10506331748775)	(32, 35.08287160669244)	(34, 35.06934811758706)	(36, 35.057345037669634)	(38, 35.039471709025065)	(40, 35.03367914270131)	(42, 35.013836140854465)	(44, 34.98783119449658)	(46, 34.964746206384284)	(48, 34.95677684503678)	(50, 34.96038811572681)	(52, 34.928846997169586)	(54, 34.89631968245196)	(56, 34.87813037348218)	(58, 34.886337470175256)	(60, 34.904356412305006)	(62, 34.917136128730945)	(64, 34.92329596358107)	(66, 34.89125213626609)	(68, 34.834381069084266)	(70, 34.7851303784516)	(72, 34.75921150625946)	(74, 34.72974498137451)	(76, 34.101354017886734)
SRR27961773_1	(1, 31.68098511227996)	(2, 31.715595309838417)	(3, 31.7738074314428)	(4, 31.8020646146131)	(5, 31.820466551891275)	(6, 35.59355531871745)	(7, 35.61301641134656)	(8, 35.58414785985129)	(9, 35.590745574986826)	(10, 35.58486316846236)	(12, 35.59523797195626)	(14, 35.58056657044519)	(16, 35.573465694192144)	(18, 35.56744693795657)	(20, 35.56254477270973)	(22, 35.53766114220211)	(24, 35.522154862396576)	(26, 35.49036102469397)	(28, 35.47474495556409)	(30, 35.44891186314401)	(32, 35.42550008078385)	(34, 35.408305634301826)	(36, 35.39486905106067)	(38, 35.36977945769827)	(40, 35.29554471086334)	(42, 35.228329720833074)	(44, 35.28502842776414)	(46, 35.263227911610485)	(48, 35.2662184960972)	(50, 35.24137705537361)	(52, 35.21527735228422)	(54, 35.15152417786254)	(56, 35.161425161316)	(58, 35.14523339340583)	(60, 35.09394897816823)	(62, 35.12476895100376)	(64, 35.09155835158761)	(66, 35.10382090820222)	(68, 35.07839250210829)	(70, 34.99216310378735)	(72, 34.89974149168693)	(74, 34.88206109560157)	(76, 34.43919478879459)
SRR27961773_2	(1, 31.635714994584845)	(2, 31.572924993755432)	(3, 31.612768929908864)	(4, 31.60683627918706)	(5, 31.618192043102617)	(6, 35.383465823638076)	(7, 35.311384961163824)	(8, 35.23359639622536)	(9, 35.234123960297495)	(10, 35.23474194474768)	(12, 35.23952727305851)	(14, 35.22828038755152)	(16, 35.230029729414866)	(18, 35.22425850255991)	(20, 35.18888629997032)	(22, 35.18220056160356)	(24, 35.153149874892904)	(26, 35.11782662204138)	(28, 35.12046511360319)	(30, 35.122326833709444)	(32, 35.10010993315316)	(34, 35.08676875635543)	(36, 35.07347964558664)	(38, 35.05601676660372)	(40, 35.04745947982873)	(42, 35.02516745269111)	(44, 34.998669008199684)	(46, 34.97254255295178)	(48, 34.95892258797889)	(50, 34.96298297114842)	(52, 34.933189216866516)	(54, 34.903201197806325)	(56, 34.88814932115199)	(58, 34.89681591782197)	(60, 34.913499004944356)	(62, 34.92326277571384)	(64, 34.925800922709755)	(66, 34.8953735545804)	(68, 34.8409676706397)	(70, 34.794393696846264)	(72, 34.767048436269214)	(74, 34.73024715063143)	(76, 34.07817776569616)
SRR27961774_1	(1, 31.68704084566936)	(2, 31.72492395185202)	(3, 31.781720594620644)	(4, 31.808351064101245)	(5, 31.826561271836862)	(6, 35.60277646692704)	(7, 35.62095917891018)	(8, 35.59170557298284)	(9, 35.60007178057806)	(10, 35.59617009164105)	(12, 35.60592025211105)	(14, 35.59210134517762)	(16, 35.58644508353553)	(18, 35.58000144352701)	(20, 35.57439236209656)	(22, 35.55116001351041)	(24, 35.53454247640703)	(26, 35.504226274212016)	(28, 35.48865643984372)	(30, 35.464763620369894)	(32, 35.44450425002054)	(34, 35.425934202039414)	(36, 35.41022881569441)	(38, 35.3897932746431)	(40, 35.35477779838802)	(42, 35.28596696989413)	(44, 35.30742313453037)	(46, 35.28817845118301)	(48, 35.290342491883806)	(50, 35.26462193392416)	(52, 35.243291531110344)	(54, 35.18401141781952)	(56, 35.189144687336324)	(58, 35.1719031841227)	(60, 35.12928070590762)	(62, 35.15026683898727)	(64, 35.11833859415259)	(66, 35.12319425030488)	(68, 35.096432446945954)	(70, 35.01574590091968)	(72, 34.933139443146445)	(74, 34.91534354640841)	(76, 34.46374200735449)
SRR27961774_2	(1, 31.629219152916274)	(2, 31.563439835283777)	(3, 31.605213277990494)	(4, 31.594808739441604)	(5, 31.61125588620008)	(6, 35.35904495170173)	(7, 35.30814802255026)	(8, 35.230344624887636)	(9, 35.23269124155092)	(10, 35.226514956075015)	(12, 35.23882919961427)	(14, 35.22640518136625)	(16, 35.228237398326904)	(18, 35.223470061864404)	(20, 35.18749499426286)	(22, 35.183734793885485)	(24, 35.152926948889046)	(26, 35.127904720552024)	(28, 35.1351701086176)	(30, 35.13207949230343)	(32, 35.10907054670617)	(34, 35.09675698014567)	(36, 35.08449288510952)	(38, 35.06882613862879)	(40, 35.058095088019215)	(42, 35.03015784124182)	(44, 35.00449175403425)	(46, 34.979333609193496)	(48, 34.96615095813844)	(50, 34.96889251379188)	(52, 34.93797083221415)	(54, 34.90913466180172)	(56, 34.90033826024584)	(58, 34.90961036956479)	(60, 34.925289041286646)	(62, 34.930153706463884)	(64, 34.929434286349306)	(66, 34.89948891228573)	(68, 34.85160016426629)	(70, 34.81008189047463)	(72, 34.77965179962304)	(74, 34.73602682002353)	(76, 34.06029026974271)
SRR27961775_1	(1, 31.69560928302672)	(2, 31.73420822132509)	(3, 31.788366589604504)	(4, 31.815012529673115)	(5, 31.834909012288378)	(6, 35.61314080828936)	(7, 35.62219917900387)	(8, 35.59577949989042)	(9, 35.60317213616168)	(10, 35.60372146234125)	(12, 35.610414193138496)	(14, 35.59634552123219)	(16, 35.587479006525314)	(18, 35.58273029362086)	(20, 35.57839919036765)	(22, 35.556740906947624)	(24, 35.536762424336786)	(26, 35.50571195919666)	(28, 35.49048740096356)	(30, 35.46529882864528)	(32, 35.44526126729748)	(34, 35.42517887805558)	(36, 35.412139218467175)	(38, 35.38882982040064)	(40, 35.327101625758296)	(42, 35.27969193090527)	(44, 35.30202627615606)	(46, 35.27683216952987)	(48, 35.28345673610133)	(50, 35.257201241455945)	(52, 35.233371941280254)	(54, 35.17889728730363)	(56, 35.184801240865625)	(58, 35.16749292346495)	(60, 35.12207917676063)	(62, 35.141061852901046)	(64, 35.1069772034478)	(66, 35.11610650554206)	(68, 35.091313728478)	(70, 35.03120404218471)	(72, 34.96937051121509)	(74, 34.944492413570714)	(76, 34.467229149125984)
SRR27961775_2	(1, 31.613899930858047)	(2, 31.53921988764617)	(3, 31.588495705008107)	(4, 31.574524067967204)	(5, 31.586160042592034)	(6, 35.31892261045187)	(7, 35.29444455103111)	(8, 35.22136235475209)	(9, 35.224120100384965)	(10, 35.20988659834133)	(12, 35.227928718852)	(14, 35.21489159582137)	(16, 35.2177628408857)	(18, 35.20959088182187)	(20, 35.178157442574175)	(22, 35.170661545341105)	(24, 35.14175520944404)	(26, 35.127218427326795)	(28, 35.13693943917537)	(30, 35.1283582180414)	(32, 35.101017215018196)	(34, 35.08920501880558)	(36, 35.07594541659687)	(38, 35.063681251904725)	(40, 35.05219645612438)	(42, 35.013809112865204)	(44, 34.985796982769116)	(46, 34.957137753720346)	(48, 34.944186366343146)	(50, 34.94790399156424)	(52, 34.91624899552311)	(54, 34.89113264592309)	(56, 34.88980113755854)	(58, 34.90441295566724)	(60, 34.92052798404349)	(62, 34.9171300573428)	(64, 34.909766568426555)	(66, 34.878088697246056)	(68, 34.83836472638751)	(70, 34.80463104429438)	(72, 34.76922291122306)	(74, 34.71248781529874)	(76, 34.009077648553735)
SRR27961776_1	(1, 31.683907129790946)	(2, 31.693529666189047)	(3, 31.787938613815488)	(4, 31.82059587034324)	(5, 31.827446753590376)	(6, 35.607347297324786)	(7, 35.64700539256243)	(8, 35.61981457242273)	(9, 35.61512471926713)	(10, 35.607390896363114)	(12, 35.620202469834275)	(14, 35.61105412225359)	(16, 35.59849085831448)	(18, 35.59962045184372)	(20, 35.58885125285345)	(22, 35.56888056749076)	(24, 35.558399177342125)	(26, 35.523764077640664)	(28, 35.51104285588366)	(30, 35.49094200413347)	(32, 35.47075403314757)	(34, 35.452529989909934)	(36, 35.42805997051664)	(38, 35.40682164114349)	(40, 35.394497344085345)	(42, 35.28778195687306)	(44, 35.13446806729169)	(46, 35.30653829469891)	(48, 35.284420770613394)	(50, 35.28032687610289)	(52, 35.238692829874026)	(54, 35.230532477499196)	(56, 35.12638450598978)	(58, 35.16243862430133)	(60, 35.11922436916606)	(62, 35.04854957904458)	(64, 35.138866090717855)	(66, 35.09282456015035)	(68, 35.11735441981506)	(70, 35.08387236882169)	(72, 34.76547005045663)	(74, 34.4224746814156)	(76, 33.858501252703654)
SRR27961776_2	(1, 31.61713642462341)	(2, 31.537474595478976)	(3, 31.503011171918498)	(4, 31.463838815695592)	(5, 31.493577853769928)	(6, 35.25375278919526)	(7, 34.98060441985448)	(8, 34.787447986662634)	(9, 34.78337041222615)	(10, 34.81408550110432)	(12, 34.81332255735402)	(14, 34.80816777919114)	(16, 34.81433865935401)	(18, 34.80269306450466)	(20, 34.71794741404091)	(22, 34.72410098861805)	(24, 34.67321397288471)	(26, 34.60762465974223)	(28, 34.60702680891464)	(30, 34.604804361732945)	(32, 34.58258430500847)	(34, 34.57159533690546)	(36, 34.555089671316864)	(38, 34.535295313710456)	(40, 34.528409385666684)	(42, 34.51588337407044)	(44, 34.49665146771078)	(46, 34.47987549596863)	(48, 34.47585322844965)	(50, 34.49152113023845)	(52, 34.44526243230914)	(54, 34.41137734644427)	(56, 34.376291867888455)	(58, 34.37981846243458)	(60, 34.42370641337912)	(62, 34.49540195711589)	(64, 34.57939116820667)	(66, 34.53353041990841)	(68, 34.39375616043374)	(70, 34.29380130475444)	(72, 34.252199977514564)	(74, 34.23175175259462)	(76, 33.682275280070606)
