Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27961772_1	SRR27961772_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10665221.0	810.5 Mbp	0.0	76.0	49.0	65.4416400553802	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961772_2	SRR27961772_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10665221.0	810.5 Mbp	0.0	76.0	49.0	66.44653666622632	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR27961773_1	SRR27961773_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10429065.0	792.6 Mbp	0.0	76.0	49.0	62.09067268070949	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961773_2	SRR27961773_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10429065.0	792.6 Mbp	0.0	76.0	49.0	63.08687235912623	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961774_1	SRR27961774_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9601483.0	729.7 Mbp	0.0	76.0	49.0	66.02223480287425	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961774_2	SRR27961774_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9601483.0	729.7 Mbp	0.0	76.0	49.0	66.8252171167116	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR27961775_1	SRR27961775_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841464.0	823.9 Mbp	0.0	76.0	49.0	64.33563026871755	76.0	76	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR27961775_2	SRR27961775_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841464.0	823.9 Mbp	0.0	76.0	49.0	65.21988040949414	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR27961776_1	SRR27961776_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12683766.0	963.9 Mbp	0.0	76.0	49.0	60.434964078825594	76.0	76	pass	pass	pass	pass	fail	warn	pass	pass	warn	fail	pass
SRR27961776_2	SRR27961776_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12683766.0	963.9 Mbp	0.0	76.0	50.0	62.764246806819365	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961777_1	SRR27961777_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10902923.0	828.6 Mbp	0.0	76.0	49.0	64.29975078320314	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR27961777_2	SRR27961777_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10902923.0	828.6 Mbp	0.0	76.0	49.0	65.02671994588486	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR27961778_1	SRR27961778_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12052142.0	915.9 Mbp	0.0	76.0	48.0	62.62003979770575	76.0	76	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR27961778_2	SRR27961778_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12052142.0	915.9 Mbp	0.0	76.0	48.0	63.811532305534556	76.0	76	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
SRR27961779_1	SRR27961779_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10805555.0	821.2 Mbp	0.0	76.0	48.0	63.62243049451354	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	fail	pass
SRR27961779_2	SRR27961779_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10805555.0	821.2 Mbp	0.0	76.0	49.0	65.051855016446	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
