.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
DRR456169_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456169_2	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456170_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456170_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
DRR456171_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456171_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.5
DRR456172_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456172_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
DRR456173_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456173_2	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456174_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456174_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
DRR456175_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456175_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
DRR456176_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456176_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
DRR456177_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456177_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.5
DRR456178_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456178_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
DRR456179_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456179_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
DRR456180_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456180_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.5
DRR456181_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456181_2	1	1	1	1	0.5	1	1	1	0.25	0.5	1
DRR456182_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456182_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.5
DRR456183_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456183_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
DRR456184_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456184_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
DRR456185_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456185_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
DRR456186_1	1	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR456186_2	1	1	1	1	0.25	1	1	1	0.25	0.25	0.5
