Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
DRR456169_1 - illumina_universal_adapter	(1, 1.4144491639898216e-05)	(2, 1.8859322186530954e-05)	(3, 4.243347491969465e-05)	(4, 6.600762765285834e-05)	(5, 8.015211929275656e-05)	(6, 0.00036775678263735364)	(7, 0.00037247161318398637)	(8, 0.0003913309353705173)	(9, 0.00040547542701041556)	(10, 0.0004549811477500593)	(12, 0.0005092016990363358)	(14, 0.0006058557252423069)	(16, 0.0006977949209016454)	(18, 0.000785019286014351)	(20, 0.0009123197107734349)	(22, 0.0011127000090053263)	(24, 0.001289506154504054)	(26, 0.0015676811567553856)	(28, 0.0019189360324795247)	(30, 0.0024469970537023917)	(32, 0.003121217821870873)	(34, 0.003771864437306191)	(36, 0.0046252487662467165)	(38, 0.0057756674196251055)	(40, 0.007473006416412891)	(42, 0.00980449012172278)	(44, 0.012074681029926444)	(46, 0.014804567916426798)	(48, 0.01896069104328356)	(50, 0.024559552317409937)	(52, 0.03110845194668281)	(54, 0.03819955708881845)	(56, 0.04623598575555395)	(58, 0.056023973970363516)	(60, 0.06968048064868525)	(62, 0.08608809095096717)	(64, 0.10502285042624426)	(66, 0.12689966416262016)	(68, 0.15231260080897063)	(70, 0.18403398072671567)	(72, 0.22215338569624138)	(74, 0.2685779646736607)	(76, 0.32372026533180387)	(78, 0.3888132158586154)	(80, 0.4680459431947786)	(82, 0.566192213268759)	(84, 0.692330432298098)	(86, 0.8367480493567321)	(88, 1.0076370825194356)	(90, 1.1552042063832204)
DRR456169_1 - polya	(1, 0.05314556992164423)	(2, 0.06693173443999836)	(3, 0.07866694767056724)	(4, 0.09300946219342404)	(5, 0.10503228008733752)	(6, 0.11488156109925331)	(7, 0.12475441626390227)	(8, 0.13739959178997127)	(9, 0.15542438896974822)	(10, 0.17446051730177792)	(12, 0.18806044601354005)	(14, 0.20282493787032047)	(16, 0.2149561968668065)	(18, 0.22508365288097365)	(20, 0.2352323256326006)	(22, 0.24604107466075614)	(24, 0.25660700991576013)	(26, 0.2700961401096764)	(28, 0.28228633448799534)	(30, 0.29557979921422634)	(32, 0.3073008679531553)	(34, 0.31893235491169825)	(36, 0.32922247257972426)	(38, 0.3396776093168824)	(40, 0.35112521788410667)	(42, 0.3628321421313957)	(44, 0.3735583816249852)	(46, 0.38457929802773927)	(48, 0.39451816082004104)	(50, 0.4035729928848492)	(52, 0.4118970262149293)	(54, 0.42093064154227766)	(56, 0.4303343710675367)	(58, 0.43875270100854935)	(60, 0.44634357818862813)	(62, 0.45547856237272905)	(64, 0.46372008616824306)	(66, 0.47163628665603946)	(68, 0.4800946926566986)	(70, 0.48891614060944844)	(72, 0.49835758877908043)	(74, 0.5066226867273277)	(76, 0.5162786596868316)	(78, 0.5262552411235064)	(80, 0.5339404149145177)	(82, 0.5413592007796444)	(84, 0.5496478728806247)	(86, 0.5606640744528322)	(88, 0.5694501611764822)	(90, 0.5766520648364637)
DRR456169_2 - illumina_universal_adapter	(1, 1.4144491639898216e-05)	(2, 1.8859322186530954e-05)	(3, 3.771864437306191e-05)	(4, 5.1863136012960126e-05)	(5, 6.600762765285834e-05)	(6, 8.015211929275656e-05)	(7, 8.48669498393893e-05)	(8, 0.00010372627202592025)	(9, 0.00011787076366581847)	(10, 0.00016266165385882947)	(12, 0.00021923962041842235)	(14, 0.00030882140080444435)	(16, 0.000414905088103681)	(18, 0.0005044868684897031)	(20, 0.0006482892001620016)	(22, 0.0008580991594871585)	(24, 0.0010655517035389988)	(26, 0.0013625860279768615)	(28, 0.0017256279800675824)	(30, 0.002291407645663511)	(32, 0.0029962748123851055)	(34, 0.003656351088913689)	(36, 0.004538024401134011)	(38, 0.0058063138181782175)	(40, 0.007581447518985444)	(42, 0.010016657496321253)	(44, 0.012404719168190735)	(46, 0.015238332326717011)	(48, 0.019493466895053057)	(50, 0.025163050627378926)	(52, 0.03185339517305079)	(54, 0.03906472849412555)	(56, 0.04722374275507351)	(58, 0.057141388809915476)	(60, 0.07091340883662971)	(62, 0.08754261617460338)	(64, 0.1067154745924854)	(66, 0.12866536820233412)	(68, 0.15434940760511598)	(70, 0.18634660510983903)	(72, 0.22457680859721063)	(74, 0.2713054941448877)	(76, 0.32673304205110215)	(78, 0.3922361828354708)	(80, 0.4717730167418918)	(82, 0.5704119866079953)	(84, 0.6970806240738305)	(86, 0.8420687356286072)	(88, 1.0133420274808613)	(90, 1.1611354632108846)
DRR456169_2 - polya	(1, 0.029062215489444203)	(2, 0.036044879529007284)	(3, 0.05884108522197658)	(4, 0.08948276894454275)	(5, 0.11890331155553104)	(6, 0.14145434606007543)	(7, 0.1706297174826388)	(8, 0.20783444532611775)	(9, 0.24808966853326808)	(10, 0.30396041051086603)	(12, 0.38304226326953694)	(14, 0.4766622960187499)	(16, 0.587324083778767)	(18, 0.720206867905064)	(20, 0.8863244925545753)	(22, 1.0919241082015891)	(24, 1.4053353965431805)	(26, 1.6431938827902557)	(28, 1.8450923564581627)	(30, 2.042297216316897)	(32, 2.2215692181915134)	(34, 2.3921989356741524)	(36, 2.545374350473157)	(38, 2.6815032954308107)	(40, 2.814808056891031)	(42, 2.945444224261858)	(44, 3.0690953701778483)	(46, 3.182998603938675)	(48, 3.2936038137321324)	(50, 3.403141114406778)	(52, 3.5099108095505493)	(54, 3.607929779199771)	(56, 3.703817645441914)	(58, 3.797140643866689)	(60, 3.8859185456445102)	(62, 3.9704507425150886)	(64, 4.058245602123937)	(66, 4.150420539310607)	(68, 4.236803307170739)	(70, 4.312919531515577)	(72, 4.3855797850697344)	(74, 4.451648705519699)	(76, 4.516901960285097)	(78, 4.578284339171708)	(80, 4.639397972717162)	(82, 4.696565293095084)	(84, 4.754166377883296)	(86, 4.814219174555756)	(88, 4.8715656584944504)	(90, 4.910854341439541)
DRR456169_2 - polyg	(1, 4.368634684085136)	(2, 4.446707563106828)	(3, 4.447636384724515)	(4, 4.44825874235667)	(5, 4.448716080919693)	(6, 4.449857069911979)	(7, 4.451794865266645)	(8, 4.456316387760865)	(9, 4.460644602202675)	(10, 4.46919258998372)	(12, 4.480854723340816)	(14, 4.485503546259796)	(16, 4.48671525771028)	(18, 4.487365904325715)	(20, 4.487802026151279)	(22, 4.488167425518643)	(24, 4.488478604334722)	(26, 4.488803927642438)	(28, 4.4890844600599635)	(30, 4.4894074259524075)	(32, 4.489798756887778)	(34, 4.490227806467521)	(36, 4.490734650751285)	(38, 4.491161342915755)	(40, 4.491578605419132)	(42, 4.492028871736336)	(44, 4.492453206485532)	(46, 4.492853967081996)	(48, 4.493250012847913)	(50, 4.49366020310547)	(52, 4.494072750778301)	(54, 4.494501800358044)	(56, 4.49503929104036)	(58, 4.495520203756117)	(60, 4.4960105461329665)	(62, 4.496578683213835)	(64, 4.497172751862712)	(66, 4.497795109494867)	(68, 4.498459900601942)	(70, 4.499188341921397)	(72, 4.500025224343425)	(74, 4.500918684732012)	(76, 4.501887582409344)	(78, 4.502913058053237)	(80, 4.504186062300828)	(82, 4.505753743457584)	(84, 4.50715169071466)	(86, 4.508655721659036)	(88, 4.510213973154698)	(90, 4.511446901342643)
DRR456170_1 - illumina_universal_adapter	(1, 1.420121018736878e-05)	(2, 1.9881694262316292e-05)	(3, 2.840242037473756e-05)	(4, 5.680484074947512e-05)	(5, 6.248532482442263e-05)	(6, 0.0002953851718972706)	(7, 0.00030958638208463936)	(8, 0.0003323083183844294)	(9, 0.0003578704967216932)	(10, 0.0004231960635835896)	(12, 0.00047858078331432783)	(14, 0.0005424862291574874)	(16, 0.0006021313119444363)	(18, 0.000674557483900017)	(20, 0.0007484037768743347)	(22, 0.0008563329742983373)	(24, 0.0009784633819097089)	(26, 0.0012170437130575042)	(28, 0.0015564526365356183)	(30, 0.0020052108784564715)	(32, 0.0024837916617707996)	(34, 0.0030120766807409183)	(36, 0.0037562200945590422)	(38, 0.004697760329981592)	(40, 0.006092319170381206)	(42, 0.00811457150106252)	(44, 0.010230551818980468)	(46, 0.012587952710083686)	(48, 0.01593801819328398)	(50, 0.020597435255759678)	(52, 0.02664573067456004)	(54, 0.033354382367073054)	(56, 0.04081001771544166)	(58, 0.0497226972290343)	(60, 0.06199254283092093)	(62, 0.07738239431097248)	(64, 0.09483710175226745)	(66, 0.1153990339825587)	(68, 0.13947860597626122)	(70, 0.16883960803864617)	(72, 0.2051506823667294)	(74, 0.24933774786472734)	(76, 0.30144766852625837)	(78, 0.36365180938897107)	(80, 0.43985408313337315)	(82, 0.5345676343570105)	(84, 0.6561754374334869)	(86, 0.7984460013325847)	(88, 0.9674872665558916)	(90, 1.1129403216579787)
DRR456170_1 - polya	(1, 0.05256151914548932)	(2, 0.06448485521880415)	(3, 0.07478925333075893)	(4, 0.08786004718721316)	(5, 0.09877509733722481)	(6, 0.1075741671693185)	(7, 0.11656921370199788)	(8, 0.12871976913831062)	(9, 0.14590607370706432)	(10, 0.16420149279145152)	(12, 0.17682352840598486)	(14, 0.1903757432877909)	(16, 0.2008846388264438)	(18, 0.21037104723160616)	(20, 0.2194456205413348)	(22, 0.22970741502272746)	(24, 0.2399663692620827)	(26, 0.2524435525327049)	(28, 0.26410984670162835)	(30, 0.27601472120169956)	(32, 0.28651225577220263)	(34, 0.29728813406237803)	(36, 0.30703300449295046)	(38, 0.31660462015923707)	(40, 0.32668037878717515)	(42, 0.3371182682748912)	(44, 0.34682479543795774)	(46, 0.3570880100403692)	(48, 0.36601631088516795)	(50, 0.3740825982715934)	(52, 0.3814246239384631)	(54, 0.3894341064841391)	(56, 0.39768358948198157)	(58, 0.40590751030148686)	(60, 0.41291864777099085)	(62, 0.4211255271382712)	(64, 0.4284093278433727)	(66, 0.43568176758032423)	(68, 0.4430280536102501)	(70, 0.4506285413025299)	(72, 0.45892062793093447)	(74, 0.46639188461050923)	(76, 0.4748245632197688)	(78, 0.4834844611920263)	(80, 0.49040045055327486)	(82, 0.4969244865133521)	(84, 0.5045931400145311)	(86, 0.5143124482667665)	(88, 0.5221614571373252)	(90, 0.5287991027789013)
DRR456170_2 - illumina_universal_adapter	(1, 8.520726112421268e-06)	(2, 1.420121018736878e-05)	(3, 1.9881694262316292e-05)	(4, 3.692314648715883e-05)	(5, 4.260363056210634e-05)	(6, 5.396459871200136e-05)	(7, 6.532556686189639e-05)	(8, 8.236701908673892e-05)	(9, 0.00010508895538652897)	(10, 0.00015763343307979345)	(12, 0.00020875778975432106)	(14, 0.00027266323559748057)	(16, 0.00033798880245937695)	(18, 0.0004104149744149577)	(20, 0.0004785807833143279)	(22, 0.0005865099807383306)	(24, 0.0007327824456682291)	(26, 0.0009813036239471828)	(28, 0.0013547954518749817)	(30, 0.0018319561141705726)	(32, 0.0023460399229533226)	(34, 0.0029282895406354424)	(36, 0.003756220094559042)	(38, 0.004751724928693593)	(40, 0.006207348972898893)	(42, 0.00828356590229221)	(44, 0.010430788882622367)	(46, 0.012836473888362638)	(48, 0.016258965543518515)	(50, 0.020972347204706213)	(52, 0.027084548069349734)	(54, 0.03385426496566843)	(56, 0.04137522588089894)	(58, 0.05032624866199748)	(60, 0.06258331317471547)	(62, 0.07802002864838534)	(64, 0.09558692565016051)	(66, 0.11621560356833241)	(68, 0.14040452488047764)	(70, 0.16980102996833102)	(72, 0.20607518114992707)	(74, 0.25033467281988064)	(76, 0.3026718128444095)	(78, 0.36491003661157195)	(80, 0.44118473652792967)	(82, 0.535919589566848)	(84, 0.6575060908280432)	(86, 0.7999115662239211)	(88, 0.9689286893899095)	(90, 1.1143661231607906)
DRR456170_2 - polya	(1, 0.025488332044289484)	(2, 0.03131650870518563)	(3, 0.04780979421679573)	(4, 0.07494262640078252)	(5, 0.09867284862387575)	(6, 0.11587619464485428)	(7, 0.13771197542895253)	(8, 0.16696362817289473)	(9, 0.19846759285255364)	(10, 0.24106838317262252)	(12, 0.30053169046917305)	(14, 0.36925986729196303)	(16, 0.449532207876065)	(18, 0.5420474117626977)	(20, 0.6559865613379948)	(22, 0.8033368981211146)	(24, 1.0321127137555506)	(26, 1.2212103481264784)	(28, 1.3878317271338574)	(30, 1.5375153227507619)	(32, 1.6768391355359809)	(34, 1.8101728778641675)	(36, 1.9338114539974376)	(38, 2.050660431540127)	(40, 2.163790112134744)	(42, 2.2716965876224466)	(44, 2.375941991123846)	(46, 2.472030219493621)	(48, 2.5664086221568363)	(50, 2.6636755509721626)	(52, 2.755277617043747)	(54, 2.841966064390502)	(56, 2.9252405408082143)	(58, 3.0066503983283246)	(60, 3.0836664014164628)	(62, 3.156927604531061)	(64, 3.231145969212288)	(66, 3.3051683571929287)	(68, 3.3772139367154876)	(70, 3.4436684997872797)	(72, 3.5078040052354753)	(74, 3.568176189984017)	(76, 3.624616059631677)	(78, 3.6784698889042167)	(80, 3.732468570520668)	(82, 3.7847673672776905)	(84, 3.8361061622260477)	(86, 3.8886634210084807)	(88, 3.9397650557467085)	(90, 3.9755918688074026)
DRR456170_2 - polyg	(1, 3.9655601339310453)	(2, 4.03431671317421)	(3, 4.0350977797345156)	(4, 4.0355721001547735)	(5, 4.036117426625968)	(6, 4.0373586123963445)	(7, 4.0390996807653154)	(8, 4.043300398738739)	(9, 4.047592004457362)	(10, 4.0564095358626995)	(12, 4.068656659528286)	(14, 4.073391343004755)	(16, 4.074716315915237)	(18, 4.075397974004231)	(20, 4.075886495634675)	(22, 4.076274188672791)	(24, 4.07656815372367)	(26, 4.0768933614369605)	(28, 4.077202947819045)	(30, 4.07757927988901)	(32, 4.078028038130931)	(34, 4.078508039035264)	(36, 4.079010761875897)	(38, 4.079497863385324)	(40, 4.079894077149551)	(42, 4.0803115927290605)	(44, 4.080719167461437)	(46, 4.081146623888078)	(48, 4.081636565639542)	(50, 4.082055501340069)	(52, 4.082497158976896)	(54, 4.083026864116885)	(56, 4.083552308893818)	(58, 4.084093375001956)	(60, 4.084716808129182)	(62, 4.085408407065307)	(64, 4.086051721886794)	(66, 4.086717758644582)	(68, 4.087507345931)	(70, 4.088313974669642)	(72, 4.089154686312734)	(74, 4.090093386306119)	(76, 4.09116131731221)	(78, 4.092118478878838)	(80, 4.093315640897634)	(82, 4.0947584838526705)	(84, 4.096252451164382)	(86, 4.097647010004781)	(88, 4.098969142673225)	(90, 4.1000370736793155)
