Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
DRR456169_1	(0.0, 8975.0)	(1.0, 6055.0)	(2.0, 3069.0)	(3.0, 2918.5)	(4.0, 2942.0)	(5.0, 2756.5)	(6.0, 2249.0)	(7.0, 1894.5)	(8.0, 1630.0)	(9.0, 1409.0)	(10.0, 1294.0)	(11.0, 1200.0)	(12.0, 1125.0)	(13.0, 1163.0)	(14.0, 1220.5)	(15.0, 1345.5)	(16.0, 1667.5)	(17.0, 2123.5)	(18.0, 2897.0)	(19.0, 4220.0)	(20.0, 6466.0)	(21.0, 9944.0)	(22.0, 15012.5)	(23.0, 22236.0)	(24.0, 34441.5)	(25.0, 48631.0)	(26.0, 65252.0)	(27.0, 86919.0)	(28.0, 113412.5)	(29.0, 143836.5)	(30.0, 177538.5)	(31.0, 213006.0)	(32.0, 245601.0)	(33.0, 277435.0)	(34.0, 313863.0)	(35.0, 351362.5)	(36.0, 387498.0)	(37.0, 426700.0)	(38.0, 462683.5)	(39.0, 491207.5)	(40.0, 521885.0)	(41.0, 593721.0)	(42.0, 615586.0)	(43.0, 595032.5)	(44.0, 604991.5)	(45.0, 635937.5)	(46.0, 680076.5)	(47.0, 698571.0)	(48.0, 653519.0)	(49.0, 678638.0)	(50.0, 708180.0)	(51.0, 702018.5)	(52.0, 709102.5)	(53.0, 667573.5)	(54.0, 621490.0)	(55.0, 601097.0)	(56.0, 571245.5)	(57.0, 541694.0)	(58.0, 547817.5)	(59.0, 538704.0)	(60.0, 549491.5)	(61.0, 584847.5)	(62.0, 570277.5)	(63.0, 541122.0)	(64.0, 481273.0)	(65.0, 360791.0)	(66.0, 285639.0)	(67.0, 249262.5)	(68.0, 230314.5)	(69.0, 181647.0)	(70.0, 126551.0)	(71.0, 96460.0)	(72.0, 81314.5)	(73.0, 63459.0)	(74.0, 43519.5)	(75.0, 43725.5)	(76.0, 38963.5)	(77.0, 28647.0)	(78.0, 27157.5)	(79.0, 24519.5)	(80.0, 23054.5)	(81.0, 25837.0)	(82.0, 40214.0)	(83.0, 38042.0)	(84.0, 22198.5)	(85.0, 13901.5)	(86.0, 5293.0)	(87.0, 2673.5)	(88.0, 977.0)	(89.0, 327.5)	(90.0, 165.5)	(91.0, 59.5)	(92.0, 42.5)	(93.0, 32.0)	(94.0, 24.0)	(95.0, 20.5)	(96.0, 23.0)	(97.0, 37.0)	(98.0, 85.5)	(99.0, 71.0)	(100.0, 12.5)
DRR456169_2	(0.0, 2721.0)	(1.0, 2455.0)	(2.0, 3206.5)	(3.0, 5477.0)	(4.0, 7868.0)	(5.0, 9692.0)	(6.0, 10959.5)	(7.0, 11923.5)	(8.0, 12913.5)	(9.0, 14068.0)	(10.0, 15248.0)	(11.0, 16498.0)	(12.0, 17922.0)	(13.0, 19409.0)	(14.0, 20874.0)	(15.0, 22635.5)	(16.0, 24647.5)	(17.0, 26764.5)	(18.0, 29337.0)	(19.0, 32623.0)	(20.0, 36380.0)	(21.0, 41403.5)	(22.0, 48657.0)	(23.0, 58324.0)	(24.0, 70582.0)	(25.0, 85276.0)	(26.0, 103061.5)	(27.0, 124073.5)	(28.0, 148322.5)	(29.0, 175850.5)	(30.0, 204188.0)	(31.0, 233026.5)	(32.0, 262295.5)	(33.0, 292181.0)	(34.0, 322640.5)	(35.0, 357105.0)	(36.0, 391803.5)	(37.0, 424162.0)	(38.0, 454477.5)	(39.0, 480733.0)	(40.0, 506212.0)	(41.0, 566056.0)	(42.0, 580862.0)	(43.0, 557900.5)	(44.0, 572277.0)	(45.0, 601930.5)	(46.0, 636111.0)	(47.0, 652086.5)	(48.0, 617262.5)	(49.0, 636950.5)	(50.0, 645305.5)	(51.0, 613109.0)	(52.0, 607810.5)	(53.0, 602671.0)	(54.0, 588232.5)	(55.0, 566382.0)	(56.0, 536588.5)	(57.0, 488483.5)	(58.0, 478061.5)	(59.0, 486674.0)	(60.0, 501304.0)	(61.0, 530638.0)	(62.0, 539338.0)	(63.0, 519919.5)	(64.0, 521045.5)	(65.0, 451421.0)	(66.0, 335586.0)	(67.0, 259809.0)	(68.0, 213968.5)	(69.0, 173692.5)	(70.0, 133153.0)	(71.0, 106628.0)	(72.0, 89502.0)	(73.0, 75715.0)	(74.0, 61059.5)	(75.0, 48697.5)	(76.0, 39824.5)	(77.0, 35547.0)	(78.0, 34613.5)	(79.0, 31705.0)	(80.0, 31377.0)	(81.0, 32784.5)	(82.0, 44513.5)	(83.0, 41619.5)	(84.0, 20737.5)	(85.0, 12753.5)	(86.0, 8908.5)	(87.0, 5551.0)	(88.0, 3735.0)	(89.0, 3393.5)	(90.0, 3294.0)	(91.0, 3203.0)	(92.0, 3192.5)	(93.0, 3309.5)	(94.0, 3430.0)	(95.0, 3655.0)	(96.0, 4079.0)	(97.0, 4752.5)	(98.0, 6035.5)	(99.0, 9221.0)	(100.0, 50670.5)
DRR456170_1	(0.0, 15591.0)	(1.0, 10352.5)	(2.0, 4864.0)	(3.0, 4569.5)	(4.0, 4572.0)	(5.0, 4230.0)	(6.0, 3382.0)	(7.0, 2762.0)	(8.0, 2414.0)	(9.0, 2091.0)	(10.0, 1878.0)	(11.0, 1746.0)	(12.0, 1665.5)	(13.0, 1631.5)	(14.0, 1702.5)	(15.0, 1881.0)	(16.0, 2193.5)	(17.0, 2746.5)	(18.0, 3723.5)	(19.0, 5385.5)	(20.0, 8239.5)	(21.0, 12777.5)	(22.0, 20054.0)	(23.0, 30527.5)	(24.0, 48837.5)	(25.0, 69911.0)	(26.0, 94628.5)	(27.0, 128959.5)	(28.0, 171269.5)	(29.0, 220152.5)	(30.0, 275297.5)	(31.0, 333308.0)	(32.0, 388118.5)	(33.0, 439529.0)	(34.0, 498553.0)	(35.0, 561521.5)	(36.0, 619954.0)	(37.0, 683837.5)	(38.0, 745689.0)	(39.0, 796220.5)	(40.0, 851176.5)	(41.0, 965157.0)	(42.0, 1004885.0)	(43.0, 987575.0)	(44.0, 1012047.0)	(45.0, 1062284.0)	(46.0, 1140545.5)	(47.0, 1171850.0)	(48.0, 1094974.5)	(49.0, 1110777.0)	(50.0, 1148397.5)	(51.0, 1148068.5)	(52.0, 1165039.5)	(53.0, 1120637.5)	(54.0, 1059779.0)	(55.0, 1024962.5)	(56.0, 972424.5)	(57.0, 929670.5)	(58.0, 940918.5)	(59.0, 927413.5)	(60.0, 946993.5)	(61.0, 1007182.0)	(62.0, 984445.5)	(63.0, 941938.0)	(64.0, 840163.5)	(65.0, 623739.0)	(66.0, 492535.5)	(67.0, 422745.5)	(68.0, 381549.0)	(69.0, 304491.0)	(70.0, 215728.0)	(71.0, 164597.5)	(72.0, 139896.0)	(73.0, 109335.0)	(74.0, 73184.5)	(75.0, 71934.5)	(76.0, 64209.5)	(77.0, 47678.5)	(78.0, 43134.5)	(79.0, 37597.5)	(80.0, 34648.5)	(81.0, 37676.5)	(82.0, 56204.0)	(83.0, 51867.0)	(84.0, 28712.5)	(85.0, 17064.5)	(86.0, 6409.0)	(87.0, 3224.5)	(88.0, 963.0)	(89.0, 310.0)	(90.0, 180.0)	(91.0, 89.5)	(92.0, 50.0)	(93.0, 33.5)	(94.0, 26.5)	(95.0, 24.0)	(96.0, 21.5)	(97.0, 22.5)	(98.0, 38.5)	(99.0, 41.0)	(100.0, 21.5)
DRR456170_2	(0.0, 4487.0)	(1.0, 3975.0)	(2.0, 4962.5)	(3.0, 8248.5)	(4.0, 11408.0)	(5.0, 13711.0)	(6.0, 15213.5)	(7.0, 16297.0)	(8.0, 17500.0)	(9.0, 18862.0)	(10.0, 20075.0)	(11.0, 21367.5)	(12.0, 22815.5)	(13.0, 24196.5)	(14.0, 25961.5)	(15.0, 28206.5)	(16.0, 30302.0)	(17.0, 32660.5)	(18.0, 35813.0)	(19.0, 39567.5)	(20.0, 44320.0)	(21.0, 51051.5)	(22.0, 60732.5)	(23.0, 74589.5)	(24.0, 92951.0)	(25.0, 115850.0)	(26.0, 145207.5)	(27.0, 180878.5)	(28.0, 221572.5)	(29.0, 267200.0)	(30.0, 315741.0)	(31.0, 364019.0)	(32.0, 412757.5)	(33.0, 462468.0)	(34.0, 512374.0)	(35.0, 569923.0)	(36.0, 629207.0)	(37.0, 683552.5)	(38.0, 733956.0)	(39.0, 781191.0)	(40.0, 827796.0)	(41.0, 927703.5)	(42.0, 956772.0)	(43.0, 924915.5)	(44.0, 953689.0)	(45.0, 1002988.0)	(46.0, 1057936.0)	(47.0, 1085996.5)	(48.0, 1031739.0)	(49.0, 1041056.5)	(50.0, 1050586.5)	(51.0, 1014419.5)	(52.0, 1014658.0)	(53.0, 1021728.5)	(54.0, 1005849.5)	(55.0, 971469.5)	(56.0, 921914.0)	(57.0, 848367.0)	(58.0, 833260.5)	(59.0, 852212.0)	(60.0, 881731.5)	(61.0, 935891.0)	(62.0, 953199.5)	(63.0, 915121.0)	(64.0, 908171.0)	(65.0, 780495.5)	(66.0, 580889.5)	(67.0, 454550.5)	(68.0, 372344.0)	(69.0, 302347.0)	(70.0, 234359.0)	(71.0, 186636.5)	(72.0, 155763.0)	(73.0, 131990.5)	(74.0, 106145.5)	(75.0, 84910.5)	(76.0, 70246.5)	(77.0, 62969.0)	(78.0, 60246.0)	(79.0, 52532.0)	(80.0, 49863.0)	(81.0, 51168.0)	(82.0, 64993.5)	(83.0, 58562.0)	(84.0, 28849.0)	(85.0, 17580.5)	(86.0, 12918.0)	(87.0, 8970.0)	(88.0, 6296.5)	(89.0, 5758.5)	(90.0, 5588.0)	(91.0, 5368.0)	(92.0, 5184.0)	(93.0, 5293.5)	(94.0, 5482.5)	(95.0, 5709.0)	(96.0, 6260.5)	(97.0, 7290.0)	(98.0, 8952.0)	(99.0, 13296.5)	(100.0, 77337.0)
DRR456171_1	(0.0, 18275.0)	(1.0, 11834.0)	(2.0, 5208.5)	(3.0, 4944.0)	(4.0, 5023.0)	(5.0, 4730.0)	(6.0, 3811.0)	(7.0, 3193.0)	(8.0, 2872.5)	(9.0, 2528.0)	(10.0, 2277.5)	(11.0, 2065.5)	(12.0, 1906.5)	(13.0, 1888.5)	(14.0, 1914.0)	(15.0, 2037.0)	(16.0, 2398.5)	(17.0, 2921.0)	(18.0, 3845.5)	(19.0, 5439.5)	(20.0, 8164.0)	(21.0, 12600.5)	(22.0, 19815.0)	(23.0, 29901.5)	(24.0, 47219.0)	(25.0, 67164.0)	(26.0, 90929.5)	(27.0, 123950.0)	(28.0, 165198.5)	(29.0, 213562.0)	(30.0, 267861.0)	(31.0, 325575.5)	(32.0, 380838.5)	(33.0, 431470.5)	(34.0, 489400.5)	(35.0, 551021.0)	(36.0, 609049.0)	(37.0, 674255.5)	(38.0, 736851.5)	(39.0, 785417.0)	(40.0, 840267.5)	(41.0, 972171.0)	(42.0, 1012435.5)	(43.0, 982191.0)	(44.0, 1008096.0)	(45.0, 1069825.5)	(46.0, 1159564.0)	(47.0, 1204604.0)	(48.0, 1122685.0)	(49.0, 1150562.0)	(50.0, 1192301.5)	(51.0, 1170957.0)	(52.0, 1187834.0)	(53.0, 1142559.0)	(54.0, 1077937.5)	(55.0, 1036964.0)	(56.0, 979307.5)	(57.0, 929066.5)	(58.0, 941936.0)	(59.0, 927871.0)	(60.0, 948172.5)	(61.0, 1005298.5)	(62.0, 976199.5)	(63.0, 926829.0)	(64.0, 830144.5)	(65.0, 629231.0)	(66.0, 507869.5)	(67.0, 439832.5)	(68.0, 393011.5)	(69.0, 316317.5)	(70.0, 231008.0)	(71.0, 180277.5)	(72.0, 157892.5)	(73.0, 124590.5)	(74.0, 83105.0)	(75.0, 83591.0)	(76.0, 75816.5)	(77.0, 57535.0)	(78.0, 54038.5)	(79.0, 47622.5)	(80.0, 42409.5)	(81.0, 45603.5)	(82.0, 68205.0)	(83.0, 63612.5)	(84.0, 37946.0)	(85.0, 25036.0)	(86.0, 12040.5)	(87.0, 6940.5)	(88.0, 2018.5)	(89.0, 580.0)	(90.0, 283.5)	(91.0, 128.0)	(92.0, 81.0)	(93.0, 64.0)	(94.0, 51.0)	(95.0, 35.0)	(96.0, 26.0)	(97.0, 25.5)	(98.0, 39.0)	(99.0, 36.5)	(100.0, 17.5)
DRR456171_2	(0.0, 5059.0)	(1.0, 4400.5)	(2.0, 5150.0)	(3.0, 8405.0)	(4.0, 11982.0)	(5.0, 14997.0)	(6.0, 16937.5)	(7.0, 18433.0)	(8.0, 20047.5)	(9.0, 21754.0)	(10.0, 23475.5)	(11.0, 25253.0)	(12.0, 27138.0)	(13.0, 29068.0)	(14.0, 31309.0)	(15.0, 33652.0)	(16.0, 36050.5)	(17.0, 38832.5)	(18.0, 42275.0)	(19.0, 46717.5)	(20.0, 52093.0)	(21.0, 59088.0)	(22.0, 68873.5)	(23.0, 82351.0)	(24.0, 99941.0)	(25.0, 122159.0)	(26.0, 149781.0)	(27.0, 182896.5)	(28.0, 221447.0)	(29.0, 265313.5)	(30.0, 311959.0)	(31.0, 359198.5)	(32.0, 406045.5)	(33.0, 453588.0)	(34.0, 502675.0)	(35.0, 558243.5)	(36.0, 614521.0)	(37.0, 667601.0)	(38.0, 717319.5)	(39.0, 762560.5)	(40.0, 808883.0)	(41.0, 926057.5)	(42.0, 956380.5)	(43.0, 909634.5)	(44.0, 942115.0)	(45.0, 1004732.5)	(46.0, 1067316.0)	(47.0, 1110290.0)	(48.0, 1053507.5)	(49.0, 1070915.5)	(50.0, 1086070.0)	(51.0, 1034508.0)	(52.0, 1036502.5)	(53.0, 1039626.5)	(54.0, 1011797.5)	(55.0, 971740.5)	(56.0, 919219.0)	(57.0, 833934.5)	(58.0, 818724.5)	(59.0, 838730.0)	(60.0, 865815.5)	(61.0, 915914.5)	(62.0, 937652.0)	(63.0, 904044.5)	(64.0, 894560.5)	(65.0, 773213.0)	(66.0, 580734.5)	(67.0, 458450.0)	(68.0, 380387.5)	(69.0, 312064.0)	(70.0, 246414.0)	(71.0, 199396.5)	(72.0, 169652.0)	(73.0, 146335.0)	(74.0, 119391.5)	(75.0, 97725.0)	(76.0, 83335.5)	(77.0, 76656.5)	(78.0, 74310.0)	(79.0, 66046.5)	(80.0, 62387.0)	(81.0, 63125.5)	(82.0, 80374.5)	(83.0, 74258.5)	(84.0, 40147.5)	(85.0, 27713.0)	(86.0, 21191.0)	(87.0, 14422.5)	(88.0, 10457.0)	(89.0, 9371.0)	(90.0, 8878.5)	(91.0, 8627.0)	(92.0, 8512.5)	(93.0, 8414.0)	(94.0, 8464.5)	(95.0, 8770.0)	(96.0, 9399.5)	(97.0, 10591.5)	(98.0, 13143.5)	(99.0, 19596.0)	(100.0, 119187.0)
DRR456172_1	(0.0, 15300.0)	(1.0, 10309.5)	(2.0, 5192.0)	(3.0, 5169.5)	(4.0, 5228.0)	(5.0, 4763.0)	(6.0, 3892.0)	(7.0, 3302.5)	(8.0, 2969.5)	(9.0, 2634.5)	(10.0, 2340.5)	(11.0, 2143.0)	(12.0, 2080.5)	(13.0, 2122.0)	(14.0, 2270.5)	(15.0, 2530.0)	(16.0, 3064.5)	(17.0, 4052.5)	(18.0, 5621.0)	(19.0, 8284.5)	(20.0, 12819.5)	(21.0, 19822.0)	(22.0, 31022.5)	(23.0, 46866.5)	(24.0, 71271.5)	(25.0, 102002.5)	(26.0, 140556.5)	(27.0, 191041.0)	(28.0, 251368.5)	(29.0, 320116.5)	(30.0, 395997.5)	(31.0, 474465.0)	(32.0, 548700.5)	(33.0, 618017.0)	(34.0, 691250.5)	(35.0, 760421.5)	(36.0, 823853.5)	(37.0, 889440.0)	(38.0, 946877.0)	(39.0, 991144.5)	(40.0, 1034979.5)	(41.0, 1135246.5)	(42.0, 1161496.5)	(43.0, 1123404.0)	(44.0, 1127725.5)	(45.0, 1162288.0)	(46.0, 1216286.0)	(47.0, 1231359.0)	(48.0, 1153709.0)	(49.0, 1175911.5)	(50.0, 1214915.0)	(51.0, 1219054.5)	(52.0, 1229191.5)	(53.0, 1135772.5)	(54.0, 1029494.5)	(55.0, 979590.0)	(56.0, 924405.5)	(57.0, 874771.0)	(58.0, 867917.0)	(59.0, 830984.0)	(60.0, 820174.5)	(61.0, 837740.5)	(62.0, 810284.5)	(63.0, 772276.5)	(64.0, 690439.0)	(65.0, 540427.5)	(66.0, 438072.5)	(67.0, 377788.5)	(68.0, 353954.0)	(69.0, 280360.5)	(70.0, 192872.5)	(71.0, 149778.5)	(72.0, 124264.5)	(73.0, 97953.5)	(74.0, 71953.5)	(75.0, 72265.0)	(76.0, 65192.5)	(77.0, 49369.0)	(78.0, 45483.5)	(79.0, 39884.5)	(80.0, 36913.5)	(81.0, 40212.0)	(82.0, 61364.0)	(83.0, 57972.5)	(84.0, 34785.5)	(85.0, 22398.5)	(86.0, 9312.5)	(87.0, 4941.5)	(88.0, 1476.0)	(89.0, 443.0)	(90.0, 216.5)	(91.0, 94.0)	(92.0, 56.5)	(93.0, 44.0)	(94.0, 30.5)	(95.0, 27.0)	(96.0, 24.5)	(97.0, 28.5)	(98.0, 48.5)	(99.0, 47.0)	(100.0, 20.5)
DRR456172_2	(0.0, 5008.0)	(1.0, 4632.0)	(2.0, 6349.0)	(3.0, 11015.0)	(4.0, 15561.5)	(5.0, 18696.0)	(6.0, 20519.0)	(7.0, 21911.0)	(8.0, 23260.0)	(9.0, 24711.0)	(10.0, 26400.5)	(11.0, 28011.0)	(12.0, 29706.0)	(13.0, 31704.5)	(14.0, 34006.5)	(15.0, 36621.5)	(16.0, 39540.5)	(17.0, 42978.5)	(18.0, 47304.5)	(19.0, 52860.0)	(20.0, 60348.0)	(21.0, 70983.0)	(22.0, 85820.0)	(23.0, 106612.0)	(24.0, 133862.0)	(25.0, 168152.0)	(26.0, 211432.5)	(27.0, 262395.0)	(28.0, 319923.0)	(29.0, 383822.5)	(30.0, 450975.0)	(31.0, 515577.5)	(32.0, 577969.5)	(33.0, 641976.5)	(34.0, 701491.5)	(35.0, 761013.0)	(36.0, 819790.5)	(37.0, 872245.0)	(38.0, 918221.0)	(39.0, 955723.5)	(40.0, 988527.0)	(41.0, 1070637.5)	(42.0, 1085571.0)	(43.0, 1042200.0)	(44.0, 1053608.0)	(45.0, 1085213.5)	(46.0, 1123078.0)	(47.0, 1137628.5)	(48.0, 1076500.5)	(49.0, 1086128.0)	(50.0, 1086437.0)	(51.0, 1033410.0)	(52.0, 1014976.0)	(53.0, 1003029.5)	(54.0, 979383.5)	(55.0, 935285.5)	(56.0, 879259.5)	(57.0, 807201.5)	(58.0, 779059.5)	(59.0, 764367.0)	(60.0, 763054.0)	(61.0, 785937.0)	(62.0, 798071.0)	(63.0, 790319.0)	(64.0, 778262.0)	(65.0, 659025.5)	(66.0, 512481.0)	(67.0, 414369.0)	(68.0, 344406.0)	(69.0, 277448.5)	(70.0, 209269.0)	(71.0, 169634.0)	(72.0, 142317.5)	(73.0, 122104.0)	(74.0, 100956.5)	(75.0, 82455.5)	(76.0, 69565.5)	(77.0, 63360.0)	(78.0, 61026.5)	(79.0, 53670.5)	(80.0, 50785.0)	(81.0, 52779.0)	(82.0, 69619.5)	(83.0, 64186.0)	(84.0, 32939.5)	(85.0, 21267.5)	(86.0, 15598.5)	(87.0, 10045.5)	(88.0, 6577.0)	(89.0, 5803.0)	(90.0, 5563.5)	(91.0, 5478.5)	(92.0, 5562.5)	(93.0, 5669.0)	(94.0, 5888.0)	(95.0, 6271.5)	(96.0, 7023.0)	(97.0, 8140.0)	(98.0, 10160.5)	(99.0, 15511.0)	(100.0, 90575.0)
DRR456173_1	(0.0, 11336.0)	(1.0, 7990.0)	(2.0, 4463.5)	(3.0, 4284.0)	(4.0, 4466.0)	(5.0, 4257.0)	(6.0, 3556.5)	(7.0, 3064.5)	(8.0, 2696.5)	(9.0, 2389.0)	(10.0, 2202.0)	(11.0, 2052.5)	(12.0, 1944.0)	(13.0, 1965.5)	(14.0, 2115.0)	(15.0, 2347.5)	(16.0, 2781.0)	(17.0, 3579.0)	(18.0, 4901.5)	(19.0, 7295.0)	(20.0, 11211.0)	(21.0, 17365.5)	(22.0, 27235.5)	(23.0, 41200.0)	(24.0, 63671.0)	(25.0, 90994.5)	(26.0, 124590.0)	(27.0, 169192.0)	(28.0, 222671.0)	(29.0, 283036.0)	(30.0, 349193.5)	(31.0, 418703.0)	(32.0, 484509.0)	(33.0, 544990.0)	(34.0, 609501.5)	(35.0, 673068.5)	(36.0, 732896.5)	(37.0, 796613.0)	(38.0, 851811.5)	(39.0, 895428.5)	(40.0, 942178.0)	(41.0, 1037508.0)	(42.0, 1067051.0)	(43.0, 1045103.5)	(44.0, 1056044.5)	(45.0, 1096776.5)	(46.0, 1154115.0)	(47.0, 1174669.0)	(48.0, 1110744.5)	(49.0, 1142456.5)	(50.0, 1190724.0)	(51.0, 1206205.5)	(52.0, 1225929.5)	(53.0, 1137388.5)	(54.0, 1041883.5)	(55.0, 1004293.5)	(56.0, 954480.0)	(57.0, 913839.0)	(58.0, 918585.5)	(59.0, 889439.0)	(60.0, 887453.0)	(61.0, 920730.0)	(62.0, 895811.5)	(63.0, 854599.0)	(64.0, 769856.5)	(65.0, 606617.5)	(66.0, 492251.5)	(67.0, 423218.0)	(68.0, 396452.0)	(69.0, 317576.0)	(70.0, 220188.5)	(71.0, 169415.5)	(72.0, 140486.0)	(73.0, 109718.5)	(74.0, 77982.0)	(75.0, 74224.0)	(76.0, 65373.0)	(77.0, 48598.5)	(78.0, 42990.0)	(79.0, 36775.5)	(80.0, 32478.5)	(81.0, 33847.5)	(82.0, 50058.5)	(83.0, 46891.0)	(84.0, 27807.5)	(85.0, 17691.5)	(86.0, 7120.0)	(87.0, 3675.0)	(88.0, 1187.5)	(89.0, 391.5)	(90.0, 210.0)	(91.0, 97.5)	(92.0, 55.5)	(93.0, 38.0)	(94.0, 30.5)	(95.0, 22.5)	(96.0, 17.5)	(97.0, 18.0)	(98.0, 36.0)	(99.0, 37.5)	(100.0, 16.5)
DRR456173_2	(0.0, 3493.0)	(1.0, 3235.5)	(2.0, 4583.5)	(3.0, 8262.5)	(4.0, 12094.0)	(5.0, 15197.0)	(6.0, 17168.5)	(7.0, 18656.5)	(8.0, 20139.5)	(9.0, 21327.5)	(10.0, 22733.0)	(11.0, 24276.0)	(12.0, 25861.5)	(13.0, 27549.0)	(14.0, 29446.5)	(15.0, 31529.5)	(16.0, 33723.5)	(17.0, 36567.0)	(18.0, 40095.5)	(19.0, 44790.0)	(20.0, 51193.0)	(21.0, 59942.0)	(22.0, 72651.0)	(23.0, 91110.5)	(24.0, 114518.0)	(25.0, 144598.5)	(26.0, 182848.5)	(27.0, 227707.5)	(28.0, 279302.0)	(29.0, 335509.5)	(30.0, 393988.0)	(31.0, 452635.0)	(32.0, 509340.5)	(33.0, 565466.5)	(34.0, 618975.0)	(35.0, 675674.5)	(36.0, 731740.5)	(37.0, 781287.5)	(38.0, 828577.5)	(39.0, 870738.0)	(40.0, 906202.5)	(41.0, 982582.5)	(42.0, 1003296.5)	(43.0, 974932.0)	(44.0, 992175.0)	(45.0, 1032710.5)	(46.0, 1075804.5)	(47.0, 1092804.5)	(48.0, 1044496.5)	(49.0, 1065950.0)	(50.0, 1077169.5)	(51.0, 1033524.0)	(52.0, 1021349.0)	(53.0, 1012810.5)	(54.0, 993668.5)	(55.0, 956937.5)	(56.0, 906014.5)	(57.0, 838217.5)	(58.0, 816355.5)	(59.0, 814657.5)	(60.0, 823694.0)	(61.0, 858422.0)	(62.0, 875928.0)	(63.0, 866349.0)	(64.0, 861615.0)	(65.0, 737415.5)	(66.0, 568081.5)	(67.0, 456543.5)	(68.0, 381947.5)	(69.0, 309198.5)	(70.0, 234864.5)	(71.0, 190434.0)	(72.0, 159702.0)	(73.0, 135375.0)	(74.0, 110702.5)	(75.0, 89981.5)	(76.0, 75243.0)	(77.0, 67076.5)	(78.0, 62428.0)	(79.0, 53773.5)	(80.0, 49256.0)	(81.0, 48825.5)	(82.0, 61065.0)	(83.0, 56180.5)	(84.0, 30904.5)	(85.0, 21156.5)	(86.0, 16098.5)	(87.0, 11295.0)	(88.0, 8356.0)	(89.0, 7720.0)	(90.0, 7368.0)	(91.0, 7081.5)	(92.0, 7012.0)	(93.0, 6969.0)	(94.0, 7029.5)	(95.0, 7286.0)	(96.0, 7831.5)	(97.0, 8910.5)	(98.0, 10956.0)	(99.0, 16335.0)	(100.0, 94341.0)
