Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
DRR456169_1	(14.0, 2.0)	(15.0, 7.0)	(16.0, 22.0)	(17.0, 89.0)	(18.0, 167.0)	(19.0, 412.0)	(20.0, 844.0)	(21.0, 1798.0)	(22.0, 3354.0)	(23.0, 6036.0)	(24.0, 9536.0)	(25.0, 14650.0)	(26.0, 21945.0)	(27.0, 34128.0)	(28.0, 50184.0)	(29.0, 71210.0)	(30.0, 93780.0)	(31.0, 123999.0)	(32.0, 159767.0)	(33.0, 229972.0)	(34.0, 376575.0)	(35.0, 993199.0)	(36.0, 12458415.0)	(37.0, 6559579.0)				
DRR456169_2	(11.0, 1.0)	(12.0, 169.0)	(13.0, 3157.0)	(14.0, 20424.0)	(15.0, 60665.0)	(16.0, 107520.0)	(17.0, 137754.0)	(18.0, 137563.0)	(19.0, 138298.0)	(20.0, 137429.0)	(21.0, 155071.0)	(22.0, 180358.0)	(23.0, 209601.0)	(24.0, 197528.0)	(25.0, 161343.0)	(26.0, 120476.0)	(27.0, 103581.0)	(28.0, 97626.0)	(29.0, 107363.0)	(30.0, 122090.0)	(31.0, 155382.0)	(32.0, 203199.0)	(33.0, 314473.0)	(34.0, 587691.0)	(35.0, 2033299.0)	(36.0, 13228226.0)	(37.0, 2489383.0)	
DRR456170_1	(14.0, 1.0)	(15.0, 12.0)	(16.0, 27.0)	(17.0, 90.0)	(18.0, 207.0)	(19.0, 563.0)	(20.0, 1193.0)	(21.0, 2589.0)	(22.0, 5021.0)	(23.0, 9788.0)	(24.0, 15661.0)	(25.0, 25400.0)	(26.0, 38859.0)	(27.0, 60620.0)	(28.0, 87379.0)	(29.0, 123786.0)	(30.0, 160939.0)	(31.0, 212314.0)	(32.0, 271838.0)	(33.0, 392883.0)	(34.0, 609490.0)	(35.0, 1577372.0)	(36.0, 20642506.0)	(37.0, 10969729.0)				
DRR456170_2	(11.0, 13.0)	(12.0, 542.0)	(13.0, 9979.0)	(14.0, 54570.0)	(15.0, 142067.0)	(16.0, 220461.0)	(17.0, 245834.0)	(18.0, 216639.0)	(19.0, 196767.0)	(20.0, 191746.0)	(21.0, 216838.0)	(22.0, 250960.0)	(23.0, 291236.0)	(24.0, 271820.0)	(25.0, 221145.0)	(26.0, 168360.0)	(27.0, 149817.0)	(28.0, 146456.0)	(29.0, 165915.0)	(30.0, 193353.0)	(31.0, 248206.0)	(32.0, 326304.0)	(33.0, 505633.0)	(34.0, 959675.0)	(35.0, 3449804.0)	(36.0, 22312305.0)	(37.0, 4051822.0)	
DRR456171_1	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 9.0)	(16.0, 29.0)	(17.0, 96.0)	(18.0, 261.0)	(19.0, 628.0)	(20.0, 1313.0)	(21.0, 2849.0)	(22.0, 5820.0)	(23.0, 10563.0)	(24.0, 16978.0)	(25.0, 27141.0)	(26.0, 40637.0)	(27.0, 64371.0)	(28.0, 92962.0)	(29.0, 134199.0)	(30.0, 175337.0)	(31.0, 232825.0)	(32.0, 302878.0)	(33.0, 424171.0)	(34.0, 671188.0)	(35.0, 1795563.0)	(36.0, 21226044.0)	(37.0, 10367058.0)		
DRR456171_2	(10.0, 1.0)	(11.0, 16.0)	(12.0, 552.0)	(13.0, 10562.0)	(14.0, 63544.0)	(15.0, 173127.0)	(16.0, 277904.0)	(17.0, 316834.0)	(18.0, 283743.0)	(19.0, 257715.0)	(20.0, 245993.0)	(21.0, 273903.0)	(22.0, 310928.0)	(23.0, 349855.0)	(24.0, 326300.0)	(25.0, 260581.0)	(26.0, 189946.0)	(27.0, 160962.0)	(28.0, 152723.0)	(29.0, 168540.0)	(30.0, 190986.0)	(31.0, 243083.0)	(32.0, 316691.0)	(33.0, 489182.0)	(34.0, 905050.0)	(35.0, 3164188.0)	(36.0, 22088882.0)	(37.0, 4371131.0)
DRR456172_1	(14.0, 1.0)	(15.0, 10.0)	(16.0, 35.0)	(17.0, 115.0)	(18.0, 271.0)	(19.0, 644.0)	(20.0, 1406.0)	(21.0, 3064.0)	(22.0, 5978.0)	(23.0, 11632.0)	(24.0, 18996.0)	(25.0, 29729.0)	(26.0, 44921.0)	(27.0, 68171.0)	(28.0, 96786.0)	(29.0, 137185.0)	(30.0, 179637.0)	(31.0, 243628.0)	(32.0, 300699.0)	(33.0, 424774.0)	(34.0, 678077.0)	(35.0, 1774275.0)	(36.0, 22145907.0)	(37.0, 11176230.0)				
DRR456172_2	(10.0, 1.0)	(11.0, 13.0)	(12.0, 477.0)	(13.0, 8370.0)	(14.0, 47595.0)	(15.0, 131573.0)	(16.0, 217365.0)	(17.0, 254997.0)	(18.0, 236534.0)	(19.0, 221251.0)	(20.0, 213639.0)	(21.0, 239145.0)	(22.0, 276329.0)	(23.0, 324004.0)	(24.0, 309155.0)	(25.0, 257598.0)	(26.0, 199650.0)	(27.0, 175269.0)	(28.0, 169849.0)	(29.0, 188778.0)	(30.0, 218063.0)	(31.0, 277436.0)	(32.0, 359622.0)	(33.0, 550766.0)	(34.0, 1025090.0)	(35.0, 3584250.0)	(36.0, 23500912.0)	(37.0, 4354440.0)
DRR456173_1	(14.0, 3.0)	(15.0, 9.0)	(16.0, 26.0)	(17.0, 98.0)	(18.0, 277.0)	(19.0, 606.0)	(20.0, 1289.0)	(21.0, 2879.0)	(22.0, 5834.0)	(23.0, 11058.0)	(24.0, 17939.0)	(25.0, 28910.0)	(26.0, 43323.0)	(27.0, 67098.0)	(28.0, 96359.0)	(29.0, 136925.0)	(30.0, 177574.0)	(31.0, 233103.0)	(32.0, 301344.0)	(33.0, 424682.0)	(34.0, 670323.0)	(35.0, 1777269.0)	(36.0, 21844410.0)	(37.0, 10722026.0)				
DRR456173_2	(11.0, 24.0)	(12.0, 624.0)	(13.0, 11896.0)	(14.0, 67105.0)	(15.0, 179156.0)	(16.0, 273151.0)	(17.0, 294181.0)	(18.0, 252422.0)	(19.0, 220278.0)	(20.0, 209298.0)	(21.0, 235234.0)	(22.0, 271289.0)	(23.0, 314451.0)	(24.0, 295615.0)	(25.0, 245408.0)	(26.0, 192674.0)	(27.0, 176456.0)	(28.0, 176753.0)	(29.0, 201716.0)	(30.0, 235196.0)	(31.0, 302114.0)	(32.0, 399539.0)	(33.0, 627098.0)	(34.0, 1210864.0)	(35.0, 4250738.0)	(36.0, 22474880.0)	(37.0, 3445204.0)	
DRR456174_1	(13.0, 1.0)	(14.0, 5.0)	(15.0, 15.0)	(16.0, 66.0)	(17.0, 176.0)	(18.0, 436.0)	(19.0, 890.0)	(20.0, 1694.0)	(21.0, 3581.0)	(22.0, 6705.0)	(23.0, 12210.0)	(24.0, 19568.0)	(25.0, 31282.0)	(26.0, 47375.0)	(27.0, 73183.0)	(28.0, 106302.0)	(29.0, 151241.0)	(30.0, 197967.0)	(31.0, 262561.0)	(32.0, 337973.0)	(33.0, 478938.0)	(34.0, 749413.0)	(35.0, 1939247.0)	(36.0, 24411796.0)	(37.0, 12874584.0)			
DRR456174_2	(11.0, 20.0)	(12.0, 413.0)	(13.0, 7214.0)	(14.0, 41304.0)	(15.0, 115758.0)	(16.0, 197027.0)	(17.0, 241504.0)	(18.0, 232618.0)	(19.0, 224784.0)	(20.0, 223716.0)	(21.0, 259574.0)	(22.0, 309126.0)	(23.0, 364465.0)	(24.0, 349201.0)	(25.0, 288654.0)	(26.0, 222411.0)	(27.0, 197111.0)	(28.0, 191512.0)	(29.0, 214716.0)	(30.0, 246862.0)	(31.0, 315527.0)	(32.0, 412435.0)	(33.0, 637234.0)	(34.0, 1188781.0)	(35.0, 4136060.0)	(36.0, 26330155.0)	(37.0, 4759027.0)	
DRR456175_1	(13.0, 1.0)	(14.0, 5.0)	(15.0, 13.0)	(16.0, 53.0)	(17.0, 135.0)	(18.0, 332.0)	(19.0, 802.0)	(20.0, 1854.0)	(21.0, 4105.0)	(22.0, 8444.0)	(23.0, 15546.0)	(24.0, 23984.0)	(25.0, 37358.0)	(26.0, 55290.0)	(27.0, 84366.0)	(28.0, 121363.0)	(29.0, 172605.0)	(30.0, 223533.0)	(31.0, 291427.0)	(32.0, 367965.0)	(33.0, 532214.0)	(34.0, 814787.0)	(35.0, 2036116.0)	(36.0, 26358552.0)	(37.0, 14033868.0)			
DRR456175_2	(11.0, 10.0)	(12.0, 469.0)	(13.0, 8945.0)	(14.0, 55860.0)	(15.0, 165339.0)	(16.0, 301541.0)	(17.0, 395190.0)	(18.0, 408000.0)	(19.0, 415885.0)	(20.0, 413929.0)	(21.0, 456951.0)	(22.0, 523290.0)	(23.0, 593666.0)	(24.0, 554032.0)	(25.0, 444792.0)	(26.0, 328424.0)	(27.0, 274042.0)	(28.0, 249288.0)	(29.0, 261301.0)	(30.0, 284475.0)	(31.0, 350062.0)	(32.0, 444896.0)	(33.0, 667444.0)	(34.0, 1214673.0)	(35.0, 4157045.0)	(36.0, 27164858.0)	(37.0, 5050311.0)	
DRR456176_1	(13.0, 2.0)	(14.0, 5.0)	(15.0, 10.0)	(16.0, 67.0)	(17.0, 203.0)	(18.0, 468.0)	(19.0, 999.0)	(20.0, 2014.0)	(21.0, 4199.0)	(22.0, 7710.0)	(23.0, 13841.0)	(24.0, 21794.0)	(25.0, 33603.0)	(26.0, 49934.0)	(27.0, 76688.0)	(28.0, 110525.0)	(29.0, 163273.0)	(30.0, 218806.0)	(31.0, 265366.0)	(32.0, 330201.0)	(33.0, 465558.0)	(34.0, 740551.0)	(35.0, 1949552.0)	(36.0, 23382157.0)	(37.0, 11679714.0)			
DRR456176_2	(10.0, 1.0)	(11.0, 21.0)	(12.0, 663.0)	(13.0, 12988.0)	(14.0, 76452.0)	(15.0, 208769.0)	(16.0, 341742.0)	(17.0, 399679.0)	(18.0, 370097.0)	(19.0, 338692.0)	(20.0, 323930.0)	(21.0, 355177.0)	(22.0, 400829.0)	(23.0, 455946.0)	(24.0, 423483.0)	(25.0, 340739.0)	(26.0, 251454.0)	(27.0, 214325.0)	(28.0, 200821.0)	(29.0, 216595.0)	(30.0, 242364.0)	(31.0, 301758.0)	(32.0, 388653.0)	(33.0, 589790.0)	(34.0, 1081779.0)	(35.0, 3662825.0)	(36.0, 23825022.0)	(37.0, 4492646.0)
DRR456177_1	(13.0, 2.0)	(14.0, 10.0)	(15.0, 26.0)	(16.0, 96.0)	(17.0, 343.0)	(18.0, 742.0)	(19.0, 1347.0)	(20.0, 2506.0)	(21.0, 4565.0)	(22.0, 7651.0)	(23.0, 13162.0)	(24.0, 20900.0)	(25.0, 32510.0)	(26.0, 47945.0)	(27.0, 73566.0)	(28.0, 106846.0)	(29.0, 154519.0)	(30.0, 206501.0)	(31.0, 286769.0)	(32.0, 373259.0)	(33.0, 537832.0)	(34.0, 876268.0)	(35.0, 2225289.0)	(36.0, 23503850.0)	(37.0, 11491916.0)			
DRR456177_2	(11.0, 16.0)	(12.0, 311.0)	(13.0, 3943.0)	(14.0, 23468.0)	(15.0, 73987.0)	(16.0, 142578.0)	(17.0, 203467.0)	(18.0, 227939.0)	(19.0, 245644.0)	(20.0, 254773.0)	(21.0, 296075.0)	(22.0, 346976.0)	(23.0, 404360.0)	(24.0, 393748.0)	(25.0, 341135.0)	(26.0, 274476.0)	(27.0, 254449.0)	(28.0, 252101.0)	(29.0, 280965.0)	(30.0, 319971.0)	(31.0, 400922.0)	(32.0, 517426.0)	(33.0, 781813.0)	(34.0, 1398080.0)	(35.0, 4369683.0)	(36.0, 24143298.0)	(37.0, 4016816.0)	
DRR456178_1	(14.0, 5.0)	(15.0, 16.0)	(16.0, 34.0)	(17.0, 130.0)	(18.0, 302.0)	(19.0, 718.0)	(20.0, 1596.0)	(21.0, 3641.0)	(22.0, 7284.0)	(23.0, 13475.0)	(24.0, 21366.0)	(25.0, 33958.0)	(26.0, 50614.0)	(27.0, 77568.0)	(28.0, 110720.0)	(29.0, 155740.0)	(30.0, 200810.0)	(31.0, 264945.0)	(32.0, 338426.0)	(33.0, 462583.0)	(34.0, 732683.0)	(35.0, 1966444.0)	(36.0, 24353032.0)	(37.0, 12032858.0)				
DRR456178_2	(11.0, 19.0)	(12.0, 941.0)	(13.0, 18141.0)	(14.0, 102202.0)	(15.0, 265546.0)	(16.0, 398495.0)	(17.0, 425427.0)	(18.0, 356312.0)	(19.0, 303358.0)	(20.0, 280256.0)	(21.0, 310017.0)	(22.0, 347519.0)	(23.0, 392043.0)	(24.0, 363205.0)	(25.0, 294079.0)	(26.0, 219326.0)	(27.0, 191637.0)	(28.0, 182932.0)	(29.0, 203515.0)	(30.0, 232967.0)	(31.0, 295035.0)	(32.0, 383411.0)	(33.0, 590065.0)	(34.0, 1110762.0)	(35.0, 3949224.0)	(36.0, 25099880.0)	(37.0, 4512634.0)	
DRR456179_1	(12.0, 2.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 31.0)	(17.0, 113.0)	(18.0, 338.0)	(19.0, 689.0)	(20.0, 1449.0)	(21.0, 3266.0)	(22.0, 6411.0)	(23.0, 11686.0)	(24.0, 18367.0)	(25.0, 28901.0)	(26.0, 43778.0)	(27.0, 67694.0)	(28.0, 97647.0)	(29.0, 140609.0)	(30.0, 181999.0)	(31.0, 240426.0)	(32.0, 310032.0)	(33.0, 437965.0)	(34.0, 682802.0)	(35.0, 1794143.0)	(36.0, 22140965.0)	(37.0, 11324000.0)		
DRR456179_2	(11.0, 23.0)	(12.0, 659.0)	(13.0, 12707.0)	(14.0, 72872.0)	(15.0, 197432.0)	(16.0, 312740.0)	(17.0, 355550.0)	(18.0, 319581.0)	(19.0, 291579.0)	(20.0, 279593.0)	(21.0, 313163.0)	(22.0, 354014.0)	(23.0, 397381.0)	(24.0, 365990.0)	(25.0, 296738.0)	(26.0, 222289.0)	(27.0, 193968.0)	(28.0, 186195.0)	(29.0, 204845.0)	(30.0, 234240.0)	(31.0, 296175.0)	(32.0, 388937.0)	(33.0, 609530.0)	(34.0, 1170388.0)	(35.0, 4170395.0)	(36.0, 22749303.0)	(37.0, 3537039.0)	
