UniqueCount	AmbigCount
0	0
0	17
0	14
0	15
0	15
0	12
0	15
0	3
0	12
0	7
0	9
0	10
0	4
0	10
0	12
1	8
7	63
0	64
0	62
0	59
0	64
0	64
0	59
0	63
0	63
0	59
0	59
0	60
0	62
0	63
0	60
1	59
0	63
0	64
0	63
0	63
0	62
0	60
0	62
0	61
24	64
0	59
0	62
0	63
0	59
0	61
0	63
0	50
0	59
0	58
0	49
0	63
0	61
0	59
0	59
0	64
0	64
0	61
0	64
0	39
0	58
0	60
0	61
0	59
0	63
0	60
0	54
0	65
0	61
0	59
0	62
2	59
0	63
0	60
0	62
1	63
0	62
0	60
0	60
0	59
0	6
0	8
0	8
0	8
0	8
0	6
0	8
0	1
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	119
0	119
0	119
0	122
0	119
0	119
0	119
0	97
7	119
0	122
0	78
22	21
0	21
2	21
0	15
1	4
0	1
60	4
0	4
0	399
0	390
0	357
0	366
2	0
0	9
0	9
0	9
3	14
0	8
0	9
0	9
0	9
0	9
1	15
0	9
0	8
0	9
1	9
0	9
0	9
0	14
0	9
0	8
0	9
0	8
0	9
0	14
1	10
0	14
0	10
0	10
0	9
0	8
4	9
0	9
0	8
0	14
0	11
0	10
0	9
0	9
0	9
15	5
1	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	1
2	1
3	1
0	0
0	1
0	1
0	0
0	0
0	4
0	2
0	2
3	2
0	3
1	2
0	1
0	1
0	2
0	2
0	2
0	66
0	54
0	65
0	61
0	64
0	79
14	80
0	60
0	66
3	64
0	79
0	64
0	58
0	65
0	64
0	65
0	36
0	29
15	0
2	0
12	52
0	69
0	53
0	53
0	53
0	51
0	53
0	52
0	69
0	51
0	68
0	42
0	49
0	54
0	52
0	61
8	62
0	39
0	29
0	28
0	19
0	17
0	16
0	17
0	9
0	6
0	4
0	4
0	5
0	2
0	24
0	1
0	0
6	1
0	1
0	0
0	1
0	0
0	41
0	41
0	41
1	46
0	46
0	41
0	46
0	45
0	43
0	28
0	29
0	33
0	33
0	25
0	30
0	24
0	22
0	0
0	2
0	2
0	1
0	1
0	40
0	37
0	25
0	32
0	36
0	37
0	32
0	25
1	32
1	24
0	39
0	24
0	35
0	20
0	28
0	31
0	28
0	15
0	16
2	10
0	7
0	12
0	12
0	12
9	13
0	9
0	7
0	7
0	4
0	4
0	20
0	20
0	19
0	19
0	16
6	26
0	18
0	24
0	1
10	0
0	77
0	78
0	81
0	73
0	66
0	80
0	77
0	76
0	12
0	12
0	12
0	11
0	12
0	12
0	12
0	8
0	12
3	12
0	4
3	4
0	4
0	4
0	4
1	4
0	4
0	4
0	4
0	3
0	4
0	3
0	4
0	4
0	4
0	71
0	50
0	57
0	67
0	67
0	68
0	60
0	63
0	64
30	64
1	57
0	64
0	47
4	19
0	15
4	10
0	9
0	7
0	6
0	10
0	9
0	4
0	5
0	6
4	1
7	7
6	3
0	3
0	3
0	3
1	3
0	2
0	1
2	0
1	0
0	6
0	3
0	7
0	4
0	0
1	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	17
0	14
0	17
0	17
0	12
0	17
0	15
0	15
0	16
0	16
0	5
0	0
3	0
0	31
0	40
0	44
0	32
0	32
0	37
62	5
4	0
0	26
0	32
0	31
0	23
0	30
0	23
0	32
0	31
0	30
0	25
0	24
0	33
0	31
0	30
0	24
0	32
0	32
0	30
0	31
0	32
0	32
0	30
0	31
0	31
0	33
0	31
0	31
0	25
0	31
0	26
0	31
0	32
0	32
0	32
0	26
0	32
0	31
0	29
8	34
0	31
0	32
0	22
0	32
0	1
0	29
0	32
0	31
0	33
0	32
0	33
0	30
0	31
0	32
0	33
0	33
0	33
0	27
0	33
0	26
0	30
0	31
0	31
0	30
0	34
0	25
0	32
0	30
0	32
0	32
0	30
0	26
0	25
0	27
0	32
0	32
0	27
0	32
0	24
0	32
0	31
0	32
0	31
0	31
0	32
0	34
0	32
0	31
0	25
0	33
0	26
0	32
0	29
0	33
0	33
0	30
0	32
0	32
0	32
0	31
0	28
0	32
0	32
0	29
0	31
0	30
0	24
0	33
0	30
0	32
0	30
0	3
0	34
0	31
0	30
0	33
0	32
0	32
0	31
0	34
0	30
0	34
0	23
0	24
0	33
0	28
0	31
0	32
0	28
0	31
0	29
0	31
0	29
0	29
0	31
0	2
0	31
0	31
0	31
0	25
0	1
0	29
2	24
6	38
0	38
0	25
0	27
2	1
0	13
0	1
0	1
0	1
0	1
0	1
2	2
0	1
0	0
0	1
0	0
0	0
0	100
1	98
0	98
0	99
0	98
0	100
0	98
1	101
0	90
0	95
0	92
0	94
0	81
1	79
0	77
0	77
0	77
0	77
1	34
0	163
1	163
0	164
0	180
0	165
0	163
0	148
1	113
0	65
3	62
1	65
11	32
0	110
0	103
0	110
0	110
0	106
1	100
0	104
0	102
0	88
0	75
0	93
0	94
0	94
0	77
0	11
0	0
0	24
0	33
0	33
0	30
0	30
0	31
0	31
0	23
0	30
0	30
3	30
0	33
0	31
0	33
0	30
0	30
0	30
0	30
0	30
0	32
0	25
0	30
0	30
0	32
0	30
1	10
0	17
9	18
0	18
0	0
0	2
0	2
0	1
1	156
0	194
0	178
0	197
0	178
0	197
0	199
0	151
0	179
0	201
0	180
0	182
0	196
0	196
0	178
0	182
0	197
0	199
0	187
0	201
0	205
0	197
0	194
0	193
0	179
0	189
0	185
0	188
0	202
0	178
0	196
0	194
0	195
0	193
0	200
0	193
0	193
0	192
0	173
0	197
8	203
0	191
0	182
0	172
0	181
0	200
0	200
0	198
0	199
0	192
0	203
0	194
0	195
0	180
0	195
0	204
0	192
0	197
0	194
0	193
0	166
0	178
0	203
0	175
0	154
0	193
0	179
0	180
0	193
3	190
0	192
0	189
0	195
36	176
0	162
0	180
0	177
0	171
0	171
0	169
0	155
0	186
0	185
0	187
0	182
0	147
3	181
0	171
0	123
0	144
0	145
0	140
0	140
0	145
0	151
0	141
0	147
0	142
0	139
0	143
87	140
0	121
0	140
0	145
0	139
0	136
0	121
0	51
1	38
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	2
0	1
0	1
0	1
0	2
0	2
0	2
0	1
0	1
0	0
0	18
0	16
0	12
0	18
0	4
0	15
3	18
0	0
1	19
0	5
0	18
0	4
0	7
0	4
0	7
0	4
0	7
0	9
0	4
0	4
0	4
0	7
0	11
0	6
0	16
0	14
0	4
0	4
0	5
0	4
0	4
0	4
0	2
0	3
7	3
1	81
0	81
0	3
0	4
0	3
0	3
0	2
0	3
0	1
0	2
0	2
0	2
13	6
0	6
1	0
0	38
0	11
0	38
0	38
0	34
0	8
0	19
0	39
0	31
0	38
0	11
0	39
0	48
0	19
0	2
0	50
0	39
0	33
0	13
0	19
0	19
0	13
0	39
0	40
0	4
0	38
0	3
0	13
0	38
0	8
0	38
0	30
0	21
0	39
0	9
0	19
0	14
0	13
0	12
1	17
0	19
0	27
0	54
0	21
1	6
4	18
0	17
0	17
0	17
0	13
0	14
0	13
0	0
0	0
0	0
0	0
1	1
0	12
0	13
0	13
0	9
0	5
0	6
0	6
0	4
0	6
0	6
0	6
0	6
0	6
0	5
0	7
0	6
0	5
0	4
0	1
0	0
0	2
1	0
0	2
0	1
0	1
0	1
0	0
0	1
0	1
1	3
0	1
0	3
0	1
0	1
0	0
1	1
0	1
0	1
0	1
0	1
4	1
0	1
0	1
0	1
0	0
0	10
0	10
0	10
0	10
0	10
0	3
0	5
0	10
0	10
0	10
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
1	0
0	10
0	12
6	14
0	9
1	0
0	9
1	5
0	5
0	5
0	5
0	5
0	5
0	3
1	2
1	0
0	0
0	16
0	16
0	16
0	16
0	16
0	8
0	8
0	8
0	8
0	7
0	7
0	7
0	7
0	8
0	8
0	8
0	8
0	7
0	8
0	7
0	1
0	17
0	17
0	11
5	6
0	5
0	4
0	7
0	4
0	3
0	6
0	5
0	3
0	5
0	5
0	2
0	5
0	5
0	2
0	2
0	4
0	4
0	0
0	0
0	0
0	4
0	4
0	0
0	4
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	16
0	14
0	15
0	15
0	14
0	14
0	13
0	14
0	14
0	1
0	52
0	55
0	55
0	50
0	53
0	54
0	50
0	53
0	50
0	55
0	53
0	45
0	48
0	34
0	37
0	41
0	34
0	40
0	40
0	33
0	41
0	36
0	36
0	21
0	11
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	19
0	18
1	19
0	19
1	19
0	19
0	19
0	10
2	0
0	0
0	0
0	33
0	34
0	33
0	29
0	33
0	29
0	33
0	32
0	32
0	33
0	33
0	33
0	32
0	32
0	30
0	32
0	33
0	33
0	32
