UniqueCount	AmbigCount
0	0
0	0
4	7
0	8
0	11
0	7
0	9
0	2
0	5
0	7
0	5
0	8
0	7
0	6
0	2
0	1
1	2048
0	1982
0	1823
0	1459
0	2066
0	1882
0	1939
0	1935
0	1948
0	1943
0	1917
0	1865
0	1738
0	1954
0	1922
0	1752
0	1950
0	1800
0	1908
0	1868
0	1923
0	1829
0	1956
0	1985
0	1890
0	1777
0	1819
0	1832
0	1814
0	1977
0	1872
1	1491
0	1940
0	1736
0	1278
0	1498
0	1709
0	1817
0	1765
0	1252
0	1776
0	1689
0	1938
0	1140
0	1640
0	1974
0	1919
0	1873
2	1917
0	1728
0	1856
0	1918
0	1962
0	1842
0	1832
1	1740
0	1900
0	1871
0	1934
0	1954
0	1785
0	1687
0	1861
0	1927
0	228
0	243
0	238
0	201
4	226
0	232
0	225
11	63
0	15
0	12
0	13
0	12
0	13
0	11
0	14
0	14
0	12
1	13
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
59	341
0	296
57	317
7	222
0	218
1	151
15	236
28	236
0	12816
0	12101
0	11302
0	12014
7	0
0	316
0	317
0	299
7	316
0	300
0	310
0	315
0	327
0	316
5	315
0	301
0	290
0	277
0	313
0	266
0	315
0	89
0	325
0	299
0	304
0	308
0	326
1	315
0	292
0	313
0	292
0	313
0	302
0	288
2	304
0	299
0	288
0	315
0	315
0	313
0	303
0	279
1	223
7	100
1	119
0	91
0	93
0	85
0	45
0	26
0	26
0	14
0	5
0	7
0	7
0	5
0	4
0	4
0	7
0	7
0	8
0	8
1	4
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	5537
8	3909
0	5528
5	1975
0	5511
0	5537
7	5544
0	4817
0	5388
1	5521
0	5504
0	5431
0	4875
0	6089
12	5440
1	4541
0	3271
7	1703
1025	6
6	0
5	1554
2	1601
0	1509
0	1568
0	1664
0	1563
0	1569
0	1519
0	1600
0	1550
0	1593
0	1382
1	1424
0	565
0	1567
0	1264
1	1305
0	1270
4	938
0	922
0	854
0	800
0	713
1	585
0	143
0	314
0	211
0	223
0	35
1	98
0	42
0	27
0	21
7	27
1	27
0	3
0	26
3	2
3	2132
0	2005
3	1063
14	2244
0	2197
0	1991
0	2267
0	2183
0	2044
2	1857
7	1879
0	1825
0	1875
1	1694
0	1811
1	1427
0	1343
0	209
0	469
2	485
1	418
3	251
0	1920
0	1902
0	1467
1	1883
0	1749
0	2028
0	1866
0	1478
1	1783
2	1120
0	1907
0	1496
0	1641
0	1274
0	1095
0	1672
0	1308
1	418
16	583
4	381
0	341
0	512
2	452
